.HEADER
..NAMES
Time,V U5.K1
.DATA
0.0e+000,0.3293
3.67e-011,0.3293
7.33e-011,0.3293
1.100e-010,0.3293
1.467e-010,0.3293
1.834e-010,0.3293
2.201e-010,0.3293
2.567e-010,0.3293
2.934e-010,0.3293
3.301e-010,0.3293
3.667e-010,0.3293
4.034e-010,0.3293
4.401e-010,0.3293
4.768e-010,0.3293
5.135e-010,0.3294
5.501e-010,0.3307
5.868e-010,0.3364
6.235e-010,0.3531
6.601e-010,0.3908
6.968e-010,0.4558
7.335e-010,0.5477
7.702e-010,0.6559
8.068e-010,0.7635
8.435e-010,0.8565
8.802e-010,0.9223
9.169e-010,0.9542
9.536e-010,0.9575
9.902e-010,0.9459
1.0269e-009,0.9325
1.0636e-009,0.9267
1.1003e-009,0.9325
1.1369e-009,0.9478
1.1736e-009,0.9668
1.2103e-009,0.9843
1.2469e-009,0.9966
1.2836e-009,1.0023
1.3203e-009,1.0021
1.3570e-009,0.9981
1.3936e-009,0.9926
1.4303e-009,0.9885
1.4670e-009,0.9895
1.5037e-009,0.9983
1.5403e-009,1.0131
1.5770e-009,1.0261
1.6137e-009,1.0228
1.6504e-009,0.9845
1.6871e-009,0.9046
1.7237e-009,0.7945
1.7604e-009,0.6700
1.7971e-009,0.5516
1.8338e-009,0.4647
1.8704e-009,0.4247
1.9071e-009,0.4271
1.9438e-009,0.4561
1.9805e-009,0.4914
2.0171e-009,0.5139
2.0538e-009,0.5143
2.0905e-009,0.4950
2.1272e-009,0.4647
2.1638e-009,0.4345
2.2005e-009,0.4139
2.2372e-009,0.4068
2.2738e-009,0.4116
2.3105e-009,0.4246
2.3472e-009,0.4414
2.3839e-009,0.4550
2.4205e-009,0.4591
2.4572e-009,0.4514
2.4939e-009,0.4326
2.5306e-009,0.4055
2.5672e-009,0.3766
2.6039e-009,0.3536
2.6406e-009,0.3414
2.6773e-009,0.3409
2.7139e-009,0.3481
2.7506e-009,0.3566
2.7873e-009,0.3598
2.8240e-009,0.3535
2.8606e-009,0.3384
2.8973e-009,0.3191
2.9340e-009,0.3030
2.9707e-009,0.2960
3.0073e-009,0.3002
3.0440e-009,0.3132
3.0807e-009,0.3300
3.1174e-009,0.3444
3.1540e-009,0.3515
3.1907e-009,0.3496
3.2274e-009,0.3400
3.2641e-009,0.3264
3.3007e-009,0.3133
3.3374e-009,0.3050
3.3741e-009,0.3064
3.4108e-009,0.3223
3.4475e-009,0.3596
3.4841e-009,0.4251
3.5208e-009,0.5170
3.5575e-009,0.6267
3.5942e-009,0.7376
3.6308e-009,0.8332
3.6675e-009,0.9022
3.7042e-009,0.9385
3.7408e-009,0.9447
3.7775e-009,0.9339
3.8142e-009,0.9216
3.8509e-009,0.9176
3.8875e-009,0.9256
3.9242e-009,0.9433
3.9609e-009,0.9642
3.9976e-009,0.9820
4.0342e-009,0.9934
4.0709e-009,0.9978
4.1076e-009,0.9970
4.1443e-009,0.9936
4.1809e-009,0.9897
4.2176e-009,0.9870
4.2543e-009,0.9876
4.2910e-009,0.9932
4.3276e-009,1.0040
4.3643e-009,1.0182
4.4010e-009,1.0337
4.4377e-009,1.0475
4.4743e-009,1.0570
4.5110e-009,1.0618
4.5477e-009,1.0641
4.5844e-009,1.0669
4.6211e-009,1.0728
4.6577e-009,1.0828
4.6944e-009,1.0956
4.7311e-009,1.1078
4.7678e-009,1.1158
4.8044e-009,1.1169
4.8411e-009,1.1110
4.8778e-009,1.1008
4.9145e-009,1.0901
4.9511e-009,1.0828
4.9878e-009,1.0808
5.0245e-009,1.0845
5.0612e-009,1.0921
5.0978e-009,1.1009
5.1345e-009,1.1083
5.1712e-009,1.1126
5.2079e-009,1.1130
5.2445e-009,1.1102
5.2812e-009,1.1053
5.3179e-009,1.0960
5.3546e-009,1.0763
5.3912e-009,1.0357
5.4279e-009,0.9667
5.4646e-009,0.8731
5.5013e-009,0.7628
5.5379e-009,0.6480
5.5746e-009,0.5472
5.6113e-009,0.4770
5.6480e-009,0.4424
5.6846e-009,0.4386
5.7213e-009,0.4548
5.7580e-009,0.4765
5.7947e-009,0.4909
5.8313e-009,0.4922
5.8680e-009,0.4808
5.9047e-009,0.4612
5.9414e-009,0.4401
5.9780e-009,0.4235
6.0147e-009,0.4140
6.0514e-009,0.4124
6.0881e-009,0.4180
6.1247e-009,0.4275
6.1614e-009,0.4355
6.1981e-009,0.4385
6.2348e-009,0.4341
6.2714e-009,0.4215
6.3081e-009,0.4028
6.3448e-009,0.3828
6.3815e-009,0.3663
6.4181e-009,0.3559
6.4548e-009,0.3518
6.4915e-009,0.3514
6.5282e-009,0.3509
6.5648e-009,0.3467
6.6015e-009,0.3374
6.6382e-009,0.3243
6.6749e-009,0.3115
6.7115e-009,0.3033
6.7482e-009,0.3024
6.7849e-009,0.3090
6.8215e-009,0.3206
6.8582e-009,0.3331
6.8949e-009,0.3424
6.9316e-009,0.3456
6.9682e-009,0.3421
7.0049e-009,0.3334
7.0416e-009,0.3223
7.0783e-009,0.3123
7.1149e-009,0.3064
7.1516e-009,0.3065
7.1883e-009,0.3124
7.2250e-009,0.3226
7.2616e-009,0.3343
7.2983e-009,0.3445
7.3350e-009,0.3504
7.3717e-009,0.3506
7.4083e-009,0.3454
7.4450e-009,0.3367
7.4817e-009,0.3272
7.5184e-009,0.3198
7.5550e-009,0.3164
7.5917e-009,0.3174
7.6284e-009,0.3216
