"Clock Net Name","Clock Driver Comp Ref Des & Pin Name","Clock Receiver Comp Ref Des & Pin Name","Cumulative Error Across N Cycles","tERR, [ps]","tERR Limit, [ps]","tERR Margin, [ps]"
"DRAM_CLK0_P","U1.AD15&AE15","U2.J7&K7","     2","    24","    74","    50"
"DRAM_CLK0_P","U1.AD15&AE15","U2.J7&K7","     3","    25","    87","    62"
"DRAM_CLK0_P","U1.AD15&AE15","U2.J7&K7","     4","    26","    97","    71"
"DRAM_CLK0_P","U1.AD15&AE15","U2.J7&K7","     5","    26","   105","    79"
"DRAM_CLK0_P","U1.AD15&AE15","U2.J7&K7","     6","    24","   111","    87"
"DRAM_CLK0_P","U1.AD15&AE15","U2.J7&K7","     7","    24","   116","    92"
"DRAM_CLK0_P","U1.AD15&AE15","U2.J7&K7","     8","    25","   121","    96"
"DRAM_CLK0_P","U1.AD15&AE15","U2.J7&K7","     9","    26","   125","    99"
"DRAM_CLK0_P","U1.AD15&AE15","U2.J7&K7","    10","    23","   128","   105"
"DRAM_CLK0_P","U1.AD15&AE15","U2.J7&K7","    11","    24","   132","   108"
"DRAM_CLK0_P","U1.AD15&AE15","U2.J7&K7","    12","    25","   134","   109"
"DRAM_CLK0_P","U1.AD15&AE15","U2.J7&K7","    13","    26","   137","   111"
"DRAM_CLK0_P","U1.AD15&AE15","U2.J7&K7","    14","    23","   140","   116"
"DRAM_CLK0_P","U1.AD15&AE15","U2.J7&K7","    15","    24","   142","   118"
"DRAM_CLK0_P","U1.AD15&AE15","U2.J7&K7","    16","    25","   144","   119"
"DRAM_CLK0_P","U1.AD15&AE15","U2.J7&K7","    17","    26","   146","   120"
"DRAM_CLK0_P","U1.AD15&AE15","U2.J7&K7","    18","    23","   148","   125"
"DRAM_CLK0_P","U1.AD15&AE15","U2.J7&K7","    19","    24","   150","   126"
"DRAM_CLK0_P","U1.AD15&AE15","U2.J7&K7","    20","    25","   152","   127"
"DRAM_CLK0_P","U1.AD15&AE15","U2.J7&K7","    21","    26","   154","   128"
"DRAM_CLK0_P","U1.AD15&AE15","U2.J7&K7","    22","    23","   155","   132"
