.HEADER
..NAMES
Time,V U1.AD12
.DATA
0.0e+000,0.3240
3.67e-011,0.3240
7.33e-011,0.3240
1.100e-010,0.3254
1.467e-010,0.3333
1.834e-010,0.3580
2.201e-010,0.4162
2.567e-010,0.5135
2.934e-010,0.6369
3.301e-010,0.7614
3.667e-010,0.8552
4.034e-010,0.9223
4.401e-010,0.9714
4.768e-010,1.0090
5.135e-010,1.0393
5.501e-010,1.0640
5.868e-010,1.0820
6.235e-010,1.0949
6.601e-010,1.1040
6.968e-010,1.1104
7.335e-010,1.1149
7.702e-010,1.1183
8.068e-010,1.1209
8.435e-010,1.1228
8.802e-010,1.1234
9.169e-010,1.1212
9.536e-010,1.1151
9.902e-010,1.1047
1.0269e-009,1.0902
1.0636e-009,1.0749
1.1003e-009,1.0603
1.1369e-009,1.0354
1.1736e-009,0.9849
1.2103e-009,0.8878
1.2469e-009,0.7525
1.2836e-009,0.6219
1.3203e-009,0.5159
1.3570e-009,0.4331
1.3936e-009,0.3690
1.4303e-009,0.3195
1.4670e-009,0.2815
1.5037e-009,0.2547
1.5403e-009,0.2398
1.5770e-009,0.2344
1.6137e-009,0.2338
1.6504e-009,0.2336
1.6871e-009,0.2307
1.7237e-009,0.2249
1.7604e-009,0.2178
1.7971e-009,0.2114
1.8338e-009,0.2072
1.8704e-009,0.2076
1.9071e-009,0.2151
1.9438e-009,0.2313
1.9805e-009,0.2536
2.0171e-009,0.2832
2.0538e-009,0.3307
2.0905e-009,0.4173
2.1272e-009,0.5548
2.1638e-009,0.7201
2.2005e-009,0.8737
2.2372e-009,0.9700
2.2738e-009,1.0217
2.3105e-009,1.0531
2.3472e-009,1.0823
2.3839e-009,1.1159
2.4205e-009,1.1503
2.4572e-009,1.1765
2.4939e-009,1.1890
2.5306e-009,1.1893
2.5672e-009,1.1833
2.6039e-009,1.1788
2.6406e-009,1.1806
2.6773e-009,1.1892
2.7139e-009,1.2014
2.7506e-009,1.2120
2.7873e-009,1.2166
2.8240e-009,1.2112
2.8606e-009,1.1942
2.8973e-009,1.1685
2.9340e-009,1.1396
2.9707e-009,1.1116
3.0073e-009,1.0843
3.0440e-009,1.0588
3.0807e-009,1.0412
3.1174e-009,1.0363
3.1540e-009,1.0424
3.1907e-009,1.0513
3.2274e-009,1.0540
3.2641e-009,1.0458
3.3007e-009,1.0289
3.3374e-009,1.0107
3.3741e-009,0.9997
3.4108e-009,1.0009
3.4475e-009,1.0136
3.4841e-009,1.0312
3.5208e-009,1.0450
3.5575e-009,1.0485
3.5942e-009,1.0411
3.6308e-009,1.0270
3.6675e-009,1.0122
3.7042e-009,1.0016
3.7408e-009,0.9980
3.7775e-009,1.0026
3.8142e-009,1.0137
3.8509e-009,1.0271
3.8875e-009,1.0390
3.9242e-009,1.0479
3.9609e-009,1.0546
3.9976e-009,1.0607
4.0342e-009,1.0670
4.0709e-009,1.0735
4.1076e-009,1.0798
4.1443e-009,1.0860
4.1809e-009,1.0922
4.2176e-009,1.0980
4.2543e-009,1.1022
4.2910e-009,1.1035
4.3276e-009,1.1008
4.3643e-009,1.0945
4.4010e-009,1.0865
4.4377e-009,1.0799
4.4743e-009,1.0780
4.5110e-009,1.0818
4.5477e-009,1.0897
4.5844e-009,1.0989
4.6211e-009,1.1060
4.6577e-009,1.1090
4.6944e-009,1.1076
4.7311e-009,1.1029
4.7678e-009,1.0973
4.8044e-009,1.0932
4.8411e-009,1.0921
4.8778e-009,1.0939
4.9145e-009,1.0971
4.9511e-009,1.1001
4.9878e-009,1.1017
5.0245e-009,1.1019
5.0612e-009,1.1011
5.0978e-009,1.0999
5.1345e-009,1.0987
5.1712e-009,1.0978
5.2079e-009,1.0974
5.2445e-009,1.0976
5.2812e-009,1.0985
5.3179e-009,1.0998
5.3546e-009,1.1013
5.3912e-009,1.1023
5.4279e-009,1.1023
5.4646e-009,1.1011
5.5013e-009,1.0993
5.5379e-009,1.0976
5.5746e-009,1.0965
5.6113e-009,1.0965
5.6480e-009,1.0972
5.6846e-009,1.0993
5.7213e-009,1.1015
5.7580e-009,1.1049
5.7947e-009,1.1084
5.8313e-009,1.1025
5.8680e-009,1.0735
5.9047e-009,0.9993
5.9414e-009,0.8816
5.9780e-009,0.7500
6.0147e-009,0.6256
6.0514e-009,0.5240
6.0881e-009,0.4510
6.1247e-009,0.4038
6.1614e-009,0.3726
6.1981e-009,0.3518
6.2348e-009,0.3364
6.2714e-009,0.3248
6.3081e-009,0.3160
6.3448e-009,0.3095
6.3815e-009,0.3050
6.4181e-009,0.3017
6.4548e-009,0.2992
6.4915e-009,0.2970
6.5282e-009,0.2951
6.5648e-009,0.2947
6.6015e-009,0.2978
6.6382e-009,0.3061
6.6749e-009,0.3200
6.7115e-009,0.3375
6.7482e-009,0.3581
6.7849e-009,0.3817
6.8215e-009,0.4050
6.8582e-009,0.4220
6.8949e-009,0.4279
6.9316e-009,0.4219
6.9682e-009,0.4078
7.0049e-009,0.3935
7.0416e-009,0.3857
