.HEADER
..NAMES
Time,V U1.Y14
.DATA
0.0e+000,1.0942
3.67e-011,1.0943
7.33e-011,1.0952
1.100e-010,1.0969
1.467e-010,1.1016
1.834e-010,1.1029
2.201e-010,1.0899
2.567e-010,1.0435
2.934e-010,0.9475
3.301e-010,0.8213
3.667e-010,0.6932
4.034e-010,0.5806
4.401e-010,0.4932
4.768e-010,0.4316
5.135e-010,0.3900
5.501e-010,0.3624
5.868e-010,0.3429
6.235e-010,0.3295
6.601e-010,0.3203
6.968e-010,0.3143
7.335e-010,0.3104
7.702e-010,0.3076
8.068e-010,0.3052
8.435e-010,0.3033
8.802e-010,0.3029
9.169e-010,0.3045
9.536e-010,0.3075
9.902e-010,0.3108
1.0269e-009,0.3139
1.0636e-009,0.3207
1.1003e-009,0.3438
1.1369e-009,0.3996
1.1736e-009,0.5081
1.2103e-009,0.6576
1.2469e-009,0.8191
1.2836e-009,0.9418
1.3203e-009,1.0121
1.3570e-009,1.0519
1.3936e-009,1.0808
1.4303e-009,1.1096
1.4670e-009,1.1384
1.5037e-009,1.1633
1.5403e-009,1.1812
1.5770e-009,1.1909
1.6137e-009,1.1936
1.6504e-009,1.1921
1.6871e-009,1.1895
1.7237e-009,1.1885
1.7604e-009,1.1896
1.7971e-009,1.1912
1.8338e-009,1.1919
1.8704e-009,1.1913
1.9071e-009,1.1897
1.9438e-009,1.1865
1.9805e-009,1.1787
2.0171e-009,1.1623
2.0538e-009,1.1361
2.0905e-009,1.1045
2.1272e-009,1.0772
2.1638e-009,1.0624
2.2005e-009,1.0604
2.2372e-009,1.0644
2.2738e-009,1.0649
2.3105e-009,1.0560
2.3472e-009,1.0388
2.3839e-009,1.0195
2.4205e-009,1.0054
2.4572e-009,1.0009
2.4939e-009,1.0058
2.5306e-009,1.0161
2.5672e-009,1.0264
2.6039e-009,1.0324
2.6406e-009,1.0320
2.6773e-009,1.0257
2.7139e-009,1.0165
2.7506e-009,1.0082
2.7873e-009,1.0031
2.8240e-009,1.0019
2.8606e-009,1.0045
2.8973e-009,1.0093
2.9340e-009,1.0167
2.9707e-009,1.0269
3.0073e-009,1.0302
3.0440e-009,1.0117
3.0807e-009,0.9487
3.1174e-009,0.8378
3.1540e-009,0.7136
3.1907e-009,0.6026
3.2274e-009,0.5162
3.2641e-009,0.4543
3.3007e-009,0.4114
3.3374e-009,0.3799
3.3741e-009,0.3527
3.4108e-009,0.3286
3.4475e-009,0.3080
3.4841e-009,0.2930
3.5208e-009,0.2849
3.5575e-009,0.2827
3.5942e-009,0.2848
3.6308e-009,0.2889
3.6675e-009,0.2933
3.7042e-009,0.2968
3.7408e-009,0.2995
3.7775e-009,0.3012
3.8142e-009,0.3025
3.8509e-009,0.3050
3.8875e-009,0.3118
3.9242e-009,0.3260
3.9609e-009,0.3488
3.9976e-009,0.3764
4.0342e-009,0.4008
4.0709e-009,0.4148
4.1076e-009,0.4152
4.1443e-009,0.4052
4.1809e-009,0.3932
4.2176e-009,0.3870
4.2543e-009,0.3896
4.2910e-009,0.3993
4.3276e-009,0.4111
4.3643e-009,0.4199
4.4010e-009,0.4229
4.4377e-009,0.4205
4.4743e-009,0.4154
4.5110e-009,0.4104
4.5477e-009,0.4077
4.5844e-009,0.4079
4.6211e-009,0.4108
4.6577e-009,0.4151
4.6944e-009,0.4190
4.7311e-009,0.4212
4.7678e-009,0.4213
4.8044e-009,0.4193
4.8411e-009,0.4157
4.8778e-009,0.4104
4.9145e-009,0.4029
4.9511e-009,0.3936
4.9878e-009,0.3838
5.0245e-009,0.3746
5.0612e-009,0.3668
5.0978e-009,0.3597
5.1345e-009,0.3519
5.1712e-009,0.3423
5.2079e-009,0.3319
5.2445e-009,0.3229
5.2812e-009,0.3180
5.3179e-009,0.3179
5.3546e-009,0.3214
5.3912e-009,0.3259
5.4279e-009,0.3288
5.4646e-009,0.3287
5.5013e-009,0.3259
5.5379e-009,0.3214
5.5746e-009,0.3169
5.6113e-009,0.3140
5.6480e-009,0.3136
5.6846e-009,0.3156
5.7213e-009,0.3186
5.7580e-009,0.3209
5.7947e-009,0.3213
5.8313e-009,0.3198
5.8680e-009,0.3177
5.9047e-009,0.3159
5.9414e-009,0.3150
5.9780e-009,0.3149
6.0147e-009,0.3151
6.0514e-009,0.3155
6.0881e-009,0.3163
6.1247e-009,0.3178
6.1614e-009,0.3195
6.1981e-009,0.3206
6.2348e-009,0.3203
6.2714e-009,0.3187
6.3081e-009,0.3164
6.3448e-009,0.3145
6.3815e-009,0.3136
6.4181e-009,0.3142
6.4548e-009,0.3159
6.4915e-009,0.3180
6.5282e-009,0.3197
6.5648e-009,0.3204
6.6015e-009,0.3196
6.6382e-009,0.3180
6.6749e-009,0.3164
6.7115e-009,0.3158
6.7482e-009,0.3164
6.7849e-009,0.3182
6.8215e-009,0.3204
6.8582e-009,0.3224
6.8949e-009,0.3238
6.9316e-009,0.3244
6.9682e-009,0.3245
7.0049e-009,0.3244
7.0416e-009,0.3243
7.0783e-009,0.3240
7.1149e-009,0.3238
7.1516e-009,0.3239
7.1883e-009,0.3246
7.2250e-009,0.3260
7.2616e-009,0.3279
7.2983e-009,0.3295
7.3350e-009,0.3303
7.3717e-009,0.3298
7.4083e-009,0.3282
7.4450e-009,0.3263
7.4817e-009,0.3247
7.5184e-009,0.3239
7.5550e-009,0.3241
7.5917e-009,0.3250
7.6284e-009,0.3261
7.6651e-009,0.3268
7.7018e-009,0.3266
7.7384e-009,0.3253
7.7751e-009,0.3235
7.8118e-009,0.3221
7.8484e-009,0.3217
7.8851e-009,0.3225
7.9218e-009,0.3239
7.9585e-009,0.3249
7.9952e-009,0.3252
8.0318e-009,0.3248
8.0685e-009,0.3241
8.1052e-009,0.3236
8.1418e-009,0.3232
8.1785e-009,0.3230
8.2152e-009,0.3229
8.2519e-009,0.3231
8.2886e-009,0.3234
8.3252e-009,0.3238
8.3619e-009,0.3241
8.3986e-009,0.3241
8.4352e-009,0.3240
8.4719e-009,0.3238
8.5086e-009,0.3234
8.5453e-009,0.3237
8.5820e-009,0.3293
8.6186e-009,0.3490
8.6553e-009,0.3986
8.6920e-009,0.4874
8.7286e-009,0.6040
8.7653e-009,0.7284
8.8020e-009,0.8247
8.8387e-009,0.8951
8.8754e-009,0.9488
8.9120e-009,0.9928
8.9487e-009,1.0284
8.9854e-009,1.0559
9.0220e-009,1.0753
9.0587e-009,1.0879
9.0954e-009,1.0960
9.1321e-009,1.1013
9.1688e-009,1.1046
9.2054e-009,1.1067
9.2421e-009,1.1080
9.2788e-009,1.1084
9.3154e-009,1.1077
9.3521e-009,1.1057
9.3888e-009,1.1031
9.4255e-009,1.1000
9.4622e-009,1.0952
9.4988e-009,1.0858
9.5355e-009,1.0696
9.5722e-009,1.0478
9.6088e-009,1.0257
9.6455e-009,1.0110
9.6822e-009,1.0079
9.7189e-009,1.0139
9.7556e-009,1.0226
9.7922e-009,1.0273
9.8289e-009,1.0251
9.8656e-009,1.0180
9.9022e-009,1.0102
9.9389e-009,1.0058
9.9756e-009,1.0063
1.00123e-008,1.0107
1.00490e-008,1.0165
1.00856e-008,1.0211
1.01223e-008,1.0227
1.01590e-008,1.0208
1.01956e-008,1.0164
1.02323e-008,1.0114
1.02690e-008,1.0077
1.03057e-008,1.0058
1.03424e-008,1.0063
1.03790e-008,1.0089
1.04157e-008,1.0131
1.04524e-008,1.0211
1.04890e-008,1.0294
1.05257e-008,1.0257
1.05624e-008,0.9923
1.05991e-008,0.9083
1.06358e-008,0.7880
1.06724e-008,0.6680
1.07091e-008,0.5665
1.07458e-008,0.4893
1.07824e-008,0.4341
1.08191e-008,0.3955
1.08558e-008,0.3658
1.08925e-008,0.3420
1.09292e-008,0.3218
1.09658e-008,0.3064
1.10025e-008,0.2962
1.10392e-008,0.2910
1.10758e-008,0.2897
1.11125e-008,0.2909
1.11492e-008,0.2932
1.11859e-008,0.2961
1.12226e-008,0.2991
1.12592e-008,0.3023
1.12959e-008,0.3052
1.13326e-008,0.3079
1.13693e-008,0.3124
1.14059e-008,0.3296
1.14426e-008,0.3742
1.14793e-008,0.4672
1.15159e-008,0.6089
1.15526e-008,0.7716
1.15893e-008,0.9101
1.16260e-008,0.9915
1.16627e-008,1.0348
1.16993e-008,1.0644
1.17360e-008,1.0950
1.17727e-008,1.1291
1.18093e-008,1.1610
1.18460e-008,1.1852
1.18827e-008,1.1999
1.19194e-008,1.2057
1.19561e-008,1.2058
1.19927e-008,1.2039
1.20294e-008,1.2025
1.20661e-008,1.2023
1.21027e-008,1.2027
1.21394e-008,1.2028
1.21761e-008,1.2017
1.22128e-008,1.1998
1.22495e-008,1.1965
1.22861e-008,1.1898
1.23228e-008,1.1761
1.23595e-008,1.1530
1.23961e-008,1.1223
1.24328e-008,1.0918
1.24695e-008,1.0708
1.25062e-008,1.0637
1.25429e-008,1.0666
1.25795e-008,1.0707
1.26162e-008,1.0673
1.26529e-008,1.0532
1.26895e-008,1.0325
1.27262e-008,1.0130
1.27629e-008,1.0016
1.27996e-008,1.0009
1.28363e-008,1.0084
1.28729e-008,1.0184
1.29096e-008,1.0252
1.29463e-008,1.0259
1.29829e-008,1.0208
1.30196e-008,1.0124
1.30563e-008,1.0041
1.30930e-008,0.9985
1.31297e-008,0.9967
1.31663e-008,0.9996
1.32030e-008,1.0053
1.32397e-008,1.0124
1.32763e-008,1.0220
1.33130e-008,1.0274
1.33497e-008,1.0164
1.33864e-008,0.9699
1.34231e-008,0.8722
1.34597e-008,0.7488
1.34964e-008,0.6322
1.35331e-008,0.5360
1.35697e-008,0.4647
1.36064e-008,0.4158
1.36431e-008,0.3828
1.36798e-008,0.3587
1.37165e-008,0.3371
1.37531e-008,0.3177
1.37898e-008,0.3015
1.38265e-008,0.2907
1.38631e-008,0.2861
1.38998e-008,0.2866
1.39365e-008,0.2901
1.39732e-008,0.2949
1.40099e-008,0.2994
1.40465e-008,0.3031
1.40832e-008,0.3051
1.41199e-008,0.3056
1.41565e-008,0.3058
1.41932e-008,0.3112
1.42299e-008,0.3350
1.42666e-008,0.3930
1.43033e-008,0.5049
1.43399e-008,0.6587
1.43766e-008,0.8228
1.44133e-008,0.9457
1.44499e-008,1.0131
1.44866e-008,1.0496
1.45233e-008,1.0773
1.45600e-008,1.1073
1.45967e-008,1.1388
1.46333e-008,1.1663
1.46700e-008,1.1863
1.47067e-008,1.1979
1.47433e-008,1.2021
1.47800e-008,1.2017
1.48167e-008,1.1998
1.48534e-008,1.1985
1.48901e-008,1.1985
1.49267e-008,1.1986
1.49634e-008,1.1981
1.50001e-008,1.1970
1.50368e-008,1.1955
1.50734e-008,1.1928
1.51101e-008,1.1856
1.51468e-008,1.1696
1.51834e-008,1.1432
1.52201e-008,1.1104
1.52568e-008,1.0808
1.52935e-008,1.0637
1.53301e-008,1.0605
1.53668e-008,1.0650
1.54035e-008,1.0674
1.54402e-008,1.0606
1.54769e-008,1.0446
1.55135e-008,1.0251
1.55502e-008,1.0102
1.55869e-008,1.0049
1.56236e-008,1.0095
1.56602e-008,1.0198
1.56969e-008,1.0302
1.57336e-008,1.0360
1.57703e-008,1.0354
1.58069e-008,1.0292
1.58436e-008,1.0203
1.58803e-008,1.0121
1.59169e-008,1.0069
1.59536e-008,1.0054
1.59903e-008,1.0078
1.60270e-008,1.0125
1.60636e-008,1.0195
1.61003e-008,1.0294
1.61370e-008,1.0331
1.61737e-008,1.0163
1.62104e-008,0.9567
1.62470e-008,0.8482
1.62837e-008,0.7234
1.63204e-008,0.6105
1.63571e-008,0.5214
1.63937e-008,0.4573
1.64304e-008,0.4134
1.64671e-008,0.3820
1.65037e-008,0.3557
1.65404e-008,0.3320
1.65771e-008,0.3111
1.66138e-008,0.2952
1.66504e-008,0.2859
1.66871e-008,0.2829
1.67238e-008,0.2846
1.67605e-008,0.2889
1.67972e-008,0.2938
1.68338e-008,0.2981
1.68705e-008,0.3014
1.69072e-008,0.3034
1.69439e-008,0.3044
1.69805e-008,0.3059
1.70172e-008,0.3151
1.70539e-008,0.3451
1.70905e-008,0.4142
1.71272e-008,0.5377
1.71639e-008,0.6965
1.72006e-008,0.8558
1.72372e-008,0.9627
1.72739e-008,1.0195
1.73106e-008,1.0508
1.73473e-008,1.0776
1.73840e-008,1.1086
1.74206e-008,1.1410
1.74573e-008,1.1692
1.74940e-008,1.1889
1.75307e-008,1.1990
1.75673e-008,1.2013
1.76040e-008,1.1992
1.76407e-008,1.1961
1.76773e-008,1.1942
1.77140e-008,1.1943
1.77507e-008,1.1951
1.77874e-008,1.1956
1.78240e-008,1.1955
1.78607e-008,1.1946
1.78974e-008,1.1913
1.79341e-008,1.1827
1.79708e-008,1.1683
1.80074e-008,1.1422
1.80441e-008,1.0970
1.80808e-008,1.0182
1.81175e-008,0.8971
1.81541e-008,0.7620
1.81908e-008,0.6397
1.82275e-008,0.5339
1.82641e-008,0.4419
1.83008e-008,0.3644
1.83375e-008,0.3034
1.83742e-008,0.2624
1.84108e-008,0.2406
1.84475e-008,0.2347
1.84842e-008,0.2378
1.85209e-008,0.2428
1.85576e-008,0.2444
1.85942e-008,0.2401
1.86309e-008,0.2310
1.86676e-008,0.2206
1.87043e-008,0.2130
1.87409e-008,0.2109
1.87776e-008,0.2140
1.88143e-008,0.2199
1.88509e-008,0.2272
1.88876e-008,0.2372
1.89243e-008,0.2535
1.89610e-008,0.2791
1.89976e-008,0.3116
1.90343e-008,0.3433
1.90710e-008,0.3667
1.91077e-008,0.3781
1.91444e-008,0.3804
1.91810e-008,0.3802
1.92177e-008,0.3839
1.92544e-008,0.3925
1.92911e-008,0.4026
1.93277e-008,0.4093
1.93644e-008,0.4092
1.94011e-008,0.4028
1.94377e-008,0.3937
1.94744e-008,0.3863
1.95111e-008,0.3839
1.95478e-008,0.3874
1.95844e-008,0.3953
1.96211e-008,0.4042
1.96578e-008,0.4110
1.96945e-008,0.4138
1.97312e-008,0.4132
1.97678e-008,0.4107
1.98045e-008,0.4102
1.98412e-008,0.4180
1.98779e-008,0.4443
1.99145e-008,0.5068
1.99512e-008,0.6095
1.99879e-008,0.7312
2.00245e-008,0.8461
2.00612e-008,0.9214
2.00979e-008,0.9678
2.01346e-008,0.9982
2.01712e-008,1.0218
2.02079e-008,1.0420
2.02446e-008,1.0604
2.02813e-008,1.0774
2.03179e-008,1.0936
2.03546e-008,1.1083
2.03913e-008,1.1196
2.04280e-008,1.1260
2.04647e-008,1.1270
2.05013e-008,1.1234
2.05380e-008,1.1170
2.05747e-008,1.1102
2.06114e-008,1.1047
2.06480e-008,1.1025
2.06847e-008,1.1024
2.07214e-008,1.0997
2.07580e-008,1.0917
2.07947e-008,1.0770
2.08314e-008,1.0486
2.08681e-008,0.9961
2.09047e-008,0.9013
2.09414e-008,0.7685
2.09781e-008,0.6389
2.10148e-008,0.5324
2.10515e-008,0.4470
2.10881e-008,0.3769
2.11248e-008,0.3206
2.11615e-008,0.2790
2.11982e-008,0.2508
2.12348e-008,0.2349
2.12715e-008,0.2271
2.13082e-008,0.2236
2.13448e-008,0.2212
2.13815e-008,0.2183
2.14182e-008,0.2145
2.14549e-008,0.2109
2.14915e-008,0.2087
2.15282e-008,0.2089
2.15649e-008,0.2117
2.16016e-008,0.2154
2.16383e-008,0.2192
2.16749e-008,0.2244
2.17116e-008,0.2352
2.17483e-008,0.2563
2.17850e-008,0.2887
2.18216e-008,0.3258
2.18583e-008,0.3575
2.18950e-008,0.3762
2.19316e-008,0.3811
2.19683e-008,0.3780
2.20050e-008,0.3761
2.20417e-008,0.3808
2.20783e-008,0.3913
2.21150e-008,0.4026
2.21517e-008,0.4097
2.21884e-008,0.4102
2.22251e-008,0.4054
2.22617e-008,0.3990
2.22984e-008,0.3947
2.23351e-008,0.3948
2.23718e-008,0.3991
2.24084e-008,0.4057
2.24451e-008,0.4121
2.24818e-008,0.4162
2.25184e-008,0.4176
2.25551e-008,0.4168
2.25918e-008,0.4153
2.26285e-008,0.4175
2.26651e-008,0.4296
2.27018e-008,0.4635
2.27385e-008,0.5377
2.27752e-008,0.6451
2.28119e-008,0.7659
2.28485e-008,0.8686
2.28852e-008,0.9342
2.29219e-008,0.9771
2.29586e-008,1.0083
2.29952e-008,1.0333
2.30319e-008,1.0545
2.30686e-008,1.0725
2.31052e-008,1.0893
2.31419e-008,1.1057
2.31786e-008,1.1201
2.32153e-008,1.1305
2.32519e-008,1.1358
2.32886e-008,1.1359
2.33253e-008,1.1314
2.33620e-008,1.1241
2.33987e-008,1.1165
2.34353e-008,1.1107
2.34720e-008,1.1075
2.35087e-008,1.1052
2.35454e-008,1.1000
2.35820e-008,1.0873
2.36187e-008,1.0661
2.36554e-008,1.0405
2.36920e-008,1.0182
2.37287e-008,1.0073
2.37654e-008,1.0091
2.38021e-008,1.0185
2.38387e-008,1.0278
2.38754e-008,1.0310
2.39121e-008,1.0269
2.39488e-008,1.0189
2.39855e-008,1.0116
2.40221e-008,1.0077
2.40588e-008,1.0078
2.40955e-008,1.0101
2.41322e-008,1.0126
2.41688e-008,1.0137
2.42055e-008,1.0132
2.42422e-008,1.0116
2.42788e-008,1.0099
2.43155e-008,1.0084
2.43522e-008,1.0072
2.43889e-008,1.0063
2.44255e-008,1.0067
2.44622e-008,1.0085
2.44989e-008,1.0127
2.45356e-008,1.0216
2.45723e-008,1.0277
2.46089e-008,1.0176
2.46456e-008,0.9699
2.46823e-008,0.8714
2.47190e-008,0.7488
2.47556e-008,0.6327
2.47923e-008,0.5363
2.48290e-008,0.4642
2.48657e-008,0.4143
2.49023e-008,0.3799
2.49390e-008,0.3549
2.49757e-008,0.3342
2.50123e-008,0.3175
2.50490e-008,0.3050
2.50857e-008,0.2975
2.51224e-008,0.2945
2.51590e-008,0.2947
2.51957e-008,0.2963
2.52324e-008,0.2984
2.52691e-008,0.3009
2.53058e-008,0.3040
2.53424e-008,0.3069
2.53791e-008,0.3094
2.54158e-008,0.3118
2.54525e-008,0.3192
2.54891e-008,0.3447
2.55258e-008,0.4050
2.55625e-008,0.5191
2.55991e-008,0.6722
2.56358e-008,0.8329
2.56725e-008,0.9499
2.57092e-008,1.0143
2.57458e-008,1.0504
2.57825e-008,1.0787
2.58192e-008,1.1093
2.58559e-008,1.1402
2.58926e-008,1.1667
2.59292e-008,1.1854
2.59659e-008,1.1954
2.60026e-008,1.1980
2.60393e-008,1.1960
2.60759e-008,1.1928
2.61126e-008,1.1909
2.61493e-008,1.1910
2.61859e-008,1.1919
2.62226e-008,1.1926
2.62593e-008,1.1926
2.62960e-008,1.1918
2.63326e-008,1.1892
2.63693e-008,1.1813
2.64060e-008,1.1642
2.64427e-008,1.1368
2.64794e-008,1.1040
2.65160e-008,1.0759
2.65527e-008,1.0612
2.65894e-008,1.0601
2.66261e-008,1.0654
2.66627e-008,1.0671
2.66994e-008,1.0587
2.67361e-008,1.0413
2.67727e-008,1.0214
2.68094e-008,1.0070
2.68461e-008,1.0027
2.68828e-008,1.0083
2.69194e-008,1.0194
2.69561e-008,1.0300
2.69928e-008,1.0358
2.70295e-008,1.0348
2.70662e-008,1.0279
2.71028e-008,1.0183
2.71395e-008,1.0096
2.71762e-008,1.0042
2.72129e-008,1.0028
2.72495e-008,1.0046
2.72862e-008,1.0084
2.73229e-008,1.0135
2.73595e-008,1.0197
2.73962e-008,1.0269
2.74329e-008,1.0345
2.74696e-008,1.0419
2.75062e-008,1.0490
2.75429e-008,1.0567
2.75796e-008,1.0658
2.76163e-008,1.0765
2.76530e-008,1.0875
2.76896e-008,1.0962
2.77263e-008,1.1002
2.77630e-008,1.0983
2.77997e-008,1.0916
2.78363e-008,1.0833
2.78730e-008,1.0768
2.79097e-008,1.0745
2.79463e-008,1.0766
2.79830e-008,1.0818
2.80197e-008,1.0881
2.80564e-008,1.0931
2.80930e-008,1.0952
2.81297e-008,1.0945
2.81664e-008,1.0919
