.HEADER
..NAMES
Time,V U1.W14
.DATA
0.0e+000,1.0941
3.67e-011,1.0942
7.33e-011,1.0952
1.100e-010,1.0968
1.467e-010,1.1015
1.834e-010,1.1029
2.201e-010,1.0898
2.567e-010,1.0432
2.934e-010,0.9466
3.301e-010,0.8192
3.667e-010,0.6900
4.034e-010,0.5767
4.401e-010,0.4887
4.768e-010,0.4265
5.135e-010,0.3841
5.501e-010,0.3555
5.868e-010,0.3348
6.235e-010,0.3202
6.601e-010,0.3100
6.968e-010,0.3033
7.335e-010,0.2989
7.702e-010,0.2958
8.068e-010,0.2932
8.435e-010,0.2906
8.802e-010,0.2880
9.169e-010,0.2862
9.536e-010,0.2863
9.902e-010,0.2894
1.0269e-009,0.2958
1.0636e-009,0.3067
1.1003e-009,0.3236
1.1369e-009,0.3473
1.1736e-009,0.3747
1.2103e-009,0.3997
1.2469e-009,0.4163
1.2836e-009,0.4206
1.3203e-009,0.4144
1.3570e-009,0.4035
1.3936e-009,0.3960
1.4303e-009,0.3962
1.4670e-009,0.4038
1.5037e-009,0.4148
1.5403e-009,0.4234
1.5770e-009,0.4261
1.6137e-009,0.4227
1.6504e-009,0.4164
1.6871e-009,0.4111
1.7237e-009,0.4096
1.7604e-009,0.4124
1.7971e-009,0.4184
1.8338e-009,0.4249
1.8704e-009,0.4291
1.9071e-009,0.4299
1.9438e-009,0.4276
1.9805e-009,0.4239
2.0171e-009,0.4193
2.0538e-009,0.4135
2.0905e-009,0.4058
2.1272e-009,0.3963
2.1638e-009,0.3863
2.2005e-009,0.3768
2.2372e-009,0.3683
2.2738e-009,0.3603
2.3105e-009,0.3519
2.3472e-009,0.3424
2.3839e-009,0.3326
2.4205e-009,0.3241
2.4572e-009,0.3192
2.4939e-009,0.3191
2.5306e-009,0.3232
2.5672e-009,0.3292
2.6039e-009,0.3341
2.6406e-009,0.3356
2.6773e-009,0.3332
2.7139e-009,0.3280
2.7506e-009,0.3223
2.7873e-009,0.3182
2.8240e-009,0.3168
2.8606e-009,0.3176
2.8973e-009,0.3194
2.9340e-009,0.3232
2.9707e-009,0.3347
3.0073e-009,0.3652
3.0440e-009,0.4322
3.0807e-009,0.5338
3.1174e-009,0.6577
3.1540e-009,0.7719
3.1907e-009,0.8564
3.2274e-009,0.9193
3.2641e-009,0.9686
3.3007e-009,1.0089
3.3374e-009,1.0410
3.3741e-009,1.0635
3.4108e-009,1.0778
3.4475e-009,1.0864
3.4841e-009,1.0916
3.5208e-009,1.0952
3.5575e-009,1.0987
3.5942e-009,1.1025
3.6308e-009,1.1060
3.6675e-009,1.1082
3.7042e-009,1.1082
3.7408e-009,1.1057
3.7775e-009,1.1017
3.8142e-009,1.0949
3.8509e-009,1.0841
3.8875e-009,1.0709
3.9242e-009,1.0524
3.9609e-009,1.0198
3.9976e-009,0.9580
4.0342e-009,0.8487
4.0709e-009,0.7126
4.1076e-009,0.5890
4.1443e-009,0.4885
4.1809e-009,0.4073
4.2176e-009,0.3415
4.2543e-009,0.2912
4.2910e-009,0.2559
4.3276e-009,0.2360
4.3643e-009,0.2273
4.4010e-009,0.2253
4.4377e-009,0.2246
4.4743e-009,0.2220
4.5110e-009,0.2171
4.5477e-009,0.2111
4.5844e-009,0.2055
4.6211e-009,0.2019
4.6577e-009,0.2008
4.6944e-009,0.2025
4.7311e-009,0.2074
4.7678e-009,0.2159
4.8044e-009,0.2291
4.8411e-009,0.2573
4.8778e-009,0.3128
4.9145e-009,0.4126
4.9511e-009,0.5558
4.9878e-009,0.7178
5.0245e-009,0.8562
5.0612e-009,0.9438
5.0978e-009,1.0002
5.1345e-009,1.0472
5.1712e-009,1.0941
5.2079e-009,1.1380
5.2445e-009,1.1710
5.2812e-009,1.1888
5.3179e-009,1.1937
5.3546e-009,1.1914
5.3912e-009,1.1886
5.4279e-009,1.1899
5.4646e-009,1.1962
5.5013e-009,1.2054
5.5379e-009,1.2146
5.5746e-009,1.2207
5.6113e-009,1.2217
5.6480e-009,1.2165
5.6846e-009,1.2068
5.7213e-009,1.1918
5.7580e-009,1.1726
5.7947e-009,1.1485
5.8313e-009,1.1122
5.8680e-009,1.0539
5.9047e-009,0.9549
5.9414e-009,0.8229
5.9780e-009,0.6915
6.0147e-009,0.5735
6.0514e-009,0.4706
6.0881e-009,0.3825
6.1247e-009,0.3126
6.1614e-009,0.2637
6.1981e-009,0.2379
6.2348e-009,0.2311
6.2714e-009,0.2357
6.3081e-009,0.2421
6.3448e-009,0.2436
6.3815e-009,0.2379
6.4181e-009,0.2268
6.4548e-009,0.2141
6.4915e-009,0.2037
6.5282e-009,0.1980
6.5648e-009,0.1981
6.6015e-009,0.2035
6.6382e-009,0.2131
6.6749e-009,0.2259
6.7115e-009,0.2497
6.7482e-009,0.2967
6.7849e-009,0.3841
6.8215e-009,0.5184
6.8582e-009,0.6789
6.8949e-009,0.8281
6.9316e-009,0.9277
6.9682e-009,0.9916
7.0049e-009,1.0400
7.0416e-009,1.0857
7.0783e-009,1.1288
7.1149e-009,1.1625
7.1516e-009,1.1812
7.1883e-009,1.1861
7.2250e-009,1.1827
7.2616e-009,1.1782
7.2983e-009,1.1779
7.3350e-009,1.1831
7.3717e-009,1.1923
7.4083e-009,1.2022
7.4450e-009,1.2095
7.4817e-009,1.2121
7.5184e-009,1.2086
7.5550e-009,1.2006
7.5917e-009,1.1869
7.6284e-009,1.1687
7.6651e-009,1.1469
7.7018e-009,1.1150
7.7384e-009,1.0637
7.7751e-009,0.9745
7.8118e-009,0.8475
7.8484e-009,0.7150
7.8851e-009,0.5941
