.HEADER
..NAMES
Time,V U1.AB13
.DATA
0.0e+000,1.0941
3.67e-011,1.0942
7.33e-011,1.0951
1.100e-010,1.0968
1.467e-010,1.1014
1.834e-010,1.1028
2.201e-010,1.0897
2.567e-010,1.0436
2.934e-010,0.9484
3.301e-010,0.8232
3.667e-010,0.6961
4.034e-010,0.5836
4.401e-010,0.4948
4.768e-010,0.4310
5.135e-010,0.3872
5.501e-010,0.3579
5.868e-010,0.3373
6.235e-010,0.3233
6.601e-010,0.3135
6.968e-010,0.3067
7.335e-010,0.3019
7.702e-010,0.2984
8.068e-010,0.2957
8.435e-010,0.2932
8.802e-010,0.2913
9.169e-010,0.2913
9.536e-010,0.2948
9.902e-010,0.3040
1.0269e-009,0.3181
1.0636e-009,0.3381
1.1003e-009,0.3747
1.1369e-009,0.4427
1.1736e-009,0.5604
1.2103e-009,0.7108
1.2469e-009,0.8625
1.2836e-009,0.9680
1.3203e-009,1.0215
1.3570e-009,1.0496
1.3936e-009,1.0729
1.4303e-009,1.1016
1.4670e-009,1.1345
1.5037e-009,1.1659
1.5403e-009,1.1905
1.5770e-009,1.2049
1.6137e-009,1.2088
1.6504e-009,1.2055
1.6871e-009,1.1998
1.7237e-009,1.1960
1.7604e-009,1.1966
1.7971e-009,1.2005
1.8338e-009,1.2036
1.8704e-009,1.2000
1.9071e-009,1.1870
1.9438e-009,1.1659
1.9805e-009,1.1393
2.0171e-009,1.1098
2.0538e-009,1.0787
2.0905e-009,1.0512
2.1272e-009,1.0347
2.1638e-009,1.0328
2.2005e-009,1.0416
2.2372e-009,1.0528
2.2738e-009,1.0572
2.3105e-009,1.0495
2.3472e-009,1.0307
2.3839e-009,1.0071
2.4205e-009,0.9877
2.4572e-009,0.9796
2.4939e-009,0.9850
2.5306e-009,1.0002
2.5672e-009,1.0178
2.6039e-009,1.0303
2.6406e-009,1.0336
2.6773e-009,1.0275
2.7139e-009,1.0155
2.7506e-009,1.0031
2.7873e-009,0.9954
2.8240e-009,0.9950
2.8606e-009,1.0016
2.8973e-009,1.0124
2.9340e-009,1.0259
2.9707e-009,1.0410
3.0073e-009,1.0477
3.0440e-009,1.0326
3.0807e-009,0.9752
3.1174e-009,0.8715
3.1540e-009,0.7519
3.1907e-009,0.6388
3.2274e-009,0.5439
3.2641e-009,0.4710
3.3007e-009,0.4193
3.3374e-009,0.3828
3.3741e-009,0.3539
3.4108e-009,0.3297
3.4475e-009,0.3087
3.4841e-009,0.2926
3.5208e-009,0.2832
3.5575e-009,0.2807
3.5942e-009,0.2840
3.6308e-009,0.2901
3.6675e-009,0.2958
3.7042e-009,0.2994
3.7408e-009,0.3019
3.7775e-009,0.3059
3.8142e-009,0.3141
3.8509e-009,0.3263
3.8875e-009,0.3475
3.9242e-009,0.3902
3.9609e-009,0.4713
3.9976e-009,0.6016
4.0342e-009,0.7546
4.0709e-009,0.8964
4.1076e-009,0.9823
4.1443e-009,1.0258
4.1809e-009,1.0528
4.2176e-009,1.0811
4.2543e-009,1.1153
4.2910e-009,1.1508
4.3276e-009,1.1813
4.3643e-009,1.2018
4.4010e-009,1.2107
4.4377e-009,1.2102
4.4743e-009,1.2045
4.5110e-009,1.1984
4.5477e-009,1.1955
4.5844e-009,1.1974
4.6211e-009,1.2021
4.6577e-009,1.2044
4.6944e-009,1.1989
4.7311e-009,1.1839
4.7678e-009,1.1611
4.8044e-009,1.1332
4.8411e-009,1.1020
4.8778e-009,1.0696
4.9145e-009,1.0431
4.9511e-009,1.0301
4.9878e-009,1.0322
5.0245e-009,1.0438
5.0612e-009,1.0553
5.0978e-009,1.0574
5.1345e-009,1.0463
5.1712e-009,1.0249
5.2079e-009,1.0012
5.2445e-009,0.9843
5.2812e-009,0.9805
5.3179e-009,0.9899
5.3546e-009,1.0072
5.3912e-009,1.0239
5.4279e-009,1.0334
5.4646e-009,1.0330
5.5013e-009,1.0241
5.5379e-009,1.0111
5.5746e-009,0.9996
5.6113e-009,0.9941
5.6480e-009,0.9963
5.6846e-009,1.0046
5.7213e-009,1.0164
5.7580e-009,1.0310
5.7947e-009,1.0453
5.8313e-009,1.0478
5.8680e-009,1.0238
5.9047e-009,0.9524
5.9414e-009,0.8405
5.9780e-009,0.7205
6.0147e-009,0.6107
6.0514e-009,0.5214
6.0881e-009,0.4547
6.1247e-009,0.4083
6.1614e-009,0.3743
6.1981e-009,0.3476
6.2348e-009,0.3241
6.2714e-009,0.3044
6.3081e-009,0.2901
6.3448e-009,0.2826
6.3815e-009,0.2821
6.4181e-009,0.2865
6.4548e-009,0.2927
6.4915e-009,0.2977
6.5282e-009,0.3004
6.5648e-009,0.3026
6.6015e-009,0.3073
6.6382e-009,0.3169
6.6749e-009,0.3306
6.7115e-009,0.3487
6.7482e-009,0.3723
6.7849e-009,0.3983
6.8215e-009,0.4205
6.8582e-009,0.4330
6.8949e-009,0.4325
6.9316e-009,0.4206
6.9682e-009,0.4036
7.0049e-009,0.3901
7.0416e-009,0.3861
7.0783e-009,0.3925
7.1149e-009,0.4059
7.1516e-009,0.4199
7.1883e-009,0.4286
7.2250e-009,0.4290
7.2616e-009,0.4222
7.2983e-009,0.4122
7.3350e-009,0.4034
7.3717e-009,0.3994
7.4083e-009,0.4014
7.4450e-009,0.4080
7.4817e-009,0.4155
7.5184e-009,0.4203
7.5550e-009,0.4205
7.5917e-009,0.4157
7.6284e-009,0.4068
7.6651e-009,0.3957
7.7018e-009,0.3844
7.7384e-009,0.3741
7.7751e-009,0.3655
7.8118e-009,0.3584
7.8484e-009,0.3522
7.8851e-009,0.3462
