.HEADER
..NAMES
Time,V U1.AE16
.DATA
0.0e+000,0.3238
3.67e-011,0.3238
7.33e-011,0.3238
1.100e-010,0.3251
1.467e-010,0.3330
1.834e-010,0.3577
2.201e-010,0.4158
2.567e-010,0.5127
2.934e-010,0.6355
3.301e-010,0.7592
3.667e-010,0.8521
4.034e-010,0.9187
4.401e-010,0.9676
4.768e-010,1.0057
5.135e-010,1.0369
5.501e-010,1.0623
5.868e-010,1.0808
6.235e-010,1.0941
6.601e-010,1.1035
6.968e-010,1.1103
7.335e-010,1.1150
7.702e-010,1.1186
8.068e-010,1.1207
8.435e-010,1.1214
8.802e-010,1.1203
9.169e-010,1.1175
9.536e-010,1.1140
9.902e-010,1.1107
1.0269e-009,1.1076
1.0636e-009,1.1028
1.1003e-009,1.0932
1.1369e-009,1.0771
1.1736e-009,1.0569
1.2103e-009,1.0390
1.2469e-009,1.0297
1.2836e-009,1.0302
1.3203e-009,1.0353
1.3570e-009,1.0384
1.3936e-009,1.0365
1.4303e-009,1.0312
1.4670e-009,1.0257
1.5037e-009,1.0223
1.5403e-009,1.0217
1.5770e-009,1.0236
1.6137e-009,1.0265
1.6504e-009,1.0285
1.6871e-009,1.0285
1.7237e-009,1.0266
1.7604e-009,1.0237
1.7971e-009,1.0212
1.8338e-009,1.0202
1.8704e-009,1.0211
1.9071e-009,1.0237
1.9438e-009,1.0265
1.9805e-009,1.0287
2.0171e-009,1.0327
2.0538e-009,1.0349
2.0905e-009,1.0247
2.1272e-009,0.9847
2.1638e-009,0.8959
2.2005e-009,0.7768
2.2372e-009,0.6576
2.2738e-009,0.5530
2.3105e-009,0.4722
2.3472e-009,0.4171
2.3839e-009,0.3816
2.4205e-009,0.3574
2.4572e-009,0.3396
2.4939e-009,0.3262
2.5306e-009,0.3158
2.5672e-009,0.3079
2.6039e-009,0.3027
2.6406e-009,0.2995
2.6773e-009,0.2977
2.7139e-009,0.2969
2.7506e-009,0.2971
2.7873e-009,0.2986
2.8240e-009,0.3012
2.8606e-009,0.3044
2.8973e-009,0.3074
2.9340e-009,0.3116
2.9707e-009,0.3278
3.0073e-009,0.3706
3.0440e-009,0.4624
3.0807e-009,0.6018
3.1174e-009,0.7644
3.1540e-009,0.9011
3.1907e-009,0.9868
3.2274e-009,1.0371
3.2641e-009,1.0703
3.3007e-009,1.0983
3.3374e-009,1.1260
3.3741e-009,1.1509
3.4108e-009,1.1699
3.4475e-009,1.1817
3.4841e-009,1.1873
3.5208e-009,1.1889
3.5575e-009,1.1897
3.5942e-009,1.1912
3.6308e-009,1.1937
3.6675e-009,1.1962
3.7042e-009,1.1969
3.7408e-009,1.1946
3.7775e-009,1.1900
3.8142e-009,1.1855
3.8509e-009,1.1816
3.8875e-009,1.1792
3.9242e-009,1.1726
3.9609e-009,1.1488
3.9976e-009,1.0919
4.0342e-009,0.9819
4.0709e-009,0.8336
4.1076e-009,0.6870
4.1443e-009,0.5618
4.1809e-009,0.4621
4.2176e-009,0.3874
4.2543e-009,0.3346
4.2910e-009,0.2974
4.3276e-009,0.2734
4.3643e-009,0.2590
4.4010e-009,0.2516
4.4377e-009,0.2476
4.4743e-009,0.2439
4.5110e-009,0.2387
4.5477e-009,0.2320
4.5844e-009,0.2252
4.6211e-009,0.2205
4.6577e-009,0.2200
4.6944e-009,0.2245
4.7311e-009,0.2320
4.7678e-009,0.2381
4.8044e-009,0.2405
4.8411e-009,0.2410
4.8778e-009,0.2461
4.9145e-009,0.2638
4.9511e-009,0.2962
4.9878e-009,0.3343
5.0245e-009,0.3643
5.0612e-009,0.3787
5.0978e-009,0.3796
5.1345e-009,0.3763
5.1712e-009,0.3754
5.2079e-009,0.3785
5.2445e-009,0.3845
5.2812e-009,0.3908
5.3179e-009,0.3948
5.3546e-009,0.3951
5.3912e-009,0.3927
5.4279e-009,0.3898
5.4646e-009,0.3886
5.5013e-009,0.3899
5.5379e-009,0.3933
5.5746e-009,0.3975
5.6113e-009,0.4004
5.6480e-009,0.4004
5.6846e-009,0.3980
5.7213e-009,0.3961
5.7580e-009,0.4024
5.7947e-009,0.4260
5.8313e-009,0.4805
5.8680e-009,0.5777
5.9047e-009,0.6962
5.9414e-009,0.8138
5.9780e-009,0.8966
6.0147e-009,0.9485
6.0514e-009,0.9853
6.0881e-009,1.0160
6.1247e-009,1.0434
6.1614e-009,1.0668
6.1981e-009,1.0849
6.2348e-009,1.0977
6.2714e-009,1.1067
6.3081e-009,1.1134
6.3448e-009,1.1188
6.3815e-009,1.1228
6.4181e-009,1.1253
6.4548e-009,1.1258
6.4915e-009,1.1237
6.5282e-009,1.1195
6.5648e-009,1.1148
6.6015e-009,1.1126
6.6382e-009,1.1117
6.6749e-009,1.1101
6.7115e-009,1.1059
6.7482e-009,1.0899
6.7849e-009,1.0508
6.8215e-009,0.9727
6.8582e-009,0.8465
6.8949e-009,0.7059
6.9316e-009,0.5840
6.9682e-009,0.4851
7.0049e-009,0.4064
7.0416e-009,0.3472
7.0783e-009,0.3042
7.1149e-009,0.2752
7.1516e-009,0.2570
7.1883e-009,0.2473
7.2250e-009,0.2422
7.2616e-009,0.2386
7.2983e-009,0.2341
7.3350e-009,0.2284
7.3717e-009,0.2222
7.4083e-009,0.2173
7.4450e-009,0.2157
7.4817e-009,0.2188
7.5184e-009,0.2254
7.5550e-009,0.2320
7.5917e-009,0.2352
7.6284e-009,0.2360
7.6651e-009,0.2476
7.7018e-009,0.2877
7.7384e-009,0.3818
7.7751e-009,0.5317
7.8118e-009,0.7111
7.8484e-009,0.8602
7.8851e-009,0.9534
7.9218e-009,1.0086
7.9585e-009,1.0469
7.9952e-009,1.0807
8.0318e-009,1.1132
8.0685e-009,1.1411
8.1052e-009,1.1615
8.1418e-009,1.1733
8.1785e-009,1.1782
8.2152e-009,1.1798
8.2519e-009,1.1814
8.2886e-009,1.1846
8.3252e-009,1.1892
8.3619e-009,1.1934
8.3986e-009,1.1950
8.4352e-009,1.1923
8.4719e-009,1.1863
8.5086e-009,1.1806
8.5453e-009,1.1778
8.5820e-009,1.1791
8.6186e-009,1.1765
8.6553e-009,1.1542
8.6920e-009,1.0925
8.7286e-009,0.9711
8.7653e-009,0.8126
8.8020e-009,0.6623
8.8387e-009,0.5406
8.8754e-009,0.4484
8.9120e-009,0.3806
8.9487e-009,0.3317
8.9854e-009,0.2963
9.0220e-009,0.2719
9.0587e-009,0.2569
9.0954e-009,0.2494
9.1321e-009,0.2460
9.1688e-009,0.2433
9.2054e-009,0.2393
9.2421e-009,0.2333
9.2788e-009,0.2267
9.3154e-009,0.2215
9.3521e-009,0.2204
9.3888e-009,0.2247
9.4255e-009,0.2326
9.4622e-009,0.2394
9.4988e-009,0.2421
9.5355e-009,0.2420
9.5722e-009,0.2459
9.6088e-009,0.2629
9.6455e-009,0.2955
9.6822e-009,0.3346
9.7189e-009,0.3650
9.7556e-009,0.3787
9.7922e-009,0.3782
9.8289e-009,0.3743
9.8656e-009,0.3736
9.9022e-009,0.3777
9.9389e-009,0.3846
9.9756e-009,0.3915
1.00123e-008,0.3955
1.00490e-008,0.3954
1.00856e-008,0.3924
1.01223e-008,0.3891
1.01590e-008,0.3877
1.01956e-008,0.3891
1.02323e-008,0.3929
1.02690e-008,0.3976
1.03057e-008,0.4008
1.03424e-008,0.4007
1.03790e-008,0.3979
1.04157e-008,0.3949
