.HEADER
..NAMES
Time,V U1.AD15&AE15
.DATA
0.0e+000,-0.7879
3.67e-011,-0.7879
7.33e-011,-0.7879
1.100e-010,-0.7879
1.467e-010,-0.7879
1.834e-010,-0.7879
2.201e-010,-0.7879
2.567e-010,-0.7879
2.934e-010,-0.7879
3.301e-010,-0.7879
3.667e-010,-0.7879
4.034e-010,-0.7879
4.401e-010,-0.7879
4.768e-010,-0.7879
5.135e-010,-0.7879
5.501e-010,-0.7877
5.868e-010,-0.7871
6.235e-010,-0.7799
6.601e-010,-0.7567
6.968e-010,-0.7029
7.335e-010,-0.6076
7.702e-010,-0.4658
8.068e-010,-0.2829
8.435e-010,-0.0732
8.802e-010,0.1382
9.169e-010,0.3283
9.536e-010,0.5171
9.902e-010,0.6458
1.0269e-009,0.7130
1.0636e-009,0.7505
1.1003e-009,0.7793
1.1369e-009,0.7997
1.1736e-009,0.7709
1.2103e-009,0.6697
1.2469e-009,0.4791
1.2836e-009,0.2310
1.3203e-009,-0.0416
1.3570e-009,-0.2910
1.3936e-009,-0.4892
1.4303e-009,-0.6406
1.4670e-009,-0.7570
1.5037e-009,-0.8995
1.5403e-009,-0.9866
1.5770e-009,-1.0235
1.6137e-009,-1.0289
1.6504e-009,-0.9932
1.6871e-009,-0.9009
1.7237e-009,-0.7462
1.7604e-009,-0.5518
1.7971e-009,-0.3426
1.8338e-009,-0.1332
1.8704e-009,0.0742
1.9071e-009,0.3356
1.9438e-009,0.5143
1.9805e-009,0.6421
2.0171e-009,0.7322
2.0538e-009,0.7890
2.0905e-009,0.7828
2.1272e-009,0.7106
2.1638e-009,0.5691
2.2005e-009,0.3709
2.2372e-009,0.1347
2.2738e-009,-0.1227
2.3105e-009,-0.3517
2.3472e-009,-0.5317
2.3839e-009,-0.6621
2.4205e-009,-0.7666
2.4572e-009,-0.8874
2.4939e-009,-0.9312
2.5306e-009,-0.9359
2.5672e-009,-0.9076
2.6039e-009,-0.8285
2.6406e-009,-0.6820
2.6773e-009,-0.4690
2.7139e-009,-0.2190
2.7506e-009,0.0347
2.7873e-009,0.2686
2.8240e-009,0.4940
2.8606e-009,0.6802
2.8973e-009,0.7960
2.9340e-009,0.8759
2.9707e-009,0.9297
3.0073e-009,0.9594
3.0440e-009,0.9287
3.0807e-009,0.8379
3.1174e-009,0.6782
3.1540e-009,0.4555
3.1907e-009,0.1766
3.2274e-009,-0.1146
3.2641e-009,-0.3627
3.3007e-009,-0.5482
3.3374e-009,-0.6779
3.3741e-009,-0.8132
3.4108e-009,-0.9074
3.4475e-009,-0.9428
3.4841e-009,-0.9424
3.5208e-009,-0.8961
3.5575e-009,-0.7895
3.5942e-009,-0.6138
3.6308e-009,-0.3876
3.6675e-009,-0.1393
3.7042e-009,0.1056
3.7408e-009,0.3315
3.7775e-009,0.5646
3.8142e-009,0.7207
3.8509e-009,0.8226
3.8875e-009,0.8965
3.9242e-009,0.9509
3.9609e-009,0.9586
3.9976e-009,0.9042
4.0342e-009,0.7813
4.0709e-009,0.5919
4.1076e-009,0.3468
4.1443e-009,0.0598
4.1809e-009,-0.2140
4.2176e-009,-0.4373
4.2543e-009,-0.6010
4.2910e-009,-0.7193
4.3276e-009,-0.8640
4.3643e-009,-0.9255
4.4010e-009,-0.9433
4.4377e-009,-0.9255
4.4743e-009,-0.8556
4.5110e-009,-0.7195
4.5477e-009,-0.5176
4.5844e-009,-0.2779
4.6211e-009,-0.0291
4.6577e-009,0.2072
4.6944e-009,0.4365
4.7311e-009,0.6427
4.7678e-009,0.7711
4.8044e-009,0.8597
4.8411e-009,0.9229
4.8778e-009,0.9651
4.9145e-009,0.9493
4.9511e-009,0.8714
4.9878e-009,0.7230
5.0245e-009,0.5106
5.0612e-009,0.2411
5.0978e-009,-0.0518
5.1345e-009,-0.3106
5.1712e-009,-0.5098
5.2079e-009,-0.6521
5.2445e-009,-0.7865
5.2812e-009,-0.8945
5.3179e-009,-0.9353
5.3546e-009,-0.9404
5.3912e-009,-0.9035
5.4279e-009,-0.8084
5.4646e-009,-0.6426
5.5013e-009,-0.4201
5.5379e-009,-0.1722
5.5746e-009,0.0730
5.6113e-009,0.3003
5.6480e-009,0.5357
5.6846e-009,0.7022
5.7213e-009,0.8104
5.7580e-009,0.8876
5.7947e-009,0.9441
5.8313e-009,0.9639
5.8680e-009,0.9230
5.9047e-009,0.8157
5.9414e-009,0.6390
5.9780e-009,0.4022
6.0147e-009,0.1156
6.0514e-009,-0.1675
6.0881e-009,-0.4025
6.1247e-009,-0.5765
6.1614e-009,-0.6999
6.1981e-009,-0.8464
6.2348e-009,-0.9183
6.2714e-009,-0.9416
6.3081e-009,-0.9305
6.3448e-009,-0.8700
6.3815e-009,-0.7458
6.4181e-009,-0.5529
6.4548e-009,-0.3172
6.4915e-009,-0.0674
6.5282e-009,0.1718
6.5648e-009,0.3880
6.6015e-009,0.6157
6.6382e-009,0.7535
6.6749e-009,0.8463
6.7115e-009,0.9137
6.7482e-009,0.9614
6.7849e-009,0.9537
6.8215e-009,0.8857
6.8582e-009,0.7481
6.8949e-009,0.5455
6.9316e-009,0.2852
6.9682e-009,-0.0075
7.0049e-009,-0.2737
7.0416e-009,-0.4831
7.0783e-009,-0.6341
7.1149e-009,-0.7608
7.1516e-009,-0.8849
7.1883e-009,-0.9330
7.2250e-009,-0.9423
7.2616e-009,-0.9121
7.2983e-009,-0.8262
7.3350e-009,-0.6713
7.3717e-009,-0.4564
7.4083e-009,-0.2113
7.4450e-009,0.0354
7.4817e-009,0.2667
7.5184e-009,0.4986
7.5550e-009,0.6805
7.5917e-009,0.7959
7.6284e-009,0.8772
7.6651e-009,0.9362
7.7018e-009,0.9653
7.7384e-009,0.9328
7.7751e-009,0.8359
7.8118e-009,0.6686
7.8484e-009,0.4410
7.8851e-009,0.1609
7.9218e-009,-0.1266
7.9585e-009,-0.3704
7.9952e-009,-0.5540
8.0318e-009,-0.6838
8.0685e-009,-0.8302
8.1052e-009,-0.9126
8.1418e-009,-0.9412
8.1785e-009,-0.9355
8.2152e-009,-0.8835
8.2519e-009,-0.7698
8.2886e-009,-0.5861
8.3252e-009,-0.3550
8.3619e-009,-0.1055
8.3986e-009,0.1363
8.4352e-009,0.3565
8.4719e-009,0.5897
8.5086e-009,0.7358
8.5453e-009,0.8335
8.5820e-009,0.9050
8.6186e-009,0.9562
8.6553e-009,0.9582
8.6920e-009,0.9002
8.7286e-009,0.7734
8.7653e-009,0.5798
8.8020e-009,0.3274
8.8387e-009,0.0350
8.8754e-009,-0.2380
8.9120e-009,-0.4565
8.9487e-009,-0.6145
8.9854e-009,-0.7383
9.0220e-009,-0.8731
9.0587e-009,-0.9288
9.0954e-009,-0.9435
9.1321e-009,-0.9214
9.1688e-009,-0.8449
9.2054e-009,-0.7007
9.2421e-009,-0.4926
9.2788e-009,-0.2498
9.3154e-009,-0.0015
9.3521e-009,0.2324
9.3888e-009,0.4644
9.4255e-009,0.6588
9.4622e-009,0.7808
9.4988e-009,0.8664
9.5355e-009,0.9265
9.5722e-009,0.9642
9.6088e-009,0.9410
9.6455e-009,0.8547
9.6822e-009,0.6981
9.7189e-009,0.4793
9.7556e-009,0.2050
9.7922e-009,-0.0857
9.8289e-009,-0.3380
9.8656e-009,-0.5304
9.9022e-009,-0.6671
9.9389e-009,-0.8057
9.9756e-009,-0.9034
1.00123e-008,-0.9389
1.00490e-008,-0.9392
1.00856e-008,-0.8954
1.01223e-008,-0.7923
1.01590e-008,-0.6188
1.01956e-008,-0.3927
1.02323e-008,-0.1442
1.02690e-008,0.0998
1.03057e-008,0.3244
1.03424e-008,0.5585
1.03790e-008,0.7165
1.04157e-008,0.8202
1.04524e-008,0.8950
1.04890e-008,0.9508
1.05257e-008,0.9618
1.05624e-008,0.9127
1.05991e-008,0.7964
1.06358e-008,0.6119
1.06724e-008,0.3685
1.07091e-008,0.0793
1.07458e-008,-0.1993
1.07824e-008,-0.4273
1.08191e-008,-0.5943
1.08558e-008,-0.7130
1.08925e-008,-0.8589
1.09292e-008,-0.9238
1.09658e-008,-0.9434
1.10025e-008,-0.9276
1.10392e-008,-0.8602
1.10758e-008,-0.7272
1.11125e-008,-0.5274
1.11492e-008,-0.2886
1.11859e-008,-0.0394
1.12226e-008,0.1978
1.12592e-008,0.4199
1.12959e-008,0.6340
1.13326e-008,0.7651
1.13693e-008,0.8545
1.14059e-008,0.9186
1.14426e-008,0.9625
1.14793e-008,0.9482
1.15159e-008,0.8721
1.15526e-008,0.7257
1.15893e-008,0.5155
1.16260e-008,0.2488
1.16627e-008,-0.0432
1.16993e-008,-0.3034
1.17360e-008,-0.5051
1.17727e-008,-0.6499
1.18093e-008,-0.7793
1.18460e-008,-0.8937
1.18827e-008,-0.9363
1.19194e-008,-0.9416
1.19561e-008,-0.9058
1.19927e-008,-0.8126
1.20294e-008,-0.6497
1.20661e-008,-0.4296
1.21027e-008,-0.1826
1.21394e-008,0.0632
1.21761e-008,0.2917
1.22128e-008,0.5292
1.22495e-008,0.6974
1.22861e-008,0.8066
1.23228e-008,0.8845
1.23595e-008,0.9421
1.23961e-008,0.9636
1.24328e-008,0.9241
1.24695e-008,0.8184
1.25062e-008,0.6432
1.25429e-008,0.4084
1.25795e-008,0.1240
1.26162e-008,-0.1597
1.26529e-008,-0.3966
1.26895e-008,-0.5730
1.27262e-008,-0.6980
1.27629e-008,-0.8445
1.27996e-008,-0.9184
1.28363e-008,-0.9429
1.28729e-008,-0.9334
1.29096e-008,-0.8747
1.29463e-008,-0.7526
1.29829e-008,-0.5613
1.30196e-008,-0.3265
1.30563e-008,-0.0772
1.30930e-008,0.1623
1.31297e-008,0.3794
1.31663e-008,0.6095
1.32030e-008,0.7490
1.32397e-008,0.8429
1.32763e-008,0.9111
1.33130e-008,0.9587
1.33497e-008,0.9534
1.33864e-008,0.8877
1.34231e-008,0.7523
1.34597e-008,0.5514
1.34964e-008,0.2925
1.35331e-008,-0.0004
1.35697e-008,-0.2679
1.36064e-008,-0.4789
1.36431e-008,-0.6311
1.36798e-008,-0.7588
1.37165e-008,-0.8832
1.37531e-008,-0.9329
1.37898e-008,-0.9435
1.38265e-008,-0.9152
1.38631e-008,-0.8317
1.38998e-008,-0.6793
1.39365e-008,-0.4656
1.39732e-008,-0.2208
1.40099e-008,0.0265
1.40465e-008,0.2584
1.40832e-008,0.4917
1.41199e-008,0.6753
1.41565e-008,0.7918
1.41932e-008,0.8741
1.42299e-008,0.9341
1.42666e-008,0.9647
1.43033e-008,0.9338
1.43399e-008,0.8390
1.43766e-008,0.6737
1.44133e-008,0.4479
1.44499e-008,0.1687
1.44866e-008,-0.1197
1.45233e-008,-0.3651
1.45600e-008,-0.5503
1.45967e-008,-0.6812
1.46333e-008,-0.8241
1.46700e-008,-0.9107
1.47067e-008,-0.9413
1.47433e-008,-0.9374
1.47800e-008,-0.8875
1.48167e-008,-0.7760
1.48534e-008,-0.5944
1.48901e-008,-0.3644
1.49267e-008,-0.1152
1.49634e-008,0.1269
1.50001e-008,0.3486
1.50368e-008,0.5803
1.50734e-008,0.7305
1.51101e-008,0.8296
1.51468e-008,0.9018
1.51834e-008,0.9544
1.52201e-008,0.9582
1.52568e-008,0.9020
1.52935e-008,0.7771
1.53301e-008,0.5851
1.53668e-008,0.3346
1.54035e-008,0.0433
1.54402e-008,-0.2306
1.54769e-008,-0.4513
1.55135e-008,-0.6115
1.55502e-008,-0.7271
1.55869e-008,-0.8700
1.56236e-008,-0.9284
1.56602e-008,-0.9438
1.56969e-008,-0.9230
1.57336e-008,-0.8483
1.57703e-008,-0.7070
