.HEADER
..NAMES
Time,V U1.Y16
.DATA
0.0e+000,1.0943
3.67e-011,1.0944
7.33e-011,1.0953
1.100e-010,1.0970
1.467e-010,1.1016
1.834e-010,1.1030
2.201e-010,1.0899
2.567e-010,1.0437
2.934e-010,0.9478
3.301e-010,0.8213
3.667e-010,0.6927
4.034e-010,0.5791
4.401e-010,0.4909
4.768e-010,0.4289
5.135e-010,0.3867
5.501e-010,0.3580
5.868e-010,0.3370
6.235e-010,0.3218
6.601e-010,0.3108
6.968e-010,0.3033
7.335e-010,0.2983
7.702e-010,0.2946
8.068e-010,0.2919
8.435e-010,0.2908
8.802e-010,0.2928
9.169e-010,0.2993
9.536e-010,0.3091
9.902e-010,0.3190
1.0269e-009,0.3262
1.0636e-009,0.3344
1.1003e-009,0.3566
1.1369e-009,0.4097
1.1736e-009,0.5149
1.2103e-009,0.6614
1.2469e-009,0.8213
1.2836e-009,0.9438
1.3203e-009,1.0138
1.3570e-009,1.0505
1.3936e-009,1.0732
1.4303e-009,1.0957
1.4670e-009,1.1218
1.5037e-009,1.1488
1.5403e-009,1.1727
1.5770e-009,1.1894
1.6137e-009,1.1971
1.6504e-009,1.1973
1.6871e-009,1.1933
1.7237e-009,1.1886
1.7604e-009,1.1844
1.7971e-009,1.1794
1.8338e-009,1.1727
1.8704e-009,1.1655
1.9071e-009,1.1600
1.9438e-009,1.1563
1.9805e-009,1.1499
2.0171e-009,1.1349
2.0538e-009,1.1101
2.0905e-009,1.0802
2.1272e-009,1.0533
2.1638e-009,1.0371
2.2005e-009,1.0331
2.2372e-009,1.0372
2.2738e-009,1.0425
2.3105e-009,1.0425
2.3472e-009,1.0349
2.3839e-009,1.0217
2.4205e-009,1.0077
2.4572e-009,0.9985
2.4939e-009,0.9979
2.5306e-009,1.0058
2.5672e-009,1.0182
2.6039e-009,1.0290
2.6406e-009,1.0337
2.6773e-009,1.0313
2.7139e-009,1.0238
2.7506e-009,1.0146
2.7873e-009,1.0069
2.8240e-009,1.0029
2.8606e-009,1.0045
2.8973e-009,1.0117
2.9340e-009,1.0248
2.9707e-009,1.0429
3.0073e-009,1.0548
3.0440e-009,1.0455
3.0807e-009,0.9929
3.1174e-009,0.8904
3.1540e-009,0.7655
3.1907e-009,0.6424
3.2274e-009,0.5385
3.2641e-009,0.4623
3.3007e-009,0.4129
3.3374e-009,0.3825
3.3741e-009,0.3613
3.4108e-009,0.3443
3.4475e-009,0.3280
3.4841e-009,0.3129
3.5208e-009,0.3011
3.5575e-009,0.2944
3.5942e-009,0.2934
3.6308e-009,0.2977
3.6675e-009,0.3066
3.7042e-009,0.3187
3.7408e-009,0.3318
3.7775e-009,0.3420
3.8142e-009,0.3464
3.8509e-009,0.3464
3.8875e-009,0.3470
3.9242e-009,0.3528
3.9609e-009,0.3663
3.9976e-009,0.3855
4.0342e-009,0.4047
4.0709e-009,0.4181
4.1076e-009,0.4219
4.1443e-009,0.4163
4.1809e-009,0.4053
4.2176e-009,0.3944
4.2543e-009,0.3876
4.2910e-009,0.3870
4.3276e-009,0.3917
4.3643e-009,0.3988
4.4010e-009,0.4050
4.4377e-009,0.4079
4.4743e-009,0.4070
4.5110e-009,0.4033
4.5477e-009,0.3988
4.5844e-009,0.3948
4.6211e-009,0.3919
4.6577e-009,0.3905
4.6944e-009,0.3911
4.7311e-009,0.3933
4.7678e-009,0.3954
4.8044e-009,0.3980
4.8411e-009,0.4058
4.8778e-009,0.4305
4.9145e-009,0.4908
4.9511e-009,0.5852
4.9878e-009,0.6984
5.0245e-009,0.8034
5.0612e-009,0.8775
5.0978e-009,0.9307
5.1345e-009,0.9725
5.1712e-009,1.0076
5.2079e-009,1.0380
5.2445e-009,1.0628
5.2812e-009,1.0820
5.3179e-009,1.0972
5.3546e-009,1.1088
5.3912e-009,1.1174
5.4279e-009,1.1232
5.4646e-009,1.1262
5.5013e-009,1.1251
5.5379e-009,1.1191
5.5746e-009,1.1086
5.6113e-009,1.0958
5.6480e-009,1.0842
5.6846e-009,1.0764
5.7213e-009,1.0713
5.7580e-009,1.0650
5.7947e-009,1.0541
5.8313e-009,1.0393
5.8680e-009,1.0245
5.9047e-009,1.0151
5.9414e-009,1.0135
5.9780e-009,1.0179
6.0147e-009,1.0243
6.0514e-009,1.0280
6.0881e-009,1.0266
6.1247e-009,1.0203
6.1614e-009,1.0117
6.1981e-009,1.0041
6.2348e-009,1.0006
6.2714e-009,1.0022
6.3081e-009,1.0071
6.3448e-009,1.0116
6.3815e-009,1.0130
6.4181e-009,1.0106
6.4548e-009,1.0063
6.4915e-009,1.0023
6.5282e-009,1.0004
6.5648e-009,1.0015
6.6015e-009,1.0056
6.6382e-009,1.0115
6.6749e-009,1.0180
6.7115e-009,1.0248
6.7482e-009,1.0325
6.7849e-009,1.0418
6.8215e-009,1.0529
6.8582e-009,1.0647
6.8949e-009,1.0756
6.9316e-009,1.0842
6.9682e-009,1.0897
7.0049e-009,1.0928
7.0416e-009,1.0949
7.0783e-009,1.0966
7.1149e-009,1.0980
7.1516e-009,1.0982
7.1883e-009,1.0965
7.2250e-009,1.0933
7.2616e-009,1.0902
7.2983e-009,1.0893
7.3350e-009,1.0918
7.3717e-009,1.0975
7.4083e-009,1.1047
7.4450e-009,1.1109
7.4817e-009,1.1139
7.5184e-009,1.1125
7.5550e-009,1.1077
7.5917e-009,1.1023
7.6284e-009,1.0988
7.6651e-009,1.0980
7.7018e-009,1.0989
7.7384e-009,1.0999
7.7751e-009,1.1002
7.8118e-009,1.1000
7.8484e-009,1.1000
7.8851e-009,1.1006
7.9218e-009,1.1016
7.9585e-009,1.1017
7.9952e-009,1.1001
8.0318e-009,1.0968
8.0685e-009,1.0927
8.1052e-009,1.0895
8.1418e-009,1.0886
8.1785e-009,1.0904
8.2152e-009,1.0935
8.2519e-009,1.0960
8.2886e-009,1.0964
8.3252e-009,1.0942
8.3619e-009,1.0902
8.3986e-009,1.0859
8.4352e-009,1.0833
8.4719e-009,1.0835
8.5086e-009,1.0866
8.5453e-009,1.0904
8.5820e-009,1.0956
8.6186e-009,1.0978
8.6553e-009,1.0872
8.6920e-009,1.0480
8.7286e-009,0.9609
8.7653e-009,0.8397
8.8020e-009,0.7132
8.8387e-009,0.5980
8.8754e-009,0.5054
8.9120e-009,0.4389
8.9487e-009,0.3958
8.9854e-009,0.3686
9.0220e-009,0.3513
9.0587e-009,0.3390
9.0954e-009,0.3287
9.1321e-009,0.3191
9.1688e-009,0.3107
9.2054e-009,0.3047
9.2421e-009,0.3018
9.2788e-009,0.3031
9.3154e-009,0.3091
9.3521e-009,0.3191
9.3888e-009,0.3302
9.4255e-009,0.3386
9.4622e-009,0.3430
9.4988e-009,0.3480
9.5355e-009,0.3667
9.5722e-009,0.4144
9.6088e-009,0.5116
9.6455e-009,0.6516
9.6822e-009,0.8072
9.7189e-009,0.9329
9.7556e-009,1.0070
9.7922e-009,1.0481
9.8289e-009,1.0749
9.8656e-009,1.0990
9.9022e-009,1.1241
9.9389e-009,1.1474
9.9756e-009,1.1668
1.00123e-008,1.1808
1.00490e-008,1.1889
1.00856e-008,1.1915
1.01223e-008,1.1908
1.01590e-008,1.1881
1.01956e-008,1.1836
1.02323e-008,1.1762
1.02690e-008,1.1662
1.03057e-008,1.1563
1.03424e-008,1.1508
1.03790e-008,1.1495
1.04157e-008,1.1464
1.04524e-008,1.1366
1.04890e-008,1.1158
1.05257e-008,1.0774
1.05624e-008,1.0108
1.05991e-008,0.8988
1.06358e-008,0.7598
1.06724e-008,0.6318
1.07091e-008,0.5259
1.07458e-008,0.4395
1.07824e-008,0.3683
1.08191e-008,0.3110
1.08558e-008,0.2671
1.08925e-008,0.2396
1.09292e-008,0.2271
1.09658e-008,0.2268
1.10025e-008,0.2323
1.10392e-008,0.2372
1.10758e-008,0.2370
1.11125e-008,0.2313
1.11492e-008,0.2236
1.11859e-008,0.2188
1.12226e-008,0.2206
1.12592e-008,0.2290
1.12959e-008,0.2396
1.13326e-008,0.2500
1.13693e-008,0.2622
1.14059e-008,0.2886
1.14426e-008,0.3431
1.14793e-008,0.4448
1.15159e-008,0.5937
1.15526e-008,0.7610
1.15893e-008,0.9006
1.16260e-008,0.9813
1.16627e-008,1.0239
1.16993e-008,1.0536
1.17360e-008,1.0852
1.17727e-008,1.1213
1.18093e-008,1.1552
1.18460e-008,1.1798
1.18827e-008,1.1926
1.19194e-008,1.1942
1.19561e-008,1.1896
1.19927e-008,1.1851
1.20294e-008,1.1852
1.20661e-008,1.1892
1.21027e-008,1.1936
1.21394e-008,1.1939
1.21761e-008,1.1887
1.22128e-008,1.1807
1.22495e-008,1.1735
1.22861e-008,1.1648
1.23228e-008,1.1514
1.23595e-008,1.1299
1.23961e-008,1.0924
1.24328e-008,1.0290
1.24695e-008,0.9216
1.25062e-008,0.7823
1.25429e-008,0.6523
1.25795e-008,0.5469
1.26162e-008,0.4622
1.26529e-008,0.3904
1.26895e-008,0.3282
1.27262e-008,0.2769
1.27629e-008,0.2415
1.27996e-008,0.2243
1.28363e-008,0.2237
1.28729e-008,0.2333
1.29096e-008,0.2439
1.29463e-008,0.2480
1.29829e-008,0.2428
1.30196e-008,0.2313
1.30563e-008,0.2203
1.30930e-008,0.2164
