.HEADER
..NAMES
Time,V U1.AE7
.DATA
0.0e+000,0.3146
3.86e-011,0.3146
7.72e-011,0.3146
1.157e-010,0.3146
1.543e-010,0.3146
1.929e-010,0.3146
2.314e-010,0.3146
2.700e-010,0.3146
3.086e-010,0.3146
3.472e-010,0.3146
3.857e-010,0.3146
4.243e-010,0.3146
4.629e-010,0.3146
5.015e-010,0.3146
5.401e-010,0.3146
5.786e-010,0.3146
6.172e-010,0.3146
6.558e-010,0.3146
6.944e-010,0.3146
7.329e-010,0.3146
7.715e-010,0.3146
8.101e-010,0.3146
8.486e-010,0.3146
8.872e-010,0.3146
9.258e-010,0.3146
9.644e-010,0.3194
1.0029e-009,0.3366
1.0415e-009,0.3832
1.0801e-009,0.4772
1.1187e-009,0.6150
1.1572e-009,0.7744
1.1958e-009,0.9012
1.2344e-009,0.9863
1.2730e-009,1.0399
1.3115e-009,1.0763
1.3501e-009,1.1059
1.3887e-009,1.1356
1.4273e-009,1.1597
1.4658e-009,1.1758
1.5044e-009,1.1847
1.5430e-009,1.1879
1.5816e-009,1.1846
1.6202e-009,1.1764
1.6587e-009,1.1665
1.6973e-009,1.1555
1.7359e-009,1.1466
1.7745e-009,1.1441
1.8130e-009,1.1497
1.8516e-009,1.1580
1.8902e-009,1.1657
1.9288e-009,1.1723
1.9673e-009,1.1777
2.0059e-009,1.1805
2.0445e-009,1.1811
2.0830e-009,1.1813
2.1216e-009,1.1818
2.1602e-009,1.1825
2.1988e-009,1.1828
2.2374e-009,1.1832
2.2759e-009,1.1835
2.3145e-009,1.1841
2.3531e-009,1.1873
2.3916e-009,1.1936
2.4302e-009,1.1922
2.4688e-009,1.1644
2.5074e-009,1.0821
2.5459e-009,0.9434
2.5845e-009,0.7901
2.6231e-009,0.6457
2.6617e-009,0.5256
2.7003e-009,0.4401
2.7388e-009,0.3858
2.7774e-009,0.3520
2.8160e-009,0.3314
2.8545e-009,0.3174
2.8931e-009,0.3053
2.9317e-009,0.2953
2.9703e-009,0.2912
3.0089e-009,0.2942
3.0474e-009,0.3026
3.0860e-009,0.3170
3.1246e-009,0.3352
3.1631e-009,0.3506
3.2017e-009,0.3577
3.2403e-009,0.3580
3.2789e-009,0.3538
3.3175e-009,0.3512
3.3560e-009,0.3633
3.3946e-009,0.4115
3.4332e-009,0.5112
3.4717e-009,0.6532
3.5103e-009,0.8083
3.5489e-009,0.9245
3.5875e-009,1.0019
3.6260e-009,1.0513
3.6646e-009,1.0857
3.7032e-009,1.1147
3.7418e-009,1.1424
3.7803e-009,1.1633
3.8189e-009,1.1768
3.8575e-009,1.1840
3.8961e-009,1.1861
3.9346e-009,1.1814
3.9732e-009,1.1733
4.0118e-009,1.1638
4.0504e-009,1.1533
4.0890e-009,1.1454
4.1275e-009,1.1447
4.1661e-009,1.1514
4.2047e-009,1.1595
4.2433e-009,1.1668
4.2818e-009,1.1732
4.3204e-009,1.1781
4.3590e-009,1.1803
4.3975e-009,1.1808
4.4361e-009,1.1811
4.4747e-009,1.1817
4.5133e-009,1.1823
4.5519e-009,1.1826
4.5904e-009,1.1830
4.6290e-009,1.1833
4.6676e-009,1.1839
4.7062e-009,1.1882
4.7447e-009,1.1942
4.7833e-009,1.1890
4.8219e-009,1.1522
4.8604e-009,1.0565
4.8990e-009,0.9104
4.9376e-009,0.7584
4.9762e-009,0.6175
5.0147e-009,0.5043
5.0533e-009,0.4263
5.0919e-009,0.3770
5.1305e-009,0.3463
5.1691e-009,0.3158
5.2076e-009,0.3053
5.2462e-009,0.3240
5.2848e-009,0.3827
5.3234e-009,0.4932
5.3619e-009,0.6536
5.4005e-009,0.8147
5.4391e-009,0.9421
5.4776e-009,1.0388
5.5162e-009,1.1047
5.5548e-009,1.1425
5.5934e-009,1.1683
5.6320e-009,1.1893
5.6705e-009,1.1977
5.7091e-009,1.1981
5.7477e-009,1.1972
5.7863e-009,1.1953
5.8248e-009,1.1860
5.8634e-009,1.1745
5.9020e-009,1.1637
5.9405e-009,1.1533
5.9791e-009,1.1454
6.0177e-009,1.1457
6.0563e-009,1.1530
6.0948e-009,1.1629
6.1334e-009,1.1757
6.1720e-009,1.1835
6.2106e-009,1.1700
6.2492e-009,1.1052
6.2877e-009,0.9772
6.3263e-009,0.8243
6.3649e-009,0.6788
6.4035e-009,0.5510
6.4420e-009,0.4560
6.4806e-009,0.3954
6.5192e-009,0.3575
6.5577e-009,0.3344
6.5963e-009,0.3064
6.6349e-009,0.3121
6.6735e-009,0.3492
6.7121e-009,0.4338
6.7506e-009,0.5723
6.7892e-009,0.7430
6.8278e-009,0.8854
6.8664e-009,0.9965
6.9049e-009,1.0773
6.9435e-009,1.1280
6.9821e-009,1.1561
7.0206e-009,1.1801
7.0592e-009,1.2311
7.0978e-009,1.2427
7.1364e-009,1.2311
7.1749e-009,1.1856
7.2135e-009,1.0732
7.2521e-009,0.9016
7.2907e-009,0.7332
7.3293e-009,0.5773
7.3678e-009,0.4526
7.4064e-009,0.3715
7.4450e-009,0.3356
7.4835e-009,0.3169
7.5221e-009,0.3049
7.5607e-009,0.2979
7.5993e-009,0.2920
7.6379e-009,0.2839
7.6764e-009,0.2810
7.7150e-009,0.2899
7.7536e-009,0.3040
7.7922e-009,0.3209
7.8307e-009,0.3390
7.8693e-009,0.3546
7.9079e-009,0.3600
7.9464e-009,0.3574
7.9850e-009,0.3527
8.0236e-009,0.3553
8.0622e-009,0.3789
8.1008e-009,0.4466
8.1393e-009,0.5657
8.1779e-009,0.7198
8.2165e-009,0.8608
8.2550e-009,0.9597
8.2936e-009,1.0249
8.3322e-009,1.0673
8.3708e-009,1.0974
8.4093e-009,1.1263
8.4479e-009,1.1775
8.4865e-009,1.2159
8.5251e-009,1.2236
8.5637e-009,1.2017
8.6022e-009,1.1240
8.6408e-009,0.9725
8.6794e-009,0.8018
8.7179e-009,0.6416
8.7565e-009,0.5016
8.7951e-009,0.4021
8.8337e-009,0.3495
8.8722e-009,0.3270
8.9108e-009,0.3056
8.9494e-009,0.2910
8.9880e-009,0.3064
9.0266e-009,0.3535
9.0651e-009,0.4441
9.1037e-009,0.5914
9.1423e-009,0.7648
9.1808e-009,0.9043
9.2194e-009,1.0109
9.2580e-009,1.0887
9.2966e-009,1.1371
9.3352e-009,1.1631
9.3737e-009,1.1918
9.4123e-009,1.2369
9.4509e-009,1.2437
9.4895e-009,1.2253
9.5280e-009,1.1683
9.5666e-009,1.0405
9.6052e-009,0.8663
9.6437e-009,0.6992
9.6823e-009,0.5488
9.7209e-009,0.4332
9.7595e-009,0.3612
9.7981e-009,0.3302
9.8366e-009,0.3135
9.8752e-009,0.3033
9.9138e-009,0.2963
9.9524e-009,0.2902
9.9909e-009,0.2827
1.00295e-008,0.2823
1.00681e-008,0.2925
1.01066e-008,0.3074
1.01452e-008,0.3249
1.01838e-008,0.3428
1.02224e-008,0.3567
1.02610e-008,0.3600
1.02995e-008,0.3565
1.03381e-008,0.3494
1.03767e-008,0.3399
1.04152e-008,0.3287
1.04538e-008,0.3209
1.04924e-008,0.3178
1.05310e-008,0.3165
1.05695e-008,0.3158
1.06081e-008,0.3161
1.06467e-008,0.3170
1.06853e-008,0.3169
1.07239e-008,0.3163
1.07624e-008,0.3156
1.08010e-008,0.3173
1.08396e-008,0.3275
1.08781e-008,0.3613
1.09167e-008,0.4392
1.09553e-008,0.5642
1.09939e-008,0.7214
1.10324e-008,0.8635
1.10710e-008,0.9625
1.11096e-008,1.0251
1.11482e-008,1.0658
1.11868e-008,1.0963
1.12253e-008,1.1260
1.12639e-008,1.1523
1.13025e-008,1.1707
1.13410e-008,1.1818
1.13796e-008,1.1870
1.14182e-008,1.1860
1.14568e-008,1.1788
1.14953e-008,1.1696
1.15339e-008,1.1588
1.15725e-008,1.1487
1.16111e-008,1.1436
1.16497e-008,1.1469
1.16882e-008,1.1548
1.17268e-008,1.1627
1.17654e-008,1.1698
1.18039e-008,1.1758
1.18425e-008,1.1795
1.18811e-008,1.1806
1.19197e-008,1.1809
1.19583e-008,1.1813
1.19968e-008,1.1819
1.20354e-008,1.1823
1.20740e-008,1.1827
1.21126e-008,1.1830
1.21511e-008,1.1834
1.21897e-008,1.1851
1.22283e-008,1.1913
1.22668e-008,1.1941
1.23054e-008,1.1775
1.23440e-008,1.1152
1.23826e-008,0.9913
1.24212e-008,0.8379
1.24597e-008,0.6895
1.24983e-008,0.5599
1.25369e-008,0.4631
1.25755e-008,0.4002
1.26140e-008,0.3605
1.26526e-008,0.3366
1.26912e-008,0.3213
1.27297e-008,0.3088
1.27683e-008,0.2977
1.28069e-008,0.2913
1.28455e-008,0.2923
1.28841e-008,0.2990
1.29226e-008,0.3115
1.29612e-008,0.3290
1.29998e-008,0.3462
1.30383e-008,0.3561
1.30769e-008,0.3581
1.31155e-008,0.3551
1.31541e-008,0.3509
1.31926e-008,0.3563
1.32312e-008,0.3902
1.32698e-008,0.4735
1.33084e-008,0.6036
1.33470e-008,0.7609
1.33855e-008,0.8912
1.34241e-008,0.9803
1.34627e-008,1.0371
1.35012e-008,1.0753
1.35398e-008,1.1049
1.35784e-008,1.1339
1.36170e-008,1.1572
1.36555e-008,1.1728
1.36941e-008,1.1821
1.37327e-008,1.1858
1.37713e-008,1.1833
1.38099e-008,1.1757
1.38484e-008,1.1668
1.38870e-008,1.1565
1.39256e-008,1.1473
1.39641e-008,1.1437
1.40027e-008,1.1486
1.40413e-008,1.1568
1.40799e-008,1.1644
1.41185e-008,1.1710
1.41570e-008,1.1765
1.41956e-008,1.1796
1.42342e-008,1.1804
1.42728e-008,1.1808
1.43113e-008,1.1813
1.43499e-008,1.1819
1.43885e-008,1.1823
1.44270e-008,1.1827
1.44656e-008,1.1830
1.45042e-008,1.1834
1.45428e-008,1.1862
1.45814e-008,1.1925
1.46199e-008,1.1927
1.46585e-008,1.1691
1.46971e-008,1.0938
1.47357e-008,0.9597
1.47742e-008,0.8060
1.48128e-008,0.6601
1.48514e-008,0.5365
1.48899e-008,0.4473
1.49285e-008,0.3901
1.49671e-008,0.3545
1.50057e-008,0.3264
1.50443e-008,0.3050
1.50828e-008,0.3143
1.51214e-008,0.3581
1.51600e-008,0.4517
1.51985e-008,0.5979
1.52371e-008,0.7668
1.52757e-008,0.9041
1.53143e-008,1.0109
1.53528e-008,1.0866
1.53914e-008,1.1327
1.54300e-008,1.1603
1.54686e-008,1.1835
1.55071e-008,1.2336
1.55457e-008,1.2421
1.55843e-008,1.2270
1.56229e-008,1.1734
1.56615e-008,1.0490
1.57000e-008,0.8748
1.57386e-008,0.7078
1.57772e-008,0.5553
1.58158e-008,0.4368
1.58543e-008,0.3633
1.58929e-008,0.3319
1.59315e-008,0.3145
1.59701e-008,0.3036
1.60086e-008,0.2970
1.60472e-008,0.2909
1.60858e-008,0.2827
1.61243e-008,0.2815
1.61629e-008,0.2916
1.62015e-008,0.3063
1.62401e-008,0.3235
1.62786e-008,0.3417
1.63172e-008,0.3561
1.63558e-008,0.3598
1.63944e-008,0.3565
1.64329e-008,0.3523
1.64715e-008,0.3569
1.65101e-008,0.3856
1.65487e-008,0.4616
1.65873e-008,0.5876
1.66258e-008,0.7439
1.66644e-008,0.8782
1.67030e-008,0.9714
1.67416e-008,1.0325
1.67801e-008,1.0724
1.68187e-008,1.1017
1.68573e-008,1.1307
1.68959e-008,1.1555
1.69344e-008,1.1714
1.69730e-008,1.1808
1.70116e-008,1.1856
1.70501e-008,1.1840
1.70887e-008,1.1764
1.71273e-008,1.1676
1.71659e-008,1.1577
1.72044e-008,1.1482
1.72430e-008,1.1436
1.72816e-008,1.1478
1.73202e-008,1.1560
1.73588e-008,1.1635
1.73973e-008,1.1701
1.74359e-008,1.1760
1.74745e-008,1.1795
1.75131e-008,1.1803
1.75516e-008,1.1806
1.75902e-008,1.1813
1.76288e-008,1.1819
1.76674e-008,1.1822
1.77059e-008,1.1826
1.77445e-008,1.1830
1.77831e-008,1.1833
1.78216e-008,1.1841
1.78602e-008,1.1852
1.78988e-008,1.1856
1.79374e-008,1.1851
1.79759e-008,1.1848
1.80145e-008,1.1848
1.80531e-008,1.1845
1.80917e-008,1.1841
1.81302e-008,1.1842
1.81688e-008,1.1845
1.82074e-008,1.1846
1.82460e-008,1.1845
1.82846e-008,1.1845
1.83231e-008,1.1846
1.83617e-008,1.1846
1.84003e-008,1.1846
1.84389e-008,1.1846
1.84774e-008,1.1845
1.85160e-008,1.1844
1.85546e-008,1.1844
1.85932e-008,1.1845
1.86317e-008,1.1845
1.86703e-008,1.1844
1.87089e-008,1.1845
1.87474e-008,1.1846
1.87860e-008,1.1892
1.88246e-008,1.1932
1.88632e-008,1.1826
1.89017e-008,1.1330
1.89403e-008,1.0213
1.89789e-008,0.8699
1.90175e-008,0.7204
1.90560e-008,0.5853
1.90946e-008,0.4808
1.91332e-008,0.4107
1.91718e-008,0.3674
1.92104e-008,0.3405
1.92489e-008,0.3238
1.92875e-008,0.3109
1.93261e-008,0.2995
1.93647e-008,0.2916
1.94032e-008,0.2912
1.94418e-008,0.2969
1.94804e-008,0.3081
1.95190e-008,0.3247
1.95575e-008,0.3427
1.95961e-008,0.3545
1.96347e-008,0.3578
1.96732e-008,0.3557
1.97118e-008,0.3512
1.97504e-008,0.3533
1.97890e-008,0.3790
1.98275e-008,0.4509
1.98661e-008,0.5723
1.99047e-008,0.7269
1.99433e-008,0.8665
1.99819e-008,0.9640
2.00204e-008,1.0266
2.00590e-008,1.0678
2.00976e-008,1.0984
2.01362e-008,1.1275
2.01747e-008,1.1527
2.02133e-008,1.1698
2.02519e-008,1.1803
2.02905e-008,1.1853
2.03290e-008,1.1842
