.HEADER
..NAMES
Time,V U1.AB7
.DATA
0.0e+000,1.1825
3.86e-011,1.1825
7.72e-011,1.1825
1.157e-010,1.1825
1.543e-010,1.1825
1.929e-010,1.1825
2.314e-010,1.1825
2.700e-010,1.1825
3.086e-010,1.1825
3.472e-010,1.1825
3.857e-010,1.1825
4.243e-010,1.1825
4.629e-010,1.1825
5.015e-010,1.1825
5.401e-010,1.1825
5.786e-010,1.1825
6.172e-010,1.1825
6.558e-010,1.1825
6.944e-010,1.1825
7.329e-010,1.1825
7.715e-010,1.1825
8.101e-010,1.1844
8.486e-010,1.1896
8.872e-010,1.1897
9.258e-010,1.1669
9.644e-010,1.0921
1.0029e-009,0.9593
1.0415e-009,0.8111
1.0801e-009,0.6754
1.1187e-009,0.5633
1.1572e-009,0.4755
1.1958e-009,0.4060
1.2344e-009,0.3602
1.2730e-009,0.3312
1.3115e-009,0.3118
1.3501e-009,0.3034
1.3887e-009,0.3067
1.4273e-009,0.3201
1.4658e-009,0.3415
1.5044e-009,0.3633
1.5430e-009,0.3772
1.5816e-009,0.3807
1.6202e-009,0.3749
1.6587e-009,0.3630
1.6973e-009,0.3500
1.7359e-009,0.3387
1.7745e-009,0.3347
1.8130e-009,0.3490
1.8516e-009,0.3979
1.8902e-009,0.4953
1.9288e-009,0.6323
1.9673e-009,0.7821
2.0059e-009,0.8917
2.0445e-009,0.9627
2.0830e-009,1.0137
2.1216e-009,1.0608
2.1602e-009,1.1073
2.1988e-009,1.1421
2.2374e-009,1.1616
2.2759e-009,1.1668
2.3145e-009,1.1587
2.3531e-009,1.1432
2.3916e-009,1.1278
2.4302e-009,1.1174
2.4688e-009,1.1160
2.5074e-009,1.1243
2.5459e-009,1.1373
2.5845e-009,1.1498
2.6231e-009,1.1590
2.6617e-009,1.1645
2.7003e-009,1.1738
2.7388e-009,1.1818
2.7774e-009,1.1776
2.8160e-009,1.1401
2.8545e-009,1.0422
2.8931e-009,0.8996
2.9317e-009,0.7579
2.9703e-009,0.6315
3.0089e-009,0.5306
3.0474e-009,0.4489
3.0860e-009,0.3861
3.1246e-009,0.3470
3.1631e-009,0.3100
3.2017e-009,0.2979
3.2403e-009,0.3257
3.2789e-009,0.4062
3.3175e-009,0.5512
3.3560e-009,0.7382
3.3946e-009,0.9084
3.4332e-009,1.0192
3.4717e-009,1.0777
3.5103e-009,1.1094
3.5489e-009,1.1387
3.5875e-009,1.1636
3.6260e-009,1.2025
3.6646e-009,1.2292
3.7032e-009,1.2219
3.7418e-009,1.1770
3.7803e-009,1.0645
3.8189e-009,0.8952
3.8575e-009,0.7229
3.8961e-009,0.5819
3.9346e-009,0.4889
3.9732e-009,0.4275
4.0118e-009,0.3755
4.0504e-009,0.3392
4.0890e-009,0.3126
4.1275e-009,0.2926
4.1661e-009,0.2878
4.2047e-009,0.2975
4.2433e-009,0.3176
4.2818e-009,0.3454
4.3204e-009,0.3707
4.3590e-009,0.3843
4.3975e-009,0.3854
4.4361e-009,0.3759
4.4747e-009,0.3606
4.5133e-009,0.3462
4.5519e-009,0.3354
4.5904e-009,0.3334
4.6290e-009,0.3504
4.6676e-009,0.4029
4.7062e-009,0.5030
4.7447e-009,0.6412
4.7833e-009,0.7897
4.8219e-009,0.8959
4.8604e-009,0.9648
4.8990e-009,1.0156
4.9376e-009,1.0632
4.9762e-009,1.1099
5.0147e-009,1.1443
5.0533e-009,1.1629
5.0919e-009,1.1672
5.1305e-009,1.1583
5.1691e-009,1.1424
5.2076e-009,1.1271
5.2462e-009,1.1172
5.2848e-009,1.1165
5.3234e-009,1.1252
5.3619e-009,1.1384
5.4005e-009,1.1507
5.4391e-009,1.1596
5.4776e-009,1.1650
5.5162e-009,1.1743
5.5548e-009,1.1821
5.5934e-009,1.1770
5.6320e-009,1.1370
5.6705e-009,1.0359
5.7091e-009,0.8925
5.7477e-009,0.7513
5.7863e-009,0.6261
5.8248e-009,0.5263
5.8634e-009,0.4455
5.9020e-009,0.3840
5.9405e-009,0.3458
5.9791e-009,0.3210
6.0177e-009,0.3062
6.0563e-009,0.3037
6.0948e-009,0.3118
6.1334e-009,0.3294
6.1720e-009,0.3520
6.2106e-009,0.3708
6.2492e-009,0.3801
6.2877e-009,0.3793
6.3263e-009,0.3703
6.3649e-009,0.3576
6.4035e-009,0.3454
6.4420e-009,0.3354
6.4806e-009,0.3284
6.5192e-009,0.3250
6.5577e-009,0.3234
6.5963e-009,0.3221
6.6349e-009,0.3206
6.6735e-009,0.3186
6.7121e-009,0.3161
6.7506e-009,0.3140
6.7892e-009,0.3131
6.8278e-009,0.3133
6.8664e-009,0.3141
6.9049e-009,0.3151
6.9435e-009,0.3155
6.9821e-009,0.3158
7.0206e-009,0.3158
7.0592e-009,0.3155
7.0978e-009,0.3153
7.1364e-009,0.3152
7.1749e-009,0.3151
7.2135e-009,0.3153
7.2521e-009,0.3155
7.2907e-009,0.3155
7.3293e-009,0.3156
7.3678e-009,0.3158
7.4064e-009,0.3219
7.4450e-009,0.3428
7.4835e-009,0.3970
7.5221e-009,0.4985
7.5607e-009,0.6389
7.5993e-009,0.7894
7.6379e-009,0.8982
7.6764e-009,0.9699
7.7150e-009,1.0219
7.7536e-009,1.0691
7.7922e-009,1.1136
7.8307e-009,1.1455
7.8693e-009,1.1628
7.9079e-009,1.1667
7.9464e-009,1.1578
7.9850e-009,1.1424
8.0236e-009,1.1274
8.0622e-009,1.1177
8.1008e-009,1.1169
8.1393e-009,1.1255
8.1779e-009,1.1385
8.2165e-009,1.1507
8.2550e-009,1.1598
8.2936e-009,1.1653
8.3322e-009,1.1753
8.3708e-009,1.1828
8.4093e-009,1.1764
