.HEADER
..NAMES
Time,V U1.Y9
.DATA
0.0e+000,0.3156
3.86e-011,0.3156
7.72e-011,0.3156
1.157e-010,0.3156
1.543e-010,0.3156
1.929e-010,0.3156
2.314e-010,0.3156
2.700e-010,0.3156
3.086e-010,0.3156
3.472e-010,0.3156
3.857e-010,0.3156
4.243e-010,0.3156
4.629e-010,0.3156
5.015e-010,0.3156
5.401e-010,0.3156
5.786e-010,0.3156
6.172e-010,0.3156
6.558e-010,0.3156
6.944e-010,0.3156
7.329e-010,0.3156
7.715e-010,0.3156
8.101e-010,0.3163
8.486e-010,0.3228
8.872e-010,0.3450
9.258e-010,0.4011
9.644e-010,0.5039
1.0029e-009,0.6435
1.0415e-009,0.7901
1.0801e-009,0.8947
1.1187e-009,0.9652
1.1572e-009,1.0179
1.1958e-009,1.0668
1.2344e-009,1.1127
1.2730e-009,1.1451
1.3115e-009,1.1635
1.3501e-009,1.1696
1.3887e-009,1.1647
1.4273e-009,1.1544
1.4658e-009,1.1432
1.5044e-009,1.1335
1.5430e-009,1.1287
1.5816e-009,1.1319
1.6202e-009,1.1411
1.6587e-009,1.1523
1.6973e-009,1.1617
1.7359e-009,1.1675
1.7745e-009,1.1708
1.8130e-009,1.1732
1.8516e-009,1.1752
1.8902e-009,1.1770
1.9288e-009,1.1790
1.9673e-009,1.1808
2.0059e-009,1.1821
2.0445e-009,1.1834
2.0830e-009,1.1842
2.1216e-009,1.1845
2.1602e-009,1.1845
2.1988e-009,1.1840
2.2374e-009,1.1871
2.2759e-009,1.1919
2.3145e-009,1.1862
2.3531e-009,1.1487
2.3916e-009,1.0519
2.4302e-009,0.9099
2.4688e-009,0.7681
2.5074e-009,0.6409
2.5459e-009,0.5387
2.5845e-009,0.4569
2.6231e-009,0.3940
2.6617e-009,0.3541
2.7003e-009,0.3279
2.7388e-009,0.3105
2.7774e-009,0.3037
2.8160e-009,0.3060
2.8545e-009,0.3166
2.8931e-009,0.3343
2.9317e-009,0.3532
2.9703e-009,0.3667
3.0089e-009,0.3716
3.0474e-009,0.3675
3.0860e-009,0.3578
3.1246e-009,0.3469
3.1631e-009,0.3378
3.2017e-009,0.3383
3.2403e-009,0.3620
3.2789e-009,0.4271
3.3175e-009,0.5390
3.3560e-009,0.6837
3.3946e-009,0.8213
3.4332e-009,0.9148
3.4717e-009,0.9775
3.5103e-009,1.0265
3.5489e-009,1.0747
3.5875e-009,1.1187
3.6260e-009,1.1641
3.6646e-009,1.2090
3.7032e-009,1.2141
3.7418e-009,1.1854
3.7803e-009,1.0966
3.8189e-009,0.9462
3.8575e-009,0.7827
3.8961e-009,0.6363
3.9346e-009,0.5268
3.9732e-009,0.4534
4.0118e-009,0.3928
4.0504e-009,0.3500
4.0890e-009,0.3189
4.1275e-009,0.2867
4.1661e-009,0.2926
4.2047e-009,0.3427
4.2433e-009,0.4509
4.2818e-009,0.6144
4.3204e-009,0.8001
4.3590e-009,0.9434
4.3975e-009,1.0330
4.4361e-009,1.0826
4.4747e-009,1.1167
4.5133e-009,1.1468
4.5519e-009,1.1685
4.5904e-009,1.2185
