.HEADER
..NAMES
Time,V U1.AC8
.DATA
0.0e+000,0.3155
3.86e-011,0.3155
7.72e-011,0.3155
1.157e-010,0.3155
1.543e-010,0.3155
1.929e-010,0.3155
2.314e-010,0.3155
2.700e-010,0.3155
3.086e-010,0.3155
3.472e-010,0.3155
3.857e-010,0.3155
4.243e-010,0.3155
4.629e-010,0.3155
5.015e-010,0.3155
5.401e-010,0.3155
5.786e-010,0.3155
6.172e-010,0.3155
6.558e-010,0.3155
6.944e-010,0.3155
7.329e-010,0.3155
7.715e-010,0.3155
8.101e-010,0.3164
8.486e-010,0.3233
8.872e-010,0.3469
9.258e-010,0.4058
9.644e-010,0.5122
1.0029e-009,0.6557
1.0415e-009,0.8042
1.0801e-009,0.9096
1.1187e-009,0.9788
1.1572e-009,1.0284
1.1958e-009,1.0720
1.2344e-009,1.1143
1.2730e-009,1.1534
1.3115e-009,1.2078
1.3501e-009,1.2197
1.3887e-009,1.2004
1.4273e-009,1.1277
1.4658e-009,0.9846
1.5044e-009,0.8180
1.5430e-009,0.6614
1.5816e-009,0.5335
1.6202e-009,0.4511
1.6587e-009,0.3936
1.6973e-009,0.3510
1.7359e-009,0.3270
1.7745e-009,0.2949
1.8130e-009,0.2915
1.8516e-009,0.3288
1.8902e-009,0.4224
1.9288e-009,0.5730
1.9673e-009,0.7564
2.0059e-009,0.9142
2.0445e-009,1.0205
2.0830e-009,1.0815
2.1216e-009,1.1181
2.1602e-009,1.1472
2.1988e-009,1.1678
2.2374e-009,1.2131
2.2759e-009,1.2314
2.3145e-009,1.2213
2.3531e-009,1.1702
2.3916e-009,1.0468
2.4302e-009,0.8784
2.4688e-009,0.7124
2.5074e-009,0.5680
2.5459e-009,0.4675
2.5845e-009,0.4047
2.6231e-009,0.3588
2.6617e-009,0.3320
2.7003e-009,0.3151
2.7388e-009,0.2985
2.7774e-009,0.2894
2.8160e-009,0.2927
2.8545e-009,0.3036
2.8931e-009,0.3213
2.9317e-009,0.3441
2.9703e-009,0.3617
3.0089e-009,0.3695
3.0474e-009,0.3692
3.0860e-009,0.3612
3.1246e-009,0.3484
3.1631e-009,0.3383
3.2017e-009,0.3388
3.2403e-009,0.3626
3.2789e-009,0.4302
3.3175e-009,0.5470
3.3560e-009,0.6964
3.3946e-009,0.8364
3.4332e-009,0.9315
3.4717e-009,0.9925
3.5103e-009,1.0370
3.5489e-009,1.0796
3.5875e-009,1.1198
3.6260e-009,1.1494
3.6646e-009,1.1667
3.7032e-009,1.1734
3.7418e-009,1.1697
3.7803e-009,1.1603
3.8189e-009,1.1498
3.8575e-009,1.1396
3.8961e-009,1.1331
3.9346e-009,1.1345
3.9732e-009,1.1425
4.0118e-009,1.1530
4.0504e-009,1.1627
4.0890e-009,1.1693
4.1275e-009,1.1728
4.1661e-009,1.1749
4.2047e-009,1.1764
4.2433e-009,1.1774
4.2818e-009,1.1787
4.3204e-009,1.1804
4.3590e-009,1.1816
4.3975e-009,1.1828
4.4361e-009,1.1837
4.4747e-009,1.1844
4.5133e-009,1.1846
4.5519e-009,1.1844
4.5904e-009,1.1839
4.6290e-009,1.1835
4.6676e-009,1.1835
4.7062e-009,1.1836
4.7447e-009,1.1837
4.7833e-009,1.1839
4.8219e-009,1.1840
4.8604e-009,1.1840
4.8990e-009,1.1838
4.9376e-009,1.1838
4.9762e-009,1.1838
5.0147e-009,1.1839
5.0533e-009,1.1839
5.0919e-009,1.1838
5.1305e-009,1.1838
5.1691e-009,1.1839
5.2076e-009,1.1839
5.2462e-009,1.1839
5.2848e-009,1.1839
5.3234e-009,1.1839
5.3619e-009,1.1838
5.4005e-009,1.1838
5.4391e-009,1.1838
5.4776e-009,1.1838
5.5162e-009,1.1838
5.5548e-009,1.1838
5.5934e-009,1.1838
5.6320e-009,1.1838
5.6705e-009,1.1838
5.7091e-009,1.1838
5.7477e-009,1.1838
5.7863e-009,1.1838
5.8248e-009,1.1838
5.8634e-009,1.1837
5.9020e-009,1.1837
5.9405e-009,1.1837
5.9791e-009,1.1863
6.0177e-009,1.1915
6.0563e-009,1.1894
6.0948e-009,1.1609
6.1334e-009,1.0768
6.1720e-009,0.9387
6.2106e-009,0.7914
6.2492e-009,0.6566
6.2877e-009,0.5469
6.3263e-009,0.4634
6.3649e-009,0.4001
6.4035e-009,0.3585
6.4420e-009,0.3325
6.4806e-009,0.3138
6.5192e-009,0.3026
6.5577e-009,0.3010
6.5963e-009,0.3068
6.6349e-009,0.3196
6.6735e-009,0.3380
6.7121e-009,0.3552
6.7506e-009,0.3653
6.7892e-009,0.3670
6.8278e-009,0.3613
6.8664e-009,0.3511
6.9049e-009,0.3405
6.9435e-009,0.3314
6.9821e-009,0.3248
7.0206e-009,0.3216
7.0592e-009,0.3206
7.0978e-009,0.3199
7.1364e-009,0.3191
7.1749e-009,0.3184
7.2135e-009,0.3169
7.2521e-009,0.3153
7.2907e-009,0.3141
7.3293e-009,0.3134
7.3678e-009,0.3134
7.4064e-009,0.3140
7.4450e-009,0.3145
7.4835e-009,0.3149
7.5221e-009,0.3153
7.5607e-009,0.3154
7.5993e-009,0.3152
7.6379e-009,0.3150
7.6764e-009,0.3149
7.7150e-009,0.3148
7.7536e-009,0.3149
7.7922e-009,0.3149
7.8307e-009,0.3149
7.8693e-009,0.3191
7.9079e-009,0.3347
7.9464e-009,0.3777
7.9850e-009,0.4667
8.0236e-009,0.5981
8.0622e-009,0.7520
8.1008e-009,0.8744
8.1393e-009,0.9554
8.1779e-009,1.0105
8.2165e-009,1.0550
8.2550e-009,1.0986
8.2936e-009,1.1353
8.3322e-009,1.1589
8.3708e-009,1.1708
8.4093e-009,1.1727
8.4479e-009,1.1657
8.4865e-009,1.1554
8.5251e-009,1.1451
8.5637e-009,1.1363
8.6022e-009,1.1327
8.6408e-009,1.1372
8.6794e-009,1.1466
8.7179e-009,1.1568
8.7565e-009,1.1654
8.7951e-009,1.1707
8.8337e-009,1.1735
8.8722e-009,1.1753
8.9108e-009,1.1767
8.9494e-009,1.1778
8.9880e-009,1.1793
9.0266e-009,1.1809
9.0651e-009,1.1821
9.1037e-009,1.1831
9.1423e-009,1.1839
9.1808e-009,1.1844
9.2194e-009,1.1844
9.2580e-009,1.1863
9.2966e-009,1.1909
9.3352e-009,1.1900
9.3737e-009,1.1658
9.4123e-009,1.0887
9.4509e-009,0.9547
9.4895e-009,0.8067
9.5280e-009,0.6703
9.5666e-009,0.5573
9.6052e-009,0.4715
9.6437e-009,0.4059
9.6823e-009,0.3621
9.7209e-009,0.3350
9.7595e-009,0.3157
9.7981e-009,0.3035
9.8366e-009,0.3009
9.8752e-009,0.3060
9.9138e-009,0.3181
9.9524e-009,0.3361
9.9909e-009,0.3538
1.00295e-008,0.3647
1.00681e-008,0.3673
1.01066e-008,0.3623
1.01452e-008,0.3524
1.01838e-008,0.3414
1.02224e-008,0.3373
1.02610e-008,0.3507
1.02995e-008,0.3996
1.03381e-008,0.4986
1.03767e-008,0.6376
1.04152e-008,0.7886
1.04538e-008,0.8999
1.04924e-008,0.9720
1.05310e-008,1.0213
1.05695e-008,1.0636
1.06081e-008,1.1058
1.06467e-008,1.1396
1.06853e-008,1.2010
1.07239e-008,1.2187
1.07624e-008,1.2056
1.08010e-008,1.1446
1.08396e-008,1.0105
1.08781e-008,0.8437
1.09167e-008,0.6845
1.09553e-008,0.5502
1.09939e-008,0.4611
1.10324e-008,0.4017
1.10710e-008,0.3566
1.11096e-008,0.3299
1.11482e-008,0.3116
1.11868e-008,0.2944
1.12253e-008,0.2877
1.12639e-008,0.2934
1.13025e-008,0.3057
1.13410e-008,0.3250
1.13796e-008,0.3479
1.14182e-008,0.3635
1.14568e-008,0.3693
1.14953e-008,0.3677
1.15339e-008,0.3584
1.15725e-008,0.3456
1.16111e-008,0.3353
1.16497e-008,0.3275
1.16882e-008,0.3222
1.17268e-008,0.3209
1.17654e-008,0.3209
1.18039e-008,0.3200
1.18425e-008,0.3192
1.18811e-008,0.3184
1.19197e-008,0.3160
1.19583e-008,0.3144
1.19968e-008,0.3137
1.20354e-008,0.3133
1.20740e-008,0.3136
1.21126e-008,0.3145
1.21511e-008,0.3150
1.21897e-008,0.3153
1.22283e-008,0.3156
1.22668e-008,0.3155
1.23054e-008,0.3151
1.23440e-008,0.3150
1.23826e-008,0.3150
1.24212e-008,0.3149
1.24597e-008,0.3150
1.24983e-008,0.3151
1.25369e-008,0.3162
1.25755e-008,0.3236
1.26140e-008,0.3483
1.26526e-008,0.4092
1.26912e-008,0.5175
1.27297e-008,0.6622
1.27683e-008,0.8092
1.28069e-008,0.9127
1.28455e-008,0.9807
1.28841e-008,1.0298
1.29226e-008,1.0735
1.29612e-008,1.1156
1.29998e-008,1.1468
1.30383e-008,1.1652
1.30769e-008,1.1729
1.31155e-008,1.1706
1.31541e-008,1.1616
1.31926e-008,1.1511
1.32312e-008,1.1412
1.32698e-008,1.1339
1.33084e-008,1.1337
1.33470e-008,1.1408
1.33855e-008,1.1510
1.34241e-008,1.1608
1.34627e-008,1.1681
1.35012e-008,1.1797
1.35398e-008,1.1856
1.35784e-008,1.1751
1.36170e-008,1.1235
1.36555e-008,1.0097
1.36941e-008,0.8628
1.37327e-008,0.7226
1.37713e-008,0.5995
1.38099e-008,0.5048
1.38484e-008,0.4319
1.38870e-008,0.3786
1.39256e-008,0.3454
1.39641e-008,0.3086
1.40027e-008,0.3033
1.40413e-008,0.3360
1.40799e-008,0.4216
1.41185e-008,0.5644
1.41570e-008,0.7416
1.41956e-008,0.8981
1.42342e-008,1.0072
1.42728e-008,1.0724
1.43113e-008,1.1112
1.43499e-008,1.1431
1.43885e-008,1.1669
1.44270e-008,1.1802
1.44656e-008,1.1866
1.45042e-008,1.1856
1.45428e-008,1.1759
1.45814e-008,1.1631
1.46199e-008,1.1499
1.46585e-008,1.1376
1.46971e-008,1.1315
1.47357e-008,1.1340
1.47742e-008,1.1422
1.48128e-008,1.1530
1.48514e-008,1.1635
1.48899e-008,1.1703
1.49285e-008,1.1738
1.49671e-008,1.1761
1.50057e-008,1.1773
1.50443e-008,1.1780
1.50828e-008,1.1792
1.51214e-008,1.1806
1.51600e-008,1.1817
1.51985e-008,1.1829
1.52371e-008,1.1839
1.52757e-008,1.1843
1.53143e-008,1.1844
1.53528e-008,1.1861
1.53914e-008,1.1907
1.54300e-008,1.1904
1.54686e-008,1.1680
1.55071e-008,1.0944
1.55457e-008,0.9626
1.55843e-008,0.8143
1.56229e-008,0.6771
1.56615e-008,0.5626
1.57000e-008,0.4756
1.57386e-008,0.4088
1.57772e-008,0.3638
1.58158e-008,0.3361
1.58543e-008,0.3165
1.58929e-008,0.3038
1.59315e-008,0.3007
1.59701e-008,0.3054
1.60086e-008,0.3171
1.60472e-008,0.3349
1.60858e-008,0.3529
1.61243e-008,0.3642
1.61629e-008,0.3672
1.62015e-008,0.3626
1.62401e-008,0.3529
1.62786e-008,0.3421
1.63172e-008,0.3328
1.63558e-008,0.3257
1.63944e-008,0.3219
1.64329e-008,0.3207
1.64715e-008,0.3200
1.65101e-008,0.3192
1.65487e-008,0.3185
1.65873e-008,0.3171
1.66258e-008,0.3155
1.66644e-008,0.3142
1.67030e-008,0.3134
1.67416e-008,0.3133
1.67801e-008,0.3179
1.68187e-008,0.3339
1.68573e-008,0.3772
1.68959e-008,0.4664
1.69344e-008,0.5980
1.69730e-008,0.7519
1.70116e-008,0.8742
1.70501e-008,0.9551
1.70887e-008,1.0100
1.71273e-008,1.0546
1.71659e-008,1.0983
1.72044e-008,1.1350
1.72430e-008,1.1939
1.72816e-008,1.2179
1.73202e-008,1.2115
1.73588e-008,1.1636
1.73973e-008,1.0437
1.74359e-008,0.8793
1.74745e-008,0.7175
1.75131e-008,0.5756
1.75516e-008,0.4765
1.75902e-008,0.4134
1.76288e-008,0.3642
1.76674e-008,0.3340
1.77059e-008,0.3036
1.77445e-008,0.2887
1.77831e-008,0.3082
1.78216e-008,0.3794
1.78602e-008,0.5098
1.78988e-008,0.6857
1.79374e-008,0.8597
1.79759e-008,0.9858
1.80145e-008,1.0621
1.80531e-008,1.1051
1.80917e-008,1.1365
1.81302e-008,1.1603
1.81688e-008,1.1991
1.82074e-008,1.2282
1.82460e-008,1.2286
1.82846e-008,1.1959
1.83231e-008,1.1005
1.83617e-008,0.9430
1.84003e-008,0.7732
1.84389e-008,0.6177
1.84774e-008,0.4993
1.85160e-008,0.4254
1.85546e-008,0.3730
1.85932e-008,0.3397
1.86317e-008,0.3145
1.86703e-008,0.2912
1.87089e-008,0.2987
1.87474e-008,0.3516
1.87860e-008,0.4628
1.88246e-008,0.6264
1.88632e-008,0.8080
1.89017e-008,0.9505
1.89403e-008,1.0424
1.89789e-008,1.0942
1.90175e-008,1.1280
1.90560e-008,1.1549
1.90946e-008,1.1722
1.91332e-008,1.1824
1.91718e-008,1.1864
1.92104e-008,1.1817
1.92489e-008,1.1711
1.92875e-008,1.1583
1.93261e-008,1.1450
1.93647e-008,1.1342
1.94032e-008,1.1312
