.HEADER
..NAMES
Time,V U1.AC10&AB10
.DATA
0.0e+000,1.1787
3.86e-011,1.1787
7.72e-011,1.1787
1.157e-010,1.1787
1.543e-010,1.1787
1.929e-010,1.1787
2.314e-010,1.1787
2.700e-010,1.1787
3.086e-010,1.1787
3.472e-010,1.1787
3.857e-010,1.1787
4.243e-010,1.1787
4.629e-010,1.1787
5.015e-010,1.1787
5.401e-010,1.1787
5.786e-010,1.1787
6.172e-010,1.1787
6.558e-010,1.1787
6.944e-010,1.1787
7.329e-010,1.1787
7.715e-010,1.1787
8.101e-010,1.1787
8.486e-010,1.1787
8.872e-010,1.1787
9.258e-010,1.1787
9.644e-010,1.1787
1.0029e-009,1.1787
1.0415e-009,1.1787
1.0801e-009,1.1787
1.1187e-009,1.1792
1.1572e-009,1.1830
1.1958e-009,1.1857
1.2344e-009,1.1755
1.2730e-009,1.1310
1.3115e-009,1.0339
1.3501e-009,0.8998
1.3887e-009,0.7554
1.4273e-009,0.6203
1.4658e-009,0.5142
1.5044e-009,0.4453
1.5430e-009,0.4039
1.5816e-009,0.3855
1.6202e-009,0.3750
1.6587e-009,0.3906
1.6973e-009,0.4316
1.7359e-009,0.5078
1.7745e-009,0.6315
1.8130e-009,0.7812
1.8516e-009,0.9053
1.8902e-009,0.9939
1.9288e-009,1.0465
1.9673e-009,1.0660
2.0059e-009,1.0715
2.0445e-009,1.0776
2.0830e-009,1.1063
2.1216e-009,1.1178
2.1602e-009,1.1187
2.1988e-009,1.1013
2.2374e-009,1.0254
2.2759e-009,0.8951
2.3145e-009,0.7564
2.3531e-009,0.6223
2.3916e-009,0.5059
2.4302e-009,0.4316
2.4688e-009,0.3957
2.5074e-009,0.3807
2.5459e-009,0.3726
2.5845e-009,0.3878
2.6231e-009,0.4211
2.6617e-009,0.4806
2.7003e-009,0.5828
2.7388e-009,0.7290
2.7774e-009,0.8667
2.8160e-009,0.9674
2.8545e-009,1.0340
2.8931e-009,1.0653
2.9317e-009,1.0708
2.9703e-009,1.0748
3.0089e-009,1.1006
3.0474e-009,1.1148
3.0860e-009,1.1195
3.1246e-009,1.1092
3.1631e-009,1.0568
3.2017e-009,0.9392
3.2403e-009,0.7997
3.2789e-009,0.6648
3.3175e-009,0.5400
3.3560e-009,0.4500
3.3946e-009,0.4040
3.4332e-009,0.3834
3.4717e-009,0.3742
3.5103e-009,0.3820
3.5489e-009,0.4087
3.5875e-009,0.4599
3.6260e-009,0.5447
3.6646e-009,0.6797
3.7032e-009,0.8272
3.7418e-009,0.9396
3.7803e-009,1.0164
3.8189e-009,1.0593
3.8575e-009,1.0704
3.8961e-009,1.0734
3.9346e-009,1.0902
3.9732e-009,1.1114
4.0118e-009,1.1198
4.0504e-009,1.1141
4.0890e-009,1.0816
4.1275e-009,0.9814
4.1661e-009,0.8438
4.2047e-009,0.7071
4.2433e-009,0.5768
4.2818e-009,0.4734
4.3204e-009,0.4152
4.3590e-009,0.3877
4.3975e-009,0.3801
4.4361e-009,0.3769
4.4747e-009,0.3981
4.5133e-009,0.4405
