.HEADER
..NAMES
Time,V U1.AD18&AE18
.DATA
0.0e+000,1.1776
3.86e-011,1.1776
7.72e-011,1.1776
1.157e-010,1.1776
1.543e-010,1.1776
1.929e-010,1.1776
2.314e-010,1.1776
2.700e-010,1.1776
3.086e-010,1.1776
3.472e-010,1.1776
3.857e-010,1.1776
4.243e-010,1.1776
4.629e-010,1.1776
5.015e-010,1.1776
5.401e-010,1.1776
5.786e-010,1.1776
6.172e-010,1.1776
6.558e-010,1.1776
6.944e-010,1.1776
7.329e-010,1.1776
7.715e-010,1.1776
8.101e-010,1.1776
8.486e-010,1.1776
8.872e-010,1.1776
9.258e-010,1.1776
9.644e-010,1.1776
1.0029e-009,1.1824
1.0415e-009,1.1846
1.0801e-009,1.1742
1.1187e-009,1.1311
1.1572e-009,1.0390
1.1958e-009,0.9205
1.2344e-009,0.7911
1.2730e-009,0.6555
1.3115e-009,0.5379
1.3501e-009,0.4542
1.3887e-009,0.4185
1.4273e-009,0.4115
1.4658e-009,0.4036
1.5044e-009,0.4303
1.5430e-009,0.4679
1.5816e-009,0.5405
1.6202e-009,0.6406
1.6587e-009,0.7687
1.6973e-009,0.8847
1.7359e-009,0.9753
1.7745e-009,1.0418
1.8130e-009,1.0705
1.8516e-009,1.0721
1.8902e-009,1.0475
1.9288e-009,1.0651
1.9673e-009,1.0669
2.0059e-009,1.0830
2.0445e-009,1.0828
2.0830e-009,1.0190
2.1216e-009,0.9193
2.1602e-009,0.7796
2.1988e-009,0.6458
2.2374e-009,0.5221
2.2759e-009,0.4295
2.3145e-009,0.3937
2.3531e-009,0.3950
2.3916e-009,0.4059
2.4302e-009,0.4315
2.4688e-009,0.4628
2.5074e-009,0.5165
2.5459e-009,0.6020
2.5845e-009,0.7175
2.6231e-009,0.8418
2.6617e-009,0.9403
2.7003e-009,1.0212
2.7388e-009,1.0673
2.7774e-009,1.0784
2.8160e-009,1.0596
2.8545e-009,1.0590
2.8931e-009,1.0669
2.9317e-009,1.0751
2.9703e-009,1.0851
3.0089e-009,1.0431
3.0474e-009,0.9563
3.0860e-009,0.8243
3.1246e-009,0.6888
3.1631e-009,0.5607
3.2017e-009,0.4540
3.2403e-009,0.4012
3.2789e-009,0.3899
3.3175e-009,0.4069
3.3560e-009,0.4208
3.3946e-009,0.4521
3.4332e-009,0.4968
3.4717e-009,0.5715
3.5103e-009,0.6785
3.5489e-009,0.8057
3.5875e-009,0.9103
3.6260e-009,0.9987
3.6646e-009,1.0567
3.7032e-009,1.0781
3.7418e-009,1.0686
3.7803e-009,1.0436
3.8189e-009,1.0698
3.8575e-009,1.0698
3.8961e-009,1.0853
3.9346e-009,1.0642
3.9732e-009,0.9868
4.0118e-009,0.8690
4.0504e-009,0.7309
4.0890e-009,0.5999
4.1275e-009,0.4836
4.1661e-009,0.4123
4.2047e-009,0.3891
4.2433e-009,0.4030
4.2818e-009,0.4120
4.3204e-009,0.4422
4.3590e-009,0.4796
4.3975e-009,0.5441
4.4361e-009,0.6425
4.4747e-009,0.7662
4.5133e-009,0.8795
4.5519e-009,0.9733
4.5904e-009,1.0422
4.6290e-009,1.0750
4.6676e-009,1.0748
4.7062e-009,1.0498
4.7447e-009,1.0694
4.7833e-009,1.0663
4.8219e-009,1.0821
4.8604e-009,1.0780
4.8990e-009,1.0140
4.9376e-009,0.9123
4.9762e-009,0.7733
5.0147e-009,0.6406
5.0533e-009,0.5176
5.0919e-009,0.4283
5.1305e-009,0.3925
5.1691e-009,0.3958
5.2076e-009,0.4068
5.2462e-009,0.4326
5.2848e-009,0.4654
5.3234e-009,0.5201
5.3619e-009,0.6085
5.4005e-009,0.7245
5.4391e-009,0.8474
5.4776e-009,0.9452
5.5162e-009,1.0242
5.5548e-009,1.0688
5.5934e-009,1.0779
5.6320e-009,1.0584
5.6705e-009,1.0583
5.7091e-009,1.0671
5.7477e-009,1.0757
5.7863e-009,1.0843
5.8248e-009,1.0394
5.8634e-009,0.9506
5.9020e-009,0.8183
