.HEADER
..NAMES
Time,V U1.AD23&AE23
.DATA
0.0e+000,-0.8625
3.86e-011,-0.8625
7.72e-011,-0.8625
1.157e-010,-0.8625
1.543e-010,-0.8625
1.929e-010,-0.8625
2.314e-010,-0.8625
2.700e-010,-0.8625
3.086e-010,-0.8625
3.472e-010,-0.8625
3.857e-010,-0.8625
4.243e-010,-0.8625
4.629e-010,-0.8625
5.015e-010,-0.8625
5.401e-010,-0.8625
5.786e-010,-0.8625
6.172e-010,-0.8625
6.558e-010,-0.8625
6.944e-010,-0.8625
7.329e-010,-0.8625
7.715e-010,-0.8573
8.101e-010,-0.8393
8.486e-010,-0.7962
8.872e-010,-0.7037
9.258e-010,-0.5522
9.644e-010,-0.3425
1.0029e-009,-0.1097
1.0415e-009,0.1098
1.0801e-009,0.2921
1.1187e-009,0.4543
1.1572e-009,0.5891
1.1958e-009,0.6975
1.2344e-009,0.8131
1.2730e-009,0.8599
1.3115e-009,0.8717
1.3501e-009,0.7958
1.3887e-009,0.6145
1.4273e-009,0.3406
1.4658e-009,0.0263
1.5044e-009,-0.2745
1.5430e-009,-0.5088
1.5816e-009,-0.6660
1.6202e-009,-0.7597
1.6587e-009,-0.8080
1.6973e-009,-0.8415
1.7359e-009,-0.8327
1.7745e-009,-0.8134
1.8130e-009,-0.7276
1.8516e-009,-0.5732
1.8902e-009,-0.3624
1.9288e-009,-0.1066
1.9673e-009,0.1447
2.0059e-009,0.3559
2.0445e-009,0.5365
2.0830e-009,0.6714
2.1216e-009,0.7684
2.1602e-009,0.8612
2.1988e-009,0.9070
2.2374e-009,0.9154
2.2759e-009,0.8606
2.3145e-009,0.7040
2.3531e-009,0.4519
2.3916e-009,0.1406
2.4302e-009,-0.1750
2.4688e-009,-0.4392
2.5074e-009,-0.6237
2.5459e-009,-0.7362
2.5845e-009,-0.7956
2.6231e-009,-0.8320
2.6617e-009,-0.8412
2.7003e-009,-0.8211
2.7388e-009,-0.7649
2.7774e-009,-0.6284
2.8160e-009,-0.4369
2.8545e-009,-0.1902
2.8931e-009,0.0694
2.9317e-009,0.2926
2.9703e-009,0.4842
3.0089e-009,0.6348
3.0474e-009,0.7413
3.0860e-009,0.8317
3.1246e-009,0.8995
3.1631e-009,0.9149
3.2017e-009,0.8884
3.2403e-009,0.7645
3.2789e-009,0.5409
3.3175e-009,0.2417
3.3560e-009,-0.0776
3.3946e-009,-0.3646
3.4332e-009,-0.5738
3.4717e-009,-0.7074
3.5103e-009,-0.7817
3.5489e-009,-0.8180
3.5875e-009,-0.8444
3.6260e-009,-0.8205
3.6646e-009,-0.7924
3.7032e-009,-0.6785
3.7418e-009,-0.5043
3.7803e-009,-0.2721
