.HEADER
..NAMES
Time,V U1.AD23&AE23
.DATA
0.0e+000,0.3152
3.86e-011,0.3152
7.72e-011,0.3152
1.157e-010,0.3152
1.543e-010,0.3152
1.929e-010,0.3152
2.314e-010,0.3152
2.700e-010,0.3152
3.086e-010,0.3152
3.472e-010,0.3152
3.857e-010,0.3152
4.243e-010,0.3152
4.629e-010,0.3152
5.015e-010,0.3152
5.401e-010,0.3152
5.786e-010,0.3152
6.172e-010,0.3152
6.558e-010,0.3152
6.944e-010,0.3152
7.329e-010,0.3152
7.715e-010,0.3204
8.101e-010,0.3383
8.486e-010,0.3867
8.872e-010,0.4826
9.258e-010,0.6218
9.644e-010,0.7823
1.0029e-009,0.9109
1.0415e-009,1.0012
1.0801e-009,1.0594
1.1187e-009,1.0943
1.1572e-009,1.1136
1.1958e-009,1.1275
1.2344e-009,1.1831
1.2730e-009,1.2075
1.3115e-009,1.2037
1.3501e-009,1.1559
1.3887e-009,1.0381
1.4273e-009,0.8612
1.4658e-009,0.6728
1.5044e-009,0.5086
1.5430e-009,0.3879
1.5816e-009,0.3185
1.6202e-009,0.2951
1.6587e-009,0.2957
1.6973e-009,0.2887
1.7359e-009,0.3000
1.7745e-009,0.3350
1.8130e-009,0.4117
1.8516e-009,0.5389
1.8902e-009,0.7132
1.9288e-009,0.8880
1.9673e-009,1.0238
2.0059e-009,1.1177
2.0445e-009,1.1727
2.0830e-009,1.1963
2.1216e-009,1.2002
2.1602e-009,1.2239
2.1988e-009,1.2390
2.2374e-009,1.2320
2.2759e-009,1.1939
2.3145e-009,1.0952
2.3531e-009,0.9302
2.3916e-009,0.7387
2.4302e-009,0.5623
2.4688e-009,0.4235
2.5074e-009,0.3336
2.5459e-009,0.2956
2.5845e-009,0.2916
2.6231e-009,0.2904
2.6617e-009,0.2931
2.7003e-009,0.3192
2.7388e-009,0.3811
2.7774e-009,0.4928
2.8160e-009,0.6538
2.8545e-009,0.8359
2.8931e-009,0.9850
2.9317e-009,1.0925
2.9703e-009,1.1596
3.0089e-009,1.1918
3.0474e-009,1.2003
3.0860e-009,1.2124
3.1246e-009,1.2375
3.1631e-009,1.2369
3.2017e-009,1.2110
3.2403e-009,1.1344
