.HEADER
..NAMES
Time,V U1.AA25&AA24
.DATA
0.0e+000,0.3148
3.86e-011,0.3148
7.72e-011,0.3148
1.157e-010,0.3148
1.543e-010,0.3148
1.929e-010,0.3148
2.314e-010,0.3148
2.700e-010,0.3148
3.086e-010,0.3148
3.472e-010,0.3148
3.857e-010,0.3148
4.243e-010,0.3148
4.629e-010,0.3148
5.015e-010,0.3148
5.401e-010,0.3148
5.786e-010,0.3148
6.172e-010,0.3148
6.558e-010,0.3148
6.944e-010,0.3148
7.329e-010,0.3148
7.715e-010,0.3150
8.101e-010,0.3212
8.486e-010,0.3418
8.872e-010,0.3958
9.258e-010,0.4987
9.644e-010,0.6445
1.0029e-009,0.8073
1.0415e-009,0.9349
1.0801e-009,1.0252
1.1187e-009,1.0849
1.1572e-009,1.1179
1.1958e-009,1.1297
1.2344e-009,1.1292
1.2730e-009,1.1720
1.3115e-009,1.1836
1.3501e-009,1.1662
1.3887e-009,1.0972
1.4273e-009,0.9561
1.4658e-009,0.7764
1.5044e-009,0.6018
1.5430e-009,0.4528
1.5816e-009,0.3518
1.6202e-009,0.2958
1.6587e-009,0.2829
1.6973e-009,0.2974
1.7359e-009,0.2984
1.7745e-009,0.3200
1.8130e-009,0.3769
1.8516e-009,0.4864
1.8902e-009,0.6488
1.9288e-009,0.8420
1.9673e-009,1.0046
2.0059e-009,1.1160
2.0445e-009,1.1801
2.0830e-009,1.2043
2.1216e-009,1.1994
2.1602e-009,1.1810
2.1988e-009,1.1949
2.2374e-009,1.2029
2.2759e-009,1.1877
2.3145e-009,1.1329
2.3531e-009,1.0095
2.3916e-009,0.8326
2.4302e-009,0.6540
2.4688e-009,0.4922
2.5074e-009,0.3754
2.5459e-009,0.3058
2.5845e-009,0.2818
2.6231e-009,0.2928
2.6617e-009,0.2991
2.7003e-009,0.3120
2.7388e-009,0.3558
2.7774e-009,0.4472
2.8160e-009,0.5943
2.8545e-009,0.7820
2.8931e-009,0.9592
2.9317e-009,1.0863
2.9703e-009,1.1646
3.0089e-009,1.2009
3.0474e-009,1.2036
3.0860e-009,1.1873
3.1246e-009,1.1872
3.1631e-009,1.2028
3.2017e-009,1.1955
3.2403e-009,1.1564
3.2789e-009,1.0558
3.3175e-009,0.8903
3.3560e-009,0.7089
3.3946e-009,0.5390
3.4332e-009,0.4070
3.4717e-009,0.3229
3.5103e-009,0.2846
3.5489e-009,0.2872
3.5875e-009,0.3030
3.6260e-009,0.3059
3.6646e-009,0.3380
3.7032e-009,0.4118
3.7418e-009,0.5423
3.7803e-009,0.7197
3.8189e-009,0.9085
3.8575e-009,1.0511
3.8961e-009,1.1446
3.9346e-009,1.1937
3.9732e-009,1.2056
4.0118e-009,1.1935
4.0504e-009,1.1732
4.0890e-009,1.2007
4.1275e-009,1.2005
4.1661e-009,1.1737
4.2047e-009,1.0957
4.2433e-009,0.9475
4.2818e-009,0.7652
4.3204e-009,0.5901
4.3590e-009,0.4433
4.3975e-009,0.3445
4.4361e-009,0.2916
4.4747e-009,0.2829
4.5133e-009,0.3001
4.5519e-009,0.3016
4.5904e-009,0.3240
4.6290e-009,0.3825
4.6676e-009,0.4950
4.7062e-009,0.6597
4.7447e-009,0.8524
4.7833e-009,1.0112
4.8219e-009,1.1201
4.8604e-009,1.1824
4.8990e-009,1.2050
4.9376e-009,1.1987
4.9762e-009,1.1797
5.0147e-009,1.1969
5.0533e-009,1.2028
5.0919e-009,1.1860
5.1305e-009,1.1280
5.1691e-009,1.0008
5.2076e-009,0.8226
5.2462e-009,0.6441
5.2848e-009,0.4845
5.3234e-009,0.3706
5.3619e-009,0.3035
5.4005e-009,0.2815
5.4391e-009,0.2936
5.4776e-009,0.2999
5.5162e-009,0.3135
5.5548e-009,0.3591
5.5934e-009,0.4531
5.6320e-009,0.6029
5.6705e-009,0.7918
5.7091e-009,0.9665
5.7477e-009,1.0911
5.7863e-009,1.1673
5.8248e-009,1.2016
5.8634e-009,1.2028
5.9020e-009,1.1860
5.9405e-009,1.1862
5.9791e-009,1.2021
6.0177e-009,1.1942
6.0563e-009,1.1528
6.0948e-009,1.0484
6.1334e-009,0.8808
6.1720e-009,0.7000
6.2106e-009,0.5313
6.2492e-009,0.4012
6.2877e-009,0.3195
6.3263e-009,0.2838
6.3649e-009,0.2881
6.4035e-009,0.3009
6.4420e-009,0.3062
6.4806e-009,0.3403
6.5192e-009,0.4170
6.5577e-009,0.5503
6.5963e-009,0.7294
6.6349e-009,0.9166
6.6735e-009,1.0569
6.7121e-009,1.1479
6.7506e-009,1.1949
6.7892e-009,1.2052
6.8278e-009,1.1925
6.8664e-009,1.1721
6.9049e-009,1.2003
6.9435e-009,1.1995
6.9821e-009,1.1711
7.0206e-009,1.0895
7.0592e-009,0.9380
7.0978e-009,0.7558
7.1364e-009,0.5819
7.1749e-009,0.4370
7.2135e-009,0.3403
7.2521e-009,0.2900
7.2907e-009,0.2833
7.3293e-009,0.3012
7.3678e-009,0.3016
7.4064e-009,0.3256
7.4450e-009,0.3867
7.4835e-009,0.5022
7.5221e-009,0.6690
7.5607e-009,0.8615
7.5993e-009,1.0180
7.6379e-009,1.1243
7.6764e-009,1.1843
7.7150e-009,1.2051
7.7536e-009,1.1978
7.7922e-009,1.1785
7.8307e-009,1.1963
7.8693e-009,1.2022
7.9079e-009,1.1841
7.9464e-009,1.1232
7.9850e-009,0.9921
8.0236e-009,0.8128
8.0622e-009,0.6355
8.1008e-009,0.4775
8.1393e-009,0.3657
8.1779e-009,0.3011
8.2165e-009,0.2814
8.2550e-009,0.2947
8.2936e-009,0.2992
8.3322e-009,0.3146
8.3708e-009,0.3622
8.4093e-009,0.4594
8.4479e-009,0.6118
8.4865e-009,0.8016
8.5251e-009,0.9740
8.5637e-009,1.0960
8.6022e-009,1.1698
8.6408e-009,1.2022
8.6794e-009,1.2022
8.7179e-009,1.1849
8.7565e-009,1.1899
8.7951e-009,1.2028
8.8337e-009,1.1931
8.8722e-009,1.1492
8.9108e-009,1.0410
8.9494e-009,0.8711
8.9880e-009,0.6905
9.0266e-009,0.5230
9.0651e-009,0.3960
9.1037e-009,0.3165
9.1423e-009,0.2829
9.1808e-009,0.2887
9.2194e-009,0.3019
9.2580e-009,0.3075
9.2966e-009,0.3430
9.3352e-009,0.4223
9.3737e-009,0.5583
9.4123e-009,0.7393
9.4509e-009,0.9250
9.4895e-009,1.0626
9.5280e-009,1.1513
9.5666e-009,1.1962
9.6052e-009,1.2049
9.6437e-009,1.1914
9.6823e-009,1.1782
9.7209e-009,1.2014
9.7595e-009,1.1990
9.7981e-009,1.1685
9.8366e-009,1.0834
9.8752e-009,0.9290
9.9138e-009,0.7467
9.9524e-009,0.5728
9.9909e-009,0.4308
1.00295e-008,0.3366
1.00681e-008,0.2887
1.01066e-008,0.2836
1.01452e-008,0.3020
1.01838e-008,0.3025
1.02224e-008,0.3280
1.02610e-008,0.3912
1.02995e-008,0.5094
1.03381e-008,0.6785
1.03767e-008,0.8708
1.04152e-008,1.0244
1.04538e-008,1.1284
1.04924e-008,1.1862
1.05310e-008,1.2052
1.05695e-008,1.1969
1.06081e-008,1.1774
1.06467e-008,1.1983
1.06853e-008,1.2021
1.07239e-008,1.1824
1.07624e-008,1.1183
1.08010e-008,0.9838
1.08396e-008,0.8037
1.08781e-008,0.6261
1.09167e-008,0.4704
1.09553e-008,0.3614
1.09939e-008,0.2991
1.10324e-008,0.2815
1.10710e-008,0.2956
1.11096e-008,0.3000
1.11482e-008,0.3164
1.11868e-008,0.3659
1.12253e-008,0.4659
1.12639e-008,0.6208
1.13025e-008,0.8116
1.13410e-008,0.9813
1.13796e-008,1.1008
1.14182e-008,1.1725
1.14568e-008,1.2029
1.14953e-008,1.2015
1.15339e-008,1.1838
1.15725e-008,1.1929
1.16111e-008,1.2032
1.16497e-008,1.1920
1.16882e-008,1.1454
1.17268e-008,1.0335
1.17654e-008,0.8619
1.18039e-008,0.6813
1.18425e-008,0.5150
1.18811e-008,0.3909
1.19197e-008,0.3137
1.19583e-008,0.2824
1.19968e-008,0.2895
1.20354e-008,0.3000
1.20740e-008,0.3080
1.21126e-008,0.3458
1.21511e-008,0.4278
1.21897e-008,0.5666
1.22283e-008,0.7495
1.22668e-008,0.9333
1.23054e-008,1.0686
1.23440e-008,1.1546
1.23826e-008,1.1972
1.24212e-008,1.2044
1.24597e-008,1.1904
1.24983e-008,1.1778
1.25369e-008,1.2009
1.25755e-008,1.1980
1.26140e-008,1.1657
1.26526e-008,1.0770
1.26912e-008,0.9195
1.27297e-008,0.7375
1.27683e-008,0.5647
1.28069e-008,0.4248
1.28455e-008,0.3328
1.28841e-008,0.2875
1.29226e-008,0.2844
1.29612e-008,0.3031
1.29998e-008,0.3027
1.30383e-008,0.3299
1.30769e-008,0.3957
1.31155e-008,0.5169
1.31541e-008,0.6881
1.31926e-008,0.8797
1.32312e-008,1.0311
1.32698e-008,1.1323
1.33084e-008,1.1880
1.33470e-008,1.2053
1.33855e-008,1.1961
1.34241e-008,1.1762
1.34627e-008,1.1978
1.35012e-008,1.2015
1.35398e-008,1.1803
1.35784e-008,1.1130
1.36170e-008,0.9750
1.36555e-008,0.7941
1.36941e-008,0.6177
1.37327e-008,0.4638
1.37713e-008,0.3569
1.38099e-008,0.2969
1.38484e-008,0.2817
1.38870e-008,0.2968
1.39256e-008,0.2996
1.39641e-008,0.3177
1.40027e-008,0.3693
1.40413e-008,0.4724
1.40799e-008,0.6298
1.41185e-008,0.8213
1.41570e-008,0.9887
1.41956e-008,1.1056
1.42342e-008,1.1749
1.42728e-008,1.2035
1.43113e-008,1.2010
1.43499e-008,1.1828
1.43885e-008,1.1923
1.44270e-008,1.2027
1.44656e-008,1.1906
1.45042e-008,1.1415
1.45428e-008,1.0258
1.45814e-008,0.8521
1.46199e-008,0.6725
1.46585e-008,0.5077
1.46971e-008,0.3857
1.47357e-008,0.3107
1.47742e-008,0.2819
1.48128e-008,0.2905
1.48514e-008,0.3012
1.48899e-008,0.3095
1.49285e-008,0.3487
1.49671e-008,0.4336
1.50057e-008,0.5750
1.50443e-008,0.7595
1.50828e-008,0.9411
1.51214e-008,1.0738
1.51600e-008,1.1577
1.51985e-008,1.1984
1.52371e-008,1.2041
1.52757e-008,1.1891
1.53143e-008,1.1833
1.53528e-008,1.2020
1.53914e-008,1.1974
1.54300e-008,1.1629
1.54686e-008,1.0705
1.55071e-008,0.9104
1.55457e-008,0.7284
1.55843e-008,0.5559
1.56229e-008,0.4189
1.56615e-008,0.3295
1.57000e-008,0.2864
1.57386e-008,0.2850
1.57772e-008,0.3039
1.58158e-008,0.3037
1.58543e-008,0.3324
1.58929e-008,0.4006
1.59315e-008,0.5246
1.59701e-008,0.6978
1.60086e-008,0.8887
1.60472e-008,1.0373
1.60858e-008,1.1362
1.61243e-008,1.1898
1.61629e-008,1.2053
1.62015e-008,1.1951
1.62401e-008,1.1751
1.62786e-008,1.1995
1.63172e-008,1.2013
1.63558e-008,1.1783
1.63944e-008,1.1077
1.64329e-008,0.9664
1.64715e-008,0.7850
1.65101e-008,0.6084
1.65487e-008,0.4569
1.65873e-008,0.3529
1.66258e-008,0.2951
1.66644e-008,0.2819
1.67030e-008,0.2976
1.67416e-008,0.3005
1.67801e-008,0.3197
1.68187e-008,0.3733
1.68573e-008,0.4793
1.68959e-008,0.6390
1.69344e-008,0.8311
1.69730e-008,0.9957
1.70116e-008,1.1101
1.70501e-008,1.1773
1.70887e-008,1.2039
1.71273e-008,1.2002
1.71659e-008,1.1817
1.72044e-008,1.1949
1.72430e-008,1.2030
1.72816e-008,1.1892
1.73202e-008,1.1374
1.73588e-008,1.0181
1.73973e-008,0.8429
1.74359e-008,0.6632
1.74745e-008,0.5000
1.75131e-008,0.3808
1.75516e-008,0.3083
1.75902e-008,0.2816
1.76288e-008,0.2912
1.76674e-008,0.2996
1.77059e-008,0.3103
1.77445e-008,0.3518
1.77831e-008,0.4395
1.78216e-008,0.5835
1.78602e-008,0.7697
1.78988e-008,0.9493
1.79374e-008,1.0795
1.79759e-008,1.1607
1.80145e-008,1.1993
1.80531e-008,1.2036
1.80917e-008,1.1882
1.81302e-008,1.1825
1.81688e-008,1.2016
1.82074e-008,1.1962
1.82460e-008,1.1598
1.82846e-008,1.0637
1.83231e-008,0.9009
1.83617e-008,0.7192
1.84003e-008,0.5482
1.84389e-008,0.4131
1.84774e-008,0.3261
1.85160e-008,0.2854
1.85546e-008,0.2859
1.85932e-008,0.3013
1.86317e-008,0.3041
1.86703e-008,0.3345
1.87089e-008,0.4054
1.87474e-008,0.5325
1.87860e-008,0.7076
1.88246e-008,0.8975
1.88632e-008,1.0437
1.89017e-008,1.1398
1.89403e-008,1.1914
1.89789e-008,1.2053
1.90175e-008,1.1942
1.90560e-008,1.1741
1.90946e-008,1.1991
1.91332e-008,1.2006
1.91718e-008,1.1761
1.92104e-008,1.1021
1.92489e-008,0.9574
1.92875e-008,0.7754
1.93261e-008,0.6002
1.93647e-008,0.4505
1.94032e-008,0.3486
1.94418e-008,0.2931
1.94804e-008,0.2823
1.95190e-008,0.2988
1.95575e-008,0.3003
1.95961e-008,0.3212
1.96347e-008,0.3771
1.96732e-008,0.4862
1.97118e-008,0.6483
1.97504e-008,0.8407
1.97890e-008,1.0029
1.98275e-008,1.1146
1.98661e-008,1.1795
1.99047e-008,1.2043
1.99433e-008,1.1995
1.99819e-008,1.1807
2.00204e-008,1.1944
2.00590e-008,1.2026
2.00976e-008,1.1876
2.01362e-008,1.1330
2.01747e-008,1.0100
2.02133e-008,0.8331
2.02519e-008,0.6545
2.02905e-008,0.4929
2.03290e-008,0.3758
2.03676e-008,0.3057
2.04062e-008,0.2813
2.04447e-008,0.2923
2.04833e-008,0.3008
2.05219e-008,0.3119
2.05605e-008,0.3549
2.05990e-008,0.4456
2.06376e-008,0.5922
2.06762e-008,0.7796
2.07148e-008,0.9569
2.07533e-008,1.0844
2.07919e-008,1.1636
2.08305e-008,1.2003
2.08691e-008,1.2031
2.09077e-008,1.1870
2.09462e-008,1.1869
2.09848e-008,1.2025
2.10234e-008,1.1955
2.10620e-008,1.1566
2.11005e-008,1.0567
2.11391e-008,0.8917
2.11777e-008,0.7101
2.12163e-008,0.5398
2.12548e-008,0.4075
2.12934e-008,0.3230
2.13320e-008,0.2843
2.13705e-008,0.2866
2.14091e-008,0.3024
2.14477e-008,0.3052
2.14863e-008,0.3372
2.15248e-008,0.4105
2.15634e-008,0.5404
2.16020e-008,0.7175
2.16406e-008,0.9064
2.16791e-008,1.0496
2.17177e-008,1.1435
2.17563e-008,1.1930
2.17949e-008,1.2052
2.18335e-008,1.1933
2.18720e-008,1.1731
2.19106e-008,1.2005
2.19492e-008,1.2003
2.19878e-008,1.1738
2.20263e-008,1.0964
2.20649e-008,0.9487
2.21035e-008,0.7664
2.21420e-008,0.5910
2.21806e-008,0.4440
2.22192e-008,0.3448
2.22578e-008,0.2916
2.22963e-008,0.2826
2.23349e-008,0.2996
2.23735e-008,0.3012
2.24121e-008,0.3234
2.24506e-008,0.3815
2.24892e-008,0.4934
2.25278e-008,0.6576
2.25664e-008,0.8503
2.26050e-008,1.0097
2.26435e-008,1.1190
2.26821e-008,1.1817
2.27207e-008,1.2046
2.27593e-008,1.1986
2.27978e-008,1.1796
2.28364e-008,1.1967
2.28750e-008,1.2027
2.29136e-008,1.1861
2.29521e-008,1.1286
2.29907e-008,1.0019
2.30293e-008,0.8239
2.30678e-008,0.6452
2.31064e-008,0.4854
2.31450e-008,0.3711
2.31836e-008,0.3036
2.32221e-008,0.2812
2.32607e-008,0.2931
2.32993e-008,0.2995
2.33379e-008,0.3130
2.33764e-008,0.3582
2.34150e-008,0.4517
2.34536e-008,0.6009
2.34922e-008,0.7897
2.35308e-008,0.9648
2.35693e-008,1.0898
2.36079e-008,1.1664
2.36465e-008,1.2011
2.36851e-008,1.2026
2.37236e-008,1.1860
2.37622e-008,1.1861
2.38008e-008,1.2020
2.38394e-008,1.1942
2.38779e-008,1.1532
2.39165e-008,1.0495
2.39551e-008,0.8821
2.39936e-008,0.7012
2.40322e-008,0.5323
2.40708e-008,0.4019
2.41094e-008,0.3198
2.41479e-008,0.2836
2.41865e-008,0.2877
2.42251e-008,0.3005
2.42637e-008,0.3057
2.43023e-008,0.3396
2.43408e-008,0.4157
2.43794e-008,0.5485
2.44180e-008,0.7273
2.44566e-008,0.9148
2.44951e-008,1.0556
2.45337e-008,1.1470
2.45723e-008,1.1943
2.46109e-008,1.2050
2.46494e-008,1.1924
2.46880e-008,1.1721
2.47266e-008,1.2001
2.47651e-008,1.1995
2.48037e-008,1.1713
2.48423e-008,1.0904
2.48809e-008,0.9394
2.49194e-008,0.7570
2.49580e-008,0.5830
2.49966e-008,0.4378
2.50352e-008,0.3407
2.50737e-008,0.2900
2.51123e-008,0.2830
2.51509e-008,0.3008
2.51895e-008,0.3012
2.52281e-008,0.3250
2.52666e-008,0.3856
2.53052e-008,0.5006
2.53438e-008,0.6670
