.HEADER
..NAMES
Time,V U1.AA25&AA24
.DATA
0.0e+000,1.1774
3.86e-011,1.1774
7.72e-011,1.1774
1.157e-010,1.1774
1.543e-010,1.1774
1.929e-010,1.1774
2.314e-010,1.1774
2.700e-010,1.1774
3.086e-010,1.1774
3.472e-010,1.1774
3.857e-010,1.1774
4.243e-010,1.1774
4.629e-010,1.1774
5.015e-010,1.1774
5.401e-010,1.1774
5.786e-010,1.1774
6.172e-010,1.1774
6.558e-010,1.1774
6.944e-010,1.1774
7.329e-010,1.1774
7.715e-010,1.1774
8.101e-010,1.1774
8.486e-010,1.1774
8.872e-010,1.1823
9.258e-010,1.1868
9.644e-010,1.1761
1.0029e-009,1.1295
1.0415e-009,1.0271
1.0801e-009,0.8954
1.1187e-009,0.7756
1.1572e-009,0.6590
1.1958e-009,0.5516
1.2344e-009,0.4722
1.2730e-009,0.4245
1.3115e-009,0.4058
1.3501e-009,0.3929
1.3887e-009,0.4027
1.4273e-009,0.4461
1.4658e-009,0.5282
1.5044e-009,0.6506
1.5430e-009,0.7877
1.5816e-009,0.8889
1.6202e-009,0.9566
1.6587e-009,1.0155
1.6973e-009,1.0582
1.7359e-009,1.0780
1.7745e-009,1.0783
1.8130e-009,1.0993
1.8516e-009,1.1085
1.8902e-009,1.0978
1.9288e-009,1.0762
1.9673e-009,1.0002
2.0059e-009,0.8757
2.0445e-009,0.7657
2.0830e-009,0.6607
2.1216e-009,0.5513
2.1602e-009,0.4694
2.1988e-009,0.4171
2.2374e-009,0.3913
2.2759e-009,0.3845
2.3145e-009,0.3944
2.3531e-009,0.4274
2.3916e-009,0.4969
2.4302e-009,0.6082
2.4688e-009,0.7416
2.5074e-009,0.8590
2.5459e-009,0.9354
2.5845e-009,0.9950
2.6231e-009,1.0443
2.6617e-009,1.0733
2.7003e-009,1.0790
2.7388e-009,1.0912
2.7774e-009,1.1083
2.8160e-009,1.1029
2.8545e-009,1.0856
2.8931e-009,1.0316
2.9317e-009,0.9161
2.9703e-009,0.7960
3.0089e-009,0.6957
3.0474e-009,0.5837
3.0860e-009,0.4911
3.1246e-009,0.4319
3.1631e-009,0.3968
3.2017e-009,0.3877
3.2403e-009,0.3896
3.2789e-009,0.4132
3.3175e-009,0.4701
3.3560e-009,0.5697
