.HEADER
..NAMES
Time,V U1.AB15
.DATA
0.0e+000,0.3241
3.67e-011,0.3241
7.33e-011,0.3241
1.100e-010,0.3255
1.467e-010,0.3335
1.834e-010,0.3585
2.201e-010,0.4172
2.567e-010,0.5156
2.934e-010,0.6402
3.301e-010,0.7651
3.667e-010,0.8581
4.034e-010,0.9247
4.401e-010,0.9743
4.768e-010,1.0141
5.135e-010,1.0462
5.501e-010,1.0706
5.868e-010,1.0873
6.235e-010,1.0989
6.601e-010,1.1069
6.968e-010,1.1126
7.335e-010,1.1163
7.702e-010,1.1183
8.068e-010,1.1179
8.435e-010,1.1153
8.802e-010,1.1115
9.169e-010,1.1076
9.536e-010,1.1058
9.902e-010,1.1054
1.0269e-009,1.1031
1.0636e-009,1.0979
1.1003e-009,1.0879
1.1369e-009,1.0639
1.1736e-009,1.0144
1.2103e-009,0.9196
1.2469e-009,0.7850
1.2836e-009,0.6487
1.3203e-009,0.5314
1.3570e-009,0.4368
1.3936e-009,0.3647
1.4303e-009,0.3134
1.4670e-009,0.2804
1.5037e-009,0.2603
1.5403e-009,0.2488
1.5770e-009,0.2418
1.6137e-009,0.2368
1.6504e-009,0.2319
1.6871e-009,0.2269
1.7237e-009,0.2227
1.7604e-009,0.2212
1.7971e-009,0.2237
1.8338e-009,0.2295
1.8704e-009,0.2359
1.9071e-009,0.2400
1.9438e-009,0.2412
1.9805e-009,0.2422
2.0171e-009,0.2483
2.0538e-009,0.2654
2.0905e-009,0.2949
2.1272e-009,0.3294
2.1638e-009,0.3571
2.2005e-009,0.3714
2.2372e-009,0.3742
2.2738e-009,0.3732
2.3105e-009,0.3751
2.3472e-009,0.3809
2.3839e-009,0.3881
2.4205e-009,0.3939
2.4572e-009,0.3967
2.4939e-009,0.3965
2.5306e-009,0.3948
2.5672e-009,0.3935
2.6039e-009,0.3938
2.6406e-009,0.3961
2.6773e-009,0.3994
2.7139e-009,0.4019
2.7506e-009,0.4025
2.7873e-009,0.4014
2.8240e-009,0.4001
2.8606e-009,0.4002
2.8973e-009,0.4023
2.9340e-009,0.4049
2.9707e-009,0.4053
3.0073e-009,0.4008
3.0440e-009,0.3913
3.0807e-009,0.3793
3.1174e-009,0.3680
3.1540e-009,0.3591
3.1907e-009,0.3518
3.2274e-009,0.3451
3.2641e-009,0.3389
3.3007e-009,0.3340
3.3374e-009,0.3313
3.3741e-009,0.3306
3.4108e-009,0.3311
3.4475e-009,0.3318
3.4841e-009,0.3319
3.5208e-009,0.3311
3.5575e-009,0.3294
3.5942e-009,0.3276
3.6308e-009,0.3263
3.6675e-009,0.3261
3.7042e-009,0.3269
3.7408e-009,0.3279
3.7775e-009,0.3283
3.8142e-009,0.3273
3.8509e-009,0.3252
3.8875e-009,0.3228
3.9242e-009,0.3213
3.9609e-009,0.3213
3.9976e-009,0.3224
4.0342e-009,0.3237
4.0709e-009,0.3242
4.1076e-009,0.3239
4.1443e-009,0.3234
4.1809e-009,0.3230
4.2176e-009,0.3229
4.2543e-009,0.3229
4.2910e-009,0.3227
4.3276e-009,0.3226
4.3643e-009,0.3224
4.4010e-009,0.3224
4.4377e-009,0.3225
4.4743e-009,0.3226
4.5110e-009,0.3227
4.5477e-009,0.3227
4.5844e-009,0.3226
4.6211e-009,0.3223
4.6577e-009,0.3220
4.6944e-009,0.3218
4.7311e-009,0.3220
4.7678e-009,0.3225
4.8044e-009,0.3232
4.8411e-009,0.3237
4.8778e-009,0.3238
4.9145e-009,0.3236
4.9511e-009,0.3233
4.9878e-009,0.3232
5.0245e-009,0.3235
5.0612e-009,0.3238
5.0978e-009,0.3240
5.1345e-009,0.3239
5.1712e-009,0.3237
5.2079e-009,0.3235
5.2445e-009,0.3233
5.2812e-009,0.3233
5.3179e-009,0.3234
5.3546e-009,0.3235
5.3912e-009,0.3236
5.4279e-009,0.3237
5.4646e-009,0.3237
5.5013e-009,0.3236
5.5379e-009,0.3235
5.5746e-009,0.3236
5.6113e-009,0.3236
5.6480e-009,0.3237
5.6846e-009,0.3238
5.7213e-009,0.3237
5.7580e-009,0.3236
5.7947e-009,0.3236
5.8313e-009,0.3237
5.8680e-009,0.3237
5.9047e-009,0.3238
5.9414e-009,0.3237
5.9780e-009,0.3236
6.0147e-009,0.3236
6.0514e-009,0.3236
6.0881e-009,0.3237
6.1247e-009,0.3238
6.1614e-009,0.3238
6.1981e-009,0.3238
6.2348e-009,0.3238
6.2714e-009,0.3237
6.3081e-009,0.3237
6.3448e-009,0.3237
6.3815e-009,0.3237
6.4181e-009,0.3238
6.4548e-009,0.3238
6.4915e-009,0.3238
6.5282e-009,0.3238
6.5648e-009,0.3237
6.6015e-009,0.3237
6.6382e-009,0.3237
6.6749e-009,0.3250
6.7115e-009,0.3327
6.7482e-009,0.3569
6.7849e-009,0.4144
6.8215e-009,0.5115
6.8582e-009,0.6353
6.8949e-009,0.7611
6.9316e-009,0.8550
6.9682e-009,0.9223
7.0049e-009,0.9724
7.0416e-009,1.0125
7.0783e-009,1.0448
7.1149e-009,1.0695
7.1516e-009,1.0865
7.1883e-009,1.0982
7.2250e-009,1.1064
7.2616e-009,1.1121
7.2983e-009,1.1160
7.3350e-009,1.1180
7.3717e-009,1.1176
7.4083e-009,1.1151
7.4450e-009,1.1113
7.4817e-009,1.1075
7.5184e-009,1.1055
7.5550e-009,1.1051
7.5917e-009,1.1030
7.6284e-009,1.0979
7.6651e-009,1.0881
7.7018e-009,1.0648
7.7384e-009,1.0163
7.7751e-009,0.9231
7.8118e-009,0.7892
7.8484e-009,0.6524
7.8851e-009,0.5344
7.9218e-009,0.4391
7.9585e-009,0.3663
7.9952e-009,0.3144
8.0318e-009,0.2810
8.0685e-009,0.2604
8.1052e-009,0.2488
8.1418e-009,0.2417
8.1785e-009,0.2367
8.2152e-009,0.2318
8.2519e-009,0.2268
8.2886e-009,0.2225
8.3252e-009,0.2209
8.3619e-009,0.2233
8.3986e-009,0.2291
8.4352e-009,0.2355
8.4719e-009,0.2397
8.5086e-009,0.2410
8.5453e-009,0.2419
8.5820e-009,0.2478
8.6186e-009,0.2644
8.6553e-009,0.2936
8.6920e-009,0.3281
8.7286e-009,0.3562
8.7653e-009,0.3709
8.8020e-009,0.3740
8.8387e-009,0.3729
8.8754e-009,0.3747
8.9120e-009,0.3805
