.HEADER
..NAMES
Time,V U1.AC15
.DATA
0.0e+000,0.3239
3.67e-011,0.3239
7.33e-011,0.3239
1.100e-010,0.3253
1.467e-010,0.3333
1.834e-010,0.3583
2.201e-010,0.4172
2.567e-010,0.5159
2.934e-010,0.6411
3.301e-010,0.7671
3.667e-010,0.8608
4.034e-010,0.9271
4.401e-010,0.9754
4.768e-010,1.0133
5.135e-010,1.0444
5.501e-010,1.0687
5.868e-010,1.0858
6.235e-010,1.0979
6.601e-010,1.1063
6.968e-010,1.1122
7.335e-010,1.1166
7.702e-010,1.1200
8.068e-010,1.1224
8.435e-010,1.1239
8.802e-010,1.1241
9.169e-010,1.1222
9.536e-010,1.1183
9.902e-010,1.1126
1.0269e-009,1.1050
1.0636e-009,1.0940
1.1003e-009,1.0777
1.1369e-009,1.0567
1.1736e-009,1.0361
1.2103e-009,1.0234
1.2469e-009,1.0218
1.2836e-009,1.0280
1.3203e-009,1.0352
1.3570e-009,1.0374
1.3936e-009,1.0327
1.4303e-009,1.0247
1.4670e-009,1.0178
1.5037e-009,1.0152
1.5403e-009,1.0169
1.5770e-009,1.0211
1.6137e-009,1.0250
1.6504e-009,1.0267
1.6871e-009,1.0255
1.7237e-009,1.0221
1.7604e-009,1.0182
1.7971e-009,1.0151
1.8338e-009,1.0138
1.8704e-009,1.0145
1.9071e-009,1.0165
1.9438e-009,1.0184
1.9805e-009,1.0198
2.0171e-009,1.0215
2.0538e-009,1.0255
2.0905e-009,1.0328
2.1272e-009,1.0429
2.1638e-009,1.0536
2.2005e-009,1.0632
2.2372e-009,1.0710
2.2738e-009,1.0779
2.3105e-009,1.0841
2.3472e-009,1.0894
2.3839e-009,1.0928
2.4205e-009,1.0936
2.4572e-009,1.0922
2.4939e-009,1.0901
2.5306e-009,1.0888
2.5672e-009,1.0892
2.6039e-009,1.0914
2.6406e-009,1.0944
2.6773e-009,1.0972
2.7139e-009,1.0988
2.7506e-009,1.0989
2.7873e-009,1.0978
2.8240e-009,1.0960
2.8606e-009,1.0957
2.8973e-009,1.0971
2.9340e-009,1.1014
2.9707e-009,1.1086
3.0073e-009,1.1095
3.0440e-009,1.0906
3.0807e-009,1.0303
3.1174e-009,0.9194
3.1540e-009,0.7846
3.1907e-009,0.6529
3.2274e-009,0.5432
3.2641e-009,0.4634
3.3007e-009,0.4110
3.3374e-009,0.3778
3.3741e-009,0.3552
3.4108e-009,0.3396
3.4475e-009,0.3276
3.4841e-009,0.3185
3.5208e-009,0.3115
3.5575e-009,0.3063
3.5942e-009,0.3025
3.6308e-009,0.3000
3.6675e-009,0.2985
3.7042e-009,0.2979
3.7408e-009,0.2986
3.7775e-009,0.3009
3.8142e-009,0.3045
3.8509e-009,0.3087
3.8875e-009,0.3148
3.9242e-009,0.3256
3.9609e-009,0.3441
3.9976e-009,0.3686
4.0342e-009,0.3922
4.0709e-009,0.4076
4.1076e-009,0.4106
4.1443e-009,0.4034
4.1809e-009,0.3935
4.2176e-009,0.3882
4.2543e-009,0.3899
4.2910e-009,0.3970
4.3276e-009,0.4050
4.3643e-009,0.4098
4.4010e-009,0.4097
4.4377e-009,0.4058
4.4743e-009,0.4008
4.5110e-009,0.3975
4.5477e-009,0.3973
4.5844e-009,0.4001
4.6211e-009,0.4046
4.6577e-009,0.4088
4.6944e-009,0.4110
4.7311e-009,0.4108
4.7678e-009,0.4090
4.8044e-009,0.4071
