.HEADER
..NAMES
Time,V U1.Y15
.DATA
0.0e+000,0.3242
3.67e-011,0.3242
7.33e-011,0.3242
1.100e-010,0.3256
1.467e-010,0.3336
1.834e-010,0.3585
2.201e-010,0.4173
2.567e-010,0.5157
2.934e-010,0.6401
3.301e-010,0.7649
3.667e-010,0.8578
4.034e-010,0.9243
4.401e-010,0.9737
4.768e-010,1.0131
5.135e-010,1.0442
5.501e-010,1.0676
5.868e-010,1.0834
6.235e-010,1.0942
6.601e-010,1.1016
6.968e-010,1.1066
7.335e-010,1.1098
7.702e-010,1.1119
8.068e-010,1.1127
8.435e-010,1.1123
8.802e-010,1.1106
9.169e-010,1.1077
9.536e-010,1.1051
9.902e-010,1.1028
1.0269e-009,1.0981
1.0636e-009,1.0899
1.1003e-009,1.0764
1.1369e-009,1.0490
1.1736e-009,0.9959
1.2103e-009,0.8970
1.2469e-009,0.7596
1.2836e-009,0.6252
1.3203e-009,0.5146
1.3570e-009,0.4272
1.3936e-009,0.3584
1.4303e-009,0.3061
1.4670e-009,0.2702
1.5037e-009,0.2484
1.5403e-009,0.2378
1.5770e-009,0.2340
1.6137e-009,0.2333
1.6504e-009,0.2325
1.6871e-009,0.2297
1.7237e-009,0.2245
1.7604e-009,0.2185
1.7971e-009,0.2141
1.8338e-009,0.2134
1.8704e-009,0.2167
1.9071e-009,0.2217
1.9438e-009,0.2267
1.9805e-009,0.2321
2.0171e-009,0.2470
2.0538e-009,0.2856
2.0905e-009,0.3668
2.1272e-009,0.5003
2.1638e-009,0.6661
2.2005e-009,0.8263
2.2372e-009,0.9344
2.2738e-009,1.0013
2.3105e-009,1.0495
2.3472e-009,1.0934
2.3839e-009,1.1329
2.4205e-009,1.1630
2.4572e-009,1.1806
2.4939e-009,1.1873
2.5306e-009,1.1877
2.5672e-009,1.1866
2.6039e-009,1.1879
2.6406e-009,1.1927
2.6773e-009,1.1999
2.7139e-009,1.2062
2.7506e-009,1.2085
2.7873e-009,1.2056
2.8240e-009,1.1993
2.8606e-009,1.1937
2.8973e-009,1.1878
2.9340e-009,1.1799
2.9707e-009,1.1673
3.0073e-009,1.1413
3.0440e-009,1.0922
3.0807e-009,1.0028
3.1174e-009,0.8696
3.1540e-009,0.7257
3.1907e-009,0.5949
3.2274e-009,0.4839
3.2641e-009,0.3924
3.3007e-009,0.3218
3.3374e-009,0.2738
3.3741e-009,0.2465
3.4108e-009,0.2365
3.4475e-009,0.2363
3.4841e-009,0.2387
3.5208e-009,0.2382
3.5575e-009,0.2320
3.5942e-009,0.2214
3.6308e-009,0.2099
3.6675e-009,0.2023
3.7042e-009,0.2013
3.7408e-009,0.2072
3.7775e-009,0.2164
3.8142e-009,0.2245
3.8509e-009,0.2295
3.8875e-009,0.2380
3.9242e-009,0.2652
3.9609e-009,0.3307
3.9976e-009,0.4517
4.0342e-009,0.6156
4.0709e-009,0.7890
4.1076e-009,0.9153
4.1443e-009,0.9927
4.1809e-009,1.0422
4.2176e-009,1.0828
4.2543e-009,1.1205
4.2910e-009,1.1512
4.3276e-009,1.1710
4.3643e-009,1.1799
4.4010e-009,1.1813
4.4377e-009,1.1804
4.4743e-009,1.1813
4.5110e-009,1.1856
4.5477e-009,1.1927
4.5844e-009,1.1996
4.6211e-009,1.2027
4.6577e-009,1.2005
4.6944e-009,1.1941
4.7311e-009,1.1878
4.7678e-009,1.1822
4.8044e-009,1.1761
4.8411e-009,1.1675
4.8778e-009,1.1474
4.9145e-009,1.1057
4.9511e-009,1.0254
4.9878e-009,0.8978
5.0245e-009,0.7524
5.0612e-009,0.6188
5.0978e-009,0.5056
5.1345e-009,0.4122
5.1712e-009,0.3384
5.2079e-009,0.2850
5.2445e-009,0.2523
5.2812e-009,0.2378
5.3179e-009,0.2361
5.3546e-009,0.2399
5.3912e-009,0.2427
5.4279e-009,0.2405
5.4646e-009,0.2328
5.5013e-009,0.2220
5.5379e-009,0.2126
5.5746e-009,0.2083
5.6113e-009,0.2106
5.6480e-009,0.2175
5.6846e-009,0.2250
5.7213e-009,0.2312
5.7580e-009,0.2384
5.7947e-009,0.2520
5.8313e-009,0.2766
5.8680e-009,0.3101
5.9047e-009,0.3439
5.9414e-009,0.3691
5.9780e-009,0.3814
6.0147e-009,0.3836
6.0514e-009,0.3833
6.0881e-009,0.3871
6.1247e-009,0.3956
6.1614e-009,0.4051
6.1981e-009,0.4105
6.2348e-009,0.4096
6.2714e-009,0.4035
6.3081e-009,0.3960
6.3448e-009,0.3910
6.3815e-009,0.3912
6.4181e-009,0.3964
6.4548e-009,0.4044
6.4915e-009,0.4116
6.5282e-009,0.4154
6.5648e-009,0.4153
6.6015e-009,0.4127
6.6382e-009,0.4102
6.6749e-009,0.4119
6.7115e-009,0.4235
6.7482e-009,0.4552
6.7849e-009,0.5242
6.8215e-009,0.6315
6.8582e-009,0.7540
6.8949e-009,0.8645
6.9316e-009,0.9341
6.9682e-009,0.9768
7.0049e-009,1.0058
7.0416e-009,1.0293
7.0783e-009,1.0500
7.1149e-009,1.0687
7.1516e-009,1.0858
7.1883e-009,1.1017
7.2250e-009,1.1153
7.2616e-009,1.1249
7.2983e-009,1.1296
7.3350e-009,1.1294
7.3717e-009,1.1255
7.4083e-009,1.1197
7.4450e-009,1.1139
7.4817e-009,1.1095
7.5184e-009,1.1070
7.5550e-009,1.1048
7.5917e-009,1.0993
7.6284e-009,1.0861
7.6651e-009,1.0643
7.7018e-009,1.0382
7.7384e-009,1.0162
7.7751e-009,1.0065
7.8118e-009,1.0100
7.8484e-009,1.0205
7.8851e-009,1.0297
7.9218e-009,1.0314
7.9585e-009,1.0258
7.9952e-009,1.0170
8.0318e-009,1.0100
8.0685e-009,1.0072
8.1052e-009,1.0084
8.1418e-009,1.0115
8.1785e-009,1.0143
8.2152e-009,1.0155
8.2519e-009,1.0146
8.2886e-009,1.0123
8.3252e-009,1.0098
8.3619e-009,1.0078
8.3986e-009,1.0068
8.4352e-009,1.0063
8.4719e-009,1.0070
8.5086e-009,1.0088
8.5453e-009,1.0125
8.5820e-009,1.0213
8.6186e-009,1.0302
8.6553e-009,1.0263
8.6920e-009,0.9900
8.7286e-009,0.9011
8.7653e-009,0.7785
8.8020e-009,0.6568
8.8387e-009,0.5539
8.8754e-009,0.4765
8.9120e-009,0.4225
8.9487e-009,0.3858
8.9854e-009,0.3586
9.0220e-009,0.3371
9.0587e-009,0.3208
9.0954e-009,0.3100
9.1321e-009,0.3046
9.1688e-009,0.3035
9.2054e-009,0.3046
9.2421e-009,0.3059
9.2788e-009,0.3063
9.3154e-009,0.3062
9.3521e-009,0.3066
9.3888e-009,0.3081
9.4255e-009,0.3106
9.4622e-009,0.3143
9.4988e-009,0.3220
9.5355e-009,0.3454
9.5722e-009,0.3993
9.6088e-009,0.5044
9.6455e-009,0.6531
9.6822e-009,0.8155
9.7189e-009,0.9434
9.7556e-009,1.0154
9.7922e-009,1.0551
9.8289e-009,1.0847
9.8656e-009,1.1155
9.9022e-009,1.1469
9.9389e-009,1.1733
