.HEADER
..NAMES
Time,V U1.AB12
.DATA
0.0e+000,1.0943
3.67e-011,1.0944
7.33e-011,1.0954
1.100e-010,1.0971
1.467e-010,1.1018
1.834e-010,1.1032
2.201e-010,1.0901
2.567e-010,1.0431
2.934e-010,0.9451
3.301e-010,0.8152
3.667e-010,0.6833
4.034e-010,0.5684
4.401e-010,0.4808
4.768e-010,0.4203
5.135e-010,0.3802
5.501e-010,0.3539
5.868e-010,0.3353
6.235e-010,0.3224
6.601e-010,0.3133
6.968e-010,0.3070
7.335e-010,0.3025
7.702e-010,0.2993
8.068e-010,0.2966
8.435e-010,0.2944
8.802e-010,0.2928
9.169e-010,0.2923
9.536e-010,0.2935
9.902e-010,0.2969
1.0269e-009,0.3022
1.0636e-009,0.3108
1.1003e-009,0.3251
1.1369e-009,0.3467
1.1736e-009,0.3719
1.2103e-009,0.3930
1.2469e-009,0.4037
1.2836e-009,0.4027
1.3203e-009,0.3950
1.3570e-009,0.3879
1.3936e-009,0.3865
1.4303e-009,0.3910
1.4670e-009,0.3984
1.5037e-009,0.4043
1.5403e-009,0.4059
1.5770e-009,0.4032
1.6137e-009,0.3986
1.6504e-009,0.3951
1.6871e-009,0.3942
1.7237e-009,0.3963
1.7604e-009,0.4001
1.7971e-009,0.4042
1.8338e-009,0.4068
1.8704e-009,0.4073
1.9071e-009,0.4062
1.9438e-009,0.4050
1.9805e-009,0.4046
2.0171e-009,0.4039
2.0538e-009,0.4012
2.0905e-009,0.3953
2.1272e-009,0.3866
2.1638e-009,0.3767
2.2005e-009,0.3666
2.2372e-009,0.3568
2.2738e-009,0.3472
2.3105e-009,0.3383
2.3472e-009,0.3309
2.3839e-009,0.3261
2.4205e-009,0.3245
2.4572e-009,0.3257
2.4939e-009,0.3280
2.5306e-009,0.3297
2.5672e-009,0.3296
2.6039e-009,0.3275
2.6406e-009,0.3245
2.6773e-009,0.3218
2.7139e-009,0.3202
2.7506e-009,0.3203
2.7873e-009,0.3216
2.8240e-009,0.3231
2.8606e-009,0.3236
2.8973e-009,0.3225
2.9340e-009,0.3227
2.9707e-009,0.3314
3.0073e-009,0.3614
3.0440e-009,0.4304
3.0807e-009,0.5366
3.1174e-009,0.6663
3.1540e-009,0.7853
3.1907e-009,0.8715
3.2274e-009,0.9330
3.2641e-009,0.9793
3.3007e-009,1.0163
3.3374e-009,1.0459
3.3741e-009,1.0672
3.4108e-009,1.0822
3.4475e-009,1.0931
3.4841e-009,1.1013
3.5208e-009,1.1075
3.5575e-009,1.1123
3.5942e-009,1.1158
3.6308e-009,1.1179
3.6675e-009,1.1183
3.7042e-009,1.1172
3.7408e-009,1.1143
3.7775e-009,1.1097
3.8142e-009,1.1033
3.8509e-009,1.0938
3.8875e-009,1.0792
3.9242e-009,1.0592
3.9609e-009,1.0377
3.9976e-009,1.0220
4.0342e-009,1.0179
4.0709e-009,1.0228
4.1076e-009,1.0299
4.1443e-009,1.0323
4.1809e-009,1.0281
4.2176e-009,1.0205
4.2543e-009,1.0140
4.2910e-009,1.0115
4.3276e-009,1.0131
4.3643e-009,1.0170
4.4010e-009,1.0204
4.4377e-009,1.0215
4.4743e-009,1.0200
4.5110e-009,1.0169
4.5477e-009,1.0136
4.5844e-009,1.0113
4.6211e-009,1.0104
4.6577e-009,1.0111
4.6944e-009,1.0124
4.7311e-009,1.0141
4.7678e-009,1.0158
4.8044e-009,1.0194
4.8411e-009,1.0281
4.8778e-009,1.0336
4.9145e-009,1.0218
4.9511e-009,0.9690
4.9878e-009,0.8649
5.0245e-009,0.7385
5.0612e-009,0.6205
5.0978e-009,0.5245
5.1345e-009,0.4533
5.1712e-009,0.4030
5.2079e-009,0.3673
5.2445e-009,0.3414
5.2812e-009,0.3229
5.3179e-009,0.3107
5.3546e-009,0.3040
5.3912e-009,0.3009
5.4279e-009,0.2995
5.4646e-009,0.2982
5.5013e-009,0.2961
5.5379e-009,0.2933
5.5746e-009,0.2907
5.6113e-009,0.2900
5.6480e-009,0.2924
5.6846e-009,0.2983
5.7213e-009,0.3065
5.7580e-009,0.3210
5.7947e-009,0.3539
5.8313e-009,0.4220
5.8680e-009,0.5410
5.9047e-009,0.6914
5.9414e-009,0.8419
5.9780e-009,0.9456
6.0147e-009,1.0056
6.0514e-009,1.0463
6.0881e-009,1.0832
6.1247e-009,1.1202
6.1614e-009,1.1517
6.1981e-009,1.1727
6.2348e-009,1.1830
6.2714e-009,1.1856
6.3081e-009,1.1855
6.3448e-009,1.1864
6.3815e-009,1.1899
6.4181e-009,1.1956
6.4548e-009,1.2018
6.4915e-009,1.2060
6.5282e-009,1.2061
6.5648e-009,1.2015
6.6015e-009,1.1934
6.6382e-009,1.1835
6.6749e-009,1.1711
6.7115e-009,1.1557
6.7482e-009,1.1315
6.7849e-009,1.0917
6.8215e-009,1.0238
6.8582e-009,0.9137
6.8949e-009,0.7798
6.9316e-009,0.6449
6.9682e-009,0.5197
7.0049e-009,0.4150
7.0416e-009,0.3386
7.0783e-009,0.2907
7.1149e-009,0.2665
7.1516e-009,0.2568
7.1883e-009,0.2536
7.2250e-009,0.2500
7.2616e-009,0.2430
7.2983e-009,0.2331
7.3350e-009,0.2228
7.3717e-009,0.2145
7.4083e-009,0.2097
7.4450e-009,0.2092
7.4817e-009,0.2123
7.5184e-009,0.2169
7.5550e-009,0.2210
7.5917e-009,0.2243
7.6284e-009,0.2317
7.6651e-009,0.2585
7.7018e-009,0.3202
7.7384e-009,0.4333
7.7751e-009,0.5874
7.8118e-009,0.7539
7.8484e-009,0.8844
7.8851e-009,0.9662
7.9218e-009,1.0203
7.9585e-009,1.0629
7.9952e-009,1.1009
8.0318e-009,1.1320
8.0685e-009,1.1531
8.1052e-009,1.1650
8.1418e-009,1.1712
8.1785e-009,1.1755
8.2152e-009,1.1801
8.2519e-009,1.1856
8.2886e-009,1.1912
8.3252e-009,1.1959
8.3619e-009,1.1986
8.3986e-009,1.1981
8.4352e-009,1.1948
8.4719e-009,1.1902
8.5086e-009,1.1858
8.5453e-009,1.1792
8.5820e-009,1.1680
8.6186e-009,1.1459
8.6553e-009,1.1060
8.6920e-009,1.0386
8.7286e-009,0.9290
8.7653e-009,0.7938
8.8020e-009,0.6600
8.8387e-009,0.5369
8.8754e-009,0.4321
8.9120e-009,0.3521
8.9487e-009,0.2995
8.9854e-009,0.2701
9.0220e-009,0.2572
9.0587e-009,0.2528
9.0954e-009,0.2499
9.1321e-009,0.2445
9.1688e-009,0.2362
9.2054e-009,0.2269
9.2421e-009,0.2187
9.2788e-009,0.2133
9.3154e-009,0.2116
9.3521e-009,0.2135
9.3888e-009,0.2174
9.4255e-009,0.2210
9.4622e-009,0.2236
9.4988e-009,0.2292
9.5355e-009,0.2447
9.5722e-009,0.2741
9.6088e-009,0.3119
9.6455e-009,0.3460
9.6822e-009,0.3674
9.7189e-009,0.3750
9.7556e-009,0.3751
9.7922e-009,0.3751
9.8289e-009,0.3791
9.8656e-009,0.3859
9.9022e-009,0.3923
9.9389e-009,0.3955
9.9756e-009,0.3946
1.00123e-008,0.3917
1.00490e-008,0.3894
1.00856e-008,0.3895
1.01223e-008,0.3919
1.01590e-008,0.3957
1.01956e-008,0.3993
1.02323e-008,0.4019
1.02690e-008,0.4024
1.03057e-008,0.4016
1.03424e-008,0.4012
1.03790e-008,0.4031
1.04157e-008,0.4069
1.04524e-008,0.4094
1.04890e-008,0.4074
1.05257e-008,0.3999
1.05624e-008,0.3888
1.05991e-008,0.3772
1.06358e-008,0.3669
1.06724e-008,0.3577
1.07091e-008,0.3487
1.07458e-008,0.3402
1.07824e-008,0.3331
1.08191e-008,0.3286
1.08558e-008,0.3275
1.08925e-008,0.3288
1.09292e-008,0.3310
1.09658e-008,0.3321
1.10025e-008,0.3314
1.10392e-008,0.3292
1.10758e-008,0.3266
1.11125e-008,0.3246
1.11492e-008,0.3238
1.11859e-008,0.3244
1.12226e-008,0.3258
1.12592e-008,0.3269
1.12959e-008,0.3264
1.13326e-008,0.3240
1.13693e-008,0.3209
1.14059e-008,0.3186
1.14426e-008,0.3180
1.14793e-008,0.3189
1.15159e-008,0.3204
1.15526e-008,0.3215
1.15893e-008,0.3220
1.16260e-008,0.3220
1.16627e-008,0.3219
1.16993e-008,0.3217
1.17360e-008,0.3214
1.17727e-008,0.3207
1.18093e-008,0.3199
1.18460e-008,0.3192
1.18827e-008,0.3191
1.19194e-008,0.3196
1.19561e-008,0.3203
1.19927e-008,0.3209
1.20294e-008,0.3210
1.20661e-008,0.3207
1.21027e-008,0.3200
1.21394e-008,0.3192
1.21761e-008,0.3187
1.22128e-008,0.3189
1.22495e-008,0.3197
1.22861e-008,0.3211
1.23228e-008,0.3258
1.23595e-008,0.3410
1.23961e-008,0.3801
1.24328e-008,0.4592
1.24695e-008,0.5711
1.25062e-008,0.7009
1.25429e-008,0.8106
1.25795e-008,0.8894
1.26162e-008,0.9466
1.26529e-008,0.9906
1.26895e-008,1.0267
1.27262e-008,1.0547
1.27629e-008,1.0751
1.27996e-008,1.0895
1.28363e-008,1.0992
1.28729e-008,1.1060
1.29096e-008,1.1111
1.29463e-008,1.1150
1.29829e-008,1.1182
1.30196e-008,1.1205
1.30563e-008,1.1214
1.30930e-008,1.1206
