.HEADER
..NAMES
Time,V U1.AC16
.DATA
0.0e+000,0.3240
3.67e-011,0.3240
7.33e-011,0.3240
1.100e-010,0.3253
1.467e-010,0.3333
1.834e-010,0.3582
2.201e-010,0.4167
2.567e-010,0.5146
2.934e-010,0.6387
3.301e-010,0.7634
3.667e-010,0.8564
4.034e-010,0.9228
4.401e-010,0.9720
4.768e-010,1.0112
5.135e-010,1.0432
5.501e-010,1.0681
5.868e-010,1.0855
6.235e-010,1.0977
6.601e-010,1.1063
6.968e-010,1.1123
7.335e-010,1.1168
7.702e-010,1.1198
8.068e-010,1.1207
8.435e-010,1.1185
8.802e-010,1.1117
9.169e-010,1.1015
9.536e-010,1.0919
9.902e-010,1.0861
1.0269e-009,1.0836
1.0636e-009,1.0807
1.1003e-009,1.0729
1.1369e-009,1.0496
1.1736e-009,0.9973
1.2103e-009,0.8949
1.2469e-009,0.7504
1.2836e-009,0.6106
1.3203e-009,0.5021
1.3570e-009,0.4252
1.3936e-009,0.3699
1.4303e-009,0.3259
1.4670e-009,0.2885
1.5037e-009,0.2572
1.5403e-009,0.2344
1.5770e-009,0.2213
1.6137e-009,0.2174
1.6504e-009,0.2192
1.6871e-009,0.2221
1.7237e-009,0.2223
1.7604e-009,0.2198
1.7971e-009,0.2178
1.8338e-009,0.2204
1.8704e-009,0.2308
1.9071e-009,0.2451
1.9438e-009,0.2557
1.9805e-009,0.2621
2.0171e-009,0.2705
2.0538e-009,0.2873
2.0905e-009,0.3153
2.1272e-009,0.3506
2.1638e-009,0.3843
2.2005e-009,0.4069
2.2372e-009,0.4135
2.2738e-009,0.4056
2.3105e-009,0.3914
2.3472e-009,0.3804
2.3839e-009,0.3788
2.4205e-009,0.3877
2.4572e-009,0.4031
2.4939e-009,0.4178
2.5306e-009,0.4249
2.5672e-009,0.4214
2.6039e-009,0.4100
2.6406e-009,0.3977
2.6773e-009,0.3905
2.7139e-009,0.3907
2.7506e-009,0.3971
2.7873e-009,0.4061
2.8240e-009,0.4140
2.8606e-009,0.4187
2.8973e-009,0.4193
2.9340e-009,0.4204
2.9707e-009,0.4285
3.0073e-009,0.4573
3.0440e-009,0.5253
3.0807e-009,0.6243
3.1174e-009,0.7376
3.1540e-009,0.8353
3.1907e-009,0.9039
3.2274e-009,0.9563
3.2641e-009,1.0006
3.3007e-009,1.0377
3.3374e-009,1.0653
3.3741e-009,1.0813
3.4108e-009,1.0892
3.4475e-009,1.0945
3.4841e-009,1.1014
3.5208e-009,1.1113
3.5575e-009,1.1229
3.5942e-009,1.1330
3.6308e-009,1.1373
3.6675e-009,1.1327
3.7042e-009,1.1189
3.7408e-009,1.1003
3.7775e-009,1.0829
3.8142e-009,1.0712
3.8509e-009,1.0645
3.8875e-009,1.0569
3.9242e-009,1.0451
3.9609e-009,1.0306
3.9976e-009,1.0178
4.0342e-009,1.0122
4.0709e-009,1.0150
4.1076e-009,1.0232
4.1443e-009,1.0316
4.1809e-009,1.0349
4.2176e-009,1.0310
4.2543e-009,1.0214
4.2910e-009,1.0103
4.3276e-009,1.0023
4.3643e-009,1.0004
4.4010e-009,1.0053
4.4377e-009,1.0138
4.4743e-009,1.0216
4.5110e-009,1.0248
4.5477e-009,1.0223
4.5844e-009,1.0168
4.6211e-009,1.0115
4.6577e-009,1.0088
4.6944e-009,1.0096
4.7311e-009,1.0139
4.7678e-009,1.0206
4.8044e-009,1.0294
4.8411e-009,1.0419
4.8778e-009,1.0498
4.9145e-009,1.0402
4.9511e-009,0.9915
4.9878e-009,0.8924
5.0245e-009,0.7678
5.0612e-009,0.6454
5.0978e-009,0.5407
5.1345e-009,0.4623
5.1712e-009,0.4103
5.2079e-009,0.3780
5.2445e-009,0.3576
5.2812e-009,0.3423
5.3179e-009,0.3283
5.3546e-009,0.3145
5.3912e-009,0.3019
5.4279e-009,0.2923
5.4646e-009,0.2870
5.5013e-009,0.2862
5.5379e-009,0.2902
5.5746e-009,0.2991
5.6113e-009,0.3129
5.6480e-009,0.3287
5.6846e-009,0.3404
5.7213e-009,0.3451
5.7580e-009,0.3465
5.7947e-009,0.3495
5.8313e-009,0.3589
5.8680e-009,0.3760
5.9047e-009,0.3965
5.9414e-009,0.4143
5.9780e-009,0.4235
6.0147e-009,0.4223
6.0514e-009,0.4131
6.0881e-009,0.4020
6.1247e-009,0.3939
6.1614e-009,0.3922
6.1981e-009,0.3973
6.2348e-009,0.4064
6.2714e-009,0.4154
6.3081e-009,0.4202
6.3448e-009,0.4193
6.3815e-009,0.4148
6.4181e-009,0.4095
6.4548e-009,0.4059
6.4915e-009,0.4049
6.5282e-009,0.4058
6.5648e-009,0.4073
6.6015e-009,0.4084
6.6382e-009,0.4087
6.6749e-009,0.4078
6.7115e-009,0.4050
6.7482e-009,0.3995
6.7849e-009,0.3910
6.8215e-009,0.3799
6.8582e-009,0.3673
6.8949e-009,0.3546
6.9316e-009,0.3437
6.9682e-009,0.3360
7.0049e-009,0.3315
7.0416e-009,0.3293
