.HEADER
..NAMES
Time,V U1.AB16
.DATA
0.0e+000,1.0943
3.67e-011,1.0944
7.33e-011,1.0954
1.100e-010,1.0971
1.467e-010,1.1018
1.834e-010,1.1033
2.201e-010,1.0901
2.567e-010,1.0428
2.934e-010,0.9441
3.301e-010,0.8131
3.667e-010,0.6801
4.034e-010,0.5646
4.401e-010,0.4769
4.768e-010,0.4167
5.135e-010,0.3772
5.501e-010,0.3516
5.868e-010,0.3336
6.235e-010,0.3210
6.601e-010,0.3120
6.968e-010,0.3056
7.335e-010,0.3009
7.702e-010,0.2973
8.068e-010,0.2946
8.435e-010,0.2937
8.802e-010,0.2962
9.169e-010,0.3037
9.536e-010,0.3148
9.902e-010,0.3248
1.0269e-009,0.3314
1.0636e-009,0.3394
1.1003e-009,0.3628
1.1369e-009,0.4192
1.1736e-009,0.5292
1.2103e-009,0.6789
1.2469e-009,0.8373
1.2836e-009,0.9530
1.3203e-009,1.0155
1.3570e-009,1.0489
1.3936e-009,1.0742
1.4303e-009,1.1025
1.4670e-009,1.1326
1.5037e-009,1.1597
1.5403e-009,1.1795
1.5770e-009,1.1901
1.6137e-009,1.1921
1.6504e-009,1.1895
1.6871e-009,1.1865
1.7237e-009,1.1854
1.7604e-009,1.1855
1.7971e-009,1.1834
1.8338e-009,1.1765
1.8704e-009,1.1665
1.9071e-009,1.1577
1.9438e-009,1.1520
1.9805e-009,1.1442
2.0171e-009,1.1307
2.0538e-009,1.1070
2.0905e-009,1.0658
2.1272e-009,0.9947
2.1638e-009,0.8783
2.2005e-009,0.7398
2.2372e-009,0.6115
2.2738e-009,0.5021
2.3105e-009,0.4123
2.3472e-009,0.3410
2.3839e-009,0.2885
2.4205e-009,0.2541
2.4572e-009,0.2365
2.4939e-009,0.2331
2.5306e-009,0.2383
2.5672e-009,0.2441
2.6039e-009,0.2444
2.6406e-009,0.2366
2.6773e-009,0.2237
2.7139e-009,0.2117
2.7506e-009,0.2076
2.7873e-009,0.2156
2.8240e-009,0.2332
2.8606e-009,0.2514
2.8973e-009,0.2659
2.9340e-009,0.2799
2.9707e-009,0.3081
3.0073e-009,0.3667
3.0440e-009,0.4753
3.0807e-009,0.6256
3.1174e-009,0.7875
3.1540e-009,0.9134
3.1907e-009,0.9862
3.2274e-009,1.0295
3.2641e-009,1.0639
3.3007e-009,1.0990
3.3374e-009,1.1326
3.3741e-009,1.1584
3.4108e-009,1.1733
3.4475e-009,1.1775
3.4841e-009,1.1751
3.5208e-009,1.1723
3.5575e-009,1.1747
3.5942e-009,1.1827
3.6308e-009,1.1921
3.6675e-009,1.1962
3.7042e-009,1.1900
3.7408e-009,1.1753
3.7775e-009,1.1596
3.8142e-009,1.1488
3.8509e-009,1.1400
3.8875e-009,1.1284
3.9242e-009,1.1087
3.9609e-009,1.0731
3.9976e-009,1.0101
4.0342e-009,0.9026
4.0709e-009,0.7660
4.1076e-009,0.6339
4.1443e-009,0.5186
4.1809e-009,0.4229
4.2176e-009,0.3471
4.2543e-009,0.2921
4.2910e-009,0.2563
4.3276e-009,0.2393
4.3643e-009,0.2371
4.4010e-009,0.2439
4.4377e-009,0.2508
4.4743e-009,0.2506
4.5110e-009,0.2407
4.5477e-009,0.2245
4.5844e-009,0.2094
4.6211e-009,0.2035
4.6577e-009,0.2115
4.6944e-009,0.2308
4.7311e-009,0.2518
4.7678e-009,0.2676
4.8044e-009,0.2804
4.8411e-009,0.2960
4.8778e-009,0.3188
4.9145e-009,0.3472
4.9511e-009,0.3738
4.9878e-009,0.3907
5.0245e-009,0.3954
5.0612e-009,0.3916
5.0978e-009,0.3853
5.1345e-009,0.3827
5.1712e-009,0.3855
5.2079e-009,0.3919
5.2445e-009,0.3983
5.2812e-009,0.4005
5.3179e-009,0.3967
5.3546e-009,0.3886
5.3912e-009,0.3814
5.4279e-009,0.3804
5.4646e-009,0.3867
5.5013e-009,0.3976
5.5379e-009,0.4079
5.5746e-009,0.4126
5.6113e-009,0.4101
5.6480e-009,0.4026
5.6846e-009,0.3941
5.7213e-009,0.3874
5.7580e-009,0.3828
5.7947e-009,0.3784
5.8313e-009,0.3728
5.8680e-009,0.3658
5.9047e-009,0.3575
5.9414e-009,0.3485
5.9780e-009,0.3394
6.0147e-009,0.3307
6.0514e-009,0.3234
6.0881e-009,0.3177
6.1247e-009,0.3145
6.1614e-009,0.3143
6.1981e-009,0.3176
6.2348e-009,0.3237
6.2714e-009,0.3310
6.3081e-009,0.3367
6.3448e-009,0.3381
6.3815e-009,0.3341
6.4181e-009,0.3262
6.4548e-009,0.3174
6.4915e-009,0.3112
6.5282e-009,0.3096
6.5648e-009,0.3124
6.6015e-009,0.3175
6.6382e-009,0.3225
6.6749e-009,0.3254
6.7115e-009,0.3257
6.7482e-009,0.3237
6.7849e-009,0.3207
6.8215e-009,0.3177
6.8582e-009,0.3159
6.8949e-009,0.3157
6.9316e-009,0.3169
6.9682e-009,0.3189
7.0049e-009,0.3210
7.0416e-009,0.3224
7.0783e-009,0.3228
7.1149e-009,0.3222
7.1516e-009,0.3205
7.1883e-009,0.3181
7.2250e-009,0.3159
7.2616e-009,0.3147
7.2983e-009,0.3153
7.3350e-009,0.3174
7.3717e-009,0.3202
7.4083e-009,0.3226
7.4450e-009,0.3235
7.4817e-009,0.3228
7.5184e-009,0.3210
7.5550e-009,0.3191
7.5917e-009,0.3180
7.6284e-009,0.3209
7.6651e-009,0.3348
7.7018e-009,0.3717
7.7384e-009,0.4487
7.7751e-009,0.5600
7.8118e-009,0.6909
7.8484e-009,0.8044
7.8851e-009,0.8846
7.9218e-009,0.9420
7.9585e-009,0.9860
7.9952e-009,1.0224
8.0318e-009,1.0515
8.0685e-009,1.0730
8.1052e-009,1.0884
8.1418e-009,1.0994
8.1785e-009,1.1071
8.2152e-009,1.1124
8.2519e-009,1.1158
8.2886e-009,1.1173
8.3252e-009,1.1162
8.3619e-009,1.1113
8.3986e-009,1.1028
8.4352e-009,1.0932
8.4719e-009,1.0850
8.5086e-009,1.0801
8.5453e-009,1.0745
8.5820e-009,1.0631
8.6186e-009,1.0458
8.6553e-009,1.0269
8.6920e-009,1.0137
8.7286e-009,1.0117
8.7653e-009,1.0188
8.8020e-009,1.0288
8.8387e-009,1.0353
8.8754e-009,1.0351
8.9120e-009,1.0291
8.9487e-009,1.0207
8.9854e-009,1.0136
9.0220e-009,1.0106
9.0587e-009,1.0128
9.0954e-009,1.0183
9.1321e-009,1.0240
9.1688e-009,1.0266
9.2054e-009,1.0250
9.2421e-009,1.0209
9.2788e-009,1.0170
9.3154e-009,1.0154
9.3521e-009,1.0166
9.3888e-009,1.0200
9.4255e-009,1.0252
9.4622e-009,1.0313
9.4988e-009,1.0399
9.5355e-009,1.0522
9.5722e-009,1.0589
9.6088e-009,1.0459
9.6455e-009,0.9902
9.6822e-009,0.8842
9.7189e-009,0.7567
9.7556e-009,0.6345
9.7922e-009,0.5336
9.8289e-009,0.4589
9.8656e-009,0.4079
9.9022e-009,0.3733
9.9389e-009,0.3473
9.9756e-009,0.3273
1.00123e-008,0.3116
1.00490e-008,0.3009
1.00856e-008,0.2956
1.01223e-008,0.2950
1.01590e-008,0.2972
1.01956e-008,0.3002
1.02323e-008,0.3034
1.02690e-008,0.3074
1.03057e-008,0.3140
1.03424e-008,0.3217
1.03790e-008,0.3275
1.04157e-008,0.3318
1.04524e-008,0.3428
1.04890e-008,0.3745
1.05257e-008,0.4458
1.05624e-008,0.5713
1.05991e-008,0.7281
1.06358e-008,0.8810
1.06724e-008,0.9792
1.07091e-008,1.0300
1.07458e-008,1.0582
1.07824e-008,1.0832
1.08191e-008,1.1126
1.08558e-008,1.1433
1.08925e-008,1.1700
1.09292e-008,1.1885
1.09658e-008,1.1971
1.10025e-008,1.1975
1.10392e-008,1.1938
1.10758e-008,1.1899
1.11125e-008,1.1877
1.11492e-008,1.1865
1.11859e-008,1.1831
1.12226e-008,1.1755
1.12592e-008,1.1663
1.12959e-008,1.1587
1.13326e-008,1.1529
1.13693e-008,1.1419
1.14059e-008,1.1204
1.14426e-008,1.0903
1.14793e-008,1.0599
1.15159e-008,1.0401
1.15526e-008,1.0357
1.15893e-008,1.0418
1.16260e-008,1.0491
1.16627e-008,1.0496
1.16993e-008,1.0414
1.17360e-008,1.0276
1.17727e-008,1.0141
1.18093e-008,1.0062
1.18460e-008,1.0070
1.18827e-008,1.0161
1.19194e-008,1.0288
1.19561e-008,1.0387
1.19927e-008,1.0406
1.20294e-008,1.0343
1.20661e-008,1.0234
1.21027e-008,1.0132
1.21394e-008,1.0081
1.21761e-008,1.0093
1.22128e-008,1.0152
1.22495e-008,1.0234
1.22861e-008,1.0323
1.23228e-008,1.0418
1.23595e-008,1.0521
1.23961e-008,1.0620
1.24328e-008,1.0702
1.24695e-008,1.0759
1.25062e-008,1.0798
1.25429e-008,1.0832
1.25795e-008,1.0871
1.26162e-008,1.0917
1.26529e-008,1.0961
1.26895e-008,1.0988
1.27262e-008,1.0985
1.27629e-008,1.0947
1.27996e-008,1.0887
1.28363e-008,1.0828
1.28729e-008,1.0797
1.29096e-008,1.0813
1.29463e-008,1.0873
1.29829e-008,1.0957
1.30196e-008,1.1030
1.30563e-008,1.1065
1.30930e-008,1.1052
