.HEADER
..NAMES
Time,V U5.R7
.DATA
0.0e+000,1.0905
3.67e-011,1.0905
7.33e-011,1.0905
1.100e-010,1.0905
1.467e-010,1.0905
1.834e-010,1.0905
2.201e-010,1.0905
2.567e-010,1.0905
2.934e-010,1.0905
3.301e-010,1.0905
3.667e-010,1.0905
4.034e-010,1.0905
4.401e-010,1.0905
4.768e-010,1.0908
5.135e-010,1.0914
5.501e-010,1.0931
5.868e-010,1.0955
6.235e-010,1.0948
6.601e-010,1.0832
6.968e-010,1.0476
7.335e-010,0.9788
7.702e-010,0.8791
8.068e-010,0.7579
8.435e-010,0.6335
8.802e-010,0.5300
9.169e-010,0.4640
9.536e-010,0.4390
9.902e-010,0.4455
1.0269e-009,0.4662
1.0636e-009,0.4844
1.1003e-009,0.4893
1.1369e-009,0.4794
1.1736e-009,0.4603
1.2103e-009,0.4399
1.2469e-009,0.4254
1.2836e-009,0.4195
1.3203e-009,0.4207
1.3570e-009,0.4255
1.3936e-009,0.4299
1.4303e-009,0.4316
1.4670e-009,0.4291
1.5037e-009,0.4219
1.5403e-009,0.4113
1.5770e-009,0.3999
1.6137e-009,0.3893
1.6504e-009,0.3815
1.6871e-009,0.3772
1.7237e-009,0.3750
1.7604e-009,0.3721
1.7971e-009,0.3653
1.8338e-009,0.3528
1.8704e-009,0.3351
1.9071e-009,0.3158
1.9438e-009,0.3003
1.9805e-009,0.2930
2.0171e-009,0.2957
2.0538e-009,0.3067
2.0905e-009,0.3214
2.1272e-009,0.3342
2.1638e-009,0.3408
2.2005e-009,0.3395
2.2372e-009,0.3321
2.2738e-009,0.3220
2.3105e-009,0.3132
2.3472e-009,0.3085
2.3839e-009,0.3087
2.4205e-009,0.3129
2.4572e-009,0.3191
2.4939e-009,0.3256
2.5306e-009,0.3308
2.5672e-009,0.3342
2.6039e-009,0.3359
2.6406e-009,0.3359
2.6773e-009,0.3346
2.7139e-009,0.3325
2.7506e-009,0.3300
2.7873e-009,0.3277
2.8240e-009,0.3258
2.8606e-009,0.3242
2.8973e-009,0.3229
2.9340e-009,0.3216
2.9707e-009,0.3205
3.0073e-009,0.3201
3.0440e-009,0.3208
3.0807e-009,0.3228
3.1174e-009,0.3257
3.1540e-009,0.3287
3.1907e-009,0.3307
3.2274e-009,0.3309
3.2641e-009,0.3293
3.3007e-009,0.3265
3.3374e-009,0.3235
3.3741e-009,0.3217
3.4108e-009,0.3216
3.4475e-009,0.3232
3.4841e-009,0.3258
3.5208e-009,0.3283
3.5575e-009,0.3299
3.5942e-009,0.3301
3.6308e-009,0.3291
3.6675e-009,0.3275
3.7042e-009,0.3261
3.7408e-009,0.3253
3.7775e-009,0.3253
3.8142e-009,0.3260
3.8509e-009,0.3269
3.8875e-009,0.3276
3.9242e-009,0.3279
3.9609e-009,0.3277
3.9976e-009,0.3270
4.0342e-009,0.3260
4.0709e-009,0.3251
4.1076e-009,0.3246
4.1443e-009,0.3248
4.1809e-009,0.3256
4.2176e-009,0.3268
4.2543e-009,0.3282
4.2910e-009,0.3300
4.3276e-009,0.3352
4.3643e-009,0.3500
4.4010e-009,0.3848
4.4377e-009,0.4475
4.4743e-009,0.5390
4.5110e-009,0.6493
4.5477e-009,0.7593
4.5844e-009,0.8521
4.6211e-009,0.9138
4.6577e-009,0.9398
4.6944e-009,0.9401
4.7311e-009,0.9301
4.7678e-009,0.9235
4.8044e-009,0.9277
4.8411e-009,0.9417
4.8778e-009,0.9602
4.9145e-009,0.9768
4.9511e-009,0.9874
4.9878e-009,0.9912
5.0245e-009,0.9901
5.0612e-009,0.9875
5.0978e-009,0.9863
5.1345e-009,0.9880
5.1712e-009,0.9929
5.2079e-009,1.0009
5.2445e-009,1.0121
5.2812e-009,1.0246
5.3179e-009,1.0306
5.3546e-009,1.0177
5.3912e-009,0.9707
5.4279e-009,0.8852
5.4646e-009,0.7729
5.5013e-009,0.6511
5.5379e-009,0.5434
5.5746e-009,0.4734
5.6113e-009,0.4489
5.6480e-009,0.4595
5.6846e-009,0.4848
5.7213e-009,0.5042
5.7580e-009,0.5059
5.7947e-009,0.4895
5.8313e-009,0.4630
5.8680e-009,0.4380
5.9047e-009,0.4228
5.9414e-009,0.4207
