.HEADER
..NAMES
Time,V U3.N7
.DATA
0.0e+000,0.3307
3.67e-011,0.3307
7.33e-011,0.3307
1.100e-010,0.3307
1.467e-010,0.3307
1.834e-010,0.3307
2.201e-010,0.3307
2.567e-010,0.3307
2.934e-010,0.3307
3.301e-010,0.3307
3.667e-010,0.3307
4.034e-010,0.3307
4.401e-010,0.3307
4.768e-010,0.3307
5.135e-010,0.3307
5.501e-010,0.3307
5.868e-010,0.3307
6.235e-010,0.3307
6.601e-010,0.3307
6.968e-010,0.3308
7.335e-010,0.3315
7.702e-010,0.3343
8.068e-010,0.3423
8.435e-010,0.3601
8.802e-010,0.3924
9.169e-010,0.4420
9.536e-010,0.5086
9.902e-010,0.5889
1.0269e-009,0.6775
1.0636e-009,0.7665
1.1003e-009,0.8470
1.1369e-009,0.9111
1.1736e-009,0.9539
1.2103e-009,0.9748
1.2469e-009,0.9781
1.2836e-009,0.9724
1.3203e-009,0.9666
1.3570e-009,0.9675
1.3936e-009,0.9781
1.4303e-009,0.9981
1.4670e-009,1.0245
1.5037e-009,1.0526
1.5403e-009,1.0771
1.5770e-009,1.0937
1.6137e-009,1.0999
1.6504e-009,1.0966
1.6871e-009,1.0878
1.7237e-009,1.0783
1.7604e-009,1.0702
1.7971e-009,1.0608
1.8338e-009,1.0427
1.8704e-009,1.0090
1.9071e-009,0.9558
1.9438e-009,0.8817
1.9805e-009,0.7899
2.0171e-009,0.6891
2.0538e-009,0.5904
2.0905e-009,0.5054
2.1272e-009,0.4451
2.1638e-009,0.4158
2.2005e-009,0.4154
2.2372e-009,0.4339
2.2738e-009,0.4579
2.3105e-009,0.4745
2.3472e-009,0.4757
2.3839e-009,0.4594
2.4205e-009,0.4289
2.4572e-009,0.3909
2.4939e-009,0.3538
2.5306e-009,0.3255
2.5672e-009,0.3117
2.6039e-009,0.3141
2.6406e-009,0.3302
2.6773e-009,0.3556
2.7139e-009,0.3874
2.7506e-009,0.4258
2.7873e-009,0.4731
2.8240e-009,0.5315
2.8606e-009,0.6021
2.8973e-009,0.6837
2.9340e-009,0.7707
2.9707e-009,0.8541
3.0073e-009,0.9246
3.0440e-009,0.9744
3.0807e-009,0.9991
3.1174e-009,1.0004
3.1540e-009,0.9861
3.1907e-009,0.9671
3.2274e-009,0.9539
3.2641e-009,0.9536
3.3007e-009,0.9688
3.3374e-009,0.9972
3.3741e-009,1.0327
