.HEADER
..NAMES
Time,V U2.T8
.DATA
0.0e+000,1.0890
3.67e-011,1.0890
7.33e-011,1.0890
1.100e-010,1.0890
1.467e-010,1.0890
1.834e-010,1.0890
2.201e-010,1.0890
2.567e-010,1.0890
2.934e-010,1.0890
3.301e-010,1.0890
3.667e-010,1.0890
4.034e-010,1.0890
4.401e-010,1.0890
4.768e-010,1.0890
5.135e-010,1.0890
5.501e-010,1.0890
5.868e-010,1.0890
6.235e-010,1.0890
6.601e-010,1.0890
6.968e-010,1.0890
7.335e-010,1.0890
7.702e-010,1.0892
8.068e-010,1.0896
8.435e-010,1.0902
8.802e-010,1.0905
9.169e-010,1.0886
9.536e-010,1.0812
9.902e-010,1.0654
1.0269e-009,1.0393
1.0636e-009,1.0018
1.1003e-009,0.9506
1.1369e-009,0.8834
1.1736e-009,0.8021
1.2103e-009,0.7125
1.2469e-009,0.6207
1.2836e-009,0.5326
1.3203e-009,0.4544
1.3570e-009,0.3925
1.3936e-009,0.3503
1.4303e-009,0.3285
1.4670e-009,0.3250
1.5037e-009,0.3356
1.5403e-009,0.3543
1.5770e-009,0.3746
1.6137e-009,0.3909
1.6504e-009,0.3988
1.6871e-009,0.3966
1.7237e-009,0.3850
1.7604e-009,0.3677
1.7971e-009,0.3503
1.8338e-009,0.3401
1.8704e-009,0.3447
1.9071e-009,0.3682
1.9438e-009,0.4104
1.9805e-009,0.4699
2.0171e-009,0.5459
2.0538e-009,0.6368
2.0905e-009,0.7354
2.1272e-009,0.8309
2.1638e-009,0.9142
2.2005e-009,0.9812
2.2372e-009,1.0302
2.2738e-009,1.0597
2.3105e-009,1.0702
2.3472e-009,1.0656
2.3839e-009,1.0517
2.4205e-009,1.0342
2.4572e-009,1.0180
2.4939e-009,1.0071
2.5306e-009,1.0044
2.5672e-009,1.0108
2.6039e-009,1.0251
2.6406e-009,1.0441
2.6773e-009,1.0639
2.7139e-009,1.0810
2.7506e-009,1.0929
2.7873e-009,1.0983
2.8240e-009,1.0980
2.8606e-009,1.0942
2.8973e-009,1.0887
2.9340e-009,1.0826
2.9707e-009,1.0771
3.0073e-009,1.0735
3.0440e-009,1.0735
3.0807e-009,1.0774
3.1174e-009,1.0842
3.1540e-009,1.0921
3.1907e-009,1.0990
3.2274e-009,1.1037
3.2641e-009,1.1060
3.3007e-009,1.1062
3.3374e-009,1.1051
3.3741e-009,1.1034
3.4108e-009,1.1016
3.4475e-009,1.0998
3.4841e-009,1.0982
3.5208e-009,1.0970
3.5575e-009,1.0967
3.5942e-009,1.0971
3.6308e-009,1.0978
3.6675e-009,1.0984
3.7042e-009,1.0973
3.7408e-009,1.0918
3.7775e-009,1.0786
3.8142e-009,1.0556
3.8509e-009,1.0226
3.8875e-009,0.9784
3.9242e-009,0.9204
3.9609e-009,0.8473
3.9976e-009,0.7626
4.0342e-009,0.6729
4.0709e-009,0.5837
4.1076e-009,0.5007
4.1443e-009,0.4301
4.1809e-009,0.3773
4.2176e-009,0.3445
4.2543e-009,0.3306
4.2910e-009,0.3328
4.3276e-009,0.3462
4.3643e-009,0.3647
4.4010e-009,0.3825
4.4377e-009,0.3945
4.4743e-009,0.3972
4.5110e-009,0.3901
4.5477e-009,0.3752
4.5844e-009,0.3568
4.6211e-009,0.3412
4.6577e-009,0.3362
4.6944e-009,0.3482
4.7311e-009,0.3793
4.7678e-009,0.4283
4.8044e-009,0.4931
4.8411e-009,0.5736
4.8778e-009,0.6666
4.9145e-009,0.7638
4.9511e-009,0.8546
4.9878e-009,0.9317
5.0245e-009,0.9925
5.0612e-009,1.0356
5.0978e-009,1.0599
5.1345e-009,1.0666
5.1712e-009,1.0603
5.2079e-009,1.0466
5.2445e-009,1.0305
5.2812e-009,1.0165
5.3179e-009,1.0081
5.3546e-009,1.0076
5.3912e-009,1.0157
5.4279e-009,1.0306
5.4646e-009,1.0492
5.5013e-009,1.0678
5.5379e-009,1.0834
5.5746e-009,1.0936
5.6113e-009,1.0977
5.6480e-009,1.0968
5.6846e-009,1.0929
5.7213e-009,1.0877
5.7580e-009,1.0819
5.7947e-009,1.0768
5.8313e-009,1.0738
5.8680e-009,1.0744
5.9047e-009,1.0788
5.9414e-009,1.0857
5.9780e-009,1.0932
6.0147e-009,1.0997
6.0514e-009,1.1039
6.0881e-009,1.1059
6.1247e-009,1.1060
6.1614e-009,1.1049
6.1981e-009,1.1032
6.2348e-009,1.1014
6.2714e-009,1.0995
6.3081e-009,1.0978
6.3448e-009,1.0968
6.3815e-009,1.0967
6.4181e-009,1.0971
6.4548e-009,1.0979
6.4915e-009,1.0982
6.5282e-009,1.0964
6.5648e-009,1.0892
6.6015e-009,1.0735
6.6382e-009,1.0478
6.6749e-009,1.0118
6.7115e-009,0.9641
6.7482e-009,0.9020
6.7849e-009,0.8252
6.8215e-009,0.7386
6.8582e-009,0.6486
6.8949e-009,0.5607
6.9316e-009,0.4804
6.9682e-009,0.4142
7.0049e-009,0.3667
7.0416e-009,0.3390
7.0783e-009,0.3297
7.1149e-009,0.3353
7.1516e-009,0.3505
7.1883e-009,0.3694
7.2250e-009,0.3861
7.2616e-009,0.3960
7.2983e-009,0.3962
7.3350e-009,0.3869
7.3717e-009,0.3705
7.4083e-009,0.3506
7.4450e-009,0.3316
7.4817e-009,0.3176
7.5184e-009,0.3111
7.5550e-009,0.3118
7.5917e-009,0.3179
7.6284e-009,0.3274
7.6651e-009,0.3378
7.7018e-009,0.3467
7.7384e-009,0.3521
7.7751e-009,0.3527
7.8118e-009,0.3484
7.8484e-009,0.3406
7.8851e-009,0.3313
7.9218e-009,0.3228
7.9585e-009,0.3166
7.9952e-009,0.3135
8.0318e-009,0.3132
8.0685e-009,0.3148
8.1052e-009,0.3171
8.1418e-009,0.3191
8.1785e-009,0.3203
8.2152e-009,0.3206
8.2519e-009,0.3202
8.2886e-009,0.3195
8.3252e-009,0.3192
8.3619e-009,0.3198
8.3986e-009,0.3214
8.4352e-009,0.3241
8.4719e-009,0.3275
8.5086e-009,0.3312
8.5453e-009,0.3343
8.5820e-009,0.3360
8.6186e-009,0.3362
8.6553e-009,0.3349
8.6920e-009,0.3328
8.7286e-009,0.3307
8.7653e-009,0.3291
8.8020e-009,0.3285
8.8387e-009,0.3288
8.8754e-009,0.3297
8.9120e-009,0.3307
8.9487e-009,0.3313
8.9854e-009,0.3313
9.0220e-009,0.3307
9.0587e-009,0.3294
9.0954e-009,0.3278
9.1321e-009,0.3263
9.1688e-009,0.3254
9.2054e-009,0.3254
9.2421e-009,0.3264
9.2788e-009,0.3283
9.3154e-009,0.3305
9.3521e-009,0.3325
9.3888e-009,0.3336
9.4255e-009,0.3334
9.4622e-009,0.3321
9.4988e-009,0.3299
9.5355e-009,0.3275
9.5722e-009,0.3256
9.6088e-009,0.3245
9.6455e-009,0.3247
9.6822e-009,0.3259
9.7189e-009,0.3279
9.7556e-009,0.3303
9.7922e-009,0.3323
9.8289e-009,0.3336
9.8656e-009,0.3339
9.9022e-009,0.3330
9.9389e-009,0.3312
9.9756e-009,0.3290
1.00123e-008,0.3268
1.00490e-008,0.3254
1.00856e-008,0.3249
1.01223e-008,0.3255
1.01590e-008,0.3270
1.01956e-008,0.3293
1.02323e-008,0.3331
1.02690e-008,0.3400
1.03057e-008,0.3531
1.03424e-008,0.3747
1.03790e-008,0.4065
1.04157e-008,0.4494
1.04524e-008,0.5047
1.04890e-008,0.5737
1.05257e-008,0.6544
1.05624e-008,0.7409
1.05991e-008,0.8257
1.06358e-008,0.9033
1.06724e-008,0.9698
1.07091e-008,1.0208
1.07458e-008,1.0535
1.07824e-008,1.0682
1.08191e-008,1.0684
1.08558e-008,1.0590
1.08925e-008,1.0453
1.09292e-008,1.0327
1.09658e-008,1.0251
1.10025e-008,1.0251
1.10392e-008,1.0331
1.10758e-008,1.0473
1.11125e-008,1.0645
1.11492e-008,1.0810
1.11859e-008,1.0938
1.12226e-008,1.1008
1.12592e-008,1.1017
1.12959e-008,1.0976
1.13326e-008,1.0908
1.13693e-008,1.0832
1.14059e-008,1.0764
1.14426e-008,1.0718
1.14793e-008,1.0709
1.15159e-008,1.0737
1.15526e-008,1.0796
1.15893e-008,1.0868
1.16260e-008,1.0934
1.16627e-008,1.0983
1.16993e-008,1.1011
1.17360e-008,1.1020
1.17727e-008,1.1019
1.18093e-008,1.1013
1.18460e-008,1.1009
1.18827e-008,1.1007
1.19194e-008,1.1009
1.19561e-008,1.1010
1.19927e-008,1.1010
1.20294e-008,1.1005
1.20661e-008,1.0992
1.21027e-008,1.0970
