.HEADER
..NAMES
Time,V U3.K3
.DATA
0.0e+000,0.3310
3.67e-011,0.3310
7.33e-011,0.3310
1.100e-010,0.3310
1.467e-010,0.3310
1.834e-010,0.3310
2.201e-010,0.3310
2.567e-010,0.3310
2.934e-010,0.3310
3.301e-010,0.3310
3.667e-010,0.3310
4.034e-010,0.3310
4.401e-010,0.3310
4.768e-010,0.3310
5.135e-010,0.3310
5.501e-010,0.3310
5.868e-010,0.3310
6.235e-010,0.3310
6.601e-010,0.3310
6.968e-010,0.3310
7.335e-010,0.3312
7.702e-010,0.3325
8.068e-010,0.3368
8.435e-010,0.3482
8.802e-010,0.3722
9.169e-010,0.4142
9.536e-010,0.4769
9.902e-010,0.5580
1.0269e-009,0.6499
1.0636e-009,0.7419
1.1003e-009,0.8225
1.1369e-009,0.8833
1.1736e-009,0.9214
1.2103e-009,0.9394
1.2469e-009,0.9444
1.2836e-009,0.9452
1.3203e-009,0.9497
1.3570e-009,0.9615
1.3936e-009,0.9803
1.4303e-009,1.0028
1.4670e-009,1.0243
1.5037e-009,1.0409
1.5403e-009,1.0511
1.5770e-009,1.0556
1.6137e-009,1.0568
1.6504e-009,1.0576
1.6871e-009,1.0602
1.7237e-009,1.0655
1.7604e-009,1.0728
1.7971e-009,1.0806
1.8338e-009,1.0870
1.8704e-009,1.0906
1.9071e-009,1.0907
1.9438e-009,1.0883
1.9805e-009,1.0850
2.0171e-009,1.0828
2.0538e-009,1.0831
2.0905e-009,1.0860
2.1272e-009,1.0906
2.1638e-009,1.0955
2.2005e-009,1.0993
2.2372e-009,1.1008
2.2738e-009,1.1002
2.3105e-009,1.0983
2.3472e-009,1.0964
2.3839e-009,1.0957
2.4205e-009,1.0964
2.4572e-009,1.0985
2.4939e-009,1.1008
2.5306e-009,1.1026
2.5672e-009,1.1032
2.6039e-009,1.1027
2.6406e-009,1.1018
2.6773e-009,1.1008
2.7139e-009,1.0985
2.7506e-009,1.0911
2.7873e-009,1.0719
2.8240e-009,1.0341
2.8606e-009,0.9733
2.8973e-009,0.8900
2.9340e-009,0.7911
2.9707e-009,0.6884
3.0073e-009,0.5956
3.0440e-009,0.5237
3.0807e-009,0.4787
3.1174e-009,0.4595
3.1540e-009,0.4586
3.1907e-009,0.4651
3.2274e-009,0.4690
3.2641e-009,0.4638
3.3007e-009,0.4481
3.3374e-009,0.4250
3.3741e-009,0.4003
3.4108e-009,0.3796
3.4475e-009,0.3662
3.4841e-009,0.3605
3.5208e-009,0.3602
3.5575e-009,0.3619
3.5942e-009,0.3632
3.6308e-009,0.3652
3.6675e-009,0.3727
3.7042e-009,0.3939
3.7408e-009,0.4373
3.7775e-009,0.5068
3.8142e-009,0.5986
3.8509e-009,0.7020
3.8875e-009,0.8016
