.HEADER
..NAMES
Time,V U2.J7&K7
.DATA
0.0e+000,-0.7769
3.67e-011,-0.7769
7.33e-011,-0.7769
1.100e-010,-0.7769
1.467e-010,-0.7769
1.834e-010,-0.7769
2.201e-010,-0.7769
2.567e-010,-0.7769
2.934e-010,-0.7769
3.301e-010,-0.7769
3.667e-010,-0.7769
4.034e-010,-0.7769
4.401e-010,-0.7769
4.768e-010,-0.7769
5.135e-010,-0.7769
5.501e-010,-0.7769
5.868e-010,-0.7769
6.235e-010,-0.7769
6.601e-010,-0.7769
6.968e-010,-0.7769
7.335e-010,-0.7769
7.702e-010,-0.7769
8.068e-010,-0.7769
8.435e-010,-0.7769
8.802e-010,-0.7769
9.169e-010,-0.7769
9.536e-010,-0.7769
9.902e-010,-0.7769
1.0269e-009,-0.7769
1.0636e-009,-0.7769
1.1003e-009,-0.7769
1.1369e-009,-0.7769
1.1736e-009,-0.7769
1.2103e-009,-0.7770
1.2469e-009,-0.7771
1.2836e-009,-0.7770
1.3203e-009,-0.7761
1.3570e-009,-0.7721
1.3936e-009,-0.7612
1.4303e-009,-0.7367
1.4670e-009,-0.6912
1.5037e-009,-0.6172
1.5403e-009,-0.5101
1.5770e-009,-0.3697
1.6137e-009,-0.2018
1.6504e-009,-0.0179
1.6871e-009,0.1662
1.7237e-009,0.3345
1.7604e-009,0.4738
1.7971e-009,0.5751
1.8338e-009,0.6352
1.8704e-009,0.6553
1.9071e-009,0.6385
1.9438e-009,0.5884
1.9805e-009,0.5077
2.0171e-009,0.3984
2.0538e-009,0.2633
2.0905e-009,0.1075
2.1272e-009,-0.0604
2.1638e-009,-0.2281
2.2005e-009,-0.3821
2.2372e-009,-0.5105
2.2738e-009,-0.6042
2.3105e-009,-0.6598
2.3472e-009,-0.6784
2.3839e-009,-0.6640
2.4205e-009,-0.6215
2.4572e-009,-0.5540
2.4939e-009,-0.4628
2.5306e-009,-0.3479
2.5672e-009,-0.2096
2.6039e-009,-0.0518
2.6406e-009,0.1169
2.6773e-009,0.2846
2.7139e-009,0.4369
2.7506e-009,0.5595
2.7873e-009,0.6417
2.8240e-009,0.6770
2.8606e-009,0.6643
2.8973e-009,0.6066
2.9340e-009,0.5099
2.9707e-009,0.3818
3.0073e-009,0.2314
3.0440e-009,0.0678
3.0807e-009,-0.0982
3.1174e-009,-0.2562
3.1540e-009,-0.3967
3.1907e-009,-0.5115
3.2274e-009,-0.5950
3.2641e-009,-0.6446
3.3007e-009,-0.6602
3.3374e-009,-0.6427
3.3741e-009,-0.5936
3.4108e-009,-0.5142
3.4475e-009,-0.4060
3.4841e-009,-0.2718
3.5208e-009,-0.1168
3.5575e-009,0.0502
3.5942e-009,0.2172
3.6308e-009,0.3718
3.6675e-009,0.5013
3.7042e-009,0.5965
3.7408e-009,0.6522
3.7775e-009,0.6674
3.8142e-009,0.6440
3.8509e-009,0.5855
3.8875e-009,0.4956
3.9242e-009,0.3782
3.9609e-009,0.2374
3.9976e-009,0.0795
4.0342e-009,-0.0867
4.0709e-009,-0.2502
4.1076e-009,-0.3990
4.1443e-009,-0.5215
4.1809e-009,-0.6090
4.2176e-009,-0.6567
4.2543e-009,-0.6635
4.2910e-009,-0.6316
4.3276e-009,-0.5647
4.3643e-009,-0.4672
4.4010e-009,-0.3437
4.4377e-009,-0.1994
4.4743e-009,-0.0410
4.5110e-009,0.1222
4.5477e-009,0.2801
4.5844e-009,0.4215
4.6211e-009,0.5363
4.6577e-009,0.6168
4.6944e-009,0.6588
4.7311e-009,0.6611
4.7678e-009,0.6251
4.8044e-009,0.5539
4.8411e-009,0.4511
4.8778e-009,0.3214
4.9145e-009,0.1708
4.9511e-009,0.0074
4.9878e-009,-0.1583
5.0245e-009,-0.3152
5.0612e-009,-0.4518
5.0978e-009,-0.5583
5.1345e-009,-0.6284
5.1712e-009,-0.6591
5.2079e-009,-0.6505
5.2445e-009,-0.6051
5.2812e-009,-0.5262
5.3179e-009,-0.4180
5.3546e-009,-0.2849
5.3912e-009,-0.1329
5.4279e-009,0.0299
5.4646e-009,0.1932
5.5013e-009,0.3458
5.5379e-009,0.4768
5.5746e-009,0.5768
5.6113e-009,0.6400
5.6480e-009,0.6638
5.6846e-009,0.6487
5.7213e-009,0.5972
5.7580e-009,0.5126
5.7947e-009,0.3989
5.8313e-009,0.2611
5.8680e-009,0.1054
5.9047e-009,-0.0591
5.9414e-009,-0.2217
5.9780e-009,-0.3712
6.0147e-009,-0.4966
6.0514e-009,-0.5892
6.0881e-009,-0.6440
6.1247e-009,-0.6591
6.1614e-009,-0.6356
6.1981e-009,-0.5761
6.2348e-009,-0.4844
6.2714e-009,-0.3647
6.3081e-009,-0.2222
6.3448e-009,-0.0639
6.3815e-009,0.1007
6.4181e-009,0.2608
6.4548e-009,0.4051
6.4915e-009,0.5233
6.5282e-009,0.6076
6.5648e-009,0.6539
6.6015e-009,0.6609
6.6382e-009,0.6303
6.6749e-009,0.5646
6.7115e-009,0.4674
6.7482e-009,0.3430
6.7849e-009,0.1966
6.8215e-009,0.0357
6.8582e-009,-0.1295
6.8949e-009,-0.2881
6.9316e-009,-0.4287
6.9682e-009,-0.5408
7.0049e-009,-0.6175
7.0416e-009,-0.6552
7.0783e-009,-0.6534
7.1149e-009,-0.6142
7.1516e-009,-0.5406
7.1883e-009,-0.4367
7.2250e-009,-0.3068
7.2616e-009,-0.1568
7.2983e-009,0.0053
7.3350e-009,0.1694
7.3717e-009,0.3244
7.4083e-009,0.4590
7.4450e-009,0.5637
7.4817e-009,0.6323
7.5184e-009,0.6619
7.5550e-009,0.6526
7.5917e-009,0.6065
7.6284e-009,0.5269
7.6651e-009,0.4175
7.7018e-009,0.2830
7.7384e-009,0.1294
7.7751e-009,-0.0345
7.8118e-009,-0.1982
7.8484e-009,-0.3505
7.8851e-009,-0.4799
7.9218e-009,-0.5776
7.9585e-009,-0.6380
7.9952e-009,-0.6589
8.0318e-009,-0.6410
8.0685e-009,-0.5869
8.1052e-009,-0.5001
8.1418e-009,-0.3847
8.1785e-009,-0.2456
8.2152e-009,-0.0894
8.2519e-009,0.0749
8.2886e-009,0.2365
8.3252e-009,0.3842
8.3619e-009,0.5072
8.3986e-009,0.5972
8.4352e-009,0.6494
8.4719e-009,0.6623
8.5086e-009,0.6371
8.5453e-009,0.5764
8.5820e-009,0.4837
8.6186e-009,0.3630
8.6553e-009,0.2195
8.6920e-009,0.0601
8.7286e-009,-0.1053
8.7653e-009,-0.2658
8.8020e-009,-0.4099
8.8387e-009,-0.5268
8.8754e-009,-0.6091
8.9120e-009,-0.6527
8.9487e-009,-0.6565
8.9854e-009,-0.6226
9.0220e-009,-0.5539
9.0587e-009,-0.4542
9.0954e-009,-0.3281
9.1321e-009,-0.1807
9.1688e-009,-0.0198
9.2054e-009,0.1447
9.2421e-009,0.3020
9.2788e-009,0.4405
9.3154e-009,0.5504
9.3521e-009,0.6249
9.3888e-009,0.6603
9.4255e-009,0.6566
9.4622e-009,0.6157
9.4988e-009,0.5407
9.5355e-009,0.4354
9.5722e-009,0.3043
9.6088e-009,0.1531
9.6455e-009,-0.0099
9.6822e-009,-0.1744
9.7189e-009,-0.3291
9.7556e-009,-0.4627
9.7922e-009,-0.5657
9.8289e-009,-0.6320
9.8656e-009,-0.6588
9.9022e-009,-0.6466
9.9389e-009,-0.5977
9.9756e-009,-0.5155
1.00123e-008,-0.4040
1.00490e-008,-0.2682
1.00856e-008,-0.1140
1.01223e-008,0.0497
1.01590e-008,0.2125
1.01956e-008,0.3631
1.02323e-008,0.4905
1.02690e-008,0.5861
1.03057e-008,0.6443
1.03424e-008,0.6631
1.03790e-008,0.6435
1.04157e-008,0.5878
1.04524e-008,0.4995
1.04890e-008,0.3827
1.05257e-008,0.2423
1.05624e-008,0.0849
1.05991e-008,-0.0800
1.06358e-008,-0.2417
1.06724e-008,-0.3888
1.07091e-008,-0.5103
1.07458e-008,-0.5982
1.07824e-008,-0.6479
1.08191e-008,-0.6580
1.08558e-008,-0.6299
1.08925e-008,-0.5666
1.09292e-008,-0.4715
1.09658e-008,-0.3492
1.10025e-008,-0.2048
1.10392e-008,-0.0454
1.10758e-008,0.1193
1.11125e-008,0.2783
1.11492e-008,0.4204
1.11859e-008,0.5352
1.12226e-008,0.6154
1.12592e-008,0.6571
1.12959e-008,0.6594
1.13326e-008,0.6242
1.13693e-008,0.5542
1.14059e-008,0.4532
1.14426e-008,0.3257
1.14793e-008,0.1771
1.15159e-008,0.0152
1.15526e-008,-0.1497
1.15893e-008,-0.3066
1.16260e-008,-0.4440
1.16627e-008,-0.5520
1.16993e-008,-0.6241
1.17360e-008,-0.6570
1.17727e-008,-0.6507
1.18093e-008,-0.6073
1.18460e-008,-0.5301
1.18827e-008,-0.4229
1.19194e-008,-0.2905
1.19561e-008,-0.1387
1.19927e-008,0.0243
