.HEADER
..NAMES
Time,V U2.J7&K7
.DATA
0.0e+000,1.0647
3.67e-011,1.0647
7.33e-011,1.0647
1.100e-010,1.0647
1.467e-010,1.0647
1.834e-010,1.0647
2.201e-010,1.0647
2.567e-010,1.0647
2.934e-010,1.0647
3.301e-010,1.0647
3.667e-010,1.0647
4.034e-010,1.0647
4.401e-010,1.0647
4.768e-010,1.0647
5.135e-010,1.0647
5.501e-010,1.0647
5.868e-010,1.0647
6.235e-010,1.0647
6.601e-010,1.0647
6.968e-010,1.0647
7.335e-010,1.0647
7.702e-010,1.0647
8.068e-010,1.0647
8.435e-010,1.0647
8.802e-010,1.0647
9.169e-010,1.0647
9.536e-010,1.0647
9.902e-010,1.0647
1.0269e-009,1.0647
1.0636e-009,1.0647
1.1003e-009,1.0647
1.1369e-009,1.0647
1.1736e-009,1.0647
1.2103e-009,1.0648
1.2469e-009,1.0649
1.2836e-009,1.0651
1.3203e-009,1.0654
1.3570e-009,1.0652
1.3936e-009,1.0629
1.4303e-009,1.0558
1.4670e-009,1.0400
1.5037e-009,1.0113
1.5403e-009,0.9662
1.5770e-009,0.9031
1.6137e-009,0.8234
1.6504e-009,0.7318
1.6871e-009,0.6360
1.7237e-009,0.5445
1.7604e-009,0.4655
1.7971e-009,0.4061
1.8338e-009,0.3700
1.8704e-009,0.3577
1.9071e-009,0.3682
1.9438e-009,0.3994
1.9805e-009,0.4483
2.0171e-009,0.5114
2.0538e-009,0.5847
2.0905e-009,0.6644
2.1272e-009,0.7458
2.1638e-009,0.8231
2.2005e-009,0.8910
2.2372e-009,0.9457
2.2738e-009,0.9855
2.3105e-009,1.0096
2.3472e-009,1.0190
2.3839e-009,1.0158
2.4205e-009,1.0018
2.4572e-009,0.9766
2.4939e-009,0.9385
2.5306e-009,0.8862
2.5672e-009,0.8196
2.6039e-009,0.7405
2.6406e-009,0.6529
2.6773e-009,0.5634
2.7139e-009,0.4812
2.7506e-009,0.4155
2.7873e-009,0.3722
2.8240e-009,0.3544
2.8606e-009,0.3635
