.HEADER
..NAMES
Time,V U3.L2
.DATA
0.0e+000,1.0894
3.67e-011,1.0894
7.33e-011,1.0894
1.100e-010,1.0894
1.467e-010,1.0894
1.834e-010,1.0894
2.201e-010,1.0894
2.567e-010,1.0894
2.934e-010,1.0894
3.301e-010,1.0894
3.667e-010,1.0894
4.034e-010,1.0894
4.401e-010,1.0894
4.768e-010,1.0894
5.135e-010,1.0894
5.501e-010,1.0894
5.868e-010,1.0894
6.235e-010,1.0894
6.601e-010,1.0895
6.968e-010,1.0897
7.335e-010,1.0904
7.702e-010,1.0913
8.068e-010,1.0912
8.435e-010,1.0870
8.802e-010,1.0736
9.169e-010,1.0458
9.536e-010,1.0007
9.902e-010,0.9373
1.0269e-009,0.8562
1.0636e-009,0.7622
1.1003e-009,0.6640
1.1369e-009,0.5716
1.1736e-009,0.4944
1.2103e-009,0.4400
1.2469e-009,0.4117
1.2836e-009,0.4068
1.3203e-009,0.4179
1.3570e-009,0.4347
1.3936e-009,0.4470
1.4303e-009,0.4475
1.4670e-009,0.4336
1.5037e-009,0.4071
1.5403e-009,0.3732
1.5770e-009,0.3394
1.6137e-009,0.3133
1.6504e-009,0.3002
1.6871e-009,0.3028
1.7237e-009,0.3213
1.7604e-009,0.3545
1.7971e-009,0.4008
1.8338e-009,0.4584
1.8704e-009,0.5248
1.9071e-009,0.5976
1.9438e-009,0.6760
1.9805e-009,0.7575
2.0171e-009,0.8363
2.0538e-009,0.9045
2.0905e-009,0.9563
2.1272e-009,0.9880
2.1638e-009,0.9990
2.2005e-009,0.9937
2.2372e-009,0.9805
2.2738e-009,0.9682
2.3105e-009,0.9642
2.3472e-009,0.9728
2.3839e-009,0.9941
2.4205e-009,1.0245
2.4572e-009,1.0581
2.4939e-009,1.0875
2.5306e-009,1.1057
2.5672e-009,1.1093
2.6039e-009,1.0995
2.6406e-009,1.0815
2.6773e-009,1.0630
2.7139e-009,1.0508
2.7506e-009,1.0489
2.7873e-009,1.0573
2.8240e-009,1.0730
2.8606e-009,1.0909
2.8973e-009,1.1061
2.9340e-009,1.1148
2.9707e-009,1.1156
3.0073e-009,1.1092
3.0440e-009,1.0985
3.0807e-009,1.0875
3.1174e-009,1.0803
3.1540e-009,1.0793
3.1907e-009,1.0848
3.2274e-009,1.0945
3.2641e-009,1.1048
3.3007e-009,1.1122
3.3374e-009,1.1147
3.3741e-009,1.1122
3.4108e-009,1.1061
3.4475e-009,1.0989
3.4841e-009,1.0928
3.5208e-009,1.0894
3.5575e-009,1.0893
3.5942e-009,1.0912
3.6308e-009,1.0919
3.6675e-009,1.0858
3.7042e-009,1.0663
3.7408e-009,1.0284
3.7775e-009,0.9704
3.8142e-009,0.8933
3.8509e-009,0.8010
3.8875e-009,0.7020
3.9242e-009,0.6067
3.9609e-009,0.5242
3.9976e-009,0.4619
4.0342e-009,0.4242
4.0709e-009,0.4104
4.1076e-009,0.4144
4.1443e-009,0.4274
4.1809e-009,0.4396
4.2176e-009,0.4429
4.2543e-009,0.4330
4.2910e-009,0.4105
4.3276e-009,0.3795
4.3643e-009,0.3465
4.4010e-009,0.3191
4.4377e-009,0.3028
4.4743e-009,0.2998
4.5110e-009,0.3090
4.5477e-009,0.3260
4.5844e-009,0.3444
4.6211e-009,0.3583
4.6577e-009,0.3640
4.6944e-009,0.3606
4.7311e-009,0.3503
4.7678e-009,0.3376
4.8044e-009,0.3266
4.8411e-009,0.3205
4.8778e-009,0.3204
4.9145e-009,0.3253
4.9511e-009,0.3323
4.9878e-009,0.3382
5.0245e-009,0.3403
5.0612e-009,0.3378
5.0978e-009,0.3310
5.1345e-009,0.3221
5.1712e-009,0.3140
5.2079e-009,0.3093
5.2445e-009,0.3094
5.2812e-009,0.3143
5.3179e-009,0.3218
5.3546e-009,0.3293
5.3912e-009,0.3346
5.4279e-009,0.3372
5.4646e-009,0.3395
5.5013e-009,0.3465
5.5379e-009,0.3648
5.5746e-009,0.3999
5.6113e-009,0.4545
5.6480e-009,0.5276
5.6846e-009,0.6149
5.7213e-009,0.7092
5.7580e-009,0.8008
5.7947e-009,0.8788
5.8313e-009,0.9356
5.8680e-009,0.9683
5.9047e-009,0.9792
5.9414e-009,0.9746
5.9780e-009,0.9644
6.0147e-009,0.9580
6.0514e-009,0.9620
6.0881e-009,0.9785
6.1247e-009,1.0057
6.1614e-009,1.0382
6.1981e-009,1.0696
6.2348e-009,1.0938
6.2714e-009,1.1066
6.3081e-009,1.1066
6.3448e-009,1.0962
6.3815e-009,1.0805
6.4181e-009,1.0658
6.4548e-009,1.0576
6.4915e-009,1.0587
6.5282e-009,1.0683
6.5648e-009,1.0829
6.6015e-009,1.0980
6.6382e-009,1.1097
6.6749e-009,1.1156
6.7115e-009,1.1150
6.7482e-009,1.1093
6.7849e-009,1.1011
6.8215e-009,1.0934
6.8582e-009,1.0889
6.8949e-009,1.0891
6.9316e-009,1.0942
6.9682e-009,1.1022
7.0049e-009,1.1103
7.0416e-009,1.1157
7.0783e-009,1.1166
7.1149e-009,1.1134
7.1516e-009,1.1074
7.1883e-009,1.1007
7.2250e-009,1.0953
7.2616e-009,1.0922
7.2983e-009,1.0916
7.3350e-009,1.0929
7.3717e-009,1.0949
7.4083e-009,1.0961
7.4450e-009,1.0953
7.4817e-009,1.0920
7.5184e-009,1.0865
7.5550e-009,1.0800
7.5917e-009,1.0743
7.6284e-009,1.0713
7.6651e-009,1.0720
7.7018e-009,1.0761
7.7384e-009,1.0823
7.7751e-009,1.0888
7.8118e-009,1.0939
7.8484e-009,1.0962
7.8851e-009,1.0952
7.9218e-009,1.0915
7.9585e-009,1.0862
