.HEADER
..NAMES
Time,V U2.E3
.DATA
0.0e+000,0.3222
3.86e-011,0.3222
7.72e-011,0.3222
1.157e-010,0.3222
1.543e-010,0.3222
1.929e-010,0.3222
2.314e-010,0.3222
2.700e-010,0.3222
3.086e-010,0.3222
3.472e-010,0.3222
3.857e-010,0.3222
4.243e-010,0.3222
4.629e-010,0.3222
5.015e-010,0.3222
5.401e-010,0.3222
5.786e-010,0.3222
6.172e-010,0.3222
6.558e-010,0.3222
6.944e-010,0.3222
7.329e-010,0.3222
7.715e-010,0.3222
8.101e-010,0.3222
8.486e-010,0.3222
8.872e-010,0.3222
9.258e-010,0.3222
9.644e-010,0.3222
1.0029e-009,0.3222
1.0415e-009,0.3222
1.0801e-009,0.3222
1.1187e-009,0.3222
1.1572e-009,0.3232
1.1958e-009,0.3295
1.2344e-009,0.3488
1.2730e-009,0.3950
1.3115e-009,0.4754
1.3501e-009,0.5841
1.3887e-009,0.7012
1.4273e-009,0.7997
1.4658e-009,0.8866
1.5044e-009,0.9598
1.5430e-009,1.0165
1.5816e-009,1.0565
1.6202e-009,1.0835
1.6587e-009,1.1028
1.6973e-009,1.1166
1.7359e-009,1.1269
1.7745e-009,1.1367
1.8130e-009,1.1475
1.8516e-009,1.1583
1.8902e-009,1.1675
1.9288e-009,1.1724
1.9673e-009,1.1722
2.0059e-009,1.1717
2.0445e-009,1.1721
2.0830e-009,1.1730
2.1216e-009,1.1775
2.1602e-009,1.1783
2.1988e-009,1.1682
2.2374e-009,1.1298
2.2759e-009,1.0497
2.3145e-009,0.9459
2.3531e-009,0.8367
2.3916e-009,0.7224
2.4302e-009,0.6160
2.4688e-009,0.5270
2.5074e-009,0.4616
2.5459e-009,0.4164
2.5845e-009,0.3781
2.6231e-009,0.3697
2.6617e-009,0.3863
2.7003e-009,0.4334
2.7388e-009,0.5140
2.7774e-009,0.6202
2.8160e-009,0.7236
2.8545e-009,0.8178
2.8931e-009,0.9047
2.9317e-009,0.9762
2.9703e-009,1.0296
3.0089e-009,1.0673
3.0474e-009,1.0947
3.0860e-009,1.1139
3.1246e-009,1.1247
3.1631e-009,1.1350
3.2017e-009,1.1451
3.2403e-009,1.1543
3.2789e-009,1.1631
3.3175e-009,1.1705
3.3560e-009,1.1733
3.3946e-009,1.1734
3.4332e-009,1.1740
3.4717e-009,1.1743
3.5103e-009,1.1767
3.5489e-009,1.1800
3.5875e-009,1.1762
3.6260e-009,1.1536
3.6646e-009,1.0922
3.7032e-009,0.9960
3.7418e-009,0.8894
3.7803e-009,0.7764
3.8189e-009,0.6647
3.8575e-009,0.5669
3.8961e-009,0.4902
3.9346e-009,0.4370
3.9732e-009,0.3955
4.0118e-009,0.3700
4.0504e-009,0.3757
4.0890e-009,0.4071
4.1275e-009,0.4720
4.1661e-009,0.5683
4.2047e-009,0.6765
4.2433e-009,0.7738
4.2818e-009,0.8653
4.3204e-009,0.9447
4.3590e-009,1.0067
4.3975e-009,1.0514
4.4361e-009,1.0829
4.4747e-009,1.1063
4.5133e-009,1.1204
4.5519e-009,1.1301
4.5904e-009,1.1407
4.6290e-009,1.1502
4.6676e-009,1.1593
4.7062e-009,1.1677
4.7447e-009,1.1729
4.7833e-009,1.1737
4.8219e-009,1.1740
4.8604e-009,1.1745
4.8990e-009,1.1753
4.9376e-009,1.1794
4.9762e-009,1.1795
5.0147e-009,1.1683
5.0533e-009,1.1271
5.0919e-009,1.0445
5.1305e-009,0.9405
5.1691e-009,0.8309
5.2076e-009,0.7166
5.2462e-009,0.6112
5.2848e-009,0.5237
5.3234e-009,0.4597
5.3619e-009,0.4153
5.4005e-009,0.3779
5.4391e-009,0.3704
5.4776e-009,0.3884
5.5162e-009,0.4371
5.5548e-009,0.5194
5.5934e-009,0.6260
5.6320e-009,0.7286
5.6705e-009,0.8229
5.7091e-009,0.9091
5.7477e-009,0.9796
5.7863e-009,1.0322
5.8248e-009,1.0711
5.8634e-009,1.1182
5.9020e-009,1.1428
5.9405e-009,1.1488
5.9791e-009,1.1370
6.0177e-009,1.0859
6.0563e-009,0.9963
6.0948e-009,0.8903
6.1334e-009,0.7742
6.1720e-009,0.6596
6.2106e-009,0.5593
6.2492e-009,0.4842
6.2877e-009,0.4323
6.3263e-009,0.3890
6.3649e-009,0.3683
6.4035e-009,0.3794
6.4420e-009,0.4151
6.4806e-009,0.4836
6.5192e-009,0.5858
6.5577e-009,0.6943
6.5963e-009,0.7896
6.6349e-009,0.8781
6.6735e-009,0.9546
6.7121e-009,1.0142
6.7506e-009,1.0567
6.7892e-009,1.0991
6.8278e-009,1.1378
6.8664e-009,1.1471
6.9049e-009,1.1432
6.9435e-009,1.1069
6.9821e-009,1.0271
7.0206e-009,0.9247
7.0592e-009,0.8117
7.0978e-009,0.6956
7.1364e-009,0.5889
7.1749e-009,0.5048
7.2135e-009,0.4467
7.2521e-009,0.4024
7.2907e-009,0.3705
7.3293e-009,0.3731
7.3678e-009,0.4008
7.4064e-009,0.4579
7.4450e-009,0.5505
7.4835e-009,0.6614
7.5221e-009,0.7600
7.5607e-009,0.8510
7.5993e-009,0.9320
7.6379e-009,0.9973
7.6764e-009,1.0446
7.7150e-009,1.0781
7.7536e-009,1.1034
7.7922e-009,1.1191
7.8307e-009,1.1286
7.8693e-009,1.1394
7.9079e-009,1.1493
7.9464e-009,1.1577
7.9850e-009,1.1664
8.0236e-009,1.1728
8.0622e-009,1.1739
8.1008e-009,1.1736
8.1393e-009,1.1742
8.1779e-009,1.1743
8.2165e-009,1.1734
8.2550e-009,1.1725
8.2936e-009,1.1728
