.HEADER
..NAMES
Time,V U3.E3
.DATA
0.0e+000,1.1775
3.86e-011,1.1775
7.72e-011,1.1775
1.157e-010,1.1775
1.543e-010,1.1775
1.929e-010,1.1775
2.314e-010,1.1775
2.700e-010,1.1775
3.086e-010,1.1775
3.472e-010,1.1775
3.857e-010,1.1775
4.243e-010,1.1775
4.629e-010,1.1775
5.015e-010,1.1775
5.401e-010,1.1775
5.786e-010,1.1775
6.172e-010,1.1775
6.558e-010,1.1775
6.944e-010,1.1775
7.329e-010,1.1775
7.715e-010,1.1775
8.101e-010,1.1775
8.486e-010,1.1775
8.872e-010,1.1775
9.258e-010,1.1775
9.644e-010,1.1775
1.0029e-009,1.1784
1.0415e-009,1.1810
1.0801e-009,1.1820
1.1187e-009,1.1706
1.1572e-009,1.1301
1.1958e-009,1.0504
1.2344e-009,0.9436
1.2730e-009,0.8287
1.3115e-009,0.7159
1.3501e-009,0.6123
1.3887e-009,0.5260
1.4273e-009,0.4606
1.4658e-009,0.4155
1.5044e-009,0.3852
1.5430e-009,0.3630
1.5816e-009,0.3470
1.6202e-009,0.3356
1.6587e-009,0.3261
1.6973e-009,0.3199
1.7359e-009,0.3184
1.7745e-009,0.3198
1.8130e-009,0.3221
1.8516e-009,0.3241
1.8902e-009,0.3255
1.9288e-009,0.3268
1.9673e-009,0.3295
2.0059e-009,0.3391
2.0445e-009,0.3675
2.0830e-009,0.4269
2.1216e-009,0.5200
2.1602e-009,0.6349
2.1988e-009,0.7468
2.2374e-009,0.8402
2.2759e-009,0.9169
2.3145e-009,0.9802
2.3531e-009,1.0305
2.3916e-009,1.0684
2.4302e-009,1.0960
2.4688e-009,1.1167
2.5074e-009,1.1339
2.5459e-009,1.1473
2.5845e-009,1.1568
2.6231e-009,1.1633
2.6617e-009,1.1660
2.7003e-009,1.1657
2.7388e-009,1.1655
2.7774e-009,1.1666
2.8160e-009,1.1686
2.8545e-009,1.1705
2.8931e-009,1.1743
2.9317e-009,1.1787
2.9703e-009,1.1776
3.0089e-009,1.1579
3.0474e-009,1.1026
3.0860e-009,1.0101
3.1246e-009,0.8989
3.1631e-009,0.7847
3.2017e-009,0.6748
3.2403e-009,0.5776
3.2789e-009,0.4992
3.3175e-009,0.4414
3.3560e-009,0.3981
3.3946e-009,0.3703
3.4332e-009,0.3651
3.4717e-009,0.3931
3.5103e-009,0.4602
3.5489e-009,0.5655
3.5875e-009,0.6888
3.6260e-009,0.8015
3.6646e-009,0.8933
3.7032e-009,0.9660
3.7418e-009,1.0218
3.7803e-009,1.0643
3.8189e-009,1.1044
3.8575e-009,1.1389
3.8961e-009,1.1627
3.9346e-009,1.1641
3.9732e-009,1.1295
4.0118e-009,1.0472
4.0504e-009,0.9314
4.0890e-009,0.8085
4.1275e-009,0.6907
4.1661e-009,0.5888
4.2047e-009,0.5082
4.2433e-009,0.4472
4.2818e-009,0.4064
4.3204e-009,0.3800
4.3590e-009,0.3589
4.3975e-009,0.3432
4.4361e-009,0.3321
4.4747e-009,0.3225
4.5133e-009,0.3169
4.5519e-009,0.3165
4.5904e-009,0.3187
4.6290e-009,0.3222
4.6676e-009,0.3250
4.7062e-009,0.3260
4.7447e-009,0.3267
4.7833e-009,0.3293
4.8219e-009,0.3394
4.8604e-009,0.3691
4.8990e-009,0.4306
4.9376e-009,0.5255
4.9762e-009,0.6411
5.0147e-009,0.7522
5.0533e-009,0.8443
5.0919e-009,0.9202
5.1305e-009,0.9829
5.1691e-009,1.0324
5.2076e-009,1.0697
5.2462e-009,1.0969
5.2848e-009,1.1175
5.3234e-009,1.1345
5.3619e-009,1.1478
5.4005e-009,1.1571
5.4391e-009,1.1633
5.4776e-009,1.1658
5.5162e-009,1.1654
5.5548e-009,1.1652
5.5934e-009,1.1665
5.6320e-009,1.1685
5.6705e-009,1.1704
5.7091e-009,1.1742
5.7477e-009,1.1786
5.7863e-009,1.1770
5.8248e-009,1.1558
5.8634e-009,1.0985
5.9020e-009,1.0046
5.9405e-009,0.8930
5.9791e-009,0.7790
6.0177e-009,0.6694
6.0563e-009,0.5731
6.0948e-009,0.4957
6.1334e-009,0.4391
6.1720e-009,0.4011
6.2106e-009,0.3746
6.2492e-009,0.3550
6.2877e-009,0.3413
6.3263e-009,0.3307
6.3649e-009,0.3223
6.4035e-009,0.3183
6.4420e-009,0.3184
6.4806e-009,0.3203
6.5192e-009,0.3226
6.5577e-009,0.3243
6.5963e-009,0.3255
6.6349e-009,0.3265
6.6735e-009,0.3262
6.7121e-009,0.3250
6.7506e-009,0.3240
6.7892e-009,0.3235
6.8278e-009,0.3231
6.8664e-009,0.3229
6.9049e-009,0.3229
6.9435e-009,0.3226
6.9821e-009,0.3221
7.0206e-009,0.3216
7.0592e-009,0.3211
7.0978e-009,0.3210
7.1364e-009,0.3209
7.1749e-009,0.3208
7.2135e-009,0.3208
7.2521e-009,0.3209
7.2907e-009,0.3210
7.3293e-009,0.3209
7.3678e-009,0.3209
7.4064e-009,0.3209
7.4450e-009,0.3208
7.4835e-009,0.3208
7.5221e-009,0.3208
7.5607e-009,0.3213
7.5993e-009,0.3246
7.6379e-009,0.3366
7.6764e-009,0.3681
7.7150e-009,0.4307
7.7536e-009,0.5264
7.7922e-009,0.6421
7.8307e-009,0.7532
7.8693e-009,0.8455
7.9079e-009,0.9219
7.9464e-009,0.9849
7.9850e-009,1.0344
8.0236e-009,1.0714
8.0622e-009,1.0981
8.1008e-009,1.1184
8.1393e-009,1.1351
8.1779e-009,1.1480
8.2165e-009,1.1571
8.2550e-009,1.1633
8.2936e-009,1.1658
8.3322e-009,1.1654
8.3708e-009,1.1652
8.4093e-009,1.1665
8.4479e-009,1.1684
8.4865e-009,1.1704
8.5251e-009,1.1742
8.5637e-009,1.1786
8.6022e-009,1.1763
8.6408e-009,1.1537
8.6794e-009,1.0944
8.7179e-009,0.9991
8.7565e-009,0.8871
8.7951e-009,0.7731
8.8337e-009,0.6640
8.8722e-009,0.5685
8.9108e-009,0.4921
8.9494e-009,0.4363
8.9880e-009,0.3943
9.0266e-009,0.3682
9.0651e-009,0.3662
9.1037e-009,0.3978
9.1423e-009,0.4692
9.1808e-009,0.5778
9.2194e-009,0.7011
9.2580e-009,0.8119
9.2966e-009,0.9016
9.3352e-009,0.9724
9.3737e-009,1.0266
9.4123e-009,1.0680
9.4509e-009,1.1082
9.4895e-009,1.1421
9.5280e-009,1.1636
9.5666e-009,1.1626
9.6052e-009,1.1232
9.6437e-009,1.0363
9.6823e-009,0.9189
9.7209e-009,0.7961
9.7595e-009,0.6794
9.7981e-009,0.5796
9.8366e-009,0.5011
9.8752e-009,0.4420
9.9138e-009,0.3996
9.9524e-009,0.3715
9.9909e-009,0.3600
1.00295e-008,0.3795
1.00681e-008,0.4371
1.01066e-008,0.5356
1.01452e-008,0.6600
1.01838e-008,0.7789
1.02224e-008,0.8764
1.02610e-008,0.9539
1.02995e-008,1.0131
1.03381e-008,1.0572
1.03767e-008,1.0892
1.04152e-008,1.1107
1.04538e-008,1.1275
1.04924e-008,1.1423
1.05310e-008,1.1536
1.05695e-008,1.1620
1.06081e-008,1.1675
1.06467e-008,1.1686
1.06853e-008,1.1670
1.07239e-008,1.1660
1.07624e-008,1.1664
1.08010e-008,1.1681
1.08396e-008,1.1707
1.08781e-008,1.1751
1.09167e-008,1.1793
1.09553e-008,1.1743
1.09939e-008,1.1451
1.10324e-008,1.0772
1.10710e-008,0.9765
1.11096e-008,0.8631
1.11482e-008,0.7497
1.11868e-008,0.6428
1.12253e-008,0.5511
1.12639e-008,0.4791
1.13025e-008,0.4279
1.13410e-008,0.3937
1.13796e-008,0.3690
1.14182e-008,0.3510
1.14568e-008,0.3384
1.14953e-008,0.3283
1.15339e-008,0.3209
1.15725e-008,0.3181
1.16111e-008,0.3189
1.16497e-008,0.3211
1.16882e-008,0.3232
1.17268e-008,0.3247
1.17654e-008,0.3259
1.18039e-008,0.3266
1.18425e-008,0.3260
1.18811e-008,0.3248
1.19197e-008,0.3239
1.19583e-008,0.3234
1.19968e-008,0.3231
1.20354e-008,0.3230
1.20740e-008,0.3229
1.21126e-008,0.3226
1.21511e-008,0.3220
1.21897e-008,0.3215
1.22283e-008,0.3211
1.22668e-008,0.3223
1.23054e-008,0.3281
1.23440e-008,0.3466
1.23826e-008,0.3903
1.24212e-008,0.4673
1.24597e-008,0.5743
1.24983e-008,0.6906
1.25369e-008,0.7945
1.25755e-008,0.8793
1.26140e-008,0.9500
1.26526e-008,1.0075
1.26912e-008,1.0514
1.27297e-008,1.0839
1.27683e-008,1.1073
1.28069e-008,1.1259
1.28455e-008,1.1412
1.28841e-008,1.1523
1.29226e-008,1.1602
1.29612e-008,1.1650
1.29998e-008,1.1659
1.30383e-008,1.1653
1.30769e-008,1.1657
1.31155e-008,1.1674
1.31541e-008,1.1693
1.31926e-008,1.1719
1.32312e-008,1.1761
1.32698e-008,1.1792
1.33084e-008,1.1705
1.33470e-008,1.1340
1.33855e-008,1.0581
1.34241e-008,0.9532
1.34627e-008,0.8391
1.35012e-008,0.7265
1.35398e-008,0.6220
1.35784e-008,0.5341
1.36170e-008,0.4664
1.36555e-008,0.4167
1.36941e-008,0.3809
1.37327e-008,0.3628
1.37713e-008,0.3751
1.38099e-008,0.4226
1.38484e-008,0.5108
1.38870e-008,0.6297
1.39256e-008,0.7499
1.39641e-008,0.8519
1.40027e-008,0.9335
1.40413e-008,0.9968
1.40799e-008,1.0454
1.41185e-008,1.0842
1.41570e-008,1.1227
1.41956e-008,1.1541
1.42342e-008,1.1659
1.42728e-008,1.1520
1.43113e-008,1.0922
1.43499e-008,0.9889
1.43885e-008,0.8674
1.44270e-008,0.7459
1.44656e-008,0.6350
1.45042e-008,0.5442
1.45428e-008,0.4740
1.45814e-008,0.4235
1.46199e-008,0.3915
1.46585e-008,0.3685
1.46971e-008,0.3499
1.47357e-008,0.3370
1.47742e-008,0.3268
1.48128e-008,0.3188
1.48514e-008,0.3162
1.48899e-008,0.3174
1.49285e-008,0.3204
1.49671e-008,0.3238
1.50057e-008,0.3256
1.50443e-008,0.3262
1.50828e-008,0.3266
1.51214e-008,0.3260
1.51600e-008,0.3245
1.51985e-008,0.3237
1.52371e-008,0.3233
1.52757e-008,0.3230
1.53143e-008,0.3230
1.53528e-008,0.3230
1.53914e-008,0.3226
1.54300e-008,0.3221
1.54686e-008,0.3215
1.55071e-008,0.3210
1.55457e-008,0.3218
1.55843e-008,0.3269
1.56229e-008,0.3436
1.56615e-008,0.3841
1.57000e-008,0.4575
1.57386e-008,0.5618
1.57772e-008,0.6784
1.58158e-008,0.7843
1.58543e-008,0.8708
1.58929e-008,0.9430
1.59315e-008,1.0019
1.59701e-008,1.0472
1.60086e-008,1.0808
1.60472e-008,1.1050
1.60858e-008,1.1240
1.61243e-008,1.1397
1.61629e-008,1.1512
1.62015e-008,1.1594
1.62401e-008,1.1646
1.62786e-008,1.1659
1.63172e-008,1.1652
1.63558e-008,1.1656
1.63944e-008,1.1671
1.64329e-008,1.1690
1.64715e-008,1.1705
1.65101e-008,1.1714
1.65487e-008,1.1723
1.65873e-008,1.1735
1.66258e-008,1.1741
1.66644e-008,1.1744
1.67030e-008,1.1747
1.67416e-008,1.1750
1.67801e-008,1.1754
1.68187e-008,1.1760
1.68573e-008,1.1765
1.68959e-008,1.1768
1.69344e-008,1.1769
1.69730e-008,1.1768
1.70116e-008,1.1767
1.70501e-008,1.1768
1.70887e-008,1.1769
1.71273e-008,1.1768
1.71659e-008,1.1769
1.72044e-008,1.1769
1.72430e-008,1.1769
1.72816e-008,1.1770
1.73202e-008,1.1770
1.73588e-008,1.1770
1.73973e-008,1.1771
1.74359e-008,1.1790
1.74745e-008,1.1817
1.75131e-008,1.1787
1.75516e-008,1.1560
1.75902e-008,1.0974
1.76288e-008,1.0025
1.76674e-008,0.8902
1.77059e-008,0.7756
1.77445e-008,0.6658
1.77831e-008,0.5696
1.78216e-008,0.4927
1.78602e-008,0.4368
1.78988e-008,0.3946
1.79374e-008,0.3686
1.79759e-008,0.3666
1.80145e-008,0.3981
1.80531e-008,0.4692
1.80917e-008,0.5775
1.81302e-008,0.7006
1.81688e-008,0.8114
1.82074e-008,0.9014
1.82460e-008,0.9723
1.82846e-008,1.0267
1.83231e-008,1.0680
1.83617e-008,1.0969
1.84003e-008,1.1166
1.84389e-008,1.1330
1.84774e-008,1.1467
1.85160e-008,1.1567
1.85546e-008,1.1641
1.85932e-008,1.1681
1.86317e-008,1.1681
1.86703e-008,1.1668
1.87089e-008,1.1662
1.87474e-008,1.1671
1.87860e-008,1.1691
1.88246e-008,1.1708
1.88632e-008,1.1717
1.89017e-008,1.1729
1.89403e-008,1.1741
1.89789e-008,1.1747
1.90175e-008,1.1750
1.90560e-008,1.1752
1.90946e-008,1.1754
1.91332e-008,1.1758
1.91718e-008,1.1764
1.92104e-008,1.1769
