.HEADER
..NAMES
Time,V U3.H8
.DATA
0.0e+000,0.3205
3.86e-011,0.3205
7.72e-011,0.3205
1.157e-010,0.3205
1.543e-010,0.3205
1.929e-010,0.3205
2.314e-010,0.3205
2.700e-010,0.3205
3.086e-010,0.3205
3.472e-010,0.3205
3.857e-010,0.3205
4.243e-010,0.3205
4.629e-010,0.3205
5.015e-010,0.3205
5.401e-010,0.3205
5.786e-010,0.3205
6.172e-010,0.3205
6.558e-010,0.3205
6.944e-010,0.3205
7.329e-010,0.3205
7.715e-010,0.3205
8.101e-010,0.3205
8.486e-010,0.3205
8.872e-010,0.3205
9.258e-010,0.3205
9.644e-010,0.3205
1.0029e-009,0.3211
1.0415e-009,0.3249
1.0801e-009,0.3387
1.1187e-009,0.3742
1.1572e-009,0.4433
1.1958e-009,0.5464
1.2344e-009,0.6665
1.2730e-009,0.7755
1.3115e-009,0.8601
1.3501e-009,0.9276
1.3887e-009,0.9857
1.4273e-009,1.0349
1.4658e-009,1.0731
1.5044e-009,1.1006
1.5430e-009,1.1204
1.5816e-009,1.1360
1.6202e-009,1.1474
1.6587e-009,1.1556
1.6973e-009,1.1626
1.7359e-009,1.1671
1.7745e-009,1.1678
1.8130e-009,1.1667
1.8516e-009,1.1667
1.8902e-009,1.1687
1.9288e-009,1.1714
1.9673e-009,1.1728
2.0059e-009,1.1731
2.0445e-009,1.1736
2.0830e-009,1.1744
2.1216e-009,1.1749
2.1602e-009,1.1753
2.1988e-009,1.1758
2.2374e-009,1.1764
2.2759e-009,1.1767
2.3145e-009,1.1768
2.3531e-009,1.1770
2.3916e-009,1.1776
2.4302e-009,1.1796
2.4688e-009,1.1825
2.5074e-009,1.1803
2.5459e-009,1.1587
2.5845e-009,1.0994
2.6231e-009,1.0002
2.6617e-009,0.8829
2.7003e-009,0.7682
2.7388e-009,0.6632
2.7774e-009,0.5716
2.8160e-009,0.4974
2.8545e-009,0.4427
2.8931e-009,0.4055
2.9317e-009,0.3787
2.9703e-009,0.3576
3.0089e-009,0.3430
3.0474e-009,0.3336
3.0860e-009,0.3257
3.1246e-009,0.3199
3.1631e-009,0.3182
3.2017e-009,0.3200
3.2403e-009,0.3229
3.2789e-009,0.3246
3.3175e-009,0.3250
3.3560e-009,0.3261
3.3946e-009,0.3312
3.4332e-009,0.3479
3.4717e-009,0.3896
3.5103e-009,0.4667
