.HEADER
..NAMES
Time,V U3.G2
.DATA
0.0e+000,0.3205
3.86e-011,0.3205
7.72e-011,0.3205
1.157e-010,0.3205
1.543e-010,0.3205
1.929e-010,0.3205
2.314e-010,0.3205
2.700e-010,0.3205
3.086e-010,0.3205
3.472e-010,0.3205
3.857e-010,0.3205
4.243e-010,0.3205
4.629e-010,0.3205
5.015e-010,0.3205
5.401e-010,0.3205
5.786e-010,0.3205
6.172e-010,0.3205
6.558e-010,0.3205
6.944e-010,0.3205
7.329e-010,0.3205
7.715e-010,0.3205
8.101e-010,0.3205
8.486e-010,0.3205
8.872e-010,0.3205
9.258e-010,0.3205
9.644e-010,0.3205
1.0029e-009,0.3208
1.0415e-009,0.3240
1.0801e-009,0.3364
1.1187e-009,0.3697
1.1572e-009,0.4368
1.1958e-009,0.5395
1.2344e-009,0.6621
1.2730e-009,0.7741
1.3115e-009,0.8592
1.3501e-009,0.9248
1.3887e-009,0.9812
1.4273e-009,1.0307
1.4658e-009,1.0703
1.5044e-009,1.0988
1.5430e-009,1.1190
1.5816e-009,1.1347
1.6202e-009,1.1458
1.6587e-009,1.1534
1.6973e-009,1.1608
1.7359e-009,1.1664
1.7745e-009,1.1679
1.8130e-009,1.1667
1.8516e-009,1.1659
1.8902e-009,1.1676
1.9288e-009,1.1709
1.9673e-009,1.1728
2.0059e-009,1.1730
2.0445e-009,1.1734
2.0830e-009,1.1741
2.1216e-009,1.1745
2.1602e-009,1.1748
2.1988e-009,1.1754
2.2374e-009,1.1763
2.2759e-009,1.1768
2.3145e-009,1.1766
2.3531e-009,1.1765
2.3916e-009,1.1771
2.4302e-009,1.1792
2.4688e-009,1.1824
2.5074e-009,1.1814
2.5459e-009,1.1625
2.5845e-009,1.1062
2.6231e-009,1.0071
2.6617e-009,0.8874
2.7003e-009,0.7706
2.7388e-009,0.6657
2.7774e-009,0.5750
2.8160e-009,0.5011
2.8545e-009,0.4459
2.8931e-009,0.4039
2.9317e-009,0.3743
2.9703e-009,0.3655
3.0089e-009,0.3944
3.0474e-009,0.4650
3.0860e-009,0.5738
3.1246e-009,0.6977
3.1631e-009,0.8065
3.2017e-009,0.8915
3.2403e-009,0.9575
3.2789e-009,1.0100
3.3175e-009,1.0544
3.3560e-009,1.0894
3.3946e-009,1.1131
3.4332e-009,1.1304
3.4717e-009,1.1434
3.5103e-009,1.1523
