.HEADER
..NAMES
Time,V U3.F8
.DATA
0.0e+000,1.1781
3.86e-011,1.1781
7.72e-011,1.1781
1.157e-010,1.1781
1.543e-010,1.1781
1.929e-010,1.1781
2.314e-010,1.1781
2.700e-010,1.1781
3.086e-010,1.1781
3.472e-010,1.1781
3.857e-010,1.1781
4.243e-010,1.1781
4.629e-010,1.1781
5.015e-010,1.1781
5.401e-010,1.1781
5.786e-010,1.1781
6.172e-010,1.1781
6.558e-010,1.1781
6.944e-010,1.1781
7.329e-010,1.1781
7.715e-010,1.1781
8.101e-010,1.1781
8.486e-010,1.1781
8.872e-010,1.1781
9.258e-010,1.1781
9.644e-010,1.1781
1.0029e-009,1.1787
1.0415e-009,1.1813
1.0801e-009,1.1834
1.1187e-009,1.1751
1.1572e-009,1.1389
1.1958e-009,1.0600
1.2344e-009,0.9481
1.2730e-009,0.8279
1.3115e-009,0.7151
1.3501e-009,0.6156
1.3887e-009,0.5333
1.4273e-009,0.4693
1.4658e-009,0.4224
1.5044e-009,0.3852
1.5430e-009,0.3648
1.5816e-009,0.3750
1.6202e-009,0.4252
1.6587e-009,0.5170
1.6973e-009,0.6366
1.7359e-009,0.7555
1.7745e-009,0.8532
1.8130e-009,0.9286
1.8516e-009,0.9867
1.8902e-009,1.0345
1.9288e-009,1.0758
1.9673e-009,1.1195
2.0059e-009,1.1549
2.0445e-009,1.1699
2.0830e-009,1.1523
2.1216e-009,1.0899
2.1602e-009,0.9848
2.1988e-009,0.8615
2.2374e-009,0.7411
2.2759e-009,0.6338
2.3145e-009,0.5475
2.3531e-009,0.4801
2.3916e-009,0.4298
2.4302e-009,0.3914
2.4688e-009,0.3664
2.5074e-009,0.3647
2.5459e-009,0.4006
2.5845e-009,0.4777
2.6231e-009,0.5919
2.6617e-009,0.7171
2.7003e-009,0.8244
2.7388e-009,0.9069
2.7774e-009,0.9701
2.8160e-009,1.0206
2.8545e-009,1.0627
2.8931e-009,1.0949
2.9317e-009,1.1172
2.9703e-009,1.1340
3.0089e-009,1.1457
3.0474e-009,1.1534
3.0860e-009,1.1604
3.1246e-009,1.1667
3.1631e-009,1.1700
3.2017e-009,1.1700
3.2403e-009,1.1683
3.2789e-009,1.1678
3.3175e-009,1.1697
3.3560e-009,1.1720
3.3946e-009,1.1735
3.4332e-009,1.1745
3.4717e-009,1.1751
3.5103e-009,1.1753
3.5489e-009,1.1755
3.5875e-009,1.1759
3.6260e-009,1.1767
3.6646e-009,1.1774
3.7032e-009,1.1775
3.7418e-009,1.1772
3.7803e-009,1.1774
3.8189e-009,1.1786
3.8575e-009,1.1815
3.8961e-009,1.1833
3.9346e-009,1.1739
3.9732e-009,1.1356
4.0118e-009,1.0546
4.0504e-009,0.9417
4.0890e-009,0.8217
4.1275e-009,0.7097
4.1661e-009,0.6110
4.2047e-009,0.5294
4.2433e-009,0.4663
4.2818e-009,0.4197
4.3204e-009,0.3831
4.3590e-009,0.3639
4.3975e-009,0.3765
4.4361e-009,0.4288
4.4747e-009,0.5227
4.5133e-009,0.6430
4.5519e-009,0.7610
4.5904e-009,0.8577
4.6290e-009,0.9319
4.6676e-009,0.9893
4.7062e-009,1.0368
4.7447e-009,1.0784
4.7833e-009,1.1224
4.8219e-009,1.1570
4.8604e-009,1.1698
4.8990e-009,1.1505
4.9376e-009,1.0854
4.9762e-009,0.9788
5.0147e-009,0.8553
5.0533e-009,0.7352
5.0919e-009,0.6289
5.1305e-009,0.5437
5.1691e-009,0.4770
5.2076e-009,0.4281
5.2462e-009,0.3957
5.2848e-009,0.3712
5.3234e-009,0.3517
5.3619e-009,0.3389
5.4005e-009,0.3297
5.4391e-009,0.3226
5.4776e-009,0.3185
5.5162e-009,0.3172
5.5548e-009,0.3190
5.5934e-009,0.3224
5.6320e-009,0.3241
5.6705e-009,0.3246
5.7091e-009,0.3249
5.7477e-009,0.3245
5.7863e-009,0.3235
5.8248e-009,0.3227
5.8634e-009,0.3223
5.9020e-009,0.3222
5.9405e-009,0.3222
5.9791e-009,0.3217
6.0177e-009,0.3212
6.0563e-009,0.3211
6.0948e-009,0.3210
6.1334e-009,0.3205
6.1720e-009,0.3212
6.2106e-009,0.3263
6.2492e-009,0.3437
6.2877e-009,0.3861
6.3263e-009,0.4637
6.3649e-009,0.5739
6.4035e-009,0.6957
6.4420e-009,0.8011
6.4806e-009,0.8811
6.5192e-009,0.9445
6.5577e-009,0.9983
6.5963e-009,1.0441
6.6349e-009,1.0802
6.6735e-009,1.1065
6.7121e-009,1.1258
6.7506e-009,1.1396
6.7892e-009,1.1485
6.8278e-009,1.1559
6.8664e-009,1.1633
6.9049e-009,1.1680
6.9435e-009,1.1688
6.9821e-009,1.1675
7.0206e-009,1.1673
7.0592e-009,1.1694
7.0978e-009,1.1719
7.1364e-009,1.1733
7.1749e-009,1.1741
7.2135e-009,1.1747
7.2521e-009,1.1750
7.2907e-009,1.1751
7.3293e-009,1.1755
7.3678e-009,1.1764
7.4064e-009,1.1772
7.4450e-009,1.1773
7.4835e-009,1.1770
7.5221e-009,1.1772
7.5607e-009,1.1777
7.5993e-009,1.1780
7.6379e-009,1.1779
7.6764e-009,1.1777
7.7150e-009,1.1777
7.7536e-009,1.1778
7.7922e-009,1.1777
7.8307e-009,1.1777
7.8693e-009,1.1779
7.9079e-009,1.1780
7.9464e-009,1.1779
7.9850e-009,1.1778
8.0236e-009,1.1778
8.0622e-009,1.1779
8.1008e-009,1.1780
8.1393e-009,1.1779
