.HEADER
..NAMES
Time,V U3.D7
.DATA
0.0e+000,1.1773
3.86e-011,1.1773
7.72e-011,1.1773
1.157e-010,1.1773
1.543e-010,1.1773
1.929e-010,1.1773
2.314e-010,1.1773
2.700e-010,1.1773
3.086e-010,1.1773
3.472e-010,1.1773
3.857e-010,1.1773
4.243e-010,1.1773
4.629e-010,1.1773
5.015e-010,1.1773
5.401e-010,1.1773
5.786e-010,1.1773
6.172e-010,1.1773
6.558e-010,1.1773
6.944e-010,1.1773
7.329e-010,1.1773
7.715e-010,1.1773
8.101e-010,1.1773
8.486e-010,1.1773
8.872e-010,1.1773
9.258e-010,1.1773
9.644e-010,1.1773
1.0029e-009,1.1777
1.0415e-009,1.1813
1.0801e-009,1.1833
1.1187e-009,1.1728
1.1572e-009,1.1321
1.1958e-009,1.0478
1.2344e-009,0.9394
1.2730e-009,0.8299
1.3115e-009,0.7173
1.3501e-009,0.6123
1.3887e-009,0.5261
1.4273e-009,0.4634
1.4658e-009,0.4195
1.5044e-009,0.3893
1.5430e-009,0.3700
1.5816e-009,0.3567
1.6202e-009,0.3458
1.6587e-009,0.3341
1.6973e-009,0.3241
1.7359e-009,0.3205
1.7745e-009,0.3198
1.8130e-009,0.3192
1.8516e-009,0.3200
1.8902e-009,0.3228
1.9288e-009,0.3252
1.9673e-009,0.3259
2.0059e-009,0.3261
2.0445e-009,0.3257
2.0830e-009,0.3248
2.1216e-009,0.3236
2.1602e-009,0.3226
2.1988e-009,0.3228
2.2374e-009,0.3233
2.2759e-009,0.3229
2.3145e-009,0.3225
2.3531e-009,0.3225
2.3916e-009,0.3225
2.4302e-009,0.3237
2.4688e-009,0.3316
2.5074e-009,0.3558
2.5459e-009,0.4106
2.5845e-009,0.5002
2.6231e-009,0.6151
2.6617e-009,0.7297
2.7003e-009,0.8218
2.7388e-009,0.9028
2.7774e-009,0.9712
2.8160e-009,1.0244
2.8545e-009,1.0619
2.8931e-009,1.1031
2.9317e-009,1.1438
2.9703e-009,1.1516
3.0089e-009,1.1490
3.0474e-009,1.1096
3.0860e-009,1.0211
3.1246e-009,0.9067
3.1631e-009,0.7885
3.2017e-009,0.6731
3.2403e-009,0.5728
3.2789e-009,0.4959
3.3175e-009,0.4401
3.3560e-009,0.3991
3.3946e-009,0.3708
3.4332e-009,0.3697
3.4717e-009,0.3935
3.5103e-009,0.4546
3.5489e-009,0.5495
3.5875e-009,0.6669
3.6260e-009,0.7732
3.6646e-009,0.8663
3.7032e-009,0.9459
3.7418e-009,1.0095
3.7803e-009,1.0555
3.8189e-009,1.0865
3.8575e-009,1.1073
3.8961e-009,1.1229
3.9346e-009,1.1355
3.9732e-009,1.1469
4.0118e-009,1.1575
4.0504e-009,1.1666
4.0890e-009,1.1703
4.1275e-009,1.1698
4.1661e-009,1.1698
4.2047e-009,1.1706
4.2433e-009,1.1708
4.2818e-009,1.1705
4.3204e-009,1.1710
4.3590e-009,1.1719
4.3975e-009,1.1729
4.4361e-009,1.1740
4.4747e-009,1.1750
4.5133e-009,1.1756
4.5519e-009,1.1757
4.5904e-009,1.1753
4.6290e-009,1.1753
4.6676e-009,1.1759
4.7062e-009,1.1763
4.7447e-009,1.1765
4.7833e-009,1.1792
4.8219e-009,1.1829
4.8604e-009,1.1771
4.8990e-009,1.1466
4.9376e-009,1.0734
4.9762e-009,0.9682
5.0147e-009,0.8588
5.0533e-009,0.7465
5.0919e-009,0.6382
5.1305e-009,0.5464
5.1691e-009,0.4777
5.2076e-009,0.4291
5.2462e-009,0.3875
5.2848e-009,0.3680
5.3234e-009,0.3785
5.3619e-009,0.4161
5.4005e-009,0.4886
5.4391e-009,0.5955
5.4776e-009,0.7144
5.5162e-009,0.8137
5.5548e-009,0.8999
5.5934e-009,0.9724
5.6320e-009,1.0288
5.6705e-009,1.0688
5.7091e-009,1.1083
5.7477e-009,1.1463
5.7863e-009,1.1553
5.8248e-009,1.1507
5.8634e-009,1.1075
