.HEADER
..NAMES
Time,V U3.A7
.DATA
0.0e+000,1.1778
3.86e-011,1.1778
7.72e-011,1.1778
1.157e-010,1.1778
1.543e-010,1.1778
1.929e-010,1.1778
2.314e-010,1.1778
2.700e-010,1.1778
3.086e-010,1.1778
3.472e-010,1.1778
3.857e-010,1.1778
4.243e-010,1.1778
4.629e-010,1.1778
5.015e-010,1.1778
5.401e-010,1.1778
5.786e-010,1.1778
6.172e-010,1.1778
6.558e-010,1.1778
6.944e-010,1.1778
7.329e-010,1.1778
7.715e-010,1.1778
8.101e-010,1.1778
8.486e-010,1.1778
8.872e-010,1.1778
9.258e-010,1.1778
9.644e-010,1.1778
1.0029e-009,1.1781
1.0415e-009,1.1813
1.0801e-009,1.1849
1.1187e-009,1.1768
1.1572e-009,1.1391
1.1958e-009,1.0539
1.2344e-009,0.9369
1.2730e-009,0.8231
1.3115e-009,0.7140
1.3501e-009,0.6115
1.3887e-009,0.5258
1.4273e-009,0.4631
1.4658e-009,0.4202
1.5044e-009,0.3831
1.5430e-009,0.3658
1.5816e-009,0.3838
1.6202e-009,0.4303
1.6587e-009,0.5100
1.6973e-009,0.6217
1.7359e-009,0.7420
1.7745e-009,0.8363
1.8130e-009,0.9142
1.8516e-009,0.9802
1.8902e-009,1.0343
1.9288e-009,1.0730
1.9673e-009,1.0974
2.0059e-009,1.1141
2.0445e-009,1.1287
2.0830e-009,1.1409
2.1216e-009,1.1512
2.1602e-009,1.1620
2.1988e-009,1.1705
2.2374e-009,1.1717
2.2759e-009,1.1702
2.3145e-009,1.1706
2.3531e-009,1.1722
2.3916e-009,1.1731
2.4302e-009,1.1752
2.4688e-009,1.1813
2.5074e-009,1.1807
2.5459e-009,1.1606
2.5845e-009,1.0994
2.6231e-009,0.9936
2.6617e-009,0.8758
2.7003e-009,0.7644
2.7388e-009,0.6566
2.7774e-009,0.5625
2.8160e-009,0.4895
2.8545e-009,0.4386
2.8931e-009,0.4038
2.9317e-009,0.3803
2.9703e-009,0.3643
3.0089e-009,0.3532
3.0474e-009,0.3422
3.0860e-009,0.3293
3.1246e-009,0.3210
3.1631e-009,0.3190
3.2017e-009,0.3186
3.2403e-009,0.3184
3.2789e-009,0.3196
3.3175e-009,0.3219
3.3560e-009,0.3238
3.3946e-009,0.3283
