.HEADER
..NAMES
Time,V U2.H7
.DATA
0.0e+000,1.1768
3.86e-011,1.1768
7.72e-011,1.1768
1.157e-010,1.1768
1.543e-010,1.1768
1.929e-010,1.1768
2.314e-010,1.1768
2.700e-010,1.1768
3.086e-010,1.1768
3.472e-010,1.1768
3.857e-010,1.1768
4.243e-010,1.1768
4.629e-010,1.1768
5.015e-010,1.1768
5.401e-010,1.1768
5.786e-010,1.1768
6.172e-010,1.1768
6.558e-010,1.1768
6.944e-010,1.1768
7.329e-010,1.1768
7.715e-010,1.1768
8.101e-010,1.1768
8.486e-010,1.1768
8.872e-010,1.1768
9.258e-010,1.1768
9.644e-010,1.1768
1.0029e-009,1.1768
1.0415e-009,1.1768
1.0801e-009,1.1768
1.1187e-009,1.1768
1.1572e-009,1.1782
1.1958e-009,1.1816
1.2344e-009,1.1806
1.2730e-009,1.1634
1.3115e-009,1.1122
1.3501e-009,1.0224
1.3887e-009,0.9152
1.4273e-009,0.8016
1.4658e-009,0.6868
1.5044e-009,0.5844
1.5430e-009,0.5034
1.5816e-009,0.4454
1.6202e-009,0.4056
1.6587e-009,0.3790
1.6973e-009,0.3630
1.7359e-009,0.3533
1.7745e-009,0.3454
1.8130e-009,0.3370
1.8516e-009,0.3273
1.8902e-009,0.3197
1.9288e-009,0.3164
1.9673e-009,0.3152
2.0059e-009,0.3154
2.0445e-009,0.3175
2.0830e-009,0.3209
2.1216e-009,0.3272
2.1602e-009,0.3429
2.1988e-009,0.3798
2.2374e-009,0.4490
2.2759e-009,0.5485
2.3145e-009,0.6653
2.3531e-009,0.7707
2.3916e-009,0.8623
2.4302e-009,0.9407
2.4688e-009,1.0025
2.5074e-009,1.0468
2.5459e-009,1.0816
2.5845e-009,1.1256
2.6231e-009,1.1465
2.6617e-009,1.1521
2.7003e-009,1.1352
2.7388e-009,1.0780
2.7774e-009,0.9830
2.8160e-009,0.8724
2.8545e-009,0.7522
2.8931e-009,0.6367
2.9317e-009,0.5404
2.9703e-009,0.4694
3.0089e-009,0.4201
3.0474e-009,0.3803
3.0860e-009,0.3661
3.1246e-009,0.3780
3.1631e-009,0.4151
3.2017e-009,0.4879
3.2403e-009,0.5929
3.2789e-009,0.7024
3.3175e-009,0.8019
3.3560e-009,0.8926
3.3946e-009,0.9677
3.4332e-009,1.0249
3.4717e-009,1.0668
3.5103e-009,1.1117
3.5489e-009,1.1428
3.5875e-009,1.1526
3.6260e-009,1.1467
3.6646e-009,1.1037
3.7032e-009,1.0181
3.7418e-009,0.9121
3.7803e-009,0.7956
3.8189e-009,0.6764
3.8575e-009,0.5722
3.8961e-009,0.4922
3.9346e-009,0.4362
3.9732e-009,0.3926
4.0118e-009,0.3672
4.0504e-009,0.3718
4.0890e-009,0.3992
4.1275e-009,0.4606
4.1661e-009,0.5574
4.2047e-009,0.6689
4.2433e-009,0.7707
4.2818e-009,0.8654
4.3204e-009,0.9458
4.3590e-009,1.0085
4.3975e-009,1.0539
4.4361e-009,1.0871
4.4747e-009,1.1095
4.5133e-009,1.1236
4.5519e-009,1.1351
4.5904e-009,1.1455
4.6290e-009,1.1546
4.6676e-009,1.1637
4.7062e-009,1.1714
4.7447e-009,1.1742
4.7833e-009,1.1743
4.8219e-009,1.1744
4.8604e-009,1.1742
4.8990e-009,1.1734
4.9376e-009,1.1730
4.9762e-009,1.1732
5.0147e-009,1.1734
5.0533e-009,1.1739
5.0919e-009,1.1748
5.1305e-009,1.1757
5.1691e-009,1.1763
5.2076e-009,1.1769
5.2462e-009,1.1768
5.2848e-009,1.1763
5.3234e-009,1.1761
5.3619e-009,1.1764
5.4005e-009,1.1765
5.4391e-009,1.1765
5.4776e-009,1.1766
5.5162e-009,1.1768
5.5548e-009,1.1768
5.5934e-009,1.1768
5.6320e-009,1.1769
5.6705e-009,1.1768
5.7091e-009,1.1768
5.7477e-009,1.1767
5.7863e-009,1.1766
5.8248e-009,1.1766
5.8634e-009,1.1767
5.9020e-009,1.1768
5.9405e-009,1.1768
5.9791e-009,1.1767
6.0177e-009,1.1768
6.0563e-009,1.1768
6.0948e-009,1.1767
6.1334e-009,1.1767
6.1720e-009,1.1767
6.2106e-009,1.1767
6.2492e-009,1.1767
6.2877e-009,1.1767
6.3263e-009,1.1767
6.3649e-009,1.1768
6.4035e-009,1.1768
6.4420e-009,1.1768
6.4806e-009,1.1767
6.5192e-009,1.1767
6.5577e-009,1.1767
6.5963e-009,1.1767
6.6349e-009,1.1767
6.6735e-009,1.1768
6.7121e-009,1.1768
6.7506e-009,1.1768
6.7892e-009,1.1784
6.8278e-009,1.1818
6.8664e-009,1.1798
6.9049e-009,1.1601
6.9435e-009,1.1046
6.9821e-009,1.0119
7.0206e-009,0.9040
7.0592e-009,0.7897
7.0978e-009,0.6756
7.1364e-009,0.5751
7.1749e-009,0.4964
7.2135e-009,0.4406
7.2521e-009,0.3980
7.2907e-009,0.3693
7.3293e-009,0.3707
7.3678e-009,0.3977
7.4064e-009,0.4575
7.4450e-009,0.5502
7.4835e-009,0.6612
7.5221e-009,0.7649
7.5607e-009,0.8606
7.5993e-009,0.9419
7.6379e-009,1.0055
7.6764e-009,1.0517
7.7150e-009,1.0924
7.7536e-009,1.1342
7.7922e-009,1.1492
7.8307e-009,1.1523
7.8693e-009,1.1276
7.9079e-009,1.0590
7.9464e-009,0.9582
7.9850e-009,0.8457
8.0236e-009,0.7254
8.0622e-009,0.6136
8.1008e-009,0.5228
8.1393e-009,0.4571
8.1779e-009,0.4100
8.2165e-009,0.3734
8.2550e-009,0.3673
8.2936e-009,0.3839
8.3322e-009,0.4301
8.3708e-009,0.5129
8.4093e-009,0.6224
8.4479e-009,0.7285
8.4865e-009,0.8265
8.5251e-009,0.9138
8.5637e-009,0.9843
8.6022e-009,1.0366
8.6408e-009,1.0743
8.6794e-009,1.1013
8.7179e-009,1.1182
8.7565e-009,1.1304
8.7951e-009,1.1414
8.8337e-009,1.1508
8.8722e-009,1.1598
8.9108e-009,1.1686
8.9494e-009,1.1736
8.9880e-009,1.1743
9.0266e-009,1.1744
9.0651e-009,1.1744
9.1037e-009,1.1738
9.1423e-009,1.1731
9.1808e-009,1.1731
9.2194e-009,1.1734
9.2580e-009,1.1736
9.2966e-009,1.1744
9.3352e-009,1.1753
9.3737e-009,1.1761
9.4123e-009,1.1767
9.4509e-009,1.1770
9.4895e-009,1.1765
9.5280e-009,1.1761
9.5666e-009,1.1763
9.6052e-009,1.1765
9.6437e-009,1.1765
9.6823e-009,1.1766
9.7209e-009,1.1768
9.7595e-009,1.1768
9.7981e-009,1.1768
9.8366e-009,1.1769
9.8752e-009,1.1769
9.9138e-009,1.1768
9.9524e-009,1.1768
9.9909e-009,1.1767
1.00295e-008,1.1767
1.00681e-008,1.1780
1.01066e-008,1.1816
1.01452e-008,1.1806
1.01838e-008,1.1636
1.02224e-008,1.1125
1.02610e-008,1.0229
1.02995e-008,0.9158
1.03381e-008,0.8022
1.03767e-008,0.6874
1.04152e-008,0.5849
1.04538e-008,0.5037
1.04924e-008,0.4456
1.05310e-008,0.4022
1.05695e-008,0.3707
1.06081e-008,0.3694
1.06467e-008,0.3933
1.06853e-008,0.4495
1.07239e-008,0.5389
1.07624e-008,0.6496
1.08010e-008,0.7542
1.08396e-008,0.8510
1.08781e-008,0.9340
1.09167e-008,0.9996
1.09553e-008,1.0474
1.09939e-008,1.0876
1.10324e-008,1.1312
1.10710e-008,1.1482
1.11096e-008,1.1529
1.11482e-008,1.1323
1.11868e-008,1.0683
1.12253e-008,0.9696
1.12639e-008,0.8583
1.13025e-008,0.7382
1.13410e-008,0.6247
1.13796e-008,0.5313
1.14182e-008,0.4630
1.14568e-008,0.4146
1.14953e-008,0.3760
