.HEADER
..NAMES
Time,V U4.E3
.DATA
0.0e+000,1.1778
3.86e-011,1.1778
7.72e-011,1.1778
1.157e-010,1.1778
1.543e-010,1.1778
1.929e-010,1.1778
2.314e-010,1.1778
2.700e-010,1.1778
3.086e-010,1.1778
3.472e-010,1.1778
3.857e-010,1.1778
4.243e-010,1.1778
4.629e-010,1.1778
5.015e-010,1.1778
5.401e-010,1.1778
5.786e-010,1.1778
6.172e-010,1.1778
6.558e-010,1.1778
6.944e-010,1.1778
7.329e-010,1.1778
7.715e-010,1.1778
8.101e-010,1.1778
8.486e-010,1.1784
8.872e-010,1.1807
9.258e-010,1.1825
9.644e-010,1.1747
1.0029e-009,1.1417
1.0415e-009,1.0708
1.0801e-009,0.9685
1.1187e-009,0.8540
1.1572e-009,0.7396
1.1958e-009,0.6315
1.2344e-009,0.5392
1.2730e-009,0.4684
1.3115e-009,0.4184
1.3501e-009,0.3839
1.3887e-009,0.3595
1.4273e-009,0.3422
1.4658e-009,0.3301
1.5044e-009,0.3226
1.5430e-009,0.3199
1.5816e-009,0.3207
1.6202e-009,0.3225
1.6587e-009,0.3241
1.6973e-009,0.3257
1.7359e-009,0.3267
1.7745e-009,0.3265
1.8130e-009,0.3256
1.8516e-009,0.3245
1.8902e-009,0.3237
1.9288e-009,0.3232
1.9673e-009,0.3230
2.0059e-009,0.3227
2.0445e-009,0.3223
2.0830e-009,0.3217
2.1216e-009,0.3211
2.1602e-009,0.3207
2.1988e-009,0.3205
2.2374e-009,0.3205
2.2759e-009,0.3221
2.3145e-009,0.3291
2.3531e-009,0.3501
2.3916e-009,0.3970
2.4302e-009,0.4771
2.4688e-009,0.5856
2.5074e-009,0.7016
2.5459e-009,0.8047
2.5845e-009,0.8895
2.6231e-009,0.9602
2.6617e-009,1.0171
2.7003e-009,1.0598
2.7388e-009,1.0917
2.7774e-009,1.1156
2.8160e-009,1.1337
2.8545e-009,1.1469
2.8931e-009,1.1556
2.9317e-009,1.1602
2.9703e-009,1.1617
3.0089e-009,1.1623
3.0474e-009,1.1638
3.0860e-009,1.1664
3.1246e-009,1.1686
3.1631e-009,1.1702
3.2017e-009,1.1717
3.2403e-009,1.1730
3.2789e-009,1.1739
3.3175e-009,1.1745
3.3560e-009,1.1750
3.3946e-009,1.1755
