.HEADER
..NAMES
Time,V U4.F8
.DATA
0.0e+000,1.1783
3.86e-011,1.1783
7.72e-011,1.1783
1.157e-010,1.1783
1.543e-010,1.1783
1.929e-010,1.1783
2.314e-010,1.1783
2.700e-010,1.1783
3.086e-010,1.1783
3.472e-010,1.1783
3.857e-010,1.1783
4.243e-010,1.1783
4.629e-010,1.1783
5.015e-010,1.1783
5.401e-010,1.1783
5.786e-010,1.1783
6.172e-010,1.1783
6.558e-010,1.1783
6.944e-010,1.1783
7.329e-010,1.1783
7.715e-010,1.1783
8.101e-010,1.1783
8.486e-010,1.1786
8.872e-010,1.1809
9.258e-010,1.1839
9.644e-010,1.1788
1.0029e-009,1.1487
1.0415e-009,1.0760
1.0801e-009,0.9664
1.1187e-009,0.8463
1.1572e-009,0.7337
1.1958e-009,0.6331
1.2344e-009,0.5474
1.2730e-009,0.4791
1.3115e-009,0.4286
1.3501e-009,0.3869
1.3887e-009,0.3623
1.4273e-009,0.3694
1.4658e-009,0.4158
1.5044e-009,0.5047
1.5430e-009,0.6263
1.5816e-009,0.7519
1.6202e-009,0.8522
1.6587e-009,0.9239
1.6973e-009,0.9803
1.7359e-009,1.0305
1.7745e-009,1.0731
1.8130e-009,1.1178
1.8516e-009,1.1563
1.8902e-009,1.1751
1.9288e-009,1.1595
1.9673e-009,1.0994
2.0059e-009,0.9945
2.0445e-009,0.8683
2.0830e-009,0.7488
2.1216e-009,0.6453
2.1602e-009,0.5605
2.1988e-009,0.4908
2.2374e-009,0.4369
2.2759e-009,0.3998
2.3145e-009,0.3721
2.3531e-009,0.3513
2.3916e-009,0.3377
2.4302e-009,0.3281
2.4688e-009,0.3218
2.5074e-009,0.3198
2.5459e-009,0.3216
2.5845e-009,0.3250
2.6231e-009,0.3267
2.6617e-009,0.3262
2.7003e-009,0.3257
2.7388e-009,0.3258
2.7774e-009,0.3292
2.8160e-009,0.3447
2.8545e-009,0.3858
2.8931e-009,0.4621
2.9317e-009,0.5711
2.9703e-009,0.6920
3.0089e-009,0.7966
3.0474e-009,0.8753
3.0860e-009,0.9385
3.1246e-009,0.9941
3.1631e-009,1.0431
3.2017e-009,1.0813
3.2403e-009,1.1083
3.2789e-009,1.1271
3.3175e-009,1.1395
3.3560e-009,1.1487
3.3946e-009,1.1568
3.4332e-009,1.1625
3.4717e-009,1.1640
3.5103e-009,1.1634
3.5489e-009,1.1643
3.5875e-009,1.1673
3.6260e-009,1.1704
3.6646e-009,1.1727
3.7032e-009,1.1771
3.7418e-009,1.1812
3.7803e-009,1.1752
3.8189e-009,1.1431
3.8575e-009,1.0688
3.8961e-009,0.9589
3.9346e-009,0.8392
3.9732e-009,0.7271
4.0118e-009,0.6276
4.0504e-009,0.5432
4.0890e-009,0.4757
4.1275e-009,0.4269
4.1661e-009,0.3920
4.2047e-009,0.3665
4.2433e-009,0.3489
4.2818e-009,0.3369
4.3204e-009,0.3274
4.3590e-009,0.3212
4.3975e-009,0.3203
4.4361e-009,0.3227
4.4747e-009,0.3250
4.5133e-009,0.3257
4.5519e-009,0.3257
4.5904e-009,0.3257
4.6290e-009,0.3252
4.6676e-009,0.3243
4.7062e-009,0.3238
4.7447e-009,0.3236
4.7833e-009,0.3229
4.8219e-009,0.3222
4.8604e-009,0.3221
4.8990e-009,0.3221
4.9376e-009,0.3215
4.9762e-009,0.3206
