.HEADER
..NAMES
Time,V U4.D7
.DATA
0.0e+000,1.1778
3.86e-011,1.1778
7.72e-011,1.1778
1.157e-010,1.1778
1.543e-010,1.1778
1.929e-010,1.1778
2.314e-010,1.1778
2.700e-010,1.1778
3.086e-010,1.1778
3.472e-010,1.1778
3.857e-010,1.1778
4.243e-010,1.1778
4.629e-010,1.1778
5.015e-010,1.1778
5.401e-010,1.1778
5.786e-010,1.1778
6.172e-010,1.1778
6.558e-010,1.1778
6.944e-010,1.1778
7.329e-010,1.1778
7.715e-010,1.1778
8.101e-010,1.1778
8.486e-010,1.1780
8.872e-010,1.1811
9.258e-010,1.1841
9.644e-010,1.1764
1.0029e-009,1.1418
1.0415e-009,1.0634
1.0801e-009,0.9561
1.1187e-009,0.8467
1.1572e-009,0.7340
1.1958e-009,0.6269
1.2344e-009,0.5373
1.2730e-009,0.4703
1.3115e-009,0.4231
1.3501e-009,0.3829
1.3887e-009,0.3658
1.4273e-009,0.3769
1.4658e-009,0.4172
1.5044e-009,0.4980
1.5430e-009,0.6194
1.5816e-009,0.7396
1.6202e-009,0.8341
1.6587e-009,0.9178
1.6973e-009,0.9878
1.7359e-009,1.0403
1.7745e-009,1.0754
1.8130e-009,1.1001
1.8516e-009,1.1195
1.8902e-009,1.1344
1.9288e-009,1.1469
1.9673e-009,1.1596
2.0059e-009,1.1680
2.0445e-009,1.1673
2.0830e-009,1.1661
2.1216e-009,1.1678
2.1602e-009,1.1693
2.1988e-009,1.1696
2.2374e-009,1.1703
2.2759e-009,1.1741
2.3145e-009,1.1808
2.3531e-009,1.1801
2.3916e-009,1.1618
2.4302e-009,1.1053
2.4688e-009,1.0060
2.5074e-009,0.8953
2.5459e-009,0.7862
2.5845e-009,0.6757
2.6231e-009,0.5767
2.6617e-009,0.4988
2.7003e-009,0.4433
2.7388e-009,0.4057
2.7774e-009,0.3795
2.8160e-009,0.3606
2.8545e-009,0.3458
2.8931e-009,0.3316
2.9317e-009,0.3225
2.9703e-009,0.3208
3.0089e-009,0.3202
3.0474e-009,0.3195
3.0860e-009,0.3210
3.1246e-009,0.3235
3.1631e-009,0.3252
3.2017e-009,0.3259
3.2403e-009,0.3290
3.2789e-009,0.3435
3.3175e-009,0.3818
3.3560e-009,0.4561
3.3946e-009,0.5624
