.HEADER
..NAMES
Time,V U4.C2
.DATA
0.0e+000,0.3202
3.86e-011,0.3202
7.72e-011,0.3202
1.157e-010,0.3202
1.543e-010,0.3202
1.929e-010,0.3202
2.314e-010,0.3202
2.700e-010,0.3202
3.086e-010,0.3202
3.472e-010,0.3202
3.857e-010,0.3202
4.243e-010,0.3202
4.629e-010,0.3202
5.015e-010,0.3202
5.401e-010,0.3202
5.786e-010,0.3202
6.172e-010,0.3202
6.558e-010,0.3202
6.944e-010,0.3202
7.329e-010,0.3202
7.715e-010,0.3202
8.101e-010,0.3202
8.486e-010,0.3203
8.872e-010,0.3225
9.258e-010,0.3328
9.644e-010,0.3624
1.0029e-009,0.4271
1.0415e-009,0.5292
1.0801e-009,0.6537
1.1187e-009,0.7684
1.1572e-009,0.8508
1.1958e-009,0.9204
1.2344e-009,0.9815
1.2730e-009,1.0316
1.3115e-009,1.0685
1.3501e-009,1.0953
1.3887e-009,1.1135
1.4273e-009,1.1270
1.4658e-009,1.1405
1.5044e-009,1.1544
1.5430e-009,1.1659
1.5816e-009,1.1697
1.6202e-009,1.1673
1.6587e-009,1.1670
1.6973e-009,1.1692
1.7359e-009,1.1714
1.7745e-009,1.1728
1.8130e-009,1.1759
1.8516e-009,1.1823
1.8902e-009,1.1818
1.9288e-009,1.1627
1.9673e-009,1.1039
2.0059e-009,0.9972
2.0445e-009,0.8759
2.0830e-009,0.7644
2.1216e-009,0.6590
2.1602e-009,0.5673
2.1988e-009,0.4951
2.2374e-009,0.4435
2.2759e-009,0.4048
2.3145e-009,0.3711
2.3531e-009,0.3710
2.3916e-009,0.4018
2.4302e-009,0.4649
2.4688e-009,0.5646
2.5074e-009,0.6923
2.5459e-009,0.8012
2.5845e-009,0.8824
2.6231e-009,0.9519
2.6617e-009,1.0103
2.7003e-009,1.0553
2.7388e-009,1.0907
2.7774e-009,1.1393
2.8160e-009,1.1609
2.8545e-009,1.1574
2.8931e-009,1.1273
2.9317e-009,1.0483
2.9703e-009,0.9317
3.0089e-009,0.8093
3.0474e-009,0.6924
3.0860e-009,0.5920
3.1246e-009,0.5136
3.1631e-009,0.4554
3.2017e-009,0.4163
3.2403e-009,0.3916
3.2789e-009,0.3694
3.3175e-009,0.3535
3.3560e-009,0.3432
3.3946e-009,0.3313
