.HEADER
..NAMES
Time,V U5.E3
.DATA
0.0e+000,1.1772
3.86e-011,1.1772
7.72e-011,1.1772
1.157e-010,1.1772
1.543e-010,1.1772
1.929e-010,1.1772
2.314e-010,1.1772
2.700e-010,1.1772
3.086e-010,1.1772
3.472e-010,1.1772
3.857e-010,1.1772
4.243e-010,1.1772
4.629e-010,1.1772
5.015e-010,1.1772
5.401e-010,1.1772
5.786e-010,1.1772
6.172e-010,1.1772
6.558e-010,1.1772
6.944e-010,1.1772
7.329e-010,1.1773
7.715e-010,1.1794
8.101e-010,1.1826
8.486e-010,1.1786
8.872e-010,1.1536
9.258e-010,1.0900
9.644e-010,0.9922
1.0029e-009,0.8836
1.0415e-009,0.7698
1.0801e-009,0.6586
1.1187e-009,0.5624
1.1572e-009,0.4886
1.1958e-009,0.4366
1.2344e-009,0.3952
1.2730e-009,0.3707
1.3115e-009,0.3757
1.3501e-009,0.4082
1.3887e-009,0.4743
1.4273e-009,0.5717
1.4658e-009,0.6801
1.5044e-009,0.7776
1.5430e-009,0.8691
1.5816e-009,0.9473
1.6202e-009,1.0079
1.6587e-009,1.0522
1.6973e-009,1.0956
1.7359e-009,1.1363
1.7745e-009,1.1495
1.8130e-009,1.1487
1.8516e-009,1.1168
1.8902e-009,1.0419
1.9288e-009,0.9396
1.9673e-009,0.8278
2.0059e-009,0.7099
2.0445e-009,0.6015
2.0830e-009,0.5153
2.1216e-009,0.4538
2.1602e-009,0.4113
2.1988e-009,0.3821
2.2374e-009,0.3657
2.2759e-009,0.3561
2.3145e-009,0.3469
2.3531e-009,0.3395
2.3916e-009,0.3324
2.4302e-009,0.3239
2.4688e-009,0.3176
2.5074e-009,0.3154
2.5459e-009,0.3147
2.5845e-009,0.3157
2.6231e-009,0.3187
2.6617e-009,0.3222
2.7003e-009,0.3242
2.7388e-009,0.3246
2.7774e-009,0.3247
2.8160e-009,0.3244
2.8545e-009,0.3233
2.8931e-009,0.3224
2.9317e-009,0.3217
2.9703e-009,0.3210
3.0089e-009,0.3210
3.0474e-009,0.3215
3.0860e-009,0.3219
3.1246e-009,0.3250
3.1631e-009,0.3363
3.2017e-009,0.3668
3.2403e-009,0.4285
3.2789e-009,0.5225
3.3175e-009,0.6384
3.3560e-009,0.7475
3.3946e-009,0.8402
3.4332e-009,0.9205
3.4717e-009,0.9856
3.5103e-009,1.0337
3.5489e-009,1.0694
3.5875e-009,1.1132
3.6260e-009,1.1421
3.6646e-009,1.1499
3.7032e-009,1.1389
3.7418e-009,1.0898
3.7803e-009,1.0017
3.8189e-009,0.8960
3.8575e-009,0.7807
3.8961e-009,0.6641
3.9346e-009,0.5630
3.9732e-009,0.4865
4.0118e-009,0.4339
4.0504e-009,0.3974
4.0890e-009,0.3736
4.1275e-009,0.3613
4.1661e-009,0.3525
4.2047e-009,0.3438
4.2433e-009,0.3367
4.2818e-009,0.3288
4.3204e-009,0.3207
4.3590e-009,0.3163
4.3975e-009,0.3147
4.4361e-009,0.3145
4.4747e-009,0.3163
4.5133e-009,0.3198
4.5519e-009,0.3230
4.5904e-009,0.3243
4.6290e-009,0.3245
4.6676e-009,0.3245
4.7062e-009,0.3238
4.7447e-009,0.3226
4.7833e-009,0.3219
4.8219e-009,0.3212
4.8604e-009,0.3208
4.8990e-009,0.3210
4.9376e-009,0.3214
4.9762e-009,0.3223
5.0147e-009,0.3276
5.0533e-009,0.3444
5.0919e-009,0.3854
5.1305e-009,0.4596
5.1691e-009,0.5636
5.2076e-009,0.6810
5.2462e-009,0.7830
5.2848e-009,0.8715
5.3234e-009,0.9463
5.3619e-009,1.0053
5.4005e-009,1.0476
5.4391e-009,1.0781
5.4776e-009,1.1003
5.5162e-009,1.1165
5.5548e-009,1.1288
5.5934e-009,1.1388
5.6320e-009,1.1490
5.6705e-009,1.1592
5.7091e-009,1.1680
5.7477e-009,1.1731
5.7863e-009,1.1734
5.8248e-009,1.1725
5.8634e-009,1.1724
5.9020e-009,1.1725
5.9405e-009,1.1722
5.9791e-009,1.1724
6.0177e-009,1.1730
6.0563e-009,1.1737
6.0948e-009,1.1743
6.1334e-009,1.1749
6.1720e-009,1.1757
6.2106e-009,1.1765
6.2492e-009,1.1768
6.2877e-009,1.1765
6.3263e-009,1.1760
6.3649e-009,1.1760
6.4035e-009,1.1788
6.4420e-009,1.1820
6.4806e-009,1.1767
6.5192e-009,1.1487
6.5577e-009,1.0810
6.5963e-009,0.9812
6.6349e-009,0.8721
6.6735e-009,0.7579
6.7121e-009,0.6478
6.7506e-009,0.5536
6.7892e-009,0.4821
6.8278e-009,0.4318
6.8664e-009,0.3910
6.9049e-009,0.3697
6.9435e-009,0.3775
6.9821e-009,0.4134
7.0206e-009,0.4829
7.0592e-009,0.5829
7.0978e-009,0.6906
7.1364e-009,0.7874
7.1749e-009,0.8779
7.2135e-009,0.9543
7.2521e-009,1.0130
7.2907e-009,1.0556
7.3293e-009,1.0872
7.3678e-009,1.1096
7.4064e-009,1.1239
7.4450e-009,1.1346
7.4835e-009,1.1449
7.5221e-009,1.1543
7.5607e-009,1.1628
7.5993e-009,1.1703
7.6379e-009,1.1741
7.6764e-009,1.1742
7.7150e-009,1.1743
7.7536e-009,1.1744
7.7922e-009,1.1756
7.8307e-009,1.1798
7.8693e-009,1.1794
7.9079e-009,1.1643
7.9464e-009,1.1162
7.9850e-009,1.0285
8.0236e-009,0.9226
8.0622e-009,0.8113
8.1008e-009,0.6976
8.1393e-009,0.5949
8.1779e-009,0.5122
8.2165e-009,0.4526
8.2550e-009,0.4118
8.2936e-009,0.3841
8.3322e-009,0.3662
8.3708e-009,0.3556
8.4093e-009,0.3480
8.4479e-009,0.3408
8.4865e-009,0.3322
8.5251e-009,0.3231
8.5637e-009,0.3179
8.6022e-009,0.3164
8.6408e-009,0.3160
8.6794e-009,0.3169
8.7179e-009,0.3195
8.7565e-009,0.3224
8.7951e-009,0.3242
8.8337e-009,0.3246
8.8722e-009,0.3244
8.9108e-009,0.3241
8.9494e-009,0.3234
8.9880e-009,0.3226
9.0266e-009,0.3216
9.0651e-009,0.3209
9.1037e-009,0.3212
9.1423e-009,0.3217
9.1808e-009,0.3219
9.2194e-009,0.3246
9.2580e-009,0.3353
9.2966e-009,0.3643
9.3352e-009,0.4243
9.3737e-009,0.5167
9.4123e-009,0.6321
9.4509e-009,0.7422
9.4895e-009,0.8356
9.5280e-009,0.9167
9.5666e-009,0.9825
9.6052e-009,1.0315
9.6437e-009,1.0664
9.6823e-009,1.0919
9.7209e-009,1.1103
9.7595e-009,1.1240
9.7981e-009,1.1347
9.8366e-009,1.1447
9.8752e-009,1.1550
9.9138e-009,1.1646
9.9524e-009,1.1716
9.9909e-009,1.1737
1.00295e-008,1.1728
1.00681e-008,1.1724
1.01066e-008,1.1727
1.01452e-008,1.1752
1.01838e-008,1.1794
1.02224e-008,1.1774
1.02610e-008,1.1574
1.02995e-008,1.1010
1.03381e-008,1.0072
1.03767e-008,0.8997
1.04152e-008,0.7873
1.04538e-008,0.6749
1.04924e-008,0.5755
1.05310e-008,0.4975
1.05695e-008,0.4422
1.06081e-008,0.3994
1.06467e-008,0.3712
1.06853e-008,0.3727
1.07239e-008,0.4002
1.07624e-008,0.4609
1.08010e-008,0.5539
1.08396e-008,0.6631
1.08781e-008,0.7620
1.09167e-008,0.8549
1.09553e-008,0.9357
1.09939e-008,0.9992
1.10324e-008,1.0455
1.10710e-008,1.0866
1.11096e-008,1.1312
1.11482e-008,1.1477
1.11868e-008,1.1501
1.12253e-008,1.1247
1.12639e-008,1.0566
1.13025e-008,0.9568
1.13410e-008,0.8466
1.13796e-008,0.7288
1.14182e-008,0.6178
1.14568e-008,0.5275
1.14953e-008,0.4622
1.15339e-008,0.4172
1.15725e-008,0.3858
1.16111e-008,0.3674
1.16497e-008,0.3575
1.16882e-008,0.3482
1.17268e-008,0.3405
1.17654e-008,0.3336
1.18039e-008,0.3251
1.18425e-008,0.3182
1.18811e-008,0.3155
1.19197e-008,0.3146
1.19583e-008,0.3153
1.19968e-008,0.3182
1.20354e-008,0.3244
1.20740e-008,0.3387
1.21126e-008,0.3712
1.21511e-008,0.4345
1.21897e-008,0.5290
1.22283e-008,0.6436
1.22668e-008,0.7511
1.23054e-008,0.8429
1.23440e-008,0.9222
1.23826e-008,0.9866
1.24212e-008,1.0349
1.24597e-008,1.0691
1.24983e-008,1.0939
1.25369e-008,1.1120
1.25755e-008,1.1255
1.26140e-008,1.1358
1.26526e-008,1.1455
1.26912e-008,1.1557
1.27297e-008,1.1651
1.27683e-008,1.1717
1.28069e-008,1.1734
1.28455e-008,1.1727
1.28841e-008,1.1724
1.29226e-008,1.1726
1.29612e-008,1.1725
1.29998e-008,1.1724
1.30383e-008,1.1729
1.30769e-008,1.1736
1.31155e-008,1.1742
1.31541e-008,1.1747
1.31926e-008,1.1754
1.32312e-008,1.1763
1.32698e-008,1.1769
1.33084e-008,1.1768
1.33470e-008,1.1762
1.33855e-008,1.1759
1.34241e-008,1.1775
1.34627e-008,1.1813
1.35012e-008,1.1805
1.35398e-008,1.1631
1.35784e-008,1.1111
1.36170e-008,1.0204
1.36555e-008,0.9132
1.36941e-008,0.8008
1.37327e-008,0.6874
1.37713e-008,0.5862
1.38099e-008,0.5060
1.38484e-008,0.4486
1.38870e-008,0.4059
1.39256e-008,0.3738
1.39641e-008,0.3719
1.40027e-008,0.3962
1.40413e-008,0.4533
1.40799e-008,0.5429
1.41185e-008,0.6520
1.41570e-008,0.7520
1.41956e-008,0.8455
1.42342e-008,0.9279
1.42728e-008,0.9933
1.43113e-008,1.0413
1.43499e-008,1.0765
1.43885e-008,1.1024
1.44270e-008,1.1193
1.44656e-008,1.1307
1.45042e-008,1.1411
1.45428e-008,1.1509
1.45814e-008,1.1597
1.46199e-008,1.1677
1.46585e-008,1.1733
1.46971e-008,1.1743
1.47357e-008,1.1742
1.47742e-008,1.1744
1.48128e-008,1.1746
1.48514e-008,1.1783
1.48899e-008,1.1805
1.49285e-008,1.1727
1.49671e-008,1.1390
1.50057e-008,1.0647
1.50443e-008,0.9627
1.50828e-008,0.8535
1.51214e-008,0.7394
1.51600e-008,0.6312
1.51985e-008,0.5403
1.52371e-008,0.4722
1.52757e-008,0.4243
1.53143e-008,0.3845
1.53528e-008,0.3691
1.53914e-008,0.3806
1.54300e-008,0.4217
1.54686e-008,0.4964
1.55071e-008,0.5999
1.55457e-008,0.7060
1.55843e-008,0.8019
1.56229e-008,0.8908
1.56615e-008,0.9645
1.57000e-008,1.0205
1.57386e-008,1.0618
1.57772e-008,1.1069
1.58158e-008,1.1409
1.58543e-008,1.1506
1.58929e-008,1.1440
1.59315e-008,1.1015
1.59701e-008,1.0170
1.60086e-008,0.9118
1.60472e-008,0.7977
1.60858e-008,0.6806
1.61243e-008,0.5769
1.61629e-008,0.4972
1.62015e-008,0.4414
1.62401e-008,0.4026
1.62786e-008,0.3766
1.63172e-008,0.3628
1.63558e-008,0.3537
1.63944e-008,0.3447
1.64329e-008,0.3377
1.64715e-008,0.3302
1.65101e-008,0.3218
1.65487e-008,0.3167
1.65873e-008,0.3150
1.66258e-008,0.3147
1.66644e-008,0.3162
1.67030e-008,0.3196
1.67416e-008,0.3228
1.67801e-008,0.3243
1.68187e-008,0.3245
1.68573e-008,0.3246
1.68959e-008,0.3241
1.69344e-008,0.3229
1.69730e-008,0.3222
1.70116e-008,0.3214
1.70501e-008,0.3209
1.70887e-008,0.3210
1.71273e-008,0.3215
1.71659e-008,0.3216
1.72044e-008,0.3217
1.72430e-008,0.3218
1.72816e-008,0.3217
1.73202e-008,0.3213
1.73588e-008,0.3210
1.73973e-008,0.3209
1.74359e-008,0.3209
1.74745e-008,0.3209
1.75131e-008,0.3209
1.75516e-008,0.3210
1.75902e-008,0.3210
1.76288e-008,0.3214
1.76674e-008,0.3250
1.77059e-008,0.3375
1.77445e-008,0.3708
1.77831e-008,0.4366
1.78216e-008,0.5340
1.78602e-008,0.6508
1.78988e-008,0.7578
1.79374e-008,0.8493
1.79759e-008,0.9280
1.80145e-008,0.9912
1.80531e-008,1.0376
1.80917e-008,1.0728
1.81302e-008,1.1174
1.81688e-008,1.1430
1.82074e-008,1.1499
1.82460e-008,1.1358
1.82846e-008,1.0827
1.83231e-008,0.9919
1.83617e-008,0.8853
1.84003e-008,0.7690
1.84389e-008,0.6532
