.HEADER
..NAMES
Time,V U5.F8
.DATA
0.0e+000,1.1769
3.86e-011,1.1769
7.72e-011,1.1769
1.157e-010,1.1769
1.543e-010,1.1769
1.929e-010,1.1769
2.314e-010,1.1769
2.700e-010,1.1769
3.086e-010,1.1769
3.472e-010,1.1769
3.857e-010,1.1769
4.243e-010,1.1769
4.629e-010,1.1769
5.015e-010,1.1769
5.401e-010,1.1769
5.786e-010,1.1769
6.172e-010,1.1769
6.558e-010,1.1769
6.944e-010,1.1769
7.329e-010,1.1770
7.715e-010,1.1785
8.101e-010,1.1829
8.486e-010,1.1814
8.872e-010,1.1594
9.258e-010,1.0966
9.644e-010,0.9920
1.0029e-009,0.8784
1.0415e-009,0.7693
1.0801e-009,0.6623
1.1187e-009,0.5678
1.1572e-009,0.4949
1.1958e-009,0.4453
1.2344e-009,0.4064
1.2730e-009,0.3751
1.3115e-009,0.3778
1.3501e-009,0.4088
1.3887e-009,0.4770
1.4273e-009,0.5770
1.4658e-009,0.6915
1.5044e-009,0.7837
1.5430e-009,0.8590
1.5816e-009,0.9309
1.6202e-009,0.9943
1.6587e-009,1.0403
1.6973e-009,1.0774
1.7359e-009,1.1268
1.7745e-009,1.1471
1.8130e-009,1.1470
1.8516e-009,1.1148
1.8902e-009,1.0402
1.9288e-009,0.9363
1.9673e-009,0.8274
2.0059e-009,0.7178
2.0445e-009,0.6160
2.0830e-009,0.5294
2.1216e-009,0.4656
2.1602e-009,0.4219
2.1988e-009,0.3849
2.2374e-009,0.3744
2.2759e-009,0.3925
2.3145e-009,0.4496
2.3531e-009,0.5378
2.3916e-009,0.6482
2.4302e-009,0.7509
2.4688e-009,0.8324
2.5074e-009,0.9063
2.5459e-009,0.9723
2.5845e-009,1.0244
2.6231e-009,1.0603
2.6617e-009,1.0867
2.7003e-009,1.1082
2.7388e-009,1.1246
2.7774e-009,1.1342
2.8160e-009,1.1410
2.8545e-009,1.1488
2.8931e-009,1.1578
2.9317e-009,1.1660
2.9703e-009,1.1729
3.0089e-009,1.1758
3.0474e-009,1.1738
3.0860e-009,1.1730
3.1246e-009,1.1778
3.1631e-009,1.1835
3.2017e-009,1.1771
3.2403e-009,1.1467
3.2789e-009,1.0737
3.3175e-009,0.9648
3.3560e-009,0.8524
3.3946e-009,0.7433
3.4332e-009,0.6388
3.4717e-009,0.5493
3.5103e-009,0.4822
3.5489e-009,0.4368
3.5875e-009,0.4047
3.6260e-009,0.3804
3.6646e-009,0.3635
3.7032e-009,0.3547
3.7418e-009,0.3502
3.7803e-009,0.3456
3.8189e-009,0.3405
3.8575e-009,0.3326
3.8961e-009,0.3233
3.9346e-009,0.3189
