.HEADER
..NAMES
Time,V U5.F7
.DATA
0.0e+000,1.1760
3.86e-011,1.1760
7.72e-011,1.1760
1.157e-010,1.1760
1.543e-010,1.1760
1.929e-010,1.1760
2.314e-010,1.1760
2.700e-010,1.1760
3.086e-010,1.1760
3.472e-010,1.1760
3.857e-010,1.1760
4.243e-010,1.1760
4.629e-010,1.1760
5.015e-010,1.1760
5.401e-010,1.1760
5.786e-010,1.1760
6.172e-010,1.1760
6.558e-010,1.1760
6.944e-010,1.1760
7.329e-010,1.1761
7.715e-010,1.1784
8.101e-010,1.1815
8.486e-010,1.1773
8.872e-010,1.1520
9.258e-010,1.0879
9.644e-010,0.9908
1.0029e-009,0.8832
1.0415e-009,0.7686
1.0801e-009,0.6569
1.1187e-009,0.5601
1.1572e-009,0.4858
1.1958e-009,0.4348
1.2344e-009,0.3998
1.2730e-009,0.3765
1.3115e-009,0.3629
1.3501e-009,0.3560
1.3887e-009,0.3513
1.4273e-009,0.3462
1.4658e-009,0.3398
1.5044e-009,0.3310
1.5430e-009,0.3226
1.5816e-009,0.3186
1.6202e-009,0.3171
1.6587e-009,0.3169
1.6973e-009,0.3192
1.7359e-009,0.3285
1.7745e-009,0.3526
1.8130e-009,0.4015
1.8516e-009,0.4816
1.8902e-009,0.5885
1.9288e-009,0.7037
1.9673e-009,0.8018
2.0059e-009,0.8879
2.0445e-009,0.9598
2.0830e-009,1.0154
2.1216e-009,1.0550
2.1602e-009,1.0900
2.1988e-009,1.1322
2.2374e-009,1.1450
2.2759e-009,1.1458
2.3145e-009,1.1164
2.3531e-009,1.0473
2.3916e-009,0.9523
2.4302e-009,0.8429
2.4688e-009,0.7276
2.5074e-009,0.6199
2.5459e-009,0.5279
2.5845e-009,0.4602
2.6231e-009,0.4155
2.6617e-009,0.3859
2.7003e-009,0.3664
2.7388e-009,0.3568
2.7774e-009,0.3538
2.8160e-009,0.3476
2.8545e-009,0.3415
2.8931e-009,0.3349
2.9317e-009,0.3268
2.9703e-009,0.3204
3.0089e-009,0.3165
3.0474e-009,0.3150
3.0860e-009,0.3161
3.1246e-009,0.3211
3.1631e-009,0.3370
3.2017e-009,0.3737
3.2403e-009,0.4404
3.2789e-009,0.5353
3.3175e-009,0.6508
3.3560e-009,0.7575
3.3946e-009,0.8485
3.4332e-009,0.9273
3.4717e-009,0.9910
3.5103e-009,1.0379
3.5489e-009,1.0704
3.5875e-009,1.0936
3.6260e-009,1.1107
3.6646e-009,1.1229
3.7032e-009,1.1314
3.7418e-009,1.1395
3.7803e-009,1.1489
3.8189e-009,1.1587
3.8575e-009,1.1669
3.8961e-009,1.1732
3.9346e-009,1.1748
3.9732e-009,1.1736
4.0118e-009,1.1731
4.0504e-009,1.1729
4.0890e-009,1.1724
4.1275e-009,1.1717
4.1661e-009,1.1716
4.2047e-009,1.1722
4.2433e-009,1.1727
4.2818e-009,1.1731
4.3204e-009,1.1738
4.3590e-009,1.1750
4.3975e-009,1.1757
4.4361e-009,1.1757
4.4747e-009,1.1754
4.5133e-009,1.1749
4.5519e-009,1.1744
4.5904e-009,1.1746
4.6290e-009,1.1749
4.6676e-009,1.1750
4.7062e-009,1.1750
4.7447e-009,1.1750
4.7833e-009,1.1752
4.8219e-009,1.1753
4.8604e-009,1.1753
4.8990e-009,1.1753
4.9376e-009,1.1754
4.9762e-009,1.1754
5.0147e-009,1.1753
5.0533e-009,1.1752
5.0919e-009,1.1752
5.1305e-009,1.1753
5.1691e-009,1.1754
5.2076e-009,1.1754
5.2462e-009,1.1754
5.2848e-009,1.1754
5.3234e-009,1.1754
5.3619e-009,1.1755
5.4005e-009,1.1755
5.4391e-009,1.1760
5.4776e-009,1.1794
5.5162e-009,1.1807
5.5548e-009,1.1699
5.5934e-009,1.1300
5.6320e-009,1.0495
5.6705e-009,0.9461
5.7091e-009,0.8357
5.7477e-009,0.7204
5.7863e-009,0.6139
5.8248e-009,0.5257
5.8634e-009,0.4616
5.9020e-009,0.4166
5.9405e-009,0.3787
5.9791e-009,0.3703
6.0177e-009,0.3868
6.0563e-009,0.4360
6.0948e-009,0.5177
6.1334e-009,0.6239
6.1720e-009,0.7268
6.2106e-009,0.8180
6.2492e-009,0.9010
6.2877e-009,0.9719
6.3263e-009,1.0255
6.3649e-009,1.0642
6.4035e-009,1.1101
6.4420e-009,1.1373
6.4806e-009,1.1483
6.5192e-009,1.1351
6.5577e-009,1.0850
6.5963e-009,1.0003
6.6349e-009,0.8967
6.6735e-009,0.7811
6.7121e-009,0.6683
6.7506e-009,0.5681
6.7892e-009,0.4888
6.8278e-009,0.4348
6.8664e-009,0.3990
6.9049e-009,0.3752
6.9435e-009,0.3605
6.9821e-009,0.3553
7.0206e-009,0.3507
7.0592e-009,0.3445
7.0978e-009,0.3382
7.1364e-009,0.3305
7.1749e-009,0.3230
7.2135e-009,0.3180
7.2521e-009,0.3152
7.2907e-009,0.3152
7.3293e-009,0.3170
7.3678e-009,0.3198
7.4064e-009,0.3233
7.4450e-009,0.3257
7.4835e-009,0.3262
7.5221e-009,0.3260
7.5607e-009,0.3262
7.5993e-009,0.3255
7.6379e-009,0.3239
7.6764e-009,0.3230
7.7150e-009,0.3224
7.7536e-009,0.3222
7.7922e-009,0.3233
7.8307e-009,0.3294
7.8693e-009,0.3477
7.9079e-009,0.3911
7.9464e-009,0.4675
7.9850e-009,0.5727
8.0236e-009,0.6890
8.0622e-009,0.7894
8.1008e-009,0.8785
8.1393e-009,0.9534
8.1779e-009,1.0114
8.2165e-009,1.0523
8.2550e-009,1.0804
8.2936e-009,1.1009
8.3322e-009,1.1156
8.3708e-009,1.1258
8.4093e-009,1.1337
8.4479e-009,1.1421
8.4865e-009,1.1519
8.5251e-009,1.1616
8.5637e-009,1.1698
8.6022e-009,1.1746
8.6408e-009,1.1744
8.6794e-009,1.1734
8.7179e-009,1.1739
8.7565e-009,1.1783
8.7951e-009,1.1789
8.8337e-009,1.1689
8.8722e-009,1.1327
8.9108e-009,1.0564
8.9494e-009,0.9545
8.9880e-009,0.8451
9.0266e-009,0.7305
9.0651e-009,0.6236
9.1037e-009,0.5336
9.1423e-009,0.4667
9.1808e-009,0.4202
9.2194e-009,0.3802
9.2580e-009,0.3685
9.2966e-009,0.3826
9.3352e-009,0.4289
9.3737e-009,0.5072
9.4123e-009,0.6117
9.4509e-009,0.7164
9.4895e-009,0.8088
9.5280e-009,0.8927
9.5666e-009,0.9649
9.6052e-009,1.0204
9.6437e-009,1.0594
9.6823e-009,1.0873
9.7209e-009,1.1085
9.7595e-009,1.1236
9.7981e-009,1.1317
9.8366e-009,1.1397
9.8752e-009,1.1492
9.9138e-009,1.1584
9.9524e-009,1.1661
9.9909e-009,1.1724
1.00295e-008,1.1752
1.00681e-008,1.1746
1.01066e-008,1.1743
1.01452e-008,1.1774
1.01838e-008,1.1810
1.02224e-008,1.1770
1.02610e-008,1.1550
1.02995e-008,1.0974
1.03381e-008,1.0041
