.HEADER
..NAMES
Time,V U5.B8
.DATA
0.0e+000,0.3210
3.86e-011,0.3210
7.72e-011,0.3210
1.157e-010,0.3210
1.543e-010,0.3210
1.929e-010,0.3210
2.314e-010,0.3210
2.700e-010,0.3210
3.086e-010,0.3210
3.472e-010,0.3210
3.857e-010,0.3210
4.243e-010,0.3210
4.629e-010,0.3210
5.015e-010,0.3210
5.401e-010,0.3210
5.786e-010,0.3210
6.172e-010,0.3210
6.558e-010,0.3210
6.944e-010,0.3210
7.329e-010,0.3210
7.715e-010,0.3217
8.101e-010,0.3267
8.486e-010,0.3443
8.872e-010,0.3888
9.258e-010,0.4721
9.644e-010,0.5915
1.0029e-009,0.7218
1.0415e-009,0.8292
1.0801e-009,0.9034
1.1187e-009,0.9585
1.1572e-009,1.0066
1.1958e-009,1.0451
1.2344e-009,1.0741
1.2730e-009,1.0975
1.3115e-009,1.1182
1.3501e-009,1.1326
1.3887e-009,1.1400
1.4273e-009,1.1449
1.4658e-009,1.1528
1.5044e-009,1.1633
1.5430e-009,1.1715
1.5816e-009,1.1733
1.6202e-009,1.1700
1.6587e-009,1.1678
1.6973e-009,1.1694
1.7359e-009,1.1747
1.7745e-009,1.1792
1.8130e-009,1.1738
1.8516e-009,1.1398
1.8902e-009,1.0580
1.9288e-009,0.9348
1.9673e-009,0.8051
2.0059e-009,0.6918
2.0445e-009,0.5959
2.0830e-009,0.5164
2.1216e-009,0.4598
2.1602e-009,0.4242
2.1988e-009,0.3995
2.2374e-009,0.3768
2.2759e-009,0.3584
2.3145e-009,0.3478
2.3531e-009,0.3431
2.3916e-009,0.3386
2.4302e-009,0.3311
2.4688e-009,0.3222
2.5074e-009,0.3178
2.5459e-009,0.3192
2.5845e-009,0.3214
2.6231e-009,0.3220
2.6617e-009,0.3235
2.7003e-009,0.3265
2.7388e-009,0.3277
2.7774e-009,0.3255
2.8160e-009,0.3228
2.8545e-009,0.3228
2.8931e-009,0.3241
2.9317e-009,0.3241
2.9703e-009,0.3226
3.0089e-009,0.3214
3.0474e-009,0.3217
3.0860e-009,0.3226
3.1246e-009,0.3226
3.1631e-009,0.3220
3.2017e-009,0.3219
3.2403e-009,0.3225
3.2789e-009,0.3225
3.3175e-009,0.3216
3.3560e-009,0.3209
3.3946e-009,0.3214
3.4332e-009,0.3222
3.4717e-009,0.3221
3.5103e-009,0.3215
3.5489e-009,0.3213
3.5875e-009,0.3226
3.6260e-009,0.3281
3.6646e-009,0.3464
3.7032e-009,0.3923
3.7418e-009,0.4777
3.7803e-009,0.5988
3.8189e-009,0.7286
3.8575e-009,0.8339
3.8961e-009,0.9066
3.9346e-009,0.9616
3.9732e-009,1.0095
4.0118e-009,1.0474
4.0504e-009,1.0842
4.0890e-009,1.1279
4.1275e-009,1.1609
4.1661e-009,1.1606
4.2047e-009,1.1185
4.2433e-009,1.0348
4.2818e-009,0.9162
4.3204e-009,0.7916
4.3590e-009,0.6786
4.3975e-009,0.5819
4.4361e-009,0.5017
4.4747e-009,0.4481
4.5133e-009,0.4156
4.5519e-009,0.3924
4.5904e-009,0.3699
4.6290e-009,0.3559
4.6676e-009,0.3491
4.7062e-009,0.3425
4.7447e-009,0.3337
4.7833e-009,0.3264
4.8219e-009,0.3210
4.8604e-009,0.3183
4.8990e-009,0.3186
4.9376e-009,0.3201
4.9762e-009,0.3217
5.0147e-009,0.3237
5.0533e-009,0.3264
5.0919e-009,0.3269
5.1305e-009,0.3247
5.1691e-009,0.3229
5.2076e-009,0.3237
5.2462e-009,0.3240
5.2848e-009,0.3227
5.3234e-009,0.3215
5.3619e-009,0.3218
5.4005e-009,0.3223
5.4391e-009,0.3223
5.4776e-009,0.3240
5.5162e-009,0.3329
5.5548e-009,0.3597
5.5934e-009,0.4195
5.6320e-009,0.5186
5.6705e-009,0.6462
5.7091e-009,0.7701
5.7477e-009,0.8640
5.7863e-009,0.9286
5.8248e-009,0.9800
5.8634e-009,1.0242
5.9020e-009,1.0589
5.9405e-009,1.1011
5.9791e-009,1.1451
6.0177e-009,1.1659
6.0563e-009,1.1494
6.0948e-009,1.0940
6.1334e-009,0.9939
6.1720e-009,0.8697
6.2106e-009,0.7481
6.2492e-009,0.6416
6.2877e-009,0.5506
6.3263e-009,0.4794
6.3649e-009,0.4340
6.4035e-009,0.4067
6.4420e-009,0.3839
6.4806e-009,0.3639
6.5192e-009,0.3533
6.5577e-009,0.3468
6.5963e-009,0.3394
6.6349e-009,0.3311
6.6735e-009,0.3246
6.7121e-009,0.3196
6.7506e-009,0.3182
6.7892e-009,0.3193
6.8278e-009,0.3211
6.8664e-009,0.3224
6.9049e-009,0.3247
6.9435e-009,0.3270
6.9821e-009,0.3266
7.0206e-009,0.3240
7.0592e-009,0.3231
7.0978e-009,0.3240
7.1364e-009,0.3238
7.1749e-009,0.3223
7.2135e-009,0.3216
7.2521e-009,0.3220
7.2907e-009,0.3224
7.3293e-009,0.3223
7.3678e-009,0.3221
7.4064e-009,0.3221
7.4450e-009,0.3222
7.4835e-009,0.3223
7.5221e-009,0.3219
7.5607e-009,0.3212
7.5993e-009,0.3212
7.6379e-009,0.3218
7.6764e-009,0.3220
7.7150e-009,0.3215
7.7536e-009,0.3213
7.7922e-009,0.3217
7.8307e-009,0.3218
7.8693e-009,0.3216
7.9079e-009,0.3214
7.9464e-009,0.3215
7.9850e-009,0.3217
8.0236e-009,0.3216
8.0622e-009,0.3215
8.1008e-009,0.3214
8.1393e-009,0.3215
8.1779e-009,0.3216
8.2165e-009,0.3216
8.2550e-009,0.3215
8.2936e-009,0.3236
8.3322e-009,0.3332
8.3708e-009,0.3614
8.4093e-009,0.4231
8.4479e-009,0.5247
8.4865e-009,0.6540
8.5251e-009,0.7769
8.5637e-009,0.8678
8.6022e-009,0.9307
8.6408e-009,0.9823
8.6794e-009,1.0264
8.7179e-009,1.0601
8.7565e-009,1.0858
8.7951e-009,1.1079
8.8337e-009,1.1263
8.8722e-009,1.1371
8.9108e-009,1.1426
8.9494e-009,1.1484
8.9880e-009,1.1580
9.0266e-009,1.1681
9.0651e-009,1.1737
9.1037e-009,1.1723
9.1423e-009,1.1689
9.1808e-009,1.1682
9.2194e-009,1.1698
9.2580e-009,1.1705
9.2966e-009,1.1710
9.3352e-009,1.1729
9.3737e-009,1.1752
9.4123e-009,1.1753
9.4509e-009,1.1737
9.4895e-009,1.1734
9.5280e-009,1.1751
9.5666e-009,1.1768
9.6052e-009,1.1768
9.6437e-009,1.1757
9.6823e-009,1.1761
9.7209e-009,1.1799
9.7595e-009,1.1824
9.7981e-009,1.1697
9.8366e-009,1.1207
9.8752e-009,1.0238
9.9138e-009,0.8973
9.9524e-009,0.7720
9.9909e-009,0.6621
1.00295e-008,0.5687
1.00681e-008,0.4962
1.01066e-008,0.4484
1.01452e-008,0.4154
1.01838e-008,0.3856
1.02224e-008,0.3708
1.02610e-008,0.3923
1.02995e-008,0.4585
1.03381e-008,0.5610
1.03767e-008,0.6849
1.04152e-008,0.7966
1.04538e-008,0.8793
1.04924e-008,0.9416
1.05310e-008,0.9964
1.05695e-008,1.0397
1.06081e-008,1.0759
1.06467e-008,1.1200
1.06853e-008,1.1591
1.07239e-008,1.1669
1.07624e-008,1.1328
1.08010e-008,1.0604
1.08396e-008,0.9486
1.08781e-008,0.8222
1.09167e-008,0.7039
1.09553e-008,0.6039
1.09939e-008,0.5198
1.10324e-008,0.4600
1.10710e-008,0.4224
1.11096e-008,0.3920
1.11482e-008,0.3699
1.11868e-008,0.3798
1.12253e-008,0.4334
1.12639e-008,0.5213
1.13025e-008,0.6370
1.13410e-008,0.7568
1.13796e-008,0.8534
1.14182e-008,0.9215
1.14568e-008,0.9776
1.14953e-008,1.0260
1.15339e-008,1.0628
1.15725e-008,1.0894
1.16111e-008,1.1127
1.16497e-008,1.1311
1.16882e-008,1.1398
1.17268e-008,1.1446
1.17654e-008,1.1521
1.18039e-008,1.1613
1.18425e-008,1.1686
1.18811e-008,1.1738
1.19197e-008,1.1746
1.19583e-008,1.1720
1.19968e-008,1.1700
1.20354e-008,1.1709
1.20740e-008,1.1721
1.21126e-008,1.1725
1.21511e-008,1.1737
1.21897e-008,1.1757
1.22283e-008,1.1758
1.22668e-008,1.1744
1.23054e-008,1.1745
1.23440e-008,1.1762
1.23826e-008,1.1773
1.24212e-008,1.1770
1.24597e-008,1.1766
1.24983e-008,1.1763
1.25369e-008,1.1762
1.25755e-008,1.1764
1.26140e-008,1.1768
1.26526e-008,1.1769
1.26912e-008,1.1770
1.27297e-008,1.1774
1.27683e-008,1.1773
1.28069e-008,1.1767
1.28455e-008,1.1766
1.28841e-008,1.1771
1.29226e-008,1.1775
1.29612e-008,1.1772
1.29998e-008,1.1770
1.30383e-008,1.1771
1.30769e-008,1.1772
