.HEADER
..NAMES
Time,V U5.A3
.DATA
0.0e+000,1.1778
3.86e-011,1.1778
7.72e-011,1.1778
1.157e-010,1.1778
1.543e-010,1.1778
1.929e-010,1.1778
2.314e-010,1.1778
2.700e-010,1.1778
3.086e-010,1.1778
3.472e-010,1.1778
3.857e-010,1.1778
4.243e-010,1.1778
4.629e-010,1.1778
5.015e-010,1.1778
5.401e-010,1.1778
5.786e-010,1.1778
6.172e-010,1.1778
6.558e-010,1.1778
6.944e-010,1.1778
7.329e-010,1.1779
7.715e-010,1.1792
8.101e-010,1.1825
8.486e-010,1.1826
8.872e-010,1.1655
9.258e-010,1.1115
9.644e-010,1.0135
1.0029e-009,0.8925
1.0415e-009,0.7746
1.0801e-009,0.6686
1.1187e-009,0.5761
1.1572e-009,0.5028
1.1958e-009,0.4492
1.2344e-009,0.4082
1.2730e-009,0.3772
1.3115e-009,0.3675
1.3501e-009,0.3939
1.3887e-009,0.4601
1.4273e-009,0.5641
1.4658e-009,0.6850
1.5044e-009,0.7944
1.5430e-009,0.8800
1.5816e-009,0.9488
1.6202e-009,1.0037
1.6587e-009,1.0478
1.6973e-009,1.0904
1.7359e-009,1.1346
1.7745e-009,1.1634
1.8130e-009,1.1636
1.8516e-009,1.1319
1.8902e-009,1.0526
1.9288e-009,0.9369
1.9673e-009,0.8134
2.0059e-009,0.6989
2.0445e-009,0.5964
2.0830e-009,0.5173
2.1216e-009,0.4594
2.1602e-009,0.4175
2.1988e-009,0.3891
2.2374e-009,0.3692
2.2759e-009,0.3517
2.3145e-009,0.3393
2.3531e-009,0.3317
2.3916e-009,0.3245
2.4302e-009,0.3186
2.4688e-009,0.3172
2.5074e-009,0.3190
2.5459e-009,0.3213
2.5845e-009,0.3236
2.6231e-009,0.3250
2.6617e-009,0.3254
2.7003e-009,0.3252
2.7388e-009,0.3246
2.7774e-009,0.3232
2.8160e-009,0.3225
2.8545e-009,0.3227
2.8931e-009,0.3225
2.9317e-009,0.3218
2.9703e-009,0.3216
3.0089e-009,0.3216
3.0474e-009,0.3215
3.0860e-009,0.3213
3.1246e-009,0.3210
3.1631e-009,0.3206
3.2017e-009,0.3206
3.2403e-009,0.3206
3.2789e-009,0.3205
3.3175e-009,0.3205
3.3560e-009,0.3207
3.3946e-009,0.3207
