.HEADER
..NAMES
Time,V U5.C8
.DATA
0.0e+000,0.3210
3.86e-011,0.3210
7.72e-011,0.3210
1.157e-010,0.3210
1.543e-010,0.3210
1.929e-010,0.3210
2.314e-010,0.3210
2.700e-010,0.3210
3.086e-010,0.3210
3.472e-010,0.3210
3.857e-010,0.3210
4.243e-010,0.3210
4.629e-010,0.3210
5.015e-010,0.3210
5.401e-010,0.3210
5.786e-010,0.3210
6.172e-010,0.3210
6.558e-010,0.3210
6.944e-010,0.3210
7.329e-010,0.3210
7.715e-010,0.3220
8.101e-010,0.3277
8.486e-010,0.3469
8.872e-010,0.3937
9.258e-010,0.4784
9.644e-010,0.5963
1.0029e-009,0.7214
1.0415e-009,0.8241
1.0801e-009,0.8990
1.1187e-009,0.9599
1.1572e-009,1.0132
1.1958e-009,1.0538
1.2344e-009,1.0812
1.2730e-009,1.1031
1.3115e-009,1.1220
1.3501e-009,1.1343
1.3887e-009,1.1414
1.4273e-009,1.1499
1.4658e-009,1.1612
1.5044e-009,1.1702
1.5430e-009,1.1729
1.5816e-009,1.1712
1.6202e-009,1.1695
1.6587e-009,1.1699
1.6973e-009,1.1713
1.7359e-009,1.1722
1.7745e-009,1.1727
1.8130e-009,1.1740
1.8516e-009,1.1754
1.8902e-009,1.1754
1.9288e-009,1.1748
1.9673e-009,1.1756
2.0059e-009,1.1775
2.0445e-009,1.1780
2.0830e-009,1.1768
2.1216e-009,1.1761
2.1602e-009,1.1770
2.1988e-009,1.1801
2.2374e-009,1.1834
2.2759e-009,1.1780
2.3145e-009,1.1458
2.3531e-009,1.0686
2.3916e-009,0.9531
2.4302e-009,0.8296
2.4688e-009,0.7170
2.5074e-009,0.6162
2.5459e-009,0.5292
2.5845e-009,0.4656
2.6231e-009,0.4252
2.6617e-009,0.3904
2.7003e-009,0.3672
2.7388e-009,0.3760
2.7774e-009,0.4283
2.8160e-009,0.5152
2.8545e-009,0.6277
2.8931e-009,0.7442
2.9317e-009,0.8422
2.9703e-009,0.9163
3.0089e-009,0.9779
3.0474e-009,1.0308
3.0860e-009,1.0692
3.1246e-009,1.1091
3.1631e-009,1.1484
3.2017e-009,1.1674
3.2403e-009,1.1488
3.2789e-009,1.0943
3.3175e-009,1.0018
3.3560e-009,0.8816
3.3946e-009,0.7564
3.4332e-009,0.6466
3.4717e-009,0.5552
3.5103e-009,0.4816
3.5489e-009,0.4311
3.5875e-009,0.3961
3.6260e-009,0.3709
3.6646e-009,0.3682
3.7032e-009,0.4051
3.7418e-009,0.4794
3.7803e-009,0.5838
3.8189e-009,0.7027
3.8575e-009,0.8112
3.8961e-009,0.8933
3.9346e-009,0.9564
3.9732e-009,1.0128
4.0118e-009,1.0587
4.0504e-009,1.0879
4.0890e-009,1.1080
4.1275e-009,1.1261
4.1661e-009,1.1387
4.2047e-009,1.1451
4.2433e-009,1.1522
4.2818e-009,1.1627
4.3204e-009,1.1711
4.3590e-009,1.1736
4.3975e-009,1.1729
4.4361e-009,1.1720
4.4747e-009,1.1713
4.5133e-009,1.1729
4.5519e-009,1.1785
4.5904e-009,1.1823
4.6290e-009,1.1727
4.6676e-009,1.1317
4.7062e-009,1.0449
4.7447e-009,0.9250
4.7833e-009,0.8031
4.8219e-009,0.6945
4.8604e-009,0.5967
4.8990e-009,0.5129
4.9376e-009,0.4541
4.9762e-009,0.4170
5.0147e-009,0.3842
5.0533e-009,0.3657
5.0919e-009,0.3835
5.1305e-009,0.4442
5.1691e-009,0.5372
5.2076e-009,0.6520
5.2462e-009,0.7662
5.2848e-009,0.8594
5.3234e-009,0.9300
5.3619e-009,0.9898
5.4005e-009,1.0401
5.4391e-009,1.0751
5.4776e-009,1.0990
5.5162e-009,1.1190
5.5548e-009,1.1335
5.5934e-009,1.1409
5.6320e-009,1.1481
5.6705e-009,1.1590
5.7091e-009,1.1684
5.7477e-009,1.1723
5.7863e-009,1.1728
5.8248e-009,1.1727
5.8634e-009,1.1717
5.9020e-009,1.1713
5.9405e-009,1.1755
5.9791e-009,1.1815
6.0177e-009,1.1802
6.0563e-009,1.1564
6.0948e-009,1.0917
6.1334e-009,0.9837
6.1720e-009,0.8598
6.2106e-009,0.7446
6.2492e-009,0.6419
6.2877e-009,0.5498
6.3263e-009,0.4785
6.3649e-009,0.4338
6.4035e-009,0.4048
6.4420e-009,0.3791
6.4806e-009,0.3598
6.5192e-009,0.3508
6.5577e-009,0.3455
6.5963e-009,0.3372
6.6349e-009,0.3272
6.6735e-009,0.3206
6.7121e-009,0.3188
6.7506e-009,0.3194
6.7892e-009,0.3205
6.8278e-009,0.3218
6.8664e-009,0.3237
6.9049e-009,0.3261
6.9435e-009,0.3266
6.9821e-009,0.3247
7.0206e-009,0.3233
7.0592e-009,0.3239
7.0978e-009,0.3243
7.1364e-009,0.3227
7.1749e-009,0.3211
7.2135e-009,0.3214
7.2521e-009,0.3225
7.2907e-009,0.3224
7.3293e-009,0.3223
7.3678e-009,0.3265
7.4064e-009,0.3421
7.4450e-009,0.3813
7.4835e-009,0.4566
7.5221e-009,0.5682
7.5607e-009,0.6955
7.5993e-009,0.8051
7.6379e-009,0.8850
7.6764e-009,0.9474
7.7150e-009,1.0027
7.7536e-009,1.0468
7.7922e-009,1.0813
7.8307e-009,1.1230
7.8693e-009,1.1578
7.9079e-009,1.1625
7.9464e-009,1.1281
7.9850e-009,1.0557
8.0236e-009,0.9492
8.0622e-009,0.8255
8.1008e-009,0.7067
8.1393e-009,0.6041
8.1779e-009,0.5189
8.2165e-009,0.4556
8.2550e-009,0.4169
8.2936e-009,0.3915
8.3322e-009,0.3703
8.3708e-009,0.3554
8.4093e-009,0.3480
8.4479e-009,0.3412
8.4865e-009,0.3314
8.5251e-009,0.3231
8.5637e-009,0.3197
8.6022e-009,0.3184
8.6408e-009,0.3177
8.6794e-009,0.3194
8.7179e-009,0.3225
8.7565e-009,0.3247
8.7951e-009,0.3256
8.8337e-009,0.3257
8.8722e-009,0.3248
8.9108e-009,0.3236
8.9494e-009,0.3232
8.9880e-009,0.3230
9.0266e-009,0.3220
9.0651e-009,0.3211
9.1037e-009,0.3215
9.1423e-009,0.3222
9.1808e-009,0.3219
9.2194e-009,0.3215
9.2580e-009,0.3218
9.2966e-009,0.3220
9.3352e-009,0.3214
9.3737e-009,0.3209
9.4123e-009,0.3210
9.4509e-009,0.3213
9.4895e-009,0.3212
9.5280e-009,0.3212
9.5666e-009,0.3212
9.6052e-009,0.3213
9.6437e-009,0.3213
9.6823e-009,0.3213
9.7209e-009,0.3213
9.7595e-009,0.3212
9.7981e-009,0.3212
9.8366e-009,0.3213
9.8752e-009,0.3212
9.9138e-009,0.3211
9.9524e-009,0.3212
9.9909e-009,0.3213
1.00295e-008,0.3212
1.00681e-008,0.3211
1.01066e-008,0.3212
1.01452e-008,0.3219
1.01838e-008,0.3263
1.02224e-008,0.3424
1.02610e-008,0.3837
1.02995e-008,0.4620
1.03381e-008,0.5755
1.03767e-008,0.7019
1.04152e-008,0.8094
1.04538e-008,0.8881
1.04924e-008,0.9504
1.05310e-008,1.0052
1.05695e-008,1.0482
1.06081e-008,1.0839
1.06467e-008,1.1262
1.06853e-008,1.1595
1.07239e-008,1.1610
1.07624e-008,1.1248
1.08010e-008,1.0511
1.08396e-008,0.9433
1.08781e-008,0.8188
1.09167e-008,0.7006
1.09553e-008,0.5993
1.09939e-008,0.5151
1.10324e-008,0.4527
1.10710e-008,0.4139
1.11096e-008,0.3830
1.11482e-008,0.3655
1.11868e-008,0.3802
1.12253e-008,0.4362
1.12639e-008,0.5249
1.13025e-008,0.6382
1.13410e-008,0.7558
1.13796e-008,0.8532
1.14182e-008,0.9244
1.14568e-008,0.9833
1.14953e-008,1.0359
1.15339e-008,1.0739
1.15725e-008,1.0976
1.16111e-008,1.1166
1.16497e-008,1.1327
1.16882e-008,1.1416
1.17268e-008,1.1476
1.17654e-008,1.1568
1.18039e-008,1.1669
1.18425e-008,1.1724
1.18811e-008,1.1731
1.19197e-008,1.1724
1.19583e-008,1.1714
1.19968e-008,1.1710
1.20354e-008,1.1721
1.20740e-008,1.1734
1.21126e-008,1.1738
1.21511e-008,1.1742
1.21897e-008,1.1753
1.22283e-008,1.1758
1.22668e-008,1.1755
1.23054e-008,1.1764
1.23440e-008,1.1780
1.23826e-008,1.1781
1.24212e-008,1.1768
1.24597e-008,1.1765
1.24983e-008,1.1785
1.25369e-008,1.1825
1.25755e-008,1.1828
1.26140e-008,1.1662
1.26526e-008,1.1117
1.26912e-008,1.0113
1.27297e-008,0.8881
1.27683e-008,0.7695
1.28069e-008,0.6633
1.28455e-008,0.5683
1.28841e-008,0.4927
1.29226e-008,0.4428
1.29612e-008,0.4066
1.29998e-008,0.3755
1.30383e-008,0.3665
1.30769e-008,0.3986
