.HEADER
..NAMES
Time,V U2.H8
.DATA
0.0e+000,1.1769
3.86e-011,1.1769
7.72e-011,1.1769
1.157e-010,1.1769
1.543e-010,1.1769
1.929e-010,1.1769
2.314e-010,1.1769
2.700e-010,1.1769
3.086e-010,1.1769
3.472e-010,1.1769
3.857e-010,1.1769
4.243e-010,1.1769
4.629e-010,1.1769
5.015e-010,1.1769
5.401e-010,1.1769
5.786e-010,1.1769
6.172e-010,1.1769
6.558e-010,1.1769
6.944e-010,1.1769
7.329e-010,1.1769
7.715e-010,1.1769
8.101e-010,1.1769
8.486e-010,1.1769
8.872e-010,1.1769
9.258e-010,1.1769
9.644e-010,1.1769
1.0029e-009,1.1769
1.0415e-009,1.1769
1.0801e-009,1.1769
1.1187e-009,1.1770
1.1572e-009,1.1778
1.1958e-009,1.1818
1.2344e-009,1.1827
1.2730e-009,1.1675
1.3115e-009,1.1172
1.3501e-009,1.0223
1.3887e-009,0.9092
1.4273e-009,0.7990
1.4658e-009,0.6894
1.5044e-009,0.5898
1.5430e-009,0.5093
1.5816e-009,0.4528
1.6202e-009,0.4147
1.6587e-009,0.3868
1.6973e-009,0.3677
1.7359e-009,0.3569
1.7745e-009,0.3505
1.8130e-009,0.3450
1.8516e-009,0.3380
1.8902e-009,0.3280
1.9288e-009,0.3200
1.9673e-009,0.3177
2.0059e-009,0.3176
2.0445e-009,0.3176
2.0830e-009,0.3185
2.1216e-009,0.3212
2.1602e-009,0.3239
2.1988e-009,0.3247
2.2374e-009,0.3242
2.2759e-009,0.3242
2.3145e-009,0.3242
2.3531e-009,0.3237
2.3916e-009,0.3228
2.4302e-009,0.3214
2.4688e-009,0.3209
2.5074e-009,0.3214
2.5459e-009,0.3222
2.5845e-009,0.3248
2.6231e-009,0.3353
2.6617e-009,0.3651
2.7003e-009,0.4285
2.7388e-009,0.5262
2.7774e-009,0.6457
2.8160e-009,0.7568
2.8545e-009,0.8434
2.8931e-009,0.9189
2.9317e-009,0.9833
2.9703e-009,1.0333
3.0089e-009,1.0685
3.0474e-009,1.1101
3.0860e-009,1.1464
3.1246e-009,1.1500
3.1631e-009,1.1368
3.2017e-009,1.0864
3.2403e-009,0.9963
3.2789e-009,0.8890
3.3175e-009,0.7774
3.3560e-009,0.6661
3.3946e-009,0.5660
3.4332e-009,0.4892
3.4717e-009,0.4384
3.5103e-009,0.3979
3.5489e-009,0.3679
3.5875e-009,0.3744
3.6260e-009,0.4113
3.6646e-009,0.4784
3.7032e-009,0.5779
3.7418e-009,0.6914
3.7803e-009,0.7856
3.8189e-009,0.8678
3.8575e-009,0.9421
3.8961e-009,1.0036
3.9346e-009,1.0478
