.HEADER
..NAMES
Time,V U2.E7
.DATA
0.0e+000,0.3215
3.86e-011,0.3215
7.72e-011,0.3215
1.157e-010,0.3215
1.543e-010,0.3215
1.929e-010,0.3215
2.314e-010,0.3215
2.700e-010,0.3215
3.086e-010,0.3215
3.472e-010,0.3215
3.857e-010,0.3215
4.243e-010,0.3215
4.629e-010,0.3215
5.015e-010,0.3215
5.401e-010,0.3215
5.786e-010,0.3215
6.172e-010,0.3215
6.558e-010,0.3215
6.944e-010,0.3215
7.329e-010,0.3215
7.715e-010,0.3215
8.101e-010,0.3215
8.486e-010,0.3215
8.872e-010,0.3215
9.258e-010,0.3215
9.644e-010,0.3215
1.0029e-009,0.3215
1.0415e-009,0.3215
1.0801e-009,0.3215
1.1187e-009,0.3215
1.1572e-009,0.3226
1.1958e-009,0.3289
1.2344e-009,0.3482
1.2730e-009,0.3940
1.3115e-009,0.4741
1.3501e-009,0.5827
1.3887e-009,0.6999
1.4273e-009,0.7996
1.4658e-009,0.8860
1.5044e-009,0.9587
1.5430e-009,1.0150
1.5816e-009,1.0552
1.6202e-009,1.0914
1.6587e-009,1.1341
1.6973e-009,1.1484
1.7359e-009,1.1484
1.7745e-009,1.1206
1.8130e-009,1.0505
1.8516e-009,0.9490
1.8902e-009,0.8361
1.9288e-009,0.7164
1.9673e-009,0.6062
2.0059e-009,0.5179
2.0445e-009,0.4548
2.0830e-009,0.4090
2.1216e-009,0.3729
2.1602e-009,0.3688
2.1988e-009,0.3881
2.2374e-009,0.4363
2.2759e-009,0.5206
2.3145e-009,0.6309
2.3531e-009,0.7359
2.3916e-009,0.8308
2.4302e-009,0.9157
2.4688e-009,0.9850
2.5074e-009,1.0368
2.5459e-009,1.0770
2.5845e-009,1.1233
2.6231e-009,1.1469
2.6617e-009,1.1522
2.7003e-009,1.1369
2.7388e-009,1.0798
2.7774e-009,0.9848
2.8160e-009,0.8762
2.8545e-009,0.7586
2.8931e-009,0.6433
2.9317e-009,0.5466
2.9703e-009,0.4752
3.0089e-009,0.4256
3.0474e-009,0.3911
3.0860e-009,0.3709
3.1246e-009,0.3595
3.1631e-009,0.3497
3.2017e-009,0.3423
3.2403e-009,0.3350
3.2789e-009,0.3261
3.3175e-009,0.3196
