.HEADER
..NAMES
Time,V U5.D3
.DATA
0.0e+000,0.3211
3.86e-011,0.3211
7.72e-011,0.3211
1.157e-010,0.3211
1.543e-010,0.3211
1.929e-010,0.3211
2.314e-010,0.3211
2.700e-010,0.3211
3.086e-010,0.3211
3.472e-010,0.3211
3.857e-010,0.3211
4.243e-010,0.3211
4.629e-010,0.3211
5.015e-010,0.3211
5.401e-010,0.3211
5.786e-010,0.3211
6.172e-010,0.3211
6.558e-010,0.3211
6.944e-010,0.3211
7.329e-010,0.3212
7.715e-010,0.3231
8.101e-010,0.3314
8.486e-010,0.3553
8.872e-010,0.4076
9.258e-010,0.4938
9.644e-010,0.6065
1.0029e-009,0.7211
1.0415e-009,0.8194
1.0801e-009,0.8996
1.1187e-009,0.9672
1.1572e-009,1.0212
1.1958e-009,1.0611
1.2344e-009,1.0904
1.2730e-009,1.1118
1.3115e-009,1.1290
1.3501e-009,1.1434
1.3887e-009,1.1543
1.4273e-009,1.1622
1.4658e-009,1.1674
1.5044e-009,1.1685
1.5430e-009,1.1674
1.5816e-009,1.1673
1.6202e-009,1.1687
1.6587e-009,1.1702
1.6973e-009,1.1732
1.7359e-009,1.1778
1.7745e-009,1.1792
1.8130e-009,1.1650
1.8516e-009,1.1184
1.8902e-009,1.0321
1.9288e-009,0.9225
1.9673e-009,0.8086
2.0059e-009,0.6977
2.0445e-009,0.5961
2.0830e-009,0.5136
2.1216e-009,0.4526
2.1602e-009,0.4103
2.1988e-009,0.3819
2.2374e-009,0.3613
2.2759e-009,0.3463
2.3145e-009,0.3356
2.3531e-009,0.3266
2.3916e-009,0.3194
2.4302e-009,0.3170
2.4688e-009,0.3184
2.5074e-009,0.3206
2.5459e-009,0.3225
2.5845e-009,0.3245
2.6231e-009,0.3263
2.6617e-009,0.3300
2.7003e-009,0.3422
2.7388e-009,0.3748
2.7774e-009,0.4394
2.8160e-009,0.5378
2.8545e-009,0.6544
2.8931e-009,0.7639
2.9317e-009,0.8539
2.9703e-009,0.9288
3.0089e-009,0.9904
3.0474e-009,1.0383
3.0860e-009,1.0779
3.1246e-009,1.1198
3.1631e-009,1.1527
3.2017e-009,1.1614
3.2403e-009,1.1444
3.2789e-009,1.0818
3.3175e-009,0.9771
3.3560e-009,0.8564
3.3946e-009,0.7382
3.4332e-009,0.6273
3.4717e-009,0.5373
3.5103e-009,0.4699
3.5489e-009,0.4200
3.5875e-009,0.3831
3.6260e-009,0.3640
3.6646e-009,0.3683
3.7032e-009,0.4049
3.7418e-009,0.4829
3.7803e-009,0.5955
3.8189e-009,0.7176
3.8575e-009,0.8253
3.8961e-009,0.9136
3.9346e-009,0.9835
3.9732e-009,1.0367
4.0118e-009,1.0752
4.0504e-009,1.1016
4.0890e-009,1.1195
4.1275e-009,1.1346
4.1661e-009,1.1475
4.2047e-009,1.1574
4.2433e-009,1.1654
4.2818e-009,1.1705
4.3204e-009,1.1712
4.3590e-009,1.1695
4.3975e-009,1.1684
4.4361e-009,1.1686
4.4747e-009,1.1698
4.5133e-009,1.1711
4.5519e-009,1.1721
4.5904e-009,1.1732
4.6290e-009,1.1746
4.6676e-009,1.1754
4.7062e-009,1.1757
4.7447e-009,1.1758
4.7833e-009,1.1761
4.8219e-009,1.1762
4.8604e-009,1.1765
4.8990e-009,1.1770
4.9376e-009,1.1775
4.9762e-009,1.1777
5.0147e-009,1.1777
5.0533e-009,1.1776
5.0919e-009,1.1776
5.1305e-009,1.1776
5.1691e-009,1.1776
5.2076e-009,1.1775
5.2462e-009,1.1775
5.2848e-009,1.1776
5.3234e-009,1.1776
5.3619e-009,1.1776
5.4005e-009,1.1777
5.4391e-009,1.1777
5.4776e-009,1.1776
5.5162e-009,1.1776
5.5548e-009,1.1776
5.5934e-009,1.1777
5.6320e-009,1.1777
5.6705e-009,1.1777
5.7091e-009,1.1777
5.7477e-009,1.1777
5.7863e-009,1.1777
5.8248e-009,1.1777
5.8634e-009,1.1777
5.9020e-009,1.1782
5.9405e-009,1.1805
5.9791e-009,1.1829
6.0177e-009,1.1764
6.0563e-009,1.1454
6.0948e-009,1.0757
6.1334e-009,0.9736
6.1720e-009,0.8596
6.2106e-009,0.7465
6.2492e-009,0.6391
6.2877e-009,0.5471
6.3263e-009,0.4764
6.3649e-009,0.4266
6.4035e-009,0.3930
6.4420e-009,0.3698
6.4806e-009,0.3526
6.5192e-009,0.3405
6.5577e-009,0.3310
6.5963e-009,0.3227
6.6349e-009,0.3180
6.6735e-009,0.3180
6.7121e-009,0.3200
6.7506e-009,0.3221
6.7892e-009,0.3241
6.8278e-009,0.3259
6.8664e-009,0.3284
6.9049e-009,0.3358
6.9435e-009,0.3579
6.9821e-009,0.4080
7.0206e-009,0.4927
7.0592e-009,0.6047
7.0978e-009,0.7195
7.1364e-009,0.8183
7.1749e-009,0.8987
7.2135e-009,0.9661
7.2521e-009,1.0199
7.2907e-009,1.0603
7.3293e-009,1.1024
7.3678e-009,1.1391
7.4064e-009,1.1607
7.4450e-009,1.1559
7.4835e-009,1.1144
7.5221e-009,1.0251
7.5607e-009,0.9076
7.5993e-009,0.7877
7.6379e-009,0.6725
7.6764e-009,0.5725
7.7150e-009,0.4959
7.7536e-009,0.4397
7.7922e-009,0.3962
