.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
0.0e+000,-0.8535
3.86e-011,-0.8535
7.72e-011,-0.8535
1.157e-010,-0.8535
1.543e-010,-0.8535
1.929e-010,-0.8535
2.314e-010,-0.8535
2.700e-010,-0.8535
3.086e-010,-0.8535
3.472e-010,-0.8535
3.857e-010,-0.8535
4.243e-010,-0.8535
4.629e-010,-0.8535
5.015e-010,-0.8535
5.401e-010,-0.8535
5.786e-010,-0.8535
6.172e-010,-0.8535
6.558e-010,-0.8535
6.944e-010,-0.8535
7.329e-010,-0.8535
7.715e-010,-0.8535
8.101e-010,-0.8535
8.486e-010,-0.8535
8.872e-010,-0.8535
9.258e-010,-0.8535
9.644e-010,-0.8535
1.0029e-009,-0.8535
1.0415e-009,-0.8535
1.0801e-009,-0.8535
1.1187e-009,-0.8535
1.1572e-009,-0.8535
1.1958e-009,-0.8535
1.2344e-009,-0.8535
1.2730e-009,-0.8535
1.3115e-009,-0.8535
1.3501e-009,-0.8535
1.3887e-009,-0.8535
1.4273e-009,-0.8508
1.4658e-009,-0.8336
1.5044e-009,-0.7797
1.5430e-009,-0.6652
1.5816e-009,-0.4851
1.6202e-009,-0.2694
1.6587e-009,-0.0511
1.6973e-009,0.1598
1.7359e-009,0.3508
1.7745e-009,0.5074
1.8130e-009,0.6208
1.8516e-009,0.7038
1.8902e-009,0.7667
1.9288e-009,0.7862
1.9673e-009,0.7636
2.0059e-009,0.6807
2.0445e-009,0.5221
2.0830e-009,0.3119
2.1216e-009,0.0895
2.1602e-009,-0.1314
2.1988e-009,-0.3315
2.2374e-009,-0.4958
2.2759e-009,-0.6170
2.3145e-009,-0.7019
2.3531e-009,-0.7685
2.3916e-009,-0.7924
2.4302e-009,-0.7745
2.4688e-009,-0.7029
2.5074e-009,-0.5573
2.5459e-009,-0.3529
2.5845e-009,-0.1329
2.6231e-009,0.0894
2.6617e-009,0.2954
2.7003e-009,0.4678
2.7388e-009,0.5985
2.7774e-009,0.6906
2.8160e-009,0.7633
2.8545e-009,0.7950
2.8931e-009,0.7844
2.9317e-009,0.7226
2.9703e-009,0.5878
3.0089e-009,0.3881
3.0474e-009,0.1676
3.0860e-009,-0.0560
3.1246e-009,-0.2659
3.1631e-009,-0.4440
3.2017e-009,-0.5810
3.2403e-009,-0.6764
3.2789e-009,-0.7512
3.3175e-009,-0.7900
3.3560e-009,-0.7858
3.3946e-009,-0.7339
3.4332e-009,-0.6120
3.4717e-009,-0.4207
3.5103e-009,-0.2027
3.5489e-009,0.0201
3.5875e-009,0.2335
3.6260e-009,0.4176
3.6646e-009,0.5619
3.7032e-009,0.6642
3.7418e-009,0.7436
3.7803e-009,0.7897
3.8189e-009,0.7924
3.8575e-009,0.7495
3.8961e-009,0.6392
3.9346e-009,0.4558
3.9732e-009,0.2381
4.0118e-009,0.0142
4.0504e-009,-0.2025
4.0890e-009,-0.3920
4.1275e-009,-0.5425
4.1661e-009,-0.6498
4.2047e-009,-0.7301
4.2433e-009,-0.7831
4.2818e-009,-0.7916
4.3204e-009,-0.7569
4.3590e-009,-0.6592
4.3975e-009,-0.4866
4.4361e-009,-0.2725
4.4747e-009,-0.0503
4.5133e-009,0.1684
4.5519e-009,0.3633
4.5904e-009,0.5209
4.6290e-009,0.6355
4.6676e-009,0.7182
4.7062e-009,0.7790
4.7447e-009,0.7953
4.7833e-009,0.7685
4.8219e-009,0.6819
4.8604e-009,0.5196
4.8990e-009,0.3076
4.9376e-009,0.0854
4.9762e-009,-0.1358
5.0147e-009,-0.3359
5.0533e-009,-0.4996
5.0919e-009,-0.6204
5.1305e-009,-0.7063
5.1691e-009,-0.7717
5.2076e-009,-0.7935
5.2462e-009,-0.7735
5.2848e-009,-0.6983
5.3234e-009,-0.5483
5.3619e-009,-0.3417
5.4005e-009,-0.1211
5.4391e-009,0.1008
5.4776e-009,0.3052
5.5162e-009,0.4754
5.5548e-009,0.6038
5.5934e-009,0.6938
5.6320e-009,0.7647
5.6705e-009,0.7948
5.7091e-009,0.7823
5.7477e-009,0.7174
5.7863e-009,0.5787
5.8248e-009,0.3768
5.8634e-009,0.1561
5.9020e-009,-0.0672
5.9405e-009,-0.2761
5.9791e-009,-0.4523
6.0177e-009,-0.5870
6.0563e-009,-0.6812
6.0948e-009,-0.7556
6.1334e-009,-0.7913
6.1720e-009,-0.7848
6.2106e-009,-0.7298
6.2492e-009,-0.6040
6.2877e-009,-0.4101
6.3263e-009,-0.1915
6.3649e-009,0.0315
6.4035e-009,0.2437
6.4420e-009,0.4258
6.4806e-009,0.5679
6.5192e-009,0.6681
6.5577e-009,0.7458
6.5963e-009,0.7903
6.6349e-009,0.7911
6.6735e-009,0.7453
6.7121e-009,0.6311
6.7506e-009,0.4447
6.7892e-009,0.2265
6.8278e-009,0.0028
6.8664e-009,-0.2130
6.9049e-009,-0.4008
6.9435e-009,-0.5492
6.9821e-009,-0.6542
7.0206e-009,-0.7324
7.0592e-009,-0.7838
7.0978e-009,-0.7907
7.1364e-009,-0.7532
7.1749e-009,-0.6517
7.2135e-009,-0.4761
7.2521e-009,-0.2612
7.2907e-009,-0.0392
7.3293e-009,0.1788
7.3678e-009,0.3722
7.4064e-009,0.5277
7.4450e-009,0.6403
7.4835e-009,0.7233
7.5221e-009,0.7817
7.5607e-009,0.7955
7.5993e-009,0.7661
7.6379e-009,0.6757
7.6764e-009,0.5097
7.7150e-009,0.2964
7.7536e-009,0.0736
7.7922e-009,-0.1469
7.8307e-009,-0.3453
7.8693e-009,-0.5068
7.9079e-009,-0.6253
7.9464e-009,-0.7093
7.9850e-009,-0.7730
8.0236e-009,-0.7930
8.0622e-009,-0.7708
8.1008e-009,-0.6922
8.1393e-009,-0.5386
8.1779e-009,-0.3304
8.2165e-009,-0.1098
8.2550e-009,0.1116
8.2936e-009,0.3148
8.3322e-009,0.4830
8.3708e-009,0.6093
8.4093e-009,0.6987
8.4479e-009,0.7684
8.4865e-009,0.7957
8.5251e-009,0.7808
8.5637e-009,0.7125
8.6022e-009,0.5698
8.6408e-009,0.3658
8.6794e-009,0.1446
8.7179e-009,-0.0787
8.7565e-009,-0.2861
8.7951e-009,-0.4602
8.8337e-009,-0.5926
8.8722e-009,-0.6848
8.9108e-009,-0.7573
8.9494e-009,-0.7914
8.9880e-009,-0.7829
9.0266e-009,-0.7249
9.0651e-009,-0.5952
9.1037e-009,-0.3990
9.1423e-009,-0.1802
9.1808e-009,0.0426
9.2194e-009,0.2538
9.2580e-009,0.4342
9.2966e-009,0.5741
9.3352e-009,0.6728
9.3737e-009,0.7505
9.4123e-009,0.7919
9.4509e-009,0.7904
9.4895e-009,0.7416
9.5280e-009,0.6234
9.5666e-009,0.4340
9.6052e-009,0.2152
9.6437e-009,-0.0088
9.6823e-009,-0.2235
9.7209e-009,-0.4094
9.7595e-009,-0.5556
9.7981e-009,-0.6588
9.8366e-009,-0.7373
9.8752e-009,-0.7858
9.9138e-009,-0.7902
9.9524e-009,-0.7502
9.9909e-009,-0.6448
1.00295e-008,-0.4658
1.00681e-008,-0.2501
1.01066e-008,-0.0276
1.01452e-008,0.1896
1.01838e-008,0.3812
1.02224e-008,0.5346
1.02610e-008,0.6449
1.02995e-008,0.7259
1.03381e-008,0.7827
1.03767e-008,0.7946
1.04152e-008,0.7628
1.04538e-008,0.6687
1.04924e-008,0.4992
1.05310e-008,0.2850
1.05695e-008,0.0623
1.06081e-008,-0.1577
1.06467e-008,-0.3545
1.06853e-008,-0.5141
1.07239e-008,-0.6304
