.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
0.0e+000,0.3224
3.86e-011,0.3224
7.72e-011,0.3224
1.157e-010,0.3224
1.543e-010,0.3224
1.929e-010,0.3224
2.314e-010,0.3224
2.700e-010,0.3224
3.086e-010,0.3224
3.472e-010,0.3224
3.857e-010,0.3224
4.243e-010,0.3224
4.629e-010,0.3224
5.015e-010,0.3224
5.401e-010,0.3224
5.786e-010,0.3224
6.172e-010,0.3224
6.558e-010,0.3224
6.944e-010,0.3224
7.329e-010,0.3224
7.715e-010,0.3224
8.101e-010,0.3224
8.486e-010,0.3224
8.872e-010,0.3224
9.258e-010,0.3224
9.644e-010,0.3224
1.0029e-009,0.3224
1.0415e-009,0.3224
1.0801e-009,0.3224
1.1187e-009,0.3224
1.1572e-009,0.3224
1.1958e-009,0.3224
1.2344e-009,0.3224
1.2730e-009,0.3224
1.3115e-009,0.3224
1.3501e-009,0.3225
1.3887e-009,0.3235
1.4273e-009,0.3294
1.4658e-009,0.3472
1.5044e-009,0.3887
1.5430e-009,0.4613
1.5816e-009,0.5617
1.6202e-009,0.6742
1.6587e-009,0.7785
1.6973e-009,0.8716
1.7359e-009,0.9528
1.7745e-009,1.0183
1.8130e-009,1.0647
1.8516e-009,1.1014
1.8902e-009,1.1357
1.9288e-009,1.1520
1.9673e-009,1.1533
2.0059e-009,1.1277
2.0445e-009,1.0597
2.0830e-009,0.9592
2.1216e-009,0.8428
2.1602e-009,0.7200
2.1988e-009,0.6064
2.2374e-009,0.5126
2.2759e-009,0.4431
2.3145e-009,0.3957
2.3531e-009,0.3640
2.3916e-009,0.3594
2.4302e-009,0.3825
2.4688e-009,0.4359
2.5074e-009,0.5224
2.5459e-009,0.6309
2.5845e-009,0.7377
2.6231e-009,0.8373
2.6617e-009,0.9261
2.7003e-009,0.9994
2.7388e-009,1.0544
2.7774e-009,1.0939
2.8160e-009,1.1310
2.8545e-009,1.1525
2.8931e-009,1.1589
2.9317e-009,1.1441
2.9703e-009,1.0894
3.0089e-009,0.9957
3.0474e-009,0.8835
3.0860e-009,0.7611
3.1246e-009,0.6427
3.1631e-009,0.5415
3.2017e-009,0.4633
3.2403e-009,0.4093
3.2789e-009,0.3716
3.3175e-009,0.3579
3.3560e-009,0.3719
3.3946e-009,0.4149
3.4332e-009,0.4914
3.4717e-009,0.5958
