.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
0.0e+000,1.1760
3.86e-011,1.1760
7.72e-011,1.1760
1.157e-010,1.1760
1.543e-010,1.1760
1.929e-010,1.1760
2.314e-010,1.1760
2.700e-010,1.1760
3.086e-010,1.1760
3.472e-010,1.1760
3.857e-010,1.1760
4.243e-010,1.1760
4.629e-010,1.1760
5.015e-010,1.1760
5.401e-010,1.1760
5.786e-010,1.1760
6.172e-010,1.1760
6.558e-010,1.1760
6.944e-010,1.1760
7.329e-010,1.1760
7.715e-010,1.1760
8.101e-010,1.1760
8.486e-010,1.1760
8.872e-010,1.1760
9.258e-010,1.1760
9.644e-010,1.1760
1.0029e-009,1.1760
1.0415e-009,1.1760
1.0801e-009,1.1760
1.1187e-009,1.1760
1.1572e-009,1.1760
1.1958e-009,1.1760
1.2344e-009,1.1760
1.2730e-009,1.1760
1.3115e-009,1.1760
1.3501e-009,1.1760
1.3887e-009,1.1770
1.4273e-009,1.1802
1.4658e-009,1.1808
1.5044e-009,1.1684
1.5430e-009,1.1265
1.5816e-009,1.0468
1.6202e-009,0.9436
1.6587e-009,0.8296
1.6973e-009,0.7118
1.7359e-009,0.6020
1.7745e-009,0.5110
1.8130e-009,0.4439
1.8516e-009,0.3976
1.8902e-009,0.3690
1.9288e-009,0.3658
1.9673e-009,0.3897
2.0059e-009,0.4470
2.0445e-009,0.5376
2.0830e-009,0.6473
2.1216e-009,0.7533
2.1602e-009,0.8513
2.1988e-009,0.9379
2.2374e-009,1.0084
2.2759e-009,1.0601
2.3145e-009,1.0975
2.3531e-009,1.1325
2.3916e-009,1.1518
2.4302e-009,1.1570
2.4688e-009,1.1389
2.5074e-009,1.0797
2.5459e-009,0.9838
2.5845e-009,0.8706
2.6231e-009,0.7479
2.6617e-009,0.6306
2.7003e-009,0.5316
2.7388e-009,0.4559
2.7774e-009,0.4033
2.8160e-009,0.3677
2.8545e-009,0.3575
2.8931e-009,0.3745
2.9317e-009,0.4214
2.9703e-009,0.5015
3.0089e-009,0.6076
3.0474e-009,0.7159
3.0860e-009,0.8171
3.1246e-009,0.9086
3.1631e-009,0.9855
3.2017e-009,1.0442
3.2403e-009,1.0857
3.2789e-009,1.1228
3.3175e-009,1.1479
3.3560e-009,1.1576
3.3946e-009,1.1488
3.4332e-009,1.1035
3.4717e-009,1.0166
3.5103e-009,0.9075
3.5489e-009,0.7866
3.5875e-009,0.6659
3.6260e-009,0.5605
3.6646e-009,0.4772
3.7032e-009,0.4181
3.7418e-009,0.3767
3.7803e-009,0.3578
3.8189e-009,0.3661
3.8575e-009,0.4029
3.8961e-009,0.4725
3.9346e-009,0.5724
3.9732e-009,0.6824
4.0118e-009,0.7860
4.0504e-009,0.8811
4.0890e-009,0.9631
4.1275e-009,1.0278
4.1661e-009,1.0740
4.2047e-009,1.1116
4.2433e-009,1.1421
4.2818e-009,1.1561
4.3204e-009,1.1546
4.3590e-009,1.1227
4.3975e-009,1.0476
4.4361e-009,0.9436
4.4747e-009,0.8256
4.5133e-009,0.7030
4.5519e-009,0.5917
4.5904e-009,0.5010
4.6290e-009,0.4344
4.6676e-009,0.3887
4.7062e-009,0.3612
4.7447e-009,0.3609
4.7833e-009,0.3882
4.8219e-009,0.4471
4.8604e-009,0.5385
4.8990e-009,0.6482
4.9376e-009,0.7539
4.9762e-009,0.8521
5.0147e-009,0.9389
5.0533e-009,1.0094
5.0919e-009,1.0612
5.1305e-009,1.0998
5.1691e-009,1.1348
5.2076e-009,1.1532
5.2462e-009,1.1574
5.2848e-009,1.1374
5.3234e-009,1.0758
5.3619e-009,0.9783
5.4005e-009,0.8641
5.4391e-009,0.7412
5.4776e-009,0.6249
5.5162e-009,0.5272
5.5548e-009,0.4529
5.5934e-009,0.4015
5.6320e-009,0.3670
5.6705e-009,0.3580
5.7091e-009,0.3764
5.7477e-009,0.4248
5.7863e-009,0.5064
5.8248e-009,0.6132
5.8634e-009,0.7212
5.9020e-009,0.8221
5.9405e-009,0.9131
5.9791e-009,0.9890
6.0177e-009,1.0468
6.0563e-009,1.0880
6.0948e-009,1.1254
6.1334e-009,1.1490
6.1720e-009,1.1579
6.2106e-009,1.1476
6.2492e-009,1.1001
6.2877e-009,1.0116
6.3263e-009,0.9017
6.3649e-009,0.7801
6.4035e-009,0.6601
6.4420e-009,0.5558
6.4806e-009,0.4737
6.5192e-009,0.4158
6.5577e-009,0.3755
6.5963e-009,0.3578
6.6349e-009,0.3675
6.6735e-009,0.4059
6.7121e-009,0.4771
6.7506e-009,0.5781
6.7892e-009,0.6879
6.8278e-009,0.7911
6.8664e-009,0.8857
6.9049e-009,0.9669
6.9435e-009,1.0306
6.9821e-009,1.0758
7.0206e-009,1.1127
7.0592e-009,1.1427
7.0978e-009,1.1562
7.1364e-009,1.1536
7.1749e-009,1.1197
7.2135e-009,1.0427
7.2521e-009,0.9378
7.2907e-009,0.8194
7.3293e-009,0.6970
7.3678e-009,0.5865
7.4064e-009,0.4970
7.4450e-009,0.4316
7.4835e-009,0.3864
7.5221e-009,0.3603
7.5607e-009,0.3614
7.5993e-009,0.3903
7.6379e-009,0.4510
7.6764e-009,0.5439
7.7150e-009,0.6538
7.7536e-009,0.7592
7.7922e-009,0.8570
7.8307e-009,0.9429
7.8693e-009,1.0125
7.9079e-009,1.0633
7.9464e-009,1.1010
7.9850e-009,1.1354
8.0236e-009,1.1535
8.0622e-009,1.1569
8.1008e-009,1.1351
8.1393e-009,1.0713
8.1779e-009,0.9727
8.2165e-009,0.8580
8.2550e-009,0.7351
8.2936e-009,0.6195
8.3322e-009,0.5228
8.3708e-009,0.4497
8.4093e-009,0.3990
8.4479e-009,0.3656
8.4865e-009,0.3581
8.5251e-009,0.3779
8.5637e-009,0.4281
8.6022e-009,0.5114
8.6408e-009,0.6190
8.6794e-009,0.7266
8.7179e-009,0.8271
8.7565e-009,0.9174
8.7951e-009,0.9925
8.8337e-009,1.0492
8.8722e-009,1.0895
8.9108e-009,1.1262
8.9494e-009,1.1495
8.9880e-009,1.1578
9.0266e-009,1.1461
9.0651e-009,1.0963
9.1037e-009,1.0061
9.1423e-009,0.8957
9.1808e-009,0.7740
9.2194e-009,0.6543
9.2580e-009,0.5509
9.2966e-009,0.4701
9.3352e-009,0.4132
9.3737e-009,0.3736
9.4123e-009,0.3574
9.4509e-009,0.3685
9.4895e-009,0.4085
9.5280e-009,0.4816
9.5666e-009,0.5838
9.6052e-009,0.6934
9.6437e-009,0.7962
9.6823e-009,0.8903
9.7209e-009,0.9706
9.7595e-009,1.0334
9.7981e-009,1.0779
9.8366e-009,1.1154
9.8752e-009,1.1442
9.9138e-009,1.1568
9.9524e-009,1.1531
9.9909e-009,1.1170
1.00295e-008,1.0379
1.00681e-008,0.9321
1.01066e-008,0.8130
1.01452e-008,0.6909
1.01838e-008,0.5814
1.02224e-008,0.4930
1.02610e-008,0.4290
1.02995e-008,0.3849
1.03381e-008,0.3600
