.HEADER
..NAMES
Time,V U2.C7&B7
.DATA
0.0e+000,-0.8543
3.86e-011,-0.8543
7.72e-011,-0.8543
1.157e-010,-0.8543
1.543e-010,-0.8543
1.929e-010,-0.8543
2.314e-010,-0.8543
2.700e-010,-0.8543
3.086e-010,-0.8543
3.472e-010,-0.8543
3.857e-010,-0.8543
4.243e-010,-0.8543
4.629e-010,-0.8543
5.015e-010,-0.8543
5.401e-010,-0.8543
5.786e-010,-0.8543
6.172e-010,-0.8543
6.558e-010,-0.8543
6.944e-010,-0.8543
7.329e-010,-0.8543
7.715e-010,-0.8543
8.101e-010,-0.8543
8.486e-010,-0.8543
8.872e-010,-0.8543
9.258e-010,-0.8543
9.644e-010,-0.8543
1.0029e-009,-0.8543
1.0415e-009,-0.8543
1.0801e-009,-0.8543
1.1187e-009,-0.8543
1.1572e-009,-0.8543
1.1958e-009,-0.8543
1.2344e-009,-0.8543
1.2730e-009,-0.8543
1.3115e-009,-0.8543
1.3501e-009,-0.8543
1.3887e-009,-0.8541
1.4273e-009,-0.8509
1.4658e-009,-0.8339
1.5044e-009,-0.7814
1.5430e-009,-0.6695
1.5816e-009,-0.4919
1.6202e-009,-0.2764
1.6587e-009,-0.0598
1.6973e-009,0.1450
1.7359e-009,0.3350
1.7745e-009,0.4966
1.8130e-009,0.6128
1.8516e-009,0.6932
1.8902e-009,0.7563
1.9288e-009,0.7871
1.9673e-009,0.7655
2.0059e-009,0.6792
2.0445e-009,0.5225
2.0830e-009,0.3152
2.1216e-009,0.0891
2.1602e-009,-0.1275
2.1988e-009,-0.3215
2.2374e-009,-0.4888
2.2759e-009,-0.6145
2.3145e-009,-0.7000
2.3531e-009,-0.7617
2.3916e-009,-0.7924
2.4302e-009,-0.7769
2.4688e-009,-0.7020
2.5074e-009,-0.5581
2.5459e-009,-0.3589
2.5845e-009,-0.1345
2.6231e-009,0.0856
2.6617e-009,0.2853
2.7003e-009,0.4590
2.7388e-009,0.5943
2.7774e-009,0.6871
2.8160e-009,0.7552
2.8545e-009,0.7946
2.8931e-009,0.7888
2.9317e-009,0.7239
2.9703e-009,0.5879
3.0089e-009,0.3923
3.0474e-009,0.1679
3.0860e-009,-0.0547
3.1246e-009,-0.2573
3.1631e-009,-0.4356
3.2017e-009,-0.5775
3.2403e-009,-0.6751
3.2789e-009,-0.7453
3.3175e-009,-0.7880
3.3560e-009,-0.7882
3.3946e-009,-0.7337
3.4332e-009,-0.6113
3.4717e-009,-0.4258
3.5103e-009,-0.2054
3.5489e-009,0.0185
3.5875e-009,0.2249
3.6260e-009,0.4077
3.6646e-009,0.5568
3.7032e-009,0.6612
