.HEADER
..NAMES
Time,V U3.C7&B7
.DATA
0.0e+000,1.1778
3.86e-011,1.1778
7.72e-011,1.1778
1.157e-010,1.1778
1.543e-010,1.1778
1.929e-010,1.1778
2.314e-010,1.1778
2.700e-010,1.1778
3.086e-010,1.1778
3.472e-010,1.1778
3.857e-010,1.1778
4.243e-010,1.1778
4.629e-010,1.1778
5.015e-010,1.1778
5.401e-010,1.1778
5.786e-010,1.1778
6.172e-010,1.1778
6.558e-010,1.1778
6.944e-010,1.1778
7.329e-010,1.1778
7.715e-010,1.1778
8.101e-010,1.1778
8.486e-010,1.1778
8.872e-010,1.1778
9.258e-010,1.1778
9.644e-010,1.1778
1.0029e-009,1.1778
1.0415e-009,1.1778
1.0801e-009,1.1778
1.1187e-009,1.1778
1.1572e-009,1.1778
1.1958e-009,1.1778
1.2344e-009,1.1780
1.2730e-009,1.1804
1.3115e-009,1.1840
1.3501e-009,1.1805
1.3887e-009,1.1561
1.4273e-009,1.0923
1.4658e-009,0.9915
1.5044e-009,0.8752
1.5430e-009,0.7502
1.5816e-009,0.6352
1.6202e-009,0.5429
1.6587e-009,0.4735
1.6973e-009,0.4232
1.7359e-009,0.3836
1.7745e-009,0.3666
1.8130e-009,0.3741
1.8516e-009,0.4162
1.8902e-009,0.4982
1.9288e-009,0.6164
1.9673e-009,0.7368
2.0059e-009,0.8380
2.0445e-009,0.9227
2.0830e-009,0.9874
2.1216e-009,1.0347
2.1602e-009,1.0741
2.1988e-009,1.1192
2.2374e-009,1.1575
2.2759e-009,1.1693
2.3145e-009,1.1637
2.3531e-009,1.1165
2.3916e-009,1.0136
2.4302e-009,0.8932
2.4688e-009,0.7679
2.5074e-009,0.6464
2.5459e-009,0.5477
2.5845e-009,0.4756
2.6231e-009,0.4260
2.6617e-009,0.3883
2.7003e-009,0.3637
2.7388e-009,0.3662
2.7774e-009,0.3969
2.8160e-009,0.4635
2.8545e-009,0.5728
2.8931e-009,0.6998
2.9317e-009,0.8081
2.9703e-009,0.8990
3.0089e-009,0.9714
3.0474e-009,1.0227
3.0860e-009,1.0624
3.1246e-009,1.1032
3.1631e-009,1.1492
3.2017e-009,1.1670
3.2403e-009,1.1685
3.2789e-009,1.1376
3.3175e-009,1.0505
3.3560e-009,0.9314
3.3946e-009,0.8080
