.HEADER
..NAMES
Time,V U5.C7&B7
.DATA
0.0e+000,-0.8545
3.86e-011,-0.8545
7.72e-011,-0.8545
1.157e-010,-0.8545
1.543e-010,-0.8545
1.929e-010,-0.8545
2.314e-010,-0.8545
2.700e-010,-0.8545
3.086e-010,-0.8545
3.472e-010,-0.8545
3.857e-010,-0.8545
4.243e-010,-0.8545
4.629e-010,-0.8545
5.015e-010,-0.8545
5.401e-010,-0.8545
5.786e-010,-0.8545
6.172e-010,-0.8545
6.558e-010,-0.8545
6.944e-010,-0.8545
7.329e-010,-0.8545
7.715e-010,-0.8545
8.101e-010,-0.8545
8.486e-010,-0.8545
8.872e-010,-0.8545
9.258e-010,-0.8545
9.644e-010,-0.8545
1.0029e-009,-0.8543
1.0415e-009,-0.8507
1.0801e-009,-0.8318
1.1187e-009,-0.7753
1.1572e-009,-0.6573
1.1958e-009,-0.4728
1.2344e-009,-0.2504
1.2730e-009,-0.0263
1.3115e-009,0.1799
1.3501e-009,0.3589
1.3887e-009,0.5064
1.4273e-009,0.6190
1.4658e-009,0.7033
1.5044e-009,0.7621
1.5430e-009,0.7863
1.5816e-009,0.7624
1.6202e-009,0.6662
1.6587e-009,0.4881
1.6973e-009,0.2628
1.7359e-009,0.0321
1.7745e-009,-0.1820
1.8130e-009,-0.3648
1.8516e-009,-0.5146
1.8902e-009,-0.6299
1.9288e-009,-0.7124
1.9673e-009,-0.7689
2.0059e-009,-0.7946
2.0445e-009,-0.7762
2.0830e-009,-0.6926
2.1216e-009,-0.5271
2.1602e-009,-0.3052
2.1988e-009,-0.0718
2.2374e-009,0.1484
2.2759e-009,0.3393
2.3145e-009,0.4952
2.3531e-009,0.6164
2.3916e-009,0.7027
2.4302e-009,0.7626
2.4688e-009,0.7938
2.5074e-009,0.7844
2.5459e-009,0.7122
2.5845e-009,0.5583
2.6231e-009,0.3416
2.6617e-009,0.1077
2.7003e-009,-0.1146
2.7388e-009,-0.3091
2.7774e-009,-0.4704
2.8160e-009,-0.5984
2.8545e-009,-0.6906
