.HEADER
..NAMES
Time,V U5.C7&B7
.DATA
0.0e+000,0.3221
3.86e-011,0.3221
7.72e-011,0.3221
1.157e-010,0.3221
1.543e-010,0.3221
1.929e-010,0.3221
2.314e-010,0.3221
2.700e-010,0.3221
3.086e-010,0.3221
3.472e-010,0.3221
3.857e-010,0.3221
4.243e-010,0.3221
4.629e-010,0.3221
5.015e-010,0.3221
5.401e-010,0.3221
5.786e-010,0.3221
6.172e-010,0.3221
6.558e-010,0.3221
6.944e-010,0.3221
7.329e-010,0.3221
7.715e-010,0.3221
8.101e-010,0.3221
8.486e-010,0.3221
8.872e-010,0.3221
9.258e-010,0.3221
9.644e-010,0.3221
1.0029e-009,0.3234
1.0415e-009,0.3296
1.0801e-009,0.3483
1.1187e-009,0.3909
1.1572e-009,0.4651
1.1958e-009,0.5679
1.2344e-009,0.6822
1.2730e-009,0.7875
1.3115e-009,0.8771
1.3501e-009,0.9522
1.3887e-009,1.0141
1.4273e-009,1.0620
1.4658e-009,1.1025
1.5044e-009,1.1353
1.5430e-009,1.1550
1.5816e-009,1.1567
1.6202e-009,1.1252
1.6587e-009,1.0490
1.6973e-009,0.9433
1.7359e-009,0.8226
1.7745e-009,0.6995
1.8130e-009,0.5903
1.8516e-009,0.5009
1.8902e-009,0.4341
1.9288e-009,0.3919
1.9673e-009,0.3680
2.0059e-009,0.3625
2.0445e-009,0.3849
2.0830e-009,0.4434
2.1216e-009,0.5393
2.1602e-009,0.6574
2.1988e-009,0.7711
2.2374e-009,0.8681
2.2759e-009,0.9481
2.3145e-009,1.0131
2.3531e-009,1.0633
2.3916e-009,1.1022
2.4302e-009,1.1340
2.4688e-009,1.1556
2.5074e-009,1.1629
2.5459e-009,1.1437
2.5845e-009,1.0806
2.6231e-009,0.9807
2.6617e-009,0.8627
2.7003e-009,0.7383
2.7388e-009,0.6232
2.7774e-009,0.5270
2.8160e-009,0.4516
2.8545e-009,0.4017
2.8931e-009,0.3727
2.9317e-009,0.3613
2.9703e-009,0.3743
3.0089e-009,0.4210
3.0474e-009,0.5059
3.0860e-009,0.6199
3.1246e-009,0.7373
3.1631e-009,0.8398
3.2017e-009,0.9246
3.2403e-009,0.9941
3.2789e-009,1.0491
3.3175e-009,1.0908
3.3560e-009,1.1253
3.3946e-009,1.1503
3.4332e-009,1.1627
3.4717e-009,1.1541
3.5103e-009,1.1056
3.5489e-009,1.0149
3.5875e-009,0.9012
3.6260e-009,0.7771
3.6646e-009,0.6576
3.7032e-009,0.5553
3.7418e-009,0.4728
3.7803e-009,0.4152
3.8189e-009,0.3805
3.8575e-009,0.3633
3.8961e-009,0.3673
3.9346e-009,0.4024
3.9732e-009,0.4752
4.0118e-009,0.5822
4.0504e-009,0.7015
4.0890e-009,0.8092
4.1275e-009,0.8994
4.1661e-009,0.9736
4.2047e-009,1.0334
4.2433e-009,1.0788
4.2818e-009,1.1155
4.3204e-009,1.1437
4.3590e-009,1.1606
4.3975e-009,1.1603
4.4361e-009,1.1261
4.4747e-009,1.0470
4.5133e-009,0.9389
4.5519e-009,0.8166
4.5904e-009,0.6939
4.6290e-009,0.5855
4.6676e-009,0.4966
4.7062e-009,0.4305
4.7447e-009,0.3894
4.7833e-009,0.3668
4.8219e-009,0.3630
4.8604e-009,0.3874
4.8990e-009,0.4479
4.9376e-009,0.5456
4.9762e-009,0.6642
5.0147e-009,0.7769
5.0533e-009,0.8727
5.0919e-009,0.9518
5.1305e-009,1.0160
5.1691e-009,1.0657
5.2076e-009,1.1047
5.2462e-009,1.1361
