.HEADER
..NAMES
Time,V U3.N8
.DATA
0.0e+000,0.3305
3.67e-011,0.3305
7.33e-011,0.3305
1.100e-010,0.3305
1.467e-010,0.3305
1.834e-010,0.3305
2.201e-010,0.3305
2.567e-010,0.3305
2.934e-010,0.3305
3.301e-010,0.3305
3.667e-010,0.3305
4.034e-010,0.3305
4.401e-010,0.3305
4.768e-010,0.3305
5.135e-010,0.3305
5.501e-010,0.3305
5.868e-010,0.3305
6.235e-010,0.3305
6.601e-010,0.3305
6.968e-010,0.3306
7.335e-010,0.3315
7.702e-010,0.3346
8.068e-010,0.3431
8.435e-010,0.3617
8.802e-010,0.3948
9.169e-010,0.4452
9.536e-010,0.5127
9.902e-010,0.5943
1.0269e-009,0.6839
1.0636e-009,0.7723
1.1003e-009,0.8486
1.1369e-009,0.9052
1.1736e-009,0.9401
1.2103e-009,0.9558
1.2469e-009,0.9578
1.2836e-009,0.9537
1.3203e-009,0.9516
1.3570e-009,0.9579
1.3936e-009,0.9744
1.4303e-009,0.9986
1.4670e-009,1.0254
1.5037e-009,1.0495
1.5403e-009,1.0669
1.5770e-009,1.0762
1.6137e-009,1.0781
1.6504e-009,1.0755
1.6871e-009,1.0724
1.7237e-009,1.0720
1.7604e-009,1.0731
1.7971e-009,1.0698
1.8338e-009,1.0537
1.8704e-009,1.0182
1.9071e-009,0.9597
1.9438e-009,0.8780
1.9805e-009,0.7782
2.0171e-009,0.6726
2.0538e-009,0.5775
2.0905e-009,0.5051
2.1272e-009,0.4608
2.1638e-009,0.4438
2.2005e-009,0.4484
2.2372e-009,0.4643
2.2738e-009,0.4789
2.3105e-009,0.4826
2.3472e-009,0.4714
2.3839e-009,0.4472
2.4205e-009,0.4164
2.4572e-009,0.3867
2.4939e-009,0.3641
2.5306e-009,0.3518
2.5672e-009,0.3498
2.6039e-009,0.3552
2.6406e-009,0.3634
2.6773e-009,0.3718
2.7139e-009,0.3831
2.7506e-009,0.4036
2.7873e-009,0.4399
2.8240e-009,0.4958
2.8606e-009,0.5721
2.8973e-009,0.6653
2.9340e-009,0.7654
2.9707e-009,0.8570
3.0073e-009,0.9261
3.0440e-009,0.9667
3.0807e-009,0.9803
3.1174e-009,0.9731
3.1540e-009,0.9552
3.1907e-009,0.9390
3.2274e-009,0.9347
3.2641e-009,0.9470
3.3007e-009,0.9737
3.3374e-009,1.0073
3.3741e-009,1.0388
3.4108e-009,1.0617
3.4475e-009,1.0729
3.4841e-009,1.0729
3.5208e-009,1.0653
3.5575e-009,1.0566
3.5942e-009,1.0529
3.6308e-009,1.0557
3.6675e-009,1.0604
3.7042e-009,1.0580
3.7408e-009,1.0391
3.7775e-009,0.9971
3.8142e-009,0.9286
3.8509e-009,0.8356
3.8875e-009,0.7281
3.9242e-009,0.6225
3.9609e-009,0.5344
3.9976e-009,0.4735
4.0342e-009,0.4424
4.0709e-009,0.4379
4.1076e-009,0.4514
4.1443e-009,0.4704
4.1809e-009,0.4830
4.2176e-009,0.4816
4.2543e-009,0.4648
4.2910e-009,0.4369
4.3276e-009,0.4055
4.3643e-009,0.3777
4.4010e-009,0.3583
4.4377e-009,0.3496
4.4743e-009,0.3506
4.5110e-009,0.3576
4.5477e-009,0.3673
4.5844e-009,0.3800
4.6211e-009,0.4003
4.6577e-009,0.4340
4.6944e-009,0.4853
4.7311e-009,0.5557
4.7678e-009,0.6435
4.8044e-009,0.7411
4.8411e-009,0.8352
4.8778e-009,0.9110
4.9145e-009,0.9601
4.9511e-009,0.9818
4.9878e-009,0.9806
5.0245e-009,0.9649
5.0612e-009,0.9465
5.0978e-009,0.9367
5.1345e-009,0.9423
5.1712e-009,0.9637
5.2079e-009,0.9950
5.2445e-009,1.0279
5.2812e-009,1.0546
5.3179e-009,1.0706
5.3546e-009,1.0750
5.3912e-009,1.0701
5.4279e-009,1.0612
5.4646e-009,1.0549
5.5013e-009,1.0542
5.5379e-009,1.0564
5.5746e-009,1.0537
5.6113e-009,1.0369
5.6480e-009,0.9989
5.6846e-009,0.9355
5.7213e-009,0.8473
5.7580e-009,0.7424
5.7947e-009,0.6363
5.8313e-009,0.5453
5.8680e-009,0.4800
5.9047e-009,0.4445
5.9414e-009,0.4365
5.9780e-009,0.4481
6.0147e-009,0.4670
6.0514e-009,0.4808
6.0881e-009,0.4812
6.1247e-009,0.4659
6.1614e-009,0.4387
6.1981e-009,0.4071
6.2348e-009,0.3786
6.2714e-009,0.3585
6.3081e-009,0.3493
6.3448e-009,0.3502
6.3815e-009,0.3563
6.4181e-009,0.3619
6.4548e-009,0.3625
6.4915e-009,0.3569
6.5282e-009,0.3464
6.5648e-009,0.3342
6.6015e-009,0.3240
6.6382e-009,0.3192
6.6749e-009,0.3209
6.7115e-009,0.3276
6.7482e-009,0.3360
6.7849e-009,0.3423
6.8215e-009,0.3442
6.8582e-009,0.3408
6.8949e-009,0.3335
6.9316e-009,0.3245
6.9682e-009,0.3166
7.0049e-009,0.3121
7.0416e-009,0.3119
7.0783e-009,0.3152
7.1149e-009,0.3201
7.1516e-009,0.3244
7.1883e-009,0.3266
7.2250e-009,0.3262
7.2616e-009,0.3238
7.2983e-009,0.3214
7.3350e-009,0.3226
7.3717e-009,0.3324
