.HEADER
..NAMES
Time,V U4.M3
.DATA
0.0e+000,1.0898
3.67e-011,1.0898
7.33e-011,1.0898
1.100e-010,1.0898
1.467e-010,1.0898
1.834e-010,1.0898
2.201e-010,1.0898
2.567e-010,1.0898
2.934e-010,1.0898
3.301e-010,1.0898
3.667e-010,1.0898
4.034e-010,1.0898
4.401e-010,1.0898
4.768e-010,1.0898
5.135e-010,1.0898
5.501e-010,1.0899
5.868e-010,1.0901
6.235e-010,1.0908
6.601e-010,1.0921
6.968e-010,1.0933
7.335e-010,1.0910
7.702e-010,1.0784
8.068e-010,1.0465
8.435e-010,0.9892
8.802e-010,0.9060
9.169e-010,0.8039
9.536e-010,0.6960
9.902e-010,0.5987
1.0269e-009,0.5245
1.0636e-009,0.4784
1.1003e-009,0.4583
1.1369e-009,0.4563
1.1736e-009,0.4616
1.2103e-009,0.4652
1.2469e-009,0.4631
1.2836e-009,0.4555
1.3203e-009,0.4456
1.3570e-009,0.4373
1.3936e-009,0.4332
1.4303e-009,0.4328
1.4670e-009,0.4333
1.5037e-009,0.4307
1.5403e-009,0.4224
1.5770e-009,0.4072
1.6137e-009,0.3867
1.6504e-009,0.3642
1.6871e-009,0.3443
1.7237e-009,0.3313
1.7604e-009,0.3269
1.7971e-009,0.3307
1.8338e-009,0.3390
1.8704e-009,0.3470
1.9071e-009,0.3506
1.9438e-009,0.3477
1.9805e-009,0.3394
2.0171e-009,0.3289
2.0538e-009,0.3200
2.0905e-009,0.3154
2.1272e-009,0.3159
2.1638e-009,0.3200
2.2005e-009,0.3248
2.2372e-009,0.3278
2.2738e-009,0.3274
2.3105e-009,0.3239
2.3472e-009,0.3188
2.3839e-009,0.3145
2.4205e-009,0.3125
2.4572e-009,0.3134
2.4939e-009,0.3167
2.5306e-009,0.3211
2.5672e-009,0.3252
2.6039e-009,0.3279
2.6406e-009,0.3291
2.6773e-009,0.3289
2.7139e-009,0.3280
2.7506e-009,0.3273
2.7873e-009,0.3273
2.8240e-009,0.3282
2.8606e-009,0.3295
2.8973e-009,0.3306
2.9340e-009,0.3308
2.9707e-009,0.3297
3.0073e-009,0.3277
3.0440e-009,0.3255
3.0807e-009,0.3239
3.1174e-009,0.3234
3.1540e-009,0.3243
3.1907e-009,0.3260
3.2274e-009,0.3278
3.2641e-009,0.3290
3.3007e-009,0.3293
3.3374e-009,0.3287
3.3741e-009,0.3277
3.4108e-009,0.3271
3.4475e-009,0.3279
3.4841e-009,0.3320
3.5208e-009,0.3433
3.5575e-009,0.3681
3.5942e-009,0.4127
3.6308e-009,0.4803
3.6675e-009,0.5672
3.7042e-009,0.6636
3.7408e-009,0.7566
3.7775e-009,0.8342
3.8142e-009,0.8889
3.8509e-009,0.9207
3.8875e-009,0.9353
3.9242e-009,0.9403
3.9609e-009,0.9429
3.9976e-009,0.9481
4.0342e-009,0.9568
4.0709e-009,0.9668
4.1076e-009,0.9754
4.1443e-009,0.9808
4.1809e-009,0.9830
4.2176e-009,0.9837
4.2543e-009,0.9862
4.2910e-009,0.9930
4.3276e-009,1.0053
4.3643e-009,1.0223
4.4010e-009,1.0417
4.4377e-009,1.0604
4.4743e-009,1.0749
4.5110e-009,1.0830
4.5477e-009,1.0841
4.5844e-009,1.0800
4.6211e-009,1.0743
4.6577e-009,1.0707
4.6944e-009,1.0717
4.7311e-009,1.0775
4.7678e-009,1.0861
4.8044e-009,1.0943
4.8411e-009,1.0996
4.8778e-009,1.1009
4.9145e-009,1.0987
4.9511e-009,1.0951
4.9878e-009,1.0924
5.0245e-009,1.0920
5.0612e-009,1.0943
5.0978e-009,1.0983
5.1345e-009,1.1023
5.1712e-009,1.1048
5.2079e-009,1.1049
5.2445e-009,1.1030
5.2812e-009,1.1003
5.3179e-009,1.0979
5.3546e-009,1.0968
5.3912e-009,1.0958
5.4279e-009,1.0905
5.4646e-009,1.0727
5.5013e-009,1.0331
5.5379e-009,0.9668
5.5746e-009,0.8759
5.6113e-009,0.7696
5.6480e-009,0.6632
5.6846e-009,0.5727
5.7213e-009,0.5085
5.7580e-009,0.4727
5.7947e-009,0.4607
5.8313e-009,0.4627
5.8680e-009,0.4680
5.9047e-009,0.4689
5.9414e-009,0.4632
5.9780e-009,0.4531
6.0147e-009,0.4425
6.0514e-009,0.4352
6.0881e-009,0.4330
