.HEADER
..NAMES
Time,V U2.L3
.DATA
0.0e+000,1.0887
3.67e-011,1.0887
7.33e-011,1.0887
1.100e-010,1.0887
1.467e-010,1.0887
1.834e-010,1.0887
2.201e-010,1.0887
2.567e-010,1.0887
2.934e-010,1.0887
3.301e-010,1.0887
3.667e-010,1.0887
4.034e-010,1.0887
4.401e-010,1.0887
4.768e-010,1.0887
5.135e-010,1.0887
5.501e-010,1.0887
5.868e-010,1.0887
6.235e-010,1.0887
6.601e-010,1.0887
6.968e-010,1.0887
7.335e-010,1.0887
7.702e-010,1.0888
8.068e-010,1.0891
8.435e-010,1.0898
8.802e-010,1.0904
9.169e-010,1.0896
9.536e-010,1.0846
9.902e-010,1.0713
1.0269e-009,1.0457
1.0636e-009,1.0044
1.1003e-009,0.9447
1.1369e-009,0.8661
1.1736e-009,0.7722
1.2103e-009,0.6699
1.2469e-009,0.5685
1.2836e-009,0.4786
1.3203e-009,0.4084
1.3570e-009,0.3623
1.3936e-009,0.3409
1.4303e-009,0.3406
1.4670e-009,0.3548
1.5037e-009,0.3746
1.5403e-009,0.3911
1.5770e-009,0.3983
1.6137e-009,0.3941
1.6504e-009,0.3810
1.6871e-009,0.3634
1.7237e-009,0.3464
1.7604e-009,0.3339
1.7971e-009,0.3295
1.8338e-009,0.3358
1.8704e-009,0.3553
1.9071e-009,0.3893
1.9438e-009,0.4375
1.9805e-009,0.4989
2.0171e-009,0.5730
2.0538e-009,0.6591
2.0905e-009,0.7531
2.1272e-009,0.8472
2.1638e-009,0.9318
2.2005e-009,0.9987
2.2372e-009,1.0430
2.2738e-009,1.0643
2.3105e-009,1.0656
2.3472e-009,1.0522
2.3839e-009,1.0315
2.4205e-009,1.0126
2.4572e-009,1.0035
2.4939e-009,1.0077
2.5306e-009,1.0233
2.5672e-009,1.0442
2.6039e-009,1.0641
2.6406e-009,1.0787
2.6773e-009,1.0865
2.7139e-009,1.0876
2.7506e-009,1.0833
2.7873e-009,1.0750
2.8240e-009,1.0635
2.8606e-009,1.0483
2.8973e-009,1.0268
2.9340e-009,0.9938
2.9707e-009,0.9423
3.0073e-009,0.8683
3.0440e-009,0.7741
3.0807e-009,0.6682
3.1174e-009,0.5621
3.1540e-009,0.4681
3.1907e-009,0.3956
3.2274e-009,0.3500
3.2641e-009,0.3327
3.3007e-009,0.3401
3.3374e-009,0.3631
3.3741e-009,0.3898
3.4108e-009,0.4090
3.4475e-009,0.4143
3.4841e-009,0.4059
3.5208e-009,0.3882
3.5575e-009,0.3673
3.5942e-009,0.3483
3.6308e-009,0.3349
3.6675e-009,0.3300
3.7042e-009,0.3359
3.7408e-009,0.3539
3.7775e-009,0.3841
3.8142e-009,0.4257
3.8509e-009,0.4787
3.8875e-009,0.5446
3.9242e-009,0.6253
3.9609e-009,0.7184
3.9976e-009,0.8162
4.0342e-009,0.9079
4.0709e-009,0.9836
4.1076e-009,1.0368
4.1443e-009,1.0658
4.1809e-009,1.0722
4.2176e-009,1.0604
4.2543e-009,1.0378
4.2910e-009,1.0149
4.3276e-009,1.0011
4.3643e-009,1.0018
4.4010e-009,1.0159
4.4377e-009,1.0373
4.4743e-009,1.0588
4.5110e-009,1.0756
4.5477e-009,1.0857
4.5844e-009,1.0887
4.6211e-009,1.0856
4.6577e-009,1.0776
4.6944e-009,1.0660
4.7311e-009,1.0509
4.7678e-009,1.0304
4.8044e-009,0.9997
4.8411e-009,0.9516
4.8778e-009,0.8810
4.9145e-009,0.7895
4.9511e-009,0.6847
4.9878e-009,0.5777
5.0245e-009,0.4810
5.0612e-009,0.4044
5.0978e-009,0.3541
5.1345e-009,0.3322
5.1712e-009,0.3361
5.2079e-009,0.3576
5.2445e-009,0.3848
5.2812e-009,0.4062
5.3179e-009,0.4144
5.3546e-009,0.4083
5.3912e-009,0.3920
5.4279e-009,0.3714
5.4646e-009,0.3516
5.5013e-009,0.3365
5.5379e-009,0.3287
5.5746e-009,0.3285
5.6113e-009,0.3341
5.6480e-009,0.3414
5.6846e-009,0.3460
5.7213e-009,0.3451
5.7580e-009,0.3394
5.7947e-009,0.3319
5.8313e-009,0.3261
5.8680e-009,0.3236
5.9047e-009,0.3245
5.9414e-009,0.3276
5.9780e-009,0.3319
6.0147e-009,0.3358
6.0514e-009,0.3378
6.0881e-009,0.3363
6.1247e-009,0.3310
6.1614e-009,0.3235
6.1981e-009,0.3163
6.2348e-009,0.3119
6.2714e-009,0.3115
6.3081e-009,0.3142
6.3448e-009,0.3187
6.3815e-009,0.3234
6.4181e-009,0.3274
6.4548e-009,0.3300
6.4915e-009,0.3307
6.5282e-009,0.3298
6.5648e-009,0.3279
6.6015e-009,0.3264
6.6382e-009,0.3265
6.6749e-009,0.3284
6.7115e-009,0.3316
6.7482e-009,0.3348
6.7849e-009,0.3372
6.8215e-009,0.3380
6.8582e-009,0.3372
6.8949e-009,0.3351
6.9316e-009,0.3320
6.9682e-009,0.3288
7.0049e-009,0.3261
7.0416e-009,0.3248
7.0783e-009,0.3250
7.1149e-009,0.3265
7.1516e-009,0.3288
7.1883e-009,0.3311
7.2250e-009,0.3329
7.2616e-009,0.3338
7.2983e-009,0.3337
7.3350e-009,0.3328
7.3717e-009,0.3314
7.4083e-009,0.3298
7.4450e-009,0.3285
7.4817e-009,0.3278
7.5184e-009,0.3278
7.5550e-009,0.3284
7.5917e-009,0.3294
7.6284e-009,0.3306
7.6651e-009,0.3314
7.7018e-009,0.3317
7.7384e-009,0.3315
7.7751e-009,0.3309
7.8118e-009,0.3301
7.8484e-009,0.3294
7.8851e-009,0.3291
7.9218e-009,0.3291
7.9585e-009,0.3295
7.9952e-009,0.3301
8.0318e-009,0.3307
8.0685e-009,0.3311
8.1052e-009,0.3311
8.1418e-009,0.3306
8.1785e-009,0.3298
8.2152e-009,0.3291
8.2519e-009,0.3286
8.2886e-009,0.3285
8.3252e-009,0.3293
8.3619e-009,0.3316
8.3986e-009,0.3376
8.4352e-009,0.3504
8.4719e-009,0.3736
8.5086e-009,0.4103
8.5453e-009,0.4625
8.5820e-009,0.5308
8.6186e-009,0.6136
8.6553e-009,0.7062
8.6920e-009,0.8004
8.7286e-009,0.8874
8.7653e-009,0.9592
8.8020e-009,1.0108
8.8387e-009,1.0411
8.8754e-009,1.0524
8.9120e-009,1.0494
8.9487e-009,1.0387
8.9854e-009,1.0276
9.0220e-009,1.0223
9.0587e-009,1.0257
9.0954e-009,1.0370
9.1321e-009,1.0523
9.1688e-009,1.0672
9.2054e-009,1.0787
9.2421e-009,1.0853
9.2788e-009,1.0868
9.3154e-009,1.0841
9.3521e-009,1.0790
9.3888e-009,1.0743
9.4255e-009,1.0726
9.4622e-009,1.0748
9.4988e-009,1.0799
9.5355e-009,1.0854
9.5722e-009,1.0890
9.6088e-009,1.0902
9.6455e-009,1.0895
9.6822e-009,1.0882
9.7189e-009,1.0868
9.7556e-009,1.0862
9.7922e-009,1.0871
9.8289e-009,1.0899
9.8656e-009,1.0945
9.9022e-009,1.0994
9.9389e-009,1.1027
9.9756e-009,1.1034
1.00123e-008,1.1014
1.00490e-008,1.0981
1.00856e-008,1.0948
1.01223e-008,1.0924
1.01590e-008,1.0913
1.01956e-008,1.0914
1.02323e-008,1.0928
1.02690e-008,1.0942
1.03057e-008,1.0931
1.03424e-008,1.0852
1.03790e-008,1.0658
1.04157e-008,1.0319
1.04524e-008,0.9813
1.04890e-008,0.9129
1.05257e-008,0.8282
1.05624e-008,0.7319
1.05991e-008,0.6314
1.06358e-008,0.5361
1.06724e-008,0.4552
1.07091e-008,0.3950
1.07458e-008,0.3580
1.07824e-008,0.3433
1.08191e-008,0.3467
1.08558e-008,0.3610
1.08925e-008,0.3781
1.09292e-008,0.3904
1.09658e-008,0.3933
1.10025e-008,0.3862
1.10392e-008,0.3723
1.10758e-008,0.3559
1.11125e-008,0.3412
1.11492e-008,0.3318
1.11859e-008,0.3306
1.12226e-008,0.3402
1.12592e-008,0.3629
1.12959e-008,0.3998
1.13326e-008,0.4507
1.13693e-008,0.5148
1.14059e-008,0.5922
1.14426e-008,0.6814
1.14793e-008,0.7771
1.15159e-008,0.8704
1.15526e-008,0.9515
1.15893e-008,1.0128
1.16260e-008,1.0506
1.16627e-008,1.0658
1.16993e-008,1.0620
1.17360e-008,1.0452
1.17727e-008,1.0236
1.18093e-008,1.0067
1.18460e-008,1.0014
1.18827e-008,1.0098
1.19194e-008,1.0282
1.19561e-008,1.0498
1.19927e-008,1.0686
1.20294e-008,1.0810
1.20661e-008,1.0862
1.21027e-008,1.0847
1.21394e-008,1.0782
1.21761e-008,1.0702
1.22128e-008,1.0649
1.22495e-008,1.0658
1.22861e-008,1.0731
1.23228e-008,1.0839
1.23595e-008,1.0938
1.23961e-008,1.0994
1.24328e-008,1.1003
1.24695e-008,1.0977
1.25062e-008,1.0935
1.25429e-008,1.0889
1.25795e-008,1.0855
1.26162e-008,1.0848
1.26529e-008,1.0878
1.26895e-008,1.0937
1.27262e-008,1.1003
1.27629e-008,1.1047
1.27996e-008,1.1055
1.28363e-008,1.1031
1.28729e-008,1.0991
1.29096e-008,1.0953
1.29463e-008,1.0925
1.29829e-008,1.0909
1.30196e-008,1.0904
1.30563e-008,1.0910
1.30930e-008,1.0921
1.31297e-008,1.0925
1.31663e-008,1.0914
1.32030e-008,1.0886
1.32397e-008,1.0848
1.32763e-008,1.0816
1.33130e-008,1.0801
1.33497e-008,1.0805
1.33864e-008,1.0826
1.34231e-008,1.0856
1.34597e-008,1.0887
1.34964e-008,1.0913
1.35331e-008,1.0927
1.35697e-008,1.0928
1.36064e-008,1.0914
1.36431e-008,1.0893
1.36798e-008,1.0871
1.37165e-008,1.0855
1.37531e-008,1.0849
1.37898e-008,1.0851
1.38265e-008,1.0858
1.38631e-008,1.0868
1.38998e-008,1.0877
1.39365e-008,1.0884
1.39732e-008,1.0888
1.40099e-008,1.0888
1.40465e-008,1.0886
1.40832e-008,1.0882
1.41199e-008,1.0877
1.41565e-008,1.0873
1.41932e-008,1.0870
1.42299e-008,1.0868
1.42666e-008,1.0868
1.43033e-008,1.0870
1.43399e-008,1.0873
1.43766e-008,1.0876
1.44133e-008,1.0879
1.44499e-008,1.0882
1.44866e-008,1.0882
1.45233e-008,1.0880
1.45600e-008,1.0876
1.45967e-008,1.0873
1.46333e-008,1.0871
1.46700e-008,1.0871
1.47067e-008,1.0874
1.47433e-008,1.0879
1.47800e-008,1.0883
1.48167e-008,1.0887
1.48534e-008,1.0888
1.48901e-008,1.0886
1.49267e-008,1.0883
1.49634e-008,1.0878
1.50001e-008,1.0875
1.50368e-008,1.0873
1.50734e-008,1.0875
1.51101e-008,1.0878
1.51468e-008,1.0883
1.51834e-008,1.0886
1.52201e-008,1.0887
1.52568e-008,1.0886
1.52935e-008,1.0882
1.53301e-008,1.0878
1.53668e-008,1.0876
1.54035e-008,1.0875
1.54402e-008,1.0876
1.54769e-008,1.0880
1.55135e-008,1.0884
1.55502e-008,1.0887
1.55869e-008,1.0889
1.56236e-008,1.0888
1.56602e-008,1.0885
1.56969e-008,1.0881
1.57336e-008,1.0877
1.57703e-008,1.0876
1.58069e-008,1.0876
1.58436e-008,1.0879
1.58803e-008,1.0882
1.59169e-008,1.0886
1.59536e-008,1.0888
1.59903e-008,1.0888
1.60270e-008,1.0887
1.60636e-008,1.0884
1.61003e-008,1.0881
1.61370e-008,1.0879
1.61737e-008,1.0879
1.62104e-008,1.0880
1.62470e-008,1.0882
1.62837e-008,1.0884
1.63204e-008,1.0886
1.63571e-008,1.0887
1.63937e-008,1.0886
1.64304e-008,1.0884
1.64671e-008,1.0882
1.65037e-008,1.0881
1.65404e-008,1.0881
1.65771e-008,1.0881
1.66138e-008,1.0883
1.66504e-008,1.0884
1.66871e-008,1.0885
1.67238e-008,1.0886
1.67605e-008,1.0885
1.67972e-008,1.0884
1.68338e-008,1.0883
1.68705e-008,1.0883
1.69072e-008,1.0882
1.69439e-008,1.0883
1.69805e-008,1.0883
1.70172e-008,1.0884
1.70539e-008,1.0885
1.70905e-008,1.0885
